algorithm,graph,timeout,seed,k,epsilon,num_threads,imbalance,totalPartitionTime,objective,km1,cut,failed
KaFFPa-Strong,amazon-2008.graph,yes,1,128,0.03,1,1.0,2147483647,km1,2147483647,2147483647,no
KaFFPa-Strong,amazon-2008.graph,yes,2,128,0.03,1,1.0,2147483647,km1,2147483647,2147483647,no
KaFFPa-Strong,amazon-2008.graph,yes,3,128,0.03,1,1.0,2147483647,km1,2147483647,2147483647,no
KaFFPa-Strong,amazon-2008.graph,yes,5,128,0.03,1,1.0,2147483647,km1,2147483647,2147483647,no
KaFFPa-Strong,amazon-2008.graph,yes,6,128,0.03,1,1.0,2147483647,km1,2147483647,2147483647,no
KaFFPa-Strong,amazon-2008.graph,yes,7,128,0.03,1,1.0,2147483647,km1,2147483647,2147483647,no
KaFFPa-Strong,amazon-2008.graph,yes,8,128,0.03,1,1.0,2147483647,km1,2147483647,2147483647,no
KaFFPa-Strong,amazon-2008.graph,no,10,16,0.03,1,0.029959999999999987,2695.36,km1,231423,231423,no
KaFFPa-Strong,amazon-2008.graph,no,1,16,0.03,1,0.029959999999999987,2553.73,km1,233090,233090,no
KaFFPa-Strong,amazon-2008.graph,no,2,16,0.03,1,0.029959999999999987,2766.41,km1,232119,232119,no
KaFFPa-Strong,amazon-2008.graph,no,3,16,0.03,1,0.029959999999999987,2441.7,km1,230124,230124,no
KaFFPa-Strong,amazon-2008.graph,no,4,16,0.03,1,0.029959999999999987,2341.44,km1,233056,233056,no
KaFFPa-Strong,amazon-2008.graph,no,5,16,0.03,1,0.029959999999999987,3946.11,km1,234673,234673,no
KaFFPa-Strong,amazon-2008.graph,no,6,16,0.03,1,0.029959999999999987,3224.94,km1,231775,231775,no
KaFFPa-Strong,amazon-2008.graph,no,7,16,0.03,1,0.029959999999999987,3128.1,km1,232388,232388,no
KaFFPa-Strong,amazon-2008.graph,no,8,16,0.03,1,0.029959999999999987,3959.45,km1,234610,234610,no
KaFFPa-Strong,amazon-2008.graph,no,9,16,0.03,1,0.029959999999999987,3600.45,km1,233163,233163,no
KaFFPa-Strong,amazon-2008.graph,no,10,2,0.03,1,0.02868000000000004,209.826,km1,69917,69917,no
