algorithm,graph,timeout,seed,k,epsilon,num_threads,imbalance,totalPartitionTime,objective,km1,cut,failed
KaFFPa-StrongS,amazon-2008.graph,yes,1,128,0.03,1,1.0,2147483647,km1,2147483647,2147483647,no
KaFFPa-StrongS,amazon-2008.graph,yes,2,128,0.03,1,1.0,2147483647,km1,2147483647,2147483647,no
KaFFPa-StrongS,amazon-2008.graph,yes,3,128,0.03,1,1.0,2147483647,km1,2147483647,2147483647,no
KaFFPa-StrongS,amazon-2008.graph,yes,5,128,0.03,1,1.0,2147483647,km1,2147483647,2147483647,no
KaFFPa-StrongS,amazon-2008.graph,yes,6,128,0.03,1,1.0,2147483647,km1,2147483647,2147483647,no
KaFFPa-StrongS,amazon-2008.graph,yes,7,128,0.03,1,1.0,2147483647,km1,2147483647,2147483647,no
KaFFPa-StrongS,amazon-2008.graph,yes,8,128,0.03,1,1.0,2147483647,km1,2147483647,2147483647,no
KaFFPa-StrongS,amazon-2008.graph,no,10,16,0.03,1,0.029959999999999987,1750.17,km1,233608,233608,no
KaFFPa-StrongS,amazon-2008.graph,no,1,16,0.03,1,0.029959999999999987,2787.06,km1,233434,233434,no
KaFFPa-StrongS,amazon-2008.graph,no,2,16,0.03,1,0.029959999999999987,2439.46,km1,233318,233318,no
KaFFPa-StrongS,amazon-2008.graph,no,3,16,0.03,1,0.029959999999999987,1944.5,km1,232274,232274,no
KaFFPa-StrongS,amazon-2008.graph,no,4,16,0.03,1,0.029959999999999987,2285.55,km1,230719,230719,no
KaFFPa-StrongS,amazon-2008.graph,no,5,16,0.03,1,0.029959999999999987,2121.51,km1,230118,230118,no
KaFFPa-StrongS,amazon-2008.graph,no,6,16,0.03,1,0.029959999999999987,2092.69,km1,231286,231286,no
KaFFPa-StrongS,amazon-2008.graph,no,7,16,0.03,1,0.029959999999999987,1990.16,km1,236283,236283,no
KaFFPa-StrongS,amazon-2008.graph,no,8,16,0.03,1,0.029959999999999987,1576.79,km1,232877,232877,no
KaFFPa-StrongS,amazon-2008.graph,no,9,16,0.03,1,0.029959999999999987,2065.83,km1,233996,233996,no
KaFFPa-StrongS,amazon-2008.graph,no,10,2,0.03,1,0.029670000000000085,247.456,km1,69460,69460,no
KaFFPa-StrongS,amazon-2008.graph,no,1,2,0.03,1,0.02998999999999996,185.991,km1,67599,67599,no
KaFFPa-StrongS,amazon-2008.graph,no,2,2,0.03,1,0.029910000000000103,216.791,km1,68724,68724,no
KaFFPa-StrongS,amazon-2008.graph,no,3,2,0.03,1,0.02915000000000001,176.669,km1,68736,68736,no
KaFFPa-StrongS,amazon-2008.graph,no,4,2,0.03,1,0.028920000000000057,168.741,km1,71629,71629,no
KaFFPa-StrongS,amazon-2008.graph,no,5,2,0.03,1,0.0297400000000001,258.919,km1,68082,68082,no
KaFFPa-StrongS,amazon-2008.graph,no,6,2,0.03,1,0.02998999999999996,239.741,km1,70876,70876,no
KaFFPa-StrongS,amazon-2008.graph,no,7,2,0.03,1,0.02998999999999996,223.771,km1,67968,67968,no
