algorithm,graph,timeout,seed,k,epsilon,num_threads,imbalance,totalPartitionTime,objective,km1,cut,failed
KaHyPar-K,amazon-2008.graph.hgr,no,10,128,0.03,1,0.0299391,1235.11,km1,406693,406693,no
KaHyPar-K,amazon-2008.graph.hgr,no,1,128,0.03,1,0.0299391,1215.45,km1,406693,406693,no
KaHyPar-K,amazon-2008.graph.hgr,no,2,128,0.03,1,0.0299391,1216.82,km1,406693,406693,no
KaHyPar-K,amazon-2008.graph.hgr,no,3,128,0.03,1,0.0299391,1222.99,km1,406693,406693,no
KaHyPar-K,amazon-2008.graph.hgr,no,4,128,0.03,1,0.0299391,1219.7,km1,406693,406693,no
KaHyPar-K,amazon-2008.graph.hgr,no,5,128,0.03,1,0.0299391,1215.35,km1,406693,406693,no
KaHyPar-K,amazon-2008.graph.hgr,no,6,128,0.03,1,0.0299391,1216.71,km1,406693,406693,no
KaHyPar-K,amazon-2008.graph.hgr,no,7,128,0.03,1,0.0299391,1215.4,km1,406693,406693,no
KaHyPar-K,amazon-2008.graph.hgr,no,8,128,0.03,1,0.0299391,1216.58,km1,406693,406693,no
KaHyPar-K,amazon-2008.graph.hgr,no,9,128,0.03,1,0.0299391,1235.57,km1,406693,406693,no
KaHyPar-K,amazon-2008.graph.hgr,no,10,16,0.03,1,0.0299404,909.377,km1,232742,232742,no
KaHyPar-K,amazon-2008.graph.hgr,no,1,16,0.03,1,0.0299404,927.783,km1,232742,232742,no
KaHyPar-K,amazon-2008.graph.hgr,no,2,16,0.03,1,0.0299404,927.162,km1,232742,232742,no
KaHyPar-K,amazon-2008.graph.hgr,no,3,16,0.03,1,0.0299404,1250.64,km1,232742,232742,no
KaHyPar-K,amazon-2008.graph.hgr,no,4,16,0.03,1,0.0299404,1238.65,km1,232742,232742,no
KaHyPar-K,amazon-2008.graph.hgr,no,5,16,0.03,1,0.0299404,1245.69,km1,232742,232742,no
KaHyPar-K,amazon-2008.graph.hgr,no,6,16,0.03,1,0.0299404,1243.62,km1,232742,232742,no
KaHyPar-K,amazon-2008.graph.hgr,no,7,16,0.03,1,0.0299404,1250.74,km1,232742,232742,no
KaHyPar-K,amazon-2008.graph.hgr,no,8,16,0.03,1,0.0299404,1259.61,km1,232742,232742,no
KaHyPar-K,amazon-2008.graph.hgr,no,9,16,0.03,1,0.0299404,920.378,km1,232742,232742,no
KaHyPar-K,amazon-2008.graph.hgr,no,10,2,0.03,1,0.0299895,1574.88,km1,68011,68011,no
KaHyPar-K,amazon-2008.graph.hgr,no,1,2,0.03,1,0.0299895,2195.57,km1,68011,68011,no
KaHyPar-K,amazon-2008.graph.hgr,no,2,2,0.03,1,0.0299895,2202.66,km1,68011,68011,no
KaHyPar-K,amazon-2008.graph.hgr,no,3,2,0.03,1,0.0299895,2208.44,km1,68011,68011,no
KaHyPar-K,amazon-2008.graph.hgr,no,4,2,0.03,1,0.0299895,2204.51,km1,68011,68011,no
KaHyPar-K,amazon-2008.graph.hgr,no,5,2,0.03,1,0.0299895,2198.66,km1,68011,68011,no
KaHyPar-K,amazon-2008.graph.hgr,no,6,2,0.03,1,0.0299895,2208.24,km1,68011,68011,no
KaHyPar-K,amazon-2008.graph.hgr,no,7,2,0.03,1,0.0299895,2217.22,km1,68011,68011,no
KaHyPar-K,amazon-2008.graph.hgr,no,8,2,0.03,1,0.0299895,2209.49,km1,68011,68011,no
KaHyPar-K,amazon-2008.graph.hgr,no,9,2,0.03,1,0.0299895,1574.11,km1,68011,68011,no
KaHyPar-K,amazon-2008.graph.hgr,no,10,32,0.03,1,0.0299839,854.799,km1,286610,286610,no
KaHyPar-K,amazon-2008.graph.hgr,no,1,32,0.03,1,0.0299839,863.51,km1,286610,286610,no
KaHyPar-K,amazon-2008.graph.hgr,no,2,32,0.03,1,0.0299839,855.423,km1,286610,286610,no
KaHyPar-K,amazon-2008.graph.hgr,no,3,32,0.03,1,0.0299839,852.428,km1,286610,286610,no
KaHyPar-K,amazon-2008.graph.hgr,no,4,32,0.03,1,0.0299839,853.813,km1,286610,286610,no
KaHyPar-K,amazon-2008.graph.hgr,no,5,32,0.03,1,0.0299839,852.38,km1,286610,286610,no
KaHyPar-K,amazon-2008.graph.hgr,no,6,32,0.03,1,0.0299839,857.162,km1,286610,286610,no
KaHyPar-K,amazon-2008.graph.hgr,no,7,32,0.03,1,0.0299839,853.096,km1,286610,286610,no
KaHyPar-K,amazon-2008.graph.hgr,no,8,32,0.03,1,0.0299839,856.984,km1,286610,286610,no
KaHyPar-K,amazon-2008.graph.hgr,no,9,32,0.03,1,0.0299839,858.482,km1,286610,286610,no
KaHyPar-K,amazon-2008.graph.hgr,no,10,4,0.03,1,0.0299949,1567.23,km1,129836,129836,no
KaHyPar-K,amazon-2008.graph.hgr,no,1,4,0.03,1,0.0299949,1573.13,km1,129836,129836,no
KaHyPar-K,amazon-2008.graph.hgr,no,2,4,0.03,1,0.0299949,1570.01,km1,129836,129836,no
KaHyPar-K,amazon-2008.graph.hgr,no,3,4,0.03,1,0.0299949,1567.23,km1,129836,129836,no
KaHyPar-K,amazon-2008.graph.hgr,no,4,4,0.03,1,0.0299949,1570.95,km1,129836,129836,no
KaHyPar-K,amazon-2008.graph.hgr,no,5,4,0.03,1,0.0299949,1571.92,km1,129836,129836,no
KaHyPar-K,amazon-2008.graph.hgr,no,6,4,0.03,1,0.0299949,1569.52,km1,129836,129836,no
KaHyPar-K,amazon-2008.graph.hgr,no,7,4,0.03,1,0.0299949,1565.9,km1,129836,129836,no
KaHyPar-K,amazon-2008.graph.hgr,no,8,4,0.03,1,0.0299949,1565.79,km1,129836,129836,no
KaHyPar-K,amazon-2008.graph.hgr,no,9,4,0.03,1,0.0299949,1564.37,km1,129836,129836,no
KaHyPar-K,amazon-2008.graph.hgr,no,10,64,0.03,1,0.029852,1223.99,km1,342021,342021,no
KaHyPar-K,amazon-2008.graph.hgr,no,1,64,0.03,1,0.029852,1225.0,km1,342021,342021,no
KaHyPar-K,amazon-2008.graph.hgr,no,2,64,0.03,1,0.029852,1221.69,km1,342021,342021,no
KaHyPar-K,amazon-2008.graph.hgr,no,3,64,0.03,1,0.029852,1222.2,km1,342021,342021,no
KaHyPar-K,amazon-2008.graph.hgr,no,4,64,0.03,1,0.029852,1219.97,km1,342021,342021,no
KaHyPar-K,amazon-2008.graph.hgr,no,5,64,0.03,1,0.029852,1221.03,km1,342021,342021,no
KaHyPar-K,amazon-2008.graph.hgr,no,6,64,0.03,1,0.029852,1220.76,km1,342021,342021,no
KaHyPar-K,amazon-2008.graph.hgr,no,7,64,0.03,1,0.029852,1225.41,km1,342021,342021,no
KaHyPar-K,amazon-2008.graph.hgr,no,8,64,0.03,1,0.029852,1221.38,km1,342021,342021,no
KaHyPar-K,amazon-2008.graph.hgr,no,9,64,0.03,1,0.029852,1220.82,km1,342021,342021,no
KaHyPar-K,amazon-2008.graph.hgr,no,10,8,0.03,1,0.0298098,1345.95,km1,179241,179241,no
KaHyPar-K,amazon-2008.graph.hgr,no,1,8,0.03,1,0.0298098,1344.48,km1,179241,179241,no
KaHyPar-K,amazon-2008.graph.hgr,no,2,8,0.03,1,0.0298098,1344.61,km1,179241,179241,no
KaHyPar-K,amazon-2008.graph.hgr,no,3,8,0.03,1,0.0298098,1343.62,km1,179241,179241,no
KaHyPar-K,amazon-2008.graph.hgr,no,4,8,0.03,1,0.0298098,1356.4,km1,179241,179241,no
KaHyPar-K,amazon-2008.graph.hgr,no,5,8,0.03,1,0.0298098,1350.75,km1,179241,179241,no
KaHyPar-K,amazon-2008.graph.hgr,no,6,8,0.03,1,0.0298098,1338.46,km1,179241,179241,no
KaHyPar-K,amazon-2008.graph.hgr,no,7,8,0.03,1,0.0298098,1348.84,km1,179241,179241,no
KaHyPar-K,amazon-2008.graph.hgr,no,8,8,0.03,1,0.0298098,1351.28,km1,179241,179241,no
KaHyPar-K,amazon-2008.graph.hgr,no,9,8,0.03,1,0.0298098,1355.71,km1,179241,179241,no
KaHyPar-K,as-22july06.graph.hgr,no,10,128,0.03,1,0.0277778,17.9234,km1,23459,23459,no
KaHyPar-K,as-22july06.graph.hgr,no,1,128,0.03,1,0.0277778,17.8427,km1,23459,23459,no
KaHyPar-K,as-22july06.graph.hgr,no,2,128,0.03,1,0.0277778,17.9161,km1,23459,23459,no
KaHyPar-K,as-22july06.graph.hgr,no,3,128,0.03,1,0.0277778,17.9116,km1,23459,23459,no
KaHyPar-K,as-22july06.graph.hgr,no,4,128,0.03,1,0.0277778,17.8884,km1,23459,23459,no
KaHyPar-K,as-22july06.graph.hgr,no,5,128,0.03,1,0.0277778,17.8379,km1,23459,23459,no
KaHyPar-K,as-22july06.graph.hgr,no,6,128,0.03,1,0.0277778,17.8022,km1,23459,23459,no
KaHyPar-K,as-22july06.graph.hgr,no,7,128,0.03,1,0.0277778,17.8549,km1,23459,23459,no
KaHyPar-K,as-22july06.graph.hgr,no,8,128,0.03,1,0.0277778,17.8949,km1,23459,23459,no
KaHyPar-K,as-22july06.graph.hgr,no,9,128,0.03,1,0.0277778,17.9565,km1,23459,23459,no
KaHyPar-K,as-22july06.graph.hgr,no,10,16,0.03,1,0.0299443,14.4214,km1,13831,13831,no
KaHyPar-K,as-22july06.graph.hgr,no,1,16,0.03,1,0.0299443,14.3913,km1,13831,13831,no
KaHyPar-K,as-22july06.graph.hgr,no,2,16,0.03,1,0.0299443,14.4947,km1,13831,13831,no
KaHyPar-K,as-22july06.graph.hgr,no,3,16,0.03,1,0.0299443,14.4116,km1,13831,13831,no
KaHyPar-K,as-22july06.graph.hgr,no,4,16,0.03,1,0.0299443,14.4294,km1,13831,13831,no
KaHyPar-K,as-22july06.graph.hgr,no,5,16,0.03,1,0.0299443,14.3555,km1,13831,13831,no
KaHyPar-K,as-22july06.graph.hgr,no,6,16,0.03,1,0.0299443,14.3744,km1,13831,13831,no
KaHyPar-K,as-22july06.graph.hgr,no,7,16,0.03,1,0.0299443,14.4229,km1,13831,13831,no
KaHyPar-K,as-22july06.graph.hgr,no,8,16,0.03,1,0.0299443,14.4069,km1,13831,13831,no
KaHyPar-K,as-22july06.graph.hgr,no,9,16,0.03,1,0.0299443,14.4099,km1,13831,13831,no
KaHyPar-K,as-22july06.graph.hgr,no,10,2,0.03,1,0.0,3.69088,km1,3606,3606,no
KaHyPar-K,as-22july06.graph.hgr,no,1,2,0.03,1,0.0,3.66877,km1,3606,3606,no
KaHyPar-K,as-22july06.graph.hgr,no,2,2,0.03,1,0.0,3.76881,km1,3606,3606,no
