algorithm,graph,timeout,seed,k,epsilon,num_threads,imbalance,totalPartitionTime,objective,km1,cut,failed
KaHyPar-K,AS365.graph.hgr,no,10,128,0.03,1,0.0299845,1164.43,km1,68906,68906,no
KaHyPar-K,AS365.graph.hgr,no,1,128,0.03,1,0.0299845,884.872,km1,68906,68906,no
KaHyPar-K,AS365.graph.hgr,no,2,128,0.03,1,0.0299845,1162.38,km1,68906,68906,no
KaHyPar-K,AS365.graph.hgr,no,3,128,0.03,1,0.0299845,883.481,km1,68906,68906,no
KaHyPar-K,AS365.graph.hgr,no,4,128,0.03,1,0.0299845,1171.26,km1,68906,68906,no
KaHyPar-K,AS365.graph.hgr,no,5,128,0.03,1,0.0299845,882.686,km1,68906,68906,no
KaHyPar-K,AS365.graph.hgr,no,6,128,0.03,1,0.0299845,1163.22,km1,68906,68906,no
KaHyPar-K,AS365.graph.hgr,no,7,128,0.03,1,0.0299845,886.485,km1,68906,68906,no
KaHyPar-K,AS365.graph.hgr,no,8,128,0.03,1,0.0299845,1165.85,km1,68906,68906,no
KaHyPar-K,AS365.graph.hgr,no,9,128,0.03,1,0.0299845,881.1,km1,68906,68906,no
KaHyPar-K,AS365.graph.hgr,no,10,16,0.03,1,0.0299257,3295.43,km1,20766,20766,no
KaHyPar-K,AS365.graph.hgr,no,1,16,0.03,1,0.0299257,2475.66,km1,20766,20766,no
KaHyPar-K,AS365.graph.hgr,no,2,16,0.03,1,0.0299257,2471.09,km1,20766,20766,no
KaHyPar-K,AS365.graph.hgr,no,3,16,0.03,1,0.0299257,2450.14,km1,20766,20766,no
KaHyPar-K,AS365.graph.hgr,no,4,16,0.03,1,0.0299257,3297.41,km1,20766,20766,no
KaHyPar-K,AS365.graph.hgr,no,5,16,0.03,1,0.0299257,2457.24,km1,20766,20766,no
KaHyPar-K,AS365.graph.hgr,no,6,16,0.03,1,0.0299257,3308.02,km1,20766,20766,no
KaHyPar-K,AS365.graph.hgr,no,7,16,0.03,1,0.0299257,2456.94,km1,20766,20766,no
KaHyPar-K,AS365.graph.hgr,no,8,16,0.03,1,0.0299257,3301.93,km1,20766,20766,no
KaHyPar-K,AS365.graph.hgr,no,9,16,0.03,1,0.0299257,2461.74,km1,20766,20766,no
KaHyPar-K,AS365.graph.hgr,no,10,2,0.03,1,0.0014787,1708.24,km1,2223,2223,no
KaHyPar-K,AS365.graph.hgr,no,3,2,0.03,1,0.0014787,1286.17,km1,2223,2223,no
KaHyPar-K,AS365.graph.hgr,no,4,2,0.03,1,0.0014787,1283.57,km1,2223,2223,no
KaHyPar-K,AS365.graph.hgr,no,5,2,0.03,1,0.0014787,1284.46,km1,2223,2223,no
KaHyPar-K,AS365.graph.hgr,no,6,2,0.03,1,0.0014787,1284.71,km1,2223,2223,no
KaHyPar-K,AS365.graph.hgr,no,7,2,0.03,1,0.0014787,1284.45,km1,2223,2223,no
KaHyPar-K,AS365.graph.hgr,no,8,2,0.03,1,0.0014787,1283.71,km1,2223,2223,no
KaHyPar-K,AS365.graph.hgr,no,9,2,0.03,1,0.0014787,1285.61,km1,2223,2223,no
KaHyPar-K,AS365.graph.hgr,no,10,32,0.03,1,0.0296223,2729.42,km1,31331,31331,no
KaHyPar-K,AS365.graph.hgr,no,1,32,0.03,1,0.0296223,2060.51,km1,31331,31331,no
KaHyPar-K,AS365.graph.hgr,no,2,32,0.03,1,0.0296223,2733.77,km1,31331,31331,no
KaHyPar-K,AS365.graph.hgr,no,3,32,0.03,1,0.0296223,2062.8,km1,31331,31331,no
KaHyPar-K,AS365.graph.hgr,no,4,32,0.03,1,0.0296223,2735.14,km1,31331,31331,no
KaHyPar-K,AS365.graph.hgr,no,5,32,0.03,1,0.0296223,2056.26,km1,31331,31331,no
KaHyPar-K,AS365.graph.hgr,no,6,32,0.03,1,0.0296223,2767.65,km1,31331,31331,no
KaHyPar-K,AS365.graph.hgr,no,7,32,0.03,1,0.0296223,2072.02,km1,31331,31331,no
KaHyPar-K,AS365.graph.hgr,no,8,32,0.03,1,0.0296223,2747.41,km1,31331,31331,no
KaHyPar-K,AS365.graph.hgr,no,9,32,0.03,1,0.0296223,2053.03,km1,31331,31331,no
KaHyPar-K,AS365.graph.hgr,no,10,4,0.03,1,0.0294077,1801.47,km1,6719,6719,no
KaHyPar-K,AS365.graph.hgr,no,1,4,0.03,1,0.0294077,1369.97,km1,6719,6719,no
KaHyPar-K,AS365.graph.hgr,no,2,4,0.03,1,0.0294077,1812.33,km1,6719,6719,no
KaHyPar-K,AS365.graph.hgr,no,3,4,0.03,1,0.0294077,1368.1,km1,6719,6719,no
KaHyPar-K,AS365.graph.hgr,no,4,4,0.03,1,0.0294077,1802.77,km1,6719,6719,no
KaHyPar-K,AS365.graph.hgr,no,5,4,0.03,1,0.0294077,1367.69,km1,6719,6719,no
KaHyPar-K,AS365.graph.hgr,no,6,4,0.03,1,0.0294077,1804.71,km1,6719,6719,no
KaHyPar-K,AS365.graph.hgr,no,7,4,0.03,1,0.0294077,1367.68,km1,6719,6719,no
KaHyPar-K,AS365.graph.hgr,no,8,4,0.03,1,0.0294077,1801.66,km1,6719,6719,no
KaHyPar-K,AS365.graph.hgr,no,9,4,0.03,1,0.0294077,1370.2,km1,6719,6719,no
KaHyPar-K,AS365.graph.hgr,no,10,64,0.03,1,0.0298497,1479.22,km1,46687,46687,no
KaHyPar-K,AS365.graph.hgr,no,1,64,0.03,1,0.0298497,1117.07,km1,46687,46687,no
KaHyPar-K,AS365.graph.hgr,no,2,64,0.03,1,0.0298497,1483.05,km1,46687,46687,no
KaHyPar-K,AS365.graph.hgr,no,3,64,0.03,1,0.0298497,1122.03,km1,46687,46687,no
KaHyPar-K,AS365.graph.hgr,no,4,64,0.03,1,0.0298497,1514.09,km1,46687,46687,no
KaHyPar-K,AS365.graph.hgr,no,5,64,0.03,1,0.0298497,1119.32,km1,46687,46687,no
KaHyPar-K,AS365.graph.hgr,no,6,64,0.03,1,0.0298497,1502.07,km1,46687,46687,no
KaHyPar-K,AS365.graph.hgr,no,7,64,0.03,1,0.0298497,1119.98,km1,46687,46687,no
KaHyPar-K,AS365.graph.hgr,no,8,64,0.03,1,0.0298497,1512.05,km1,46687,46687,no
