algorithm,graph,timeout,seed,k,epsilon,num_threads,imbalance,totalPartitionTime,objective,km1,cut,failed
KaHyPar-R,AS365.graph.hgr,no,10,128,0.03,1,0.0298834,637.188,km1,70758,70758,no
KaHyPar-R,AS365.graph.hgr,no,1,128,0.03,1,0.0298834,635.657,km1,70758,70758,no
KaHyPar-R,AS365.graph.hgr,no,2,128,0.03,1,0.0298834,635.991,km1,70758,70758,no
KaHyPar-R,AS365.graph.hgr,no,3,128,0.03,1,0.0298834,637.565,km1,70758,70758,no
KaHyPar-R,AS365.graph.hgr,no,4,128,0.03,1,0.0298834,635.824,km1,70758,70758,no
KaHyPar-R,AS365.graph.hgr,no,5,128,0.03,1,0.0298834,635.815,km1,70758,70758,no
KaHyPar-R,AS365.graph.hgr,no,6,128,0.03,1,0.0298834,637.481,km1,70758,70758,no
KaHyPar-R,AS365.graph.hgr,no,7,128,0.03,1,0.0298834,637.472,km1,70758,70758,no
KaHyPar-R,AS365.graph.hgr,no,8,128,0.03,1,0.0298834,637.174,km1,70758,70758,no
KaHyPar-R,AS365.graph.hgr,no,9,128,0.03,1,0.0298834,637.985,km1,70758,70758,no
KaHyPar-R,AS365.graph.hgr,no,10,16,0.03,1,0.0299004,1321.2,km1,21068,21068,no
KaHyPar-R,AS365.graph.hgr,no,1,16,0.03,1,0.0299004,1728.3,km1,21068,21068,no
KaHyPar-R,AS365.graph.hgr,no,2,16,0.03,1,0.0299004,1726.3,km1,21068,21068,no
KaHyPar-R,AS365.graph.hgr,no,3,16,0.03,1,0.0299004,1722.81,km1,21068,21068,no
KaHyPar-R,AS365.graph.hgr,no,4,16,0.03,1,0.0299004,1722.36,km1,21068,21068,no
KaHyPar-R,AS365.graph.hgr,no,5,16,0.03,1,0.0299004,1723.08,km1,21068,21068,no
KaHyPar-R,AS365.graph.hgr,no,6,16,0.03,1,0.0299004,1721.84,km1,21068,21068,no
KaHyPar-R,AS365.graph.hgr,no,7,16,0.03,1,0.0299004,1322.68,km1,21068,21068,no
KaHyPar-R,AS365.graph.hgr,no,8,16,0.03,1,0.0299004,1320.64,km1,21068,21068,no
KaHyPar-R,AS365.graph.hgr,no,9,16,0.03,1,0.0299004,1320.73,km1,21068,21068,no
KaHyPar-R,AS365.graph.hgr,no,10,2,0.03,1,0.0014787,1107.19,km1,2223,2223,no
KaHyPar-R,AS365.graph.hgr,no,1,2,0.03,1,0.0014787,1104.51,km1,2223,2223,no
KaHyPar-R,AS365.graph.hgr,no,2,2,0.03,1,0.0014787,1102.63,km1,2223,2223,no
KaHyPar-R,AS365.graph.hgr,no,3,2,0.03,1,0.0014787,1102.81,km1,2223,2223,no
KaHyPar-R,AS365.graph.hgr,no,4,2,0.03,1,0.0014787,1107.73,km1,2223,2223,no
KaHyPar-R,AS365.graph.hgr,no,5,2,0.03,1,0.0014787,1104.06,km1,2223,2223,no
KaHyPar-R,AS365.graph.hgr,no,6,2,0.03,1,0.0014787,1106.05,km1,2223,2223,no
KaHyPar-R,AS365.graph.hgr,no,7,2,0.03,1,0.0014787,1107.91,km1,2223,2223,no
KaHyPar-R,AS365.graph.hgr,no,8,2,0.03,1,0.0014787,1109.57,km1,2223,2223,no
KaHyPar-R,AS365.graph.hgr,no,9,2,0.03,1,0.0014787,1107.89,km1,2223,2223,no
KaHyPar-R,AS365.graph.hgr,no,10,32,0.03,1,0.0299508,824.975,km1,32049,32049,no
KaHyPar-R,AS365.graph.hgr,no,1,32,0.03,1,0.0299508,821.964,km1,32049,32049,no
KaHyPar-R,AS365.graph.hgr,no,2,32,0.03,1,0.0299508,823.063,km1,32049,32049,no
KaHyPar-R,AS365.graph.hgr,no,3,32,0.03,1,0.0299508,826.966,km1,32049,32049,no
KaHyPar-R,AS365.graph.hgr,no,4,32,0.03,1,0.0299508,827.838,km1,32049,32049,no
KaHyPar-R,AS365.graph.hgr,no,5,32,0.03,1,0.0299508,827.982,km1,32049,32049,no
KaHyPar-R,AS365.graph.hgr,no,6,32,0.03,1,0.0299508,828.246,km1,32049,32049,no
KaHyPar-R,AS365.graph.hgr,no,7,32,0.03,1,0.0299508,827.219,km1,32049,32049,no
KaHyPar-R,AS365.graph.hgr,no,8,32,0.03,1,0.0299508,828.311,km1,32049,32049,no
KaHyPar-R,AS365.graph.hgr,no,9,32,0.03,1,0.0299508,824.675,km1,32049,32049,no
KaHyPar-R,AS365.graph.hgr,no,10,4,0.03,1,0.0216841,901.085,km1,6705,6705,no
KaHyPar-R,AS365.graph.hgr,no,1,4,0.03,1,0.0216841,1178.98,km1,6705,6705,no
KaHyPar-R,AS365.graph.hgr,no,2,4,0.03,1,0.0216841,1177.49,km1,6705,6705,no
KaHyPar-R,AS365.graph.hgr,no,3,4,0.03,1,0.0216841,1177.26,km1,6705,6705,no
KaHyPar-R,AS365.graph.hgr,no,4,4,0.03,1,0.0216841,1174.75,km1,6705,6705,no
KaHyPar-R,AS365.graph.hgr,no,5,4,0.03,1,0.0216841,1178.22,km1,6705,6705,no
KaHyPar-R,AS365.graph.hgr,no,6,4,0.03,1,0.0216841,1175.62,km1,6705,6705,no
KaHyPar-R,AS365.graph.hgr,no,7,4,0.03,1,0.0216841,1179.44,km1,6705,6705,no
KaHyPar-R,AS365.graph.hgr,no,8,4,0.03,1,0.0216841,1175.98,km1,6705,6705,no
KaHyPar-R,AS365.graph.hgr,no,9,4,0.03,1,0.0216841,901.726,km1,6705,6705,no
KaHyPar-R,AS365.graph.hgr,no,10,64,0.03,1,0.0286706,955.8,km1,48347,48347,no
KaHyPar-R,AS365.graph.hgr,no,1,64,0.03,1,0.0286706,744.052,km1,48347,48347,no
KaHyPar-R,AS365.graph.hgr,no,2,64,0.03,1,0.0286706,743.269,km1,48347,48347,no
KaHyPar-R,AS365.graph.hgr,no,3,64,0.03,1,0.0286706,742.999,km1,48347,48347,no
KaHyPar-R,AS365.graph.hgr,no,4,64,0.03,1,0.0286706,744.918,km1,48347,48347,no
KaHyPar-R,AS365.graph.hgr,no,5,64,0.03,1,0.0286706,955.643,km1,48347,48347,no
KaHyPar-R,AS365.graph.hgr,no,6,64,0.03,1,0.0286706,955.74,km1,48347,48347,no
KaHyPar-R,AS365.graph.hgr,no,7,64,0.03,1,0.0286706,955.944,km1,48347,48347,no
KaHyPar-R,AS365.graph.hgr,no,8,64,0.03,1,0.0286706,954.957,km1,48347,48347,no
KaHyPar-R,AS365.graph.hgr,no,9,64,0.03,1,0.0286706,957.428,km1,48347,48347,no
KaHyPar-R,AS365.graph.hgr,no,10,8,0.03,1,0.0227959,905.233,km1,12188,12188,no
KaHyPar-R,AS365.graph.hgr,no,1,8,0.03,1,0.0227959,903.834,km1,12188,12188,no
KaHyPar-R,AS365.graph.hgr,no,2,8,0.03,1,0.0227959,903.589,km1,12188,12188,no
KaHyPar-R,AS365.graph.hgr,no,3,8,0.03,1,0.0227959,903.626,km1,12188,12188,no
KaHyPar-R,AS365.graph.hgr,no,4,8,0.03,1,0.0227959,904.141,km1,12188,12188,no
KaHyPar-R,AS365.graph.hgr,no,5,8,0.03,1,0.0227959,905.208,km1,12188,12188,no
KaHyPar-R,AS365.graph.hgr,no,6,8,0.03,1,0.0227959,905.133,km1,12188,12188,no
KaHyPar-R,AS365.graph.hgr,no,7,8,0.03,1,0.0227959,904.775,km1,12188,12188,no
KaHyPar-R,AS365.graph.hgr,no,8,8,0.03,1,0.0227959,905.437,km1,12188,12188,no
KaHyPar-R,AS365.graph.hgr,no,9,8,0.03,1,0.0227959,905.754,km1,12188,12188,no
KaHyPar-R,asia.osm.graph.hgr,no,10,128,0.03,1,0.029861,2282.15,km1,939,939,no
KaHyPar-R,asia.osm.graph.hgr,no,1,128,0.03,1,0.029861,1624.72,km1,939,939,no
KaHyPar-R,asia.osm.graph.hgr,no,2,128,0.03,1,0.029861,2260.24,km1,939,939,no
