algorithm,graph,timeout,seed,k,epsilon,imbalance,totalPartitionTime,objective,km1,cut,failed
hMetis-K,dac2012_superblue12.hgr,no,0,16,0.03,0.029970524855720493,384.556,cut,29093,23222,no
hMetis-K,dac2012_superblue12.hgr,no,8,16,0.03,0.0299829093701236,378.366,cut,28941,22953,no
hMetis-K,dac2012_superblue12.hgr,no,9,16,0.03,0.0299829093701236,380.818,cut,30185,23220,no
hMetis-K,dac2012_superblue12.hgr,no,0,32,0.03,0.036187551086121816,416.337,cut,45075,33375,no
hMetis-K,dac2012_superblue12.hgr,no,1,32,0.03,0.04044782404081926,422.66,cut,44888,33283,no
hMetis-K,dac2012_superblue12.hgr,no,2,32,0.03,0.048324375201248326,422.252,cut,46456,33805,no
hMetis-K,dac2012_superblue12.hgr,no,3,32,0.03,0.029995293884526708,535.109,cut,47240,33238,no
hMetis-K,dac2012_superblue12.hgr,no,5,32,0.03,0.029995293884526708,539.347,cut,45676,33349,no
hMetis-K,dac2012_superblue12.hgr,no,6,32,0.03,0.029995293884526708,535.776,cut,47725,34604,no
hMetis-K,dac2012_superblue12.hgr,no,0,64,0.03,0.05508495566453653,618.156,cut,75304,50243,no
hMetis-K,dac2012_superblue12.hgr,no,1,64,0.03,0.029969782533313616,612.554,cut,71872,49669,no
hMetis-K,dac2012_superblue12.hgr,no,2,64,0.03,0.06578491108138906,620.7,cut,73277,49305,no
hMetis-K,dac2012_superblue12.hgr,no,3,64,0.03,0.029969782533313616,623.979,cut,74687,49909,no
hMetis-K,dac2012_superblue12.hgr,no,4,64,0.03,0.029969782533313616,620.872,cut,74985,49628,no
hMetis-K,dac2012_superblue12.hgr,no,5,64,0.03,0.0711844256204488,624.658,cut,76984,50320,no
hMetis-K,dac2012_superblue12.hgr,no,1,8,0.03,0.029995293884526708,361.838,cut,20275,16180,no
hMetis-K,dac2012_superblue12.hgr,no,4,8,0.03,0.029995293884526708,364.89,cut,19626,16111,no
hMetis-K,dac2012_superblue14.hgr,no,1,16,0.03,0.02995485212803728,141.426,cut,22443,15681,no
hMetis-K,dac2012_superblue14.hgr,no,2,16,0.03,0.02995485212803728,180.513,cut,20995,15618,no
hMetis-K,dac2012_superblue14.hgr,no,3,16,0.03,0.02995485212803728,184.2,cut,21970,15836,no
hMetis-K,dac2012_superblue14.hgr,no,5,2,0.03,0.010427994838317023,109.967,cut,4403,4403,no
hMetis-K,dac2012_superblue14.hgr,no,7,8,0.03,0.029980596314568064,128.208,cut,14725,11825,no
hMetis-K,ESOC.mtx.hgr,no,8,128,0.03,0.030405405405405483,21915.393,cut,469499,327060,no
hMetis-K,ESOC.mtx.hgr,yes,3,64,0.03,1.0,28800,cut,2147483647,2147483647,no
hMetis-K,ESOC.mtx.hgr,yes,6,64,0.03,1.0,28800,cut,2147483647,2147483647,no
hMetis-K,ESOC.mtx.hgr,no,9,64,0.03,0.01520270270270263,28654.176,cut,372823,325490,no
hMetis-K,gupta3.mtx.hgr,no,0,128,0.03,0.11363636363636354,15752.569,cut,201077,16783,no
