algorithm,graph,timeout,seed,k,epsilon,imbalance,totalPartitionTime,objective,km1,cut,failed
hMetis-R,dac2012_superblue12.hgr,no,8,16,0.03,0.01442795927971674,955.476,cut,26148,25480,no
hMetis-R,dac2012_superblue12.hgr,no,9,16,0.03,0.018415772917543816,1049.258,cut,25863,23930,no
hMetis-R,dac2012_superblue12.hgr,no,0,32,0.03,0.02387734376935091,1075.348,cut,41731,38174,no
hMetis-R,dac2012_superblue12.hgr,no,2,32,0.03,0.02915314690510984,1376.919,cut,41067,35369,no
hMetis-R,dac2012_superblue12.hgr,no,3,32,0.03,0.018675847720010852,1009.809,cut,40681,36788,no
hMetis-R,dac2012_superblue12.hgr,no,6,32,0.03,0.019617070814653248,1369.758,cut,40644,37453,no
hMetis-R,dac2012_superblue12.hgr,no,0,64,0.03,0.015901322633377957,1166.708,cut,63457,51821,no
hMetis-R,dac2012_superblue12.hgr,no,1,64,0.03,0.015901322633377957,1493.745,cut,63457,51821,no
hMetis-R,dac2012_superblue12.hgr,no,2,64,0.03,0.02774062515480269,1087.946,cut,65304,52360,no
hMetis-R,dac2012_superblue12.hgr,no,3,64,0.03,0.017040669737950154,1308.634,cut,65617,53069,no
hMetis-R,dac2012_superblue12.hgr,no,4,64,0.03,0.022341110615742732,1219.957,cut,66668,53595,no
hMetis-R,dac2012_superblue12.hgr,no,5,64,0.03,0.024025362857284405,1447.217,cut,63450,52651,no
hMetis-R,dac2012_superblue12.hgr,no,1,8,0.03,0.02785277289277488,778.25,cut,17364,16966,no
hMetis-R,dac2012_superblue12.hgr,no,4,8,0.03,0.029691873281648684,1013.867,cut,15991,15573,no
hMetis-R,dac2012_superblue14.hgr,no,2,16,0.03,0.01341754172373566,333.655,cut,18386,16594,no
hMetis-R,dac2012_superblue14.hgr,no,3,16,0.03,0.018642520164358523,394.573,cut,18540,16703,no
hMetis-R,dac2012_superblue14.hgr,no,5,2,0.03,0.001049457674515919,129.429,cut,3820,3820,no
hMetis-R,dac2012_superblue14.hgr,no,7,8,0.03,0.010424725114456468,291.132,cut,12145,11227,no
hMetis-R,gupta3.mtx.hgr,no,0,128,0.03,0.022727272727272707,228.884,cut,194576,16783,no
hMetis-R,gupta3.mtx.hgr,no,1,128,0.03,0.022727272727272707,161.366,cut,194576,16783,no
hMetis-R,gupta3.mtx.hgr,no,3,128,0.03,0.022727272727272707,155.984,cut,188099,16783,no
hMetis-R,gupta3.mtx.hgr,no,1,64,0.03,0.02281368821292773,151.053,cut,119074,16783,no
hMetis-R,gupta3.mtx.hgr,no,2,64,0.03,0.02281368821292773,198.927,cut,118918,16783,no
hMetis-R,gupta3.mtx.hgr,no,5,64,0.03,0.02281368821292773,150.105,cut,119291,16783,no
hMetis-R,gupta3.mtx.hgr,no,7,64,0.03,0.02281368821292773,201.839,cut,129966,16783,no
hMetis-R,gupta3.mtx.hgr,no,8,64,0.03,0.02281368821292773,152.94,cut,119010,16783,no
hMetis-R,IMDB.mtx.hgr,no,2,128,0.03,0.029701556475796087,15089.911,cut,394660,143642,no
hMetis-R,IMDB.mtx.hgr,no,1,16,0.03,0.029989289539450237,11878.555,cut,134297,74667,no
hMetis-R,IMDB.mtx.hgr,no,4,16,0.03,0.029971438771867254,11363.796,cut,135498,75353,no
hMetis-R,IMDB.mtx.hgr,no,7,16,0.03,0.029989289539450237,11375.38,cut,137646,76386,no
hMetis-R,IMDB.mtx.hgr,no,8,16,0.03,0.02995358800428427,14383.479,cut,135935,75618,no
