algorithm,graph,timeout,seed,k,epsilon,imbalance,totalPartitionTime,objective,km1,cut,failed
Mondriaan,Chebyshev4.mtx.hgr,no,8,128,0.03,0.0281426,271.40766859054565,cut,50491,21447,no
Mondriaan,dac2012_superblue11.hgr,no,4,128,0.03,0.0298307,33.7972092628479,cut,86354,68336,no
Mondriaan,dac2012_superblue11.hgr,no,7,128,0.03,0.0298307,49.624939918518066,cut,86131,67884,no
Mondriaan,dac2012_superblue12.hgr,no,0,128,0.03,0.0299188,70.70293641090393,cut,129108,88996,no
Mondriaan,dac2012_superblue12.hgr,no,2,128,0.03,0.0299188,69.76505589485168,cut,132872,90251,no
Mondriaan,dac2012_superblue12.hgr,no,4,128,0.03,0.0299188,73.31528377532959,cut,134788,91331,no
Mondriaan,dac2012_superblue12.hgr,no,8,128,0.03,0.0299188,108.47422099113464,cut,132029,90475,no
Mondriaan,dac2012_superblue12.hgr,no,1,16,0.03,0.0299705,68.03205728530884,cut,38336,32305,no
Mondriaan,dac2012_superblue12.hgr,no,4,16,0.03,0.0299953,45.805331230163574,cut,40798,34110,no
Mondriaan,dac2012_superblue12.hgr,no,6,16,0.03,0.0299953,47.587462186813354,cut,37794,33228,no
Mondriaan,dac2012_superblue12.hgr,no,1,32,0.03,0.0299953,53.00133228302002,cut,55158,47566,no
Mondriaan,dac2012_superblue12.hgr,no,2,32,0.03,0.0299953,54.049623250961304,cut,59064,48999,no
Mondriaan,dac2012_superblue12.hgr,no,7,32,0.03,0.0299953,53.37033987045288,cut,58465,47636,no
Mondriaan,dac2012_superblue12.hgr,no,6,4,0.03,0.0298003,30.32179307937622,cut,19498,18698,no
Mondriaan,dac2012_superblue12.hgr,no,7,4,0.03,0.0272708,29.311028242111206,cut,22989,21726,no
Mondriaan,dac2012_superblue12.hgr,no,3,64,0.03,0.050379,94.07066655158997,cut,89304,70168,no
Mondriaan,dac2012_superblue12.hgr,no,8,64,0.03,0.0299698,62.74007225036621,cut,89364,70559,no
Mondriaan,dac2012_superblue12.hgr,no,1,8,0.03,0.0299086,37.95199966430664,cut,31851,27957,no
Mondriaan,dac2012_superblue12.hgr,no,8,8,0.03,0.0299334,39.63658595085144,cut,29180,24659,no
Mondriaan,dac2012_superblue14.hgr,no,1,2,0.03,0.0299111,7.4998390674591064,cut,7639,7639,no
Mondriaan,dac2012_superblue14.hgr,no,5,2,0.03,0.0234939,7.375704050064087,cut,4446,4446,no
Mondriaan,dac2012_superblue14.hgr,no,6,2,0.03,0.029946,7.416030168533325,cut,7207,7207,no
Mondriaan,dac2012_superblue14.hgr,no,7,2,0.03,0.00545655,7.339250802993774,cut,4975,4975,no
Mondriaan,dac2012_superblue14.hgr,no,2,4,0.03,0.0281165,12.110897302627563,cut,11523,10828,no
Mondriaan,dac2012_superblue14.hgr,no,5,4,0.03,0.0297525,11.254109621047974,cut,10029,9677,no
Mondriaan,dac2012_superblue14.hgr,no,7,4,0.03,0.0254405,10.038766384124756,cut,10851,9865,no
Mondriaan,sat14_9vliw_m_9stages_iq3_C1_bug7.cnf.dual.hgr,yes,4,128,0.03,1.0,28800,cut,2147483647,2147483647,no
Mondriaan,sat14_9vliw_m_9stages_iq3_C1_bug7.cnf.dual.hgr,yes,7,128,0.03,1.0,28800,cut,2147483647,2147483647,no
Mondriaan,sat14_9vliw_m_9stages_iq3_C1_bug8.cnf.dual.hgr,yes,2,128,0.03,1.0,28800,cut,2147483647,2147483647,no
Mondriaan,sat14_9vliw_m_9stages_iq3_C1_bug8.cnf.dual.hgr,yes,5,128,0.03,1.0,28800,cut,2147483647,2147483647,no
Mondriaan,sat14_9vliw_m_9stages_iq3_C1_bug8.cnf.dual.hgr,yes,8,128,0.03,1.0,28800,cut,2147483647,2147483647,no
Mondriaan,sat14_9vliw_m_9stages_iq3_C1_bug8.cnf.dual.hgr,yes,1,16,0.03,1.0,28800,cut,2147483647,2147483647,no
Mondriaan,sat14_9vliw_m_9stages_iq3_C1_bug8.cnf.dual.hgr,yes,3,16,0.03,1.0,28800,cut,2147483647,2147483647,no
Mondriaan,sat14_9vliw_m_9stages_iq3_C1_bug8.cnf.dual.hgr,yes,4,16,0.03,1.0,28800,cut,2147483647,2147483647,no
Mondriaan,sat14_9vliw_m_9stages_iq3_C1_bug8.cnf.dual.hgr,yes,7,16,0.03,1.0,28800,cut,2147483647,2147483647,no
Mondriaan,sat14_9vliw_m_9stages_iq3_C1_bug8.cnf.dual.hgr,yes,9,16,0.03,1.0,28800,cut,2147483647,2147483647,no
Mondriaan,sat14_9vliw_m_9stages_iq3_C1_bug8.cnf.dual.hgr,yes,2,2,0.03,1.0,28800,cut,2147483647,2147483647,no
Mondriaan,sat14_9vliw_m_9stages_iq3_C1_bug8.cnf.dual.hgr,yes,5,2,0.03,1.0,28800,cut,2147483647,2147483647,no
Mondriaan,sat14_9vliw_m_9stages_iq3_C1_bug8.cnf.dual.hgr,yes,8,2,0.03,1.0,28800,cut,2147483647,2147483647,no
Mondriaan,sat14_9vliw_m_9stages_iq3_C1_bug8.cnf.dual.hgr,yes,2,32,0.03,1.0,28800,cut,2147483647,2147483647,no
Mondriaan,sat14_9vliw_m_9stages_iq3_C1_bug8.cnf.dual.hgr,yes,5,32,0.03,1.0,28800,cut,2147483647,2147483647,no
Mondriaan,sat14_9vliw_m_9stages_iq3_C1_bug8.cnf.dual.hgr,yes,8,32,0.03,1.0,28800,cut,2147483647,2147483647,no
Mondriaan,sat14_9vliw_m_9stages_iq3_C1_bug8.cnf.dual.hgr,yes,1,4,0.03,1.0,28800,cut,2147483647,2147483647,no
Mondriaan,sat14_9vliw_m_9stages_iq3_C1_bug8.cnf.dual.hgr,yes,3,4,0.03,1.0,28800,cut,2147483647,2147483647,no
Mondriaan,sat14_9vliw_m_9stages_iq3_C1_bug8.cnf.dual.hgr,yes,4,4,0.03,1.0,28800,cut,2147483647,2147483647,no
Mondriaan,sat14_9vliw_m_9stages_iq3_C1_bug8.cnf.dual.hgr,yes,7,4,0.03,1.0,28800,cut,2147483647,2147483647,no
Mondriaan,sat14_9vliw_m_9stages_iq3_C1_bug8.cnf.dual.hgr,yes,9,4,0.03,1.0,28800,cut,2147483647,2147483647,no
Mondriaan,sat14_9vliw_m_9stages_iq3_C1_bug8.cnf.dual.hgr,yes,1,64,0.03,1.0,28800,cut,2147483647,2147483647,no
Mondriaan,sat14_9vliw_m_9stages_iq3_C1_bug8.cnf.dual.hgr,yes,3,64,0.03,1.0,28800,cut,2147483647,2147483647,no
Mondriaan,sat14_9vliw_m_9stages_iq3_C1_bug8.cnf.dual.hgr,yes,4,64,0.03,1.0,28800,cut,2147483647,2147483647,no
Mondriaan,sat14_9vliw_m_9stages_iq3_C1_bug8.cnf.dual.hgr,yes,6,64,0.03,1.0,28800,cut,2147483647,2147483647,no
Mondriaan,sat14_9vliw_m_9stages_iq3_C1_bug8.cnf.dual.hgr,yes,7,64,0.03,1.0,28800,cut,2147483647,2147483647,no
Mondriaan,sat14_9vliw_m_9stages_iq3_C1_bug8.cnf.dual.hgr,yes,9,64,0.03,1.0,28800,cut,2147483647,2147483647,no
Mondriaan,sat14_9vliw_m_9stages_iq3_C1_bug8.cnf.dual.hgr,yes,2,8,0.03,1.0,28800,cut,2147483647,2147483647,no
Mondriaan,sat14_9vliw_m_9stages_iq3_C1_bug8.cnf.dual.hgr,yes,5,8,0.03,1.0,28800,cut,2147483647,2147483647,no
Mondriaan,sat14_9vliw_m_9stages_iq3_C1_bug8.cnf.dual.hgr,yes,8,8,0.03,1.0,28800,cut,2147483647,2147483647,no
Mondriaan,sat14_q_query_3_L100_coli.sat.cnf.dual.hgr,no,4,128,0.03,0.029926,696.7144980430603,cut,90400,9028,no
Mondriaan,sat14_q_query_3_L100_coli.sat.cnf.dual.hgr,no,7,128,0.03,0.029926,696.3295650482178,cut,89223,8857,no
Mondriaan,sat14_q_query_3_L100_coli.sat.cnf.dual.hgr,no,9,128,0.03,0.029926,697.2649552822113,cut,91625,9520,no
Mondriaan,sat14_q_query_3_L150_coli.sat.cnf.dual.hgr,no,0,16,0.03,0.0299912,1816.3500525951385,cut,27966,8837,no
Mondriaan,sat14_q_query_3_L150_coli.sat.cnf.dual.hgr,no,1,16,0.03,0.0299912,1817.2742292881012,cut,27966,8837,no
Mondriaan,sat14_q_query_3_L150_coli.sat.cnf.dual.hgr,no,2,16,0.03,0.0299912,2502.351128101349,cut,27015,8531,no
Mondriaan,sat14_q_query_3_L150_coli.sat.cnf.dual.hgr,no,3,16,0.03,0.0299912,2518.9167745113373,cut,26734,8545,no
Mondriaan,sat14_q_query_3_L150_coli.sat.cnf.dual.hgr,no,4,16,0.03,0.0299912,1813.9481539726257,cut,25647,7837,no
Mondriaan,sat14_q_query_3_L150_coli.sat.cnf.dual.hgr,no,5,16,0.03,0.0299521,1814.5878603458405,cut,26655,8536,no
Mondriaan,sat14_q_query_3_L150_coli.sat.cnf.dual.hgr,no,6,16,0.03,0.0299782,2508.7901151180267,cut,26134,8561,no
Mondriaan,sat14_q_query_3_L150_coli.sat.cnf.dual.hgr,no,7,16,0.03,0.0299912,2521.4002702236176,cut,25884,8467,no
Mondriaan,sat14_q_query_3_L150_coli.sat.cnf.dual.hgr,no,1,2,0.03,0.0177205,1273.9504461288452,cut,1998,1998,no
Mondriaan,sat14_q_query_3_L150_coli.sat.cnf.dual.hgr,no,2,2,0.03,0.013352,1272.5374128818512,cut,1722,1722,no
