algorithm,graph,timeout,seed,k,epsilon,imbalance,totalPartitionTime,objective,km1,cut,failed
PaToH-D,192bit.mtx.hgr,no,0,128,0.03,0.019734,0.107607,cut,100460,13673,no
PaToH-D,192bit.mtx.hgr,no,1,128,0.03,0.019734,0.11331,cut,100460,13673,no
PaToH-D,192bit.mtx.hgr,no,2,128,0.03,0.019734,0.109177,cut,101047,13673,no
PaToH-D,192bit.mtx.hgr,no,3,128,0.03,0.0103786,0.12085,cut,102283,13672,no
PaToH-D,192bit.mtx.hgr,no,4,128,0.03,0.019734,0.107235,cut,98074,13674,no
PaToH-D,192bit.mtx.hgr,no,5,128,0.03,0.019734,0.138656,cut,101100,13665,no
PaToH-D,192bit.mtx.hgr,no,6,128,0.03,0.019734,0.112054,cut,100401,13670,no
PaToH-D,192bit.mtx.hgr,no,7,128,0.03,0.019734,0.118096,cut,100488,13668,no
PaToH-D,192bit.mtx.hgr,no,8,128,0.03,0.019734,0.148932,cut,100550,13665,no
PaToH-D,192bit.mtx.hgr,no,9,128,0.03,0.019734,0.12929,cut,102676,13673,no
PaToH-D,192bit.mtx.hgr,no,0,16,0.03,0.0209034,0.0892501,cut,54671,13506,no
PaToH-D,192bit.mtx.hgr,no,1,16,0.03,0.0209034,0.0943661,cut,54671,13506,no
PaToH-D,192bit.mtx.hgr,no,2,16,0.03,0.0232422,0.104134,cut,55049,13479,no
PaToH-D,192bit.mtx.hgr,no,3,16,0.03,0.0232422,0.0950587,cut,54743,13510,no
PaToH-D,192bit.mtx.hgr,no,4,16,0.03,0.0279199,0.112348,cut,55080,13484,no
PaToH-D,192bit.mtx.hgr,no,5,16,0.03,0.0232422,0.124093,cut,55357,13486,no
PaToH-D,192bit.mtx.hgr,no,6,16,0.03,0.0232422,0.107647,cut,54962,13486,no
PaToH-D,192bit.mtx.hgr,no,7,16,0.03,0.0279199,0.104574,cut,55298,13485,no
PaToH-D,192bit.mtx.hgr,no,8,16,0.03,0.0244116,0.113024,cut,54247,13494,no
PaToH-D,192bit.mtx.hgr,no,9,16,0.03,0.0232422,0.10279,cut,55200,13489,no
PaToH-D,192bit.mtx.hgr,no,0,2,0.03,0.0299664,0.0686388,cut,9083,9083,no
PaToH-D,192bit.mtx.hgr,no,1,2,0.03,0.0299664,0.0687746,cut,9083,9083,no
PaToH-D,192bit.mtx.hgr,no,2,2,0.03,0.0299664,0.106902,cut,9002,9002,no
PaToH-D,192bit.mtx.hgr,no,3,2,0.03,0.0299664,0.078066,cut,9051,9051,no
PaToH-D,192bit.mtx.hgr,no,4,2,0.03,0.0299664,0.0881228,cut,9017,9017,no
PaToH-D,192bit.mtx.hgr,no,5,2,0.03,0.0299664,0.0941427,cut,9072,9072,no
PaToH-D,192bit.mtx.hgr,no,6,2,0.03,0.0299664,0.0736564,cut,9070,9070,no
PaToH-D,192bit.mtx.hgr,no,7,2,0.03,0.0299664,0.104426,cut,9048,9048,no
PaToH-D,192bit.mtx.hgr,no,8,2,0.03,0.0299664,0.0755795,cut,9070,9070,no
PaToH-D,192bit.mtx.hgr,no,9,2,0.03,0.0299664,0.0732498,cut,9106,9106,no
PaToH-D,192bit.mtx.hgr,no,0,32,0.03,0.019734,0.096684,cut,71268,13615,no
PaToH-D,192bit.mtx.hgr,no,1,32,0.03,0.019734,0.0979642,cut,71268,13615,no
PaToH-D,192bit.mtx.hgr,no,2,32,0.03,0.0173951,0.10363,cut,70509,13622,no
PaToH-D,192bit.mtx.hgr,no,3,32,0.03,0.0150563,0.10935,cut,70223,13618,no
PaToH-D,192bit.mtx.hgr,no,4,32,0.03,0.019734,0.123173,cut,70401,13621,no
PaToH-D,192bit.mtx.hgr,no,5,32,0.03,0.0220728,0.113729,cut,70532,13614,no
PaToH-D,192bit.mtx.hgr,no,6,32,0.03,0.0150563,0.119287,cut,71463,13613,no
PaToH-D,192bit.mtx.hgr,no,7,32,0.03,0.019734,0.10818,cut,69138,13615,no
PaToH-D,192bit.mtx.hgr,no,8,32,0.03,0.0220728,0.143431,cut,71721,13621,no
PaToH-D,192bit.mtx.hgr,no,9,32,0.03,0.019734,0.100602,cut,70295,13623,no
PaToH-D,192bit.mtx.hgr,no,0,4,0.03,0.029674,0.0979794,cut,23130,11991,no
PaToH-D,192bit.mtx.hgr,no,1,4,0.03,0.029674,0.0978118,cut,23130,11991,no
PaToH-D,192bit.mtx.hgr,no,2,4,0.03,0.0290893,0.0899514,cut,22939,11944,no
PaToH-D,192bit.mtx.hgr,no,3,4,0.03,0.029674,0.0870736,cut,23007,11991,no
PaToH-D,192bit.mtx.hgr,no,4,4,0.03,0.029674,0.11017,cut,23099,11979,no
PaToH-D,192bit.mtx.hgr,no,5,4,0.03,0.0293817,0.0934355,cut,22758,11947,no
PaToH-D,192bit.mtx.hgr,no,6,4,0.03,0.029674,0.0880742,cut,22828,11971,no
PaToH-D,192bit.mtx.hgr,no,7,4,0.03,0.029674,0.118714,cut,22937,11966,no
PaToH-D,192bit.mtx.hgr,no,8,4,0.03,0.029674,0.13456,cut,22919,11946,no
PaToH-D,192bit.mtx.hgr,no,9,4,0.03,0.029674,0.0907264,cut,23030,11952,no
PaToH-D,192bit.mtx.hgr,no,0,64,0.03,0.0150563,0.103008,cut,86267,13659,no
PaToH-D,192bit.mtx.hgr,no,1,64,0.03,0.0150563,0.105342,cut,86267,13659,no
PaToH-D,192bit.mtx.hgr,no,2,64,0.03,0.0150563,0.108728,cut,84917,13655,no
PaToH-D,192bit.mtx.hgr,no,3,64,0.03,0.0244116,0.102641,cut,85171,13654,no
PaToH-D,192bit.mtx.hgr,no,4,64,0.03,0.019734,0.127218,cut,85125,13655,no
PaToH-D,192bit.mtx.hgr,no,5,64,0.03,0.0150563,0.123648,cut,85142,13657,no
PaToH-D,192bit.mtx.hgr,no,6,64,0.03,0.019734,0.112912,cut,85190,13657,no
PaToH-D,192bit.mtx.hgr,no,7,64,0.03,0.0150563,0.107661,cut,86931,13657,no
PaToH-D,192bit.mtx.hgr,no,8,64,0.03,0.0150563,0.163999,cut,87135,13657,no
PaToH-D,192bit.mtx.hgr,no,9,64,0.03,0.019734,0.145042,cut,85222,13652,no
PaToH-D,192bit.mtx.hgr,no,0,8,0.03,0.0290893,0.0970251,cut,39009,13086,no
PaToH-D,192bit.mtx.hgr,no,1,8,0.03,0.0290893,0.0908512,cut,39009,13086,no
PaToH-D,192bit.mtx.hgr,no,2,8,0.03,0.0279199,0.102919,cut,39029,13102,no
PaToH-D,192bit.mtx.hgr,no,3,8,0.03,0.029674,0.0938711,cut,39077,13083,no
PaToH-D,192bit.mtx.hgr,no,4,8,0.03,0.0290893,0.11507,cut,38646,13102,no
PaToH-D,192bit.mtx.hgr,no,5,8,0.03,0.0290893,0.108821,cut,38832,13101,no
PaToH-D,192bit.mtx.hgr,no,6,8,0.03,0.029674,0.0972036,cut,39030,13104,no
PaToH-D,192bit.mtx.hgr,no,7,8,0.03,0.029674,0.0986294,cut,38762,13098,no
PaToH-D,192bit.mtx.hgr,no,8,8,0.03,0.029674,0.0988632,cut,39406,13088,no
PaToH-D,192bit.mtx.hgr,no,9,8,0.03,0.0273352,0.103671,cut,38922,13091,no
PaToH-D,2cubes_sphere.mtx.hgr,no,0,128,0.03,0.00390179,1.99473,cut,133603,53724,no
PaToH-D,2cubes_sphere.mtx.hgr,no,1,128,0.03,0.00390179,2.19342,cut,133603,53724,no
PaToH-D,2cubes_sphere.mtx.hgr,no,2,128,0.03,0.0026406,1.99053,cut,132988,53748,no
PaToH-D,2cubes_sphere.mtx.hgr,no,3,128,0.03,0.00642415,2.0817,cut,132133,54111,no
PaToH-D,2cubes_sphere.mtx.hgr,no,4,128,0.03,0.0026406,1.99067,cut,135460,53745,no
PaToH-D,2cubes_sphere.mtx.hgr,no,5,128,0.03,0.00390179,1.97766,cut,132515,54459,no
PaToH-D,2cubes_sphere.mtx.hgr,no,6,128,0.03,0.0026406,2.05871,cut,133504,54241,no
PaToH-D,2cubes_sphere.mtx.hgr,no,7,128,0.03,0.00390179,1.97747,cut,131961,53949,no
PaToH-D,2cubes_sphere.mtx.hgr,no,8,128,0.03,0.0026406,2.08981,cut,135269,54093,no
PaToH-D,2cubes_sphere.mtx.hgr,no,9,128,0.03,0.00390179,1.98398,cut,132535,54031,no
PaToH-D,2cubes_sphere.mtx.hgr,no,0,16,0.03,0.00469002,1.29609,cut,46935,26333,no
PaToH-D,2cubes_sphere.mtx.hgr,no,1,16,0.03,0.00469002,1.32841,cut,46935,26333,no
PaToH-D,2cubes_sphere.mtx.hgr,no,2,16,0.03,0.000275884,1.27073,cut,44589,25585,no
PaToH-D,2cubes_sphere.mtx.hgr,no,3,16,0.03,0.00642415,1.29984,cut,46136,25790,no
PaToH-D,2cubes_sphere.mtx.hgr,no,4,16,0.03,0.000118236,1.29057,cut,45281,25787,no
PaToH-D,2cubes_sphere.mtx.hgr,no,5,16,0.03,0.00532062,1.26901,cut,46028,25330,no
PaToH-D,2cubes_sphere.mtx.hgr,no,6,16,0.03,0.000118236,1.33958,cut,47983,26254,no
PaToH-D,2cubes_sphere.mtx.hgr,no,7,16,0.03,0.00327119,1.36751,cut,43823,25654,no
PaToH-D,2cubes_sphere.mtx.hgr,no,8,16,0.03,0.000118236,1.28308,cut,45929,26111,no
PaToH-D,2cubes_sphere.mtx.hgr,no,9,16,0.03,0.0065818,1.27776,cut,45935,25731,no
PaToH-D,2cubes_sphere.mtx.hgr,no,0,2,0.03,0.0206519,0.463314,cut,4014,4014,no
PaToH-D,2cubes_sphere.mtx.hgr,no,1,2,0.03,0.0206519,0.462058,cut,4014,4014,no
PaToH-D,2cubes_sphere.mtx.hgr,no,2,2,0.03,0.0237457,0.418624,cut,4002,4002,no
PaToH-D,2cubes_sphere.mtx.hgr,no,3,2,0.03,0.019568,0.411588,cut,4007,4007,no
PaToH-D,2cubes_sphere.mtx.hgr,no,4,2,0.03,0.0191345,0.41228,cut,4022,4022,no
PaToH-D,2cubes_sphere.mtx.hgr,no,5,2,0.03,0.0152918,0.433878,cut,4146,4146,no
PaToH-D,2cubes_sphere.mtx.hgr,no,6,2,0.03,0.0188192,0.428835,cut,3988,3988,no
PaToH-D,2cubes_sphere.mtx.hgr,no,7,2,0.03,0.0146613,0.400842,cut,4034,4034,no
PaToH-D,2cubes_sphere.mtx.hgr,no,8,2,0.03,0.0164348,0.431438,cut,4004,4004,no
PaToH-D,2cubes_sphere.mtx.hgr,no,9,2,0.03,0.0169077,0.409647,cut,4107,4107,no
PaToH-D,2cubes_sphere.mtx.hgr,no,0,32,0.03,0.00390179,1.54741,cut,67684,33904,no
PaToH-D,2cubes_sphere.mtx.hgr,no,1,32,0.03,0.00390179,1.63603,cut,67684,33904,no
PaToH-D,2cubes_sphere.mtx.hgr,no,2,32,0.03,0.00453238,1.66658,cut,66054,34229,no
PaToH-D,2cubes_sphere.mtx.hgr,no,3,32,0.03,0.000433532,1.54565,cut,67493,34702,no
PaToH-D,2cubes_sphere.mtx.hgr,no,4,32,0.03,0.00484767,1.57627,cut,68854,34400,no
PaToH-D,2cubes_sphere.mtx.hgr,no,5,32,0.03,0.000748827,1.61329,cut,65138,34127,no
PaToH-D,2cubes_sphere.mtx.hgr,no,6,32,0.03,0.000433532,1.52959,cut,70578,34044,no
PaToH-D,2cubes_sphere.mtx.hgr,no,7,32,0.03,0.000433532,1.53584,cut,67820,33998,no
