algorithm,graph,timeout,seed,k,epsilon,imbalance,totalPartitionTime,objective,km1,cut,failed
PaToH-Q,192bit.mtx.hgr,no,0,128,0.03,0.019734,1.01952,cut,98263,13675,no
PaToH-Q,192bit.mtx.hgr,no,1,128,0.03,0.019734,1.0893,cut,98263,13675,no
PaToH-Q,192bit.mtx.hgr,no,2,128,0.03,0.019734,1.10213,cut,98199,13674,no
PaToH-Q,192bit.mtx.hgr,no,3,128,0.03,0.019734,0.986043,cut,97347,13673,no
PaToH-Q,192bit.mtx.hgr,no,4,128,0.03,0.019734,0.96965,cut,96397,13676,no
PaToH-Q,192bit.mtx.hgr,no,5,128,0.03,0.019734,1.13738,cut,97301,13676,no
PaToH-Q,192bit.mtx.hgr,no,6,128,0.03,0.019734,1.06975,cut,95807,13672,no
PaToH-Q,192bit.mtx.hgr,no,7,128,0.03,0.019734,1.13629,cut,98020,13679,no
PaToH-Q,192bit.mtx.hgr,no,8,128,0.03,0.019734,1.03482,cut,98371,13673,no
PaToH-Q,192bit.mtx.hgr,no,9,128,0.03,0.019734,1.0066,cut,96795,13678,no
PaToH-Q,192bit.mtx.hgr,no,0,16,0.03,0.0185645,0.94923,cut,53954,13456,no
PaToH-Q,192bit.mtx.hgr,no,1,16,0.03,0.0185645,0.878494,cut,53954,13456,no
PaToH-Q,192bit.mtx.hgr,no,2,16,0.03,0.0220728,1.0021,cut,53631,13451,no
PaToH-Q,192bit.mtx.hgr,no,3,16,0.03,0.0232422,0.870967,cut,53868,13457,no
PaToH-Q,192bit.mtx.hgr,no,4,16,0.03,0.0220728,1.00134,cut,54209,13457,no
PaToH-Q,192bit.mtx.hgr,no,5,16,0.03,0.0220728,1.04059,cut,54192,13456,no
PaToH-Q,192bit.mtx.hgr,no,6,16,0.03,0.0255811,0.863134,cut,53855,13452,no
PaToH-Q,192bit.mtx.hgr,no,7,16,0.03,0.0290893,0.987241,cut,53665,13456,no
PaToH-Q,192bit.mtx.hgr,no,8,16,0.03,0.0267505,0.872097,cut,54028,13455,no
PaToH-Q,192bit.mtx.hgr,no,9,16,0.03,0.0244116,1.03963,cut,53566,13452,no
PaToH-Q,192bit.mtx.hgr,no,0,2,0.03,0.0298202,0.590865,cut,8120,8120,no
PaToH-Q,192bit.mtx.hgr,no,1,2,0.03,0.0298202,0.546317,cut,8120,8120,no
PaToH-Q,192bit.mtx.hgr,no,2,2,0.03,0.0299664,0.815111,cut,8119,8119,no
PaToH-Q,192bit.mtx.hgr,no,3,2,0.03,0.0299664,0.631548,cut,8142,8142,no
PaToH-Q,192bit.mtx.hgr,no,4,2,0.03,0.0299664,0.773074,cut,8074,8074,no
PaToH-Q,192bit.mtx.hgr,no,5,2,0.03,0.0299664,0.827295,cut,8091,8091,no
PaToH-Q,192bit.mtx.hgr,no,6,2,0.03,0.0299664,0.811169,cut,8112,8112,no
PaToH-Q,192bit.mtx.hgr,no,7,2,0.03,0.0299664,0.790767,cut,8131,8131,no
PaToH-Q,192bit.mtx.hgr,no,8,2,0.03,0.0299664,0.72956,cut,8082,8082,no
PaToH-Q,192bit.mtx.hgr,no,9,2,0.03,0.0299664,0.682229,cut,8149,8149,no
PaToH-Q,192bit.mtx.hgr,no,0,32,0.03,0.0220728,0.846439,cut,68831,13603,no
PaToH-Q,192bit.mtx.hgr,no,1,32,0.03,0.0220728,0.888461,cut,68831,13603,no
PaToH-Q,192bit.mtx.hgr,no,2,32,0.03,0.019734,1.01165,cut,69604,13602,no
PaToH-Q,192bit.mtx.hgr,no,3,32,0.03,0.0220728,0.999192,cut,68445,13608,no
PaToH-Q,192bit.mtx.hgr,no,4,32,0.03,0.0220728,0.898501,cut,69412,13606,no
PaToH-Q,192bit.mtx.hgr,no,5,32,0.03,0.0220728,0.999264,cut,68336,13606,no
PaToH-Q,192bit.mtx.hgr,no,6,32,0.03,0.0220728,0.880858,cut,69086,13608,no
PaToH-Q,192bit.mtx.hgr,no,7,32,0.03,0.0173951,1.02688,cut,70066,13605,no
PaToH-Q,192bit.mtx.hgr,no,8,32,0.03,0.0173951,1.04059,cut,69645,13608,no
PaToH-Q,192bit.mtx.hgr,no,9,32,0.03,0.0173951,0.864122,cut,69523,13613,no
PaToH-Q,192bit.mtx.hgr,no,0,4,0.03,0.029674,0.764319,cut,21488,11628,no
PaToH-Q,192bit.mtx.hgr,no,1,4,0.03,0.029674,0.729964,cut,21488,11628,no
PaToH-Q,192bit.mtx.hgr,no,2,4,0.03,0.029674,0.826902,cut,21621,11657,no
PaToH-Q,192bit.mtx.hgr,no,3,4,0.03,0.029674,0.696794,cut,21663,11697,no
PaToH-Q,192bit.mtx.hgr,no,4,4,0.03,0.029674,0.857357,cut,21601,11653,no
PaToH-Q,192bit.mtx.hgr,no,5,4,0.03,0.029674,0.755443,cut,21646,11657,no
PaToH-Q,192bit.mtx.hgr,no,6,4,0.03,0.029674,0.905854,cut,21670,11663,no
PaToH-Q,192bit.mtx.hgr,no,7,4,0.03,0.029674,0.995462,cut,21684,11677,no
PaToH-Q,192bit.mtx.hgr,no,8,4,0.03,0.029674,0.997697,cut,21642,11647,no
PaToH-Q,192bit.mtx.hgr,no,9,4,0.03,0.029674,0.777474,cut,21636,11677,no
PaToH-Q,192bit.mtx.hgr,no,0,64,0.03,0.0150563,0.991665,cut,83655,13661,no
PaToH-Q,192bit.mtx.hgr,no,1,64,0.03,0.0150563,0.995632,cut,83655,13661,no
PaToH-Q,192bit.mtx.hgr,no,2,64,0.03,0.0150563,1.1098,cut,81556,13658,no
PaToH-Q,192bit.mtx.hgr,no,3,64,0.03,0.0150563,0.943178,cut,83468,13657,no
PaToH-Q,192bit.mtx.hgr,no,4,64,0.03,0.0150563,1.01069,cut,83314,13657,no
PaToH-Q,192bit.mtx.hgr,no,5,64,0.03,0.0150563,0.978676,cut,83192,13658,no
PaToH-Q,192bit.mtx.hgr,no,6,64,0.03,0.0150563,0.919903,cut,83700,13660,no
PaToH-Q,192bit.mtx.hgr,no,7,64,0.03,0.019734,1.10123,cut,82709,13659,no
PaToH-Q,192bit.mtx.hgr,no,8,64,0.03,0.0150563,1.19331,cut,84265,13659,no
PaToH-Q,192bit.mtx.hgr,no,9,64,0.03,0.0150563,1.09785,cut,83125,13657,no
PaToH-Q,192bit.mtx.hgr,no,0,8,0.03,0.0267505,0.773975,cut,37423,13014,no
PaToH-Q,192bit.mtx.hgr,no,1,8,0.03,0.0267505,0.789388,cut,37423,13014,no
PaToH-Q,192bit.mtx.hgr,no,2,8,0.03,0.029674,1.00784,cut,37896,13009,no
PaToH-Q,192bit.mtx.hgr,no,3,8,0.03,0.029674,1.00205,cut,37672,13033,no
PaToH-Q,192bit.mtx.hgr,no,4,8,0.03,0.029674,0.939784,cut,37701,13001,no
PaToH-Q,192bit.mtx.hgr,no,5,8,0.03,0.029674,0.959683,cut,37744,13008,no
PaToH-Q,192bit.mtx.hgr,no,6,8,0.03,0.029674,0.866604,cut,37804,13016,no
PaToH-Q,192bit.mtx.hgr,no,7,8,0.03,0.029674,1.16286,cut,37569,13004,no
PaToH-Q,192bit.mtx.hgr,no,8,8,0.03,0.029674,0.955267,cut,37656,13018,no
PaToH-Q,192bit.mtx.hgr,no,9,8,0.03,0.0285046,0.9031,cut,37553,13006,no
PaToH-Q,2cubes_sphere.mtx.hgr,no,0,128,0.03,0.00390179,10.8187,cut,128833,53043,no
PaToH-Q,2cubes_sphere.mtx.hgr,no,1,128,0.03,0.00390179,10.8626,cut,128833,53043,no
PaToH-Q,2cubes_sphere.mtx.hgr,no,2,128,0.03,0.00390179,11.0779,cut,127362,53027,no
PaToH-Q,2cubes_sphere.mtx.hgr,no,3,128,0.03,0.0026406,11.2168,cut,124172,52661,no
PaToH-Q,2cubes_sphere.mtx.hgr,no,4,128,0.03,0.0026406,11.1766,cut,124905,52779,no
PaToH-Q,2cubes_sphere.mtx.hgr,no,5,128,0.03,0.00390179,11.2325,cut,124852,52733,no
PaToH-Q,2cubes_sphere.mtx.hgr,no,6,128,0.03,0.00390179,11.0234,cut,129915,53063,no
PaToH-Q,2cubes_sphere.mtx.hgr,no,7,128,0.03,0.0026406,11.0374,cut,126951,52890,no
PaToH-Q,2cubes_sphere.mtx.hgr,no,8,128,0.03,0.0026406,11.0998,cut,128638,52782,no
PaToH-Q,2cubes_sphere.mtx.hgr,no,9,128,0.03,0.00137942,11.1355,cut,129590,52896,no
PaToH-Q,2cubes_sphere.mtx.hgr,no,0,16,0.03,0.00153707,7.14803,cut,45487,25543,no
PaToH-Q,2cubes_sphere.mtx.hgr,no,1,16,0.03,0.00153707,7.15568,cut,45487,25543,no
PaToH-Q,2cubes_sphere.mtx.hgr,no,2,16,0.03,0.000118236,7.26093,cut,42217,25488,no
PaToH-Q,2cubes_sphere.mtx.hgr,no,3,16,0.03,0.000118236,7.24707,cut,42127,25303,no
PaToH-Q,2cubes_sphere.mtx.hgr,no,4,16,0.03,0.00374414,7.24136,cut,43115,25040,no
PaToH-Q,2cubes_sphere.mtx.hgr,no,5,16,0.03,0.00500532,7.34941,cut,43831,25173,no
PaToH-Q,2cubes_sphere.mtx.hgr,no,6,16,0.03,0.000118236,7.43369,cut,44873,25313,no
PaToH-Q,2cubes_sphere.mtx.hgr,no,7,16,0.03,0.000118236,7.00812,cut,43985,25400,no
PaToH-Q,2cubes_sphere.mtx.hgr,no,8,16,0.03,0.00342884,7.2685,cut,44418,25339,no
PaToH-Q,2cubes_sphere.mtx.hgr,no,9,16,0.03,0.000118236,7.23016,cut,43410,25294,no
PaToH-Q,2cubes_sphere.mtx.hgr,no,0,2,0.03,0.0201395,2.55885,cut,3966,3966,no
PaToH-Q,2cubes_sphere.mtx.hgr,no,1,2,0.03,0.0201395,2.4556,cut,3966,3966,no
PaToH-Q,2cubes_sphere.mtx.hgr,no,2,2,0.03,0.0198045,2.22645,cut,3992,3992,no
PaToH-Q,2cubes_sphere.mtx.hgr,no,3,2,0.03,0.0194301,2.18083,cut,3986,3986,no
PaToH-Q,2cubes_sphere.mtx.hgr,no,4,2,0.03,0.0212628,2.22805,cut,3960,3960,no
PaToH-Q,2cubes_sphere.mtx.hgr,no,5,2,0.03,0.0178142,2.1866,cut,4007,4007,no
PaToH-Q,2cubes_sphere.mtx.hgr,no,6,2,0.03,0.0187995,2.13153,cut,3973,3973,no
PaToH-Q,2cubes_sphere.mtx.hgr,no,7,2,0.03,0.0151539,2.25685,cut,4010,4010,no
PaToH-Q,2cubes_sphere.mtx.hgr,no,8,2,0.03,0.016691,2.21935,cut,3993,3993,no
PaToH-Q,2cubes_sphere.mtx.hgr,no,9,2,0.03,0.0182083,2.42476,cut,4032,4032,no
PaToH-Q,2cubes_sphere.mtx.hgr,no,0,32,0.03,0.00232531,8.46223,cut,64327,33099,no
PaToH-Q,2cubes_sphere.mtx.hgr,no,1,32,0.03,0.00232531,8.34074,cut,64327,33099,no
PaToH-Q,2cubes_sphere.mtx.hgr,no,2,32,0.03,0.00106412,8.57491,cut,65616,33158,no
PaToH-Q,2cubes_sphere.mtx.hgr,no,3,32,0.03,0.00327119,8.63033,cut,65122,33304,no
PaToH-Q,2cubes_sphere.mtx.hgr,no,4,32,0.03,0.000118236,8.47394,cut,63309,33362,no
PaToH-Q,2cubes_sphere.mtx.hgr,no,5,32,0.03,0.00768533,8.90075,cut,62616,33312,no
PaToH-Q,2cubes_sphere.mtx.hgr,no,6,32,0.03,0.000118236,8.42881,cut,66650,33918,no
PaToH-Q,2cubes_sphere.mtx.hgr,no,7,32,0.03,0.000118236,8.65579,cut,67456,33398,no
PaToH-Q,2cubes_sphere.mtx.hgr,no,8,32,0.03,0.00137942,8.4525,cut,65925,33427,no
PaToH-Q,2cubes_sphere.mtx.hgr,no,9,32,0.03,0.000118236,8.19757,cut,65470,33228,no
PaToH-Q,2cubes_sphere.mtx.hgr,no,0,4,0.03,0.00149765,4.11982,cut,11199,10884,no
