algorithm,graph,timeout,seed,k,epsilon,imbalance,totalPartitionTime,objective,km1,cut,failed
PaToH-S,192bit.mtx.hgr,no,0,128,0.03,0.0103786,0.0688732,cut,101054,13674,no
PaToH-S,192bit.mtx.hgr,no,1,128,0.03,0.0103786,0.0746088,cut,101054,13674,no
PaToH-S,192bit.mtx.hgr,no,2,128,0.03,0.0103786,0.0672239,cut,102816,13670,no
PaToH-S,192bit.mtx.hgr,no,3,128,0.03,0.0103786,0.0711971,cut,100291,13672,no
PaToH-S,192bit.mtx.hgr,no,4,128,0.03,0.0103786,0.0693928,cut,98469,13674,no
PaToH-S,192bit.mtx.hgr,no,5,128,0.03,0.0103786,0.0688151,cut,102568,13675,no
PaToH-S,192bit.mtx.hgr,no,6,128,0.03,0.0103786,0.0701869,cut,107248,13669,no
PaToH-S,192bit.mtx.hgr,no,7,128,0.03,0.0103786,0.0667734,cut,104105,13673,no
PaToH-S,192bit.mtx.hgr,no,8,128,0.03,0.0103786,0.0748814,cut,104406,13677,no
PaToH-S,192bit.mtx.hgr,no,9,128,0.03,0.0103786,0.0758263,cut,103301,13676,no
PaToH-S,192bit.mtx.hgr,no,0,16,0.03,0.0150563,0.0676869,cut,59708,13522,no
PaToH-S,192bit.mtx.hgr,no,1,16,0.03,0.0150563,0.0632822,cut,59708,13522,no
PaToH-S,192bit.mtx.hgr,no,2,16,0.03,0.00803976,0.0620419,cut,63235,13533,no
PaToH-S,192bit.mtx.hgr,no,3,16,0.03,0.0173951,0.0632149,cut,58922,13544,no
PaToH-S,192bit.mtx.hgr,no,4,16,0.03,0.0150563,0.0636482,cut,63283,13584,no
PaToH-S,192bit.mtx.hgr,no,5,16,0.03,0.0150563,0.0624152,cut,61584,13554,no
PaToH-S,192bit.mtx.hgr,no,6,16,0.03,0.0150563,0.0647655,cut,61559,13538,no
PaToH-S,192bit.mtx.hgr,no,7,16,0.03,0.011548,0.0622958,cut,60602,13526,no
PaToH-S,192bit.mtx.hgr,no,8,16,0.03,0.0150563,0.0671795,cut,59689,13540,no
PaToH-S,192bit.mtx.hgr,no,9,16,0.03,0.0150563,0.0644551,cut,61239,13541,no
PaToH-S,192bit.mtx.hgr,no,0,2,0.03,0.0299664,0.0508373,cut,10319,10319,no
PaToH-S,192bit.mtx.hgr,no,1,2,0.03,0.0299664,0.050469,cut,10319,10319,no
PaToH-S,192bit.mtx.hgr,no,2,2,0.03,0.0299664,0.0475712,cut,10563,10563,no
PaToH-S,192bit.mtx.hgr,no,3,2,0.03,0.0299664,0.0500908,cut,10460,10460,no
PaToH-S,192bit.mtx.hgr,no,4,2,0.03,0.0299664,0.0486369,cut,10434,10434,no
PaToH-S,192bit.mtx.hgr,no,5,2,0.03,0.0299664,0.0466915,cut,10366,10366,no
PaToH-S,192bit.mtx.hgr,no,6,2,0.03,0.0299664,0.049196,cut,10449,10449,no
PaToH-S,192bit.mtx.hgr,no,7,2,0.03,0.0299664,0.047567,cut,10413,10413,no
PaToH-S,192bit.mtx.hgr,no,8,2,0.03,0.0299664,0.0491381,cut,10436,10436,no
PaToH-S,192bit.mtx.hgr,no,9,2,0.03,0.0299664,0.0525084,cut,10482,10482,no
PaToH-S,192bit.mtx.hgr,no,0,32,0.03,0.0127174,0.0686159,cut,75660,13620,no
PaToH-S,192bit.mtx.hgr,no,1,32,0.03,0.0127174,0.0693211,cut,75660,13620,no
PaToH-S,192bit.mtx.hgr,no,2,32,0.03,0.0127174,0.0636161,cut,76113,13629,no
PaToH-S,192bit.mtx.hgr,no,3,32,0.03,0.0127174,0.0661733,cut,77500,13622,no
PaToH-S,192bit.mtx.hgr,no,4,32,0.03,0.00803976,0.0657189,cut,78041,13630,no
PaToH-S,192bit.mtx.hgr,no,5,32,0.03,0.0127174,0.0689999,cut,77734,13623,no
PaToH-S,192bit.mtx.hgr,no,6,32,0.03,0.00803976,0.0654817,cut,79063,13622,no
PaToH-S,192bit.mtx.hgr,no,7,32,0.03,0.0127174,0.0649374,cut,75265,13616,no
PaToH-S,192bit.mtx.hgr,no,8,32,0.03,0.0127174,0.0659808,cut,76512,13614,no
PaToH-S,192bit.mtx.hgr,no,9,32,0.03,0.00803976,0.0667955,cut,78653,13627,no
PaToH-S,192bit.mtx.hgr,no,0,4,0.03,0.0293817,0.0574397,cut,25974,12564,no
PaToH-S,192bit.mtx.hgr,no,1,4,0.03,0.0293817,0.0566385,cut,25974,12564,no
PaToH-S,192bit.mtx.hgr,no,2,4,0.03,0.0264581,0.0563514,cut,26574,12614,no
PaToH-S,192bit.mtx.hgr,no,3,4,0.03,0.0270428,0.0577919,cut,25592,12566,no
PaToH-S,192bit.mtx.hgr,no,4,4,0.03,0.028797,0.0578985,cut,26686,12627,no
PaToH-S,192bit.mtx.hgr,no,5,4,0.03,0.0293817,0.0564142,cut,25951,12560,no
PaToH-S,192bit.mtx.hgr,no,6,4,0.03,0.0293817,0.0633555,cut,26111,12610,no
PaToH-S,192bit.mtx.hgr,no,7,4,0.03,0.028797,0.0628568,cut,26754,12637,no
PaToH-S,192bit.mtx.hgr,no,8,4,0.03,0.029674,0.0581037,cut,26026,12609,no
PaToH-S,192bit.mtx.hgr,no,9,4,0.03,0.0290893,0.0622238,cut,26221,12631,no
PaToH-S,192bit.mtx.hgr,no,0,64,0.03,0.0103786,0.0708184,cut,89559,13669,no
PaToH-S,192bit.mtx.hgr,no,1,64,0.03,0.0103786,0.0675646,cut,89559,13669,no
PaToH-S,192bit.mtx.hgr,no,2,64,0.03,0.00570092,0.0653841,cut,91459,13659,no
PaToH-S,192bit.mtx.hgr,no,3,64,0.03,0.0103786,0.0685592,cut,89141,13665,no
PaToH-S,192bit.mtx.hgr,no,4,64,0.03,0.0103786,0.0674411,cut,90401,13659,no
PaToH-S,192bit.mtx.hgr,no,5,64,0.03,0.0103786,0.0695371,cut,89038,13673,no
PaToH-S,192bit.mtx.hgr,no,6,64,0.03,0.0103786,0.0678546,cut,89542,13652,no
PaToH-S,192bit.mtx.hgr,no,7,64,0.03,0.0103786,0.067538,cut,88043,13665,no
PaToH-S,192bit.mtx.hgr,no,8,64,0.03,0.0103786,0.0736599,cut,88660,13662,no
PaToH-S,192bit.mtx.hgr,no,9,64,0.03,0.0103786,0.0684278,cut,90413,13666,no
PaToH-S,192bit.mtx.hgr,no,0,8,0.03,0.019734,0.0607838,cut,43296,13292,no
PaToH-S,192bit.mtx.hgr,no,1,8,0.03,0.019734,0.0608932,cut,43296,13292,no
PaToH-S,192bit.mtx.hgr,no,2,8,0.03,0.0273352,0.0603526,cut,44787,13281,no
PaToH-S,192bit.mtx.hgr,no,3,8,0.03,0.0179798,0.0613714,cut,44690,13336,no
PaToH-S,192bit.mtx.hgr,no,4,8,0.03,0.00979389,0.0659762,cut,44680,13327,no
PaToH-S,192bit.mtx.hgr,no,5,8,0.03,0.00979389,0.0616769,cut,44941,13327,no
PaToH-S,192bit.mtx.hgr,no,6,8,0.03,0.0285046,0.0617497,cut,42591,13285,no
PaToH-S,192bit.mtx.hgr,no,7,8,0.03,0.019734,0.0609093,cut,43987,13281,no
PaToH-S,192bit.mtx.hgr,no,8,8,0.03,0.0191492,0.0626738,cut,44927,13319,no
