algorithm,graph,timeout,interrupted,seed,k,epsilon,imbalance,totalPartitionTime,objective,km1,cut,failed
rKaHyPar,192bit.mtx.hgr,no,no,0,128,0.03,0.0186916,8.71461,cut,98582,13676,no
rKaHyPar,192bit.mtx.hgr,no,no,1,128,0.03,0.00934579,8.61838,cut,99568,13673,no
rKaHyPar,192bit.mtx.hgr,no,no,2,128,0.03,0.0280374,8.68242,cut,96410,13674,no
rKaHyPar,192bit.mtx.hgr,no,no,3,128,0.03,0.0186916,8.54698,cut,95691,13672,no
rKaHyPar,192bit.mtx.hgr,no,no,5,128,0.03,0.00934579,8.73434,cut,98983,13673,no
rKaHyPar,192bit.mtx.hgr,no,no,6,128,0.03,0.0186916,11.3238,cut,103211,13674,no
rKaHyPar,192bit.mtx.hgr,no,no,7,128,0.03,0.0186916,8.67359,cut,99180,13675,no
rKaHyPar,192bit.mtx.hgr,no,no,8,128,0.03,0.0186916,9.07806,cut,101391,13674,no
rKaHyPar,192bit.mtx.hgr,no,no,9,128,0.03,0.0280374,8.88969,cut,104703,13671,no
rKaHyPar,192bit.mtx.hgr,no,no,0,16,0.03,0.0280374,10.1283,cut,55054,13476,no
rKaHyPar,192bit.mtx.hgr,no,no,1,16,0.03,0.0292056,6.90804,cut,55418,13481,no
rKaHyPar,192bit.mtx.hgr,no,no,2,16,0.03,0.0292056,7.05347,cut,55836,13471,no
rKaHyPar,192bit.mtx.hgr,no,no,3,16,0.03,0.0280374,9.71148,cut,55820,13490,no
rKaHyPar,192bit.mtx.hgr,no,no,4,16,0.03,0.0245327,9.96901,cut,55792,13482,no
rKaHyPar,192bit.mtx.hgr,no,no,5,16,0.03,0.0268692,10.0025,cut,55701,13473,no
rKaHyPar,192bit.mtx.hgr,no,no,6,16,0.03,0.0257009,9.45476,cut,56177,13472,no
rKaHyPar,192bit.mtx.hgr,no,no,7,16,0.03,0.0268692,9.99975,cut,56039,13484,no
rKaHyPar,192bit.mtx.hgr,no,no,8,16,0.03,0.0292056,7.00949,cut,55471,13478,no
rKaHyPar,192bit.mtx.hgr,no,no,9,16,0.03,0.0292056,6.99885,cut,55986,13484,no
rKaHyPar,192bit.mtx.hgr,no,no,0,2,0.03,0.0299664,20.7389,cut,9020,9020,no
rKaHyPar,192bit.mtx.hgr,no,no,1,2,0.03,0.0299664,15.7062,cut,9134,9134,no
rKaHyPar,192bit.mtx.hgr,no,no,2,2,0.03,0.0299664,20.5976,cut,9030,9030,no
rKaHyPar,192bit.mtx.hgr,no,no,3,2,0.03,0.0299664,15.3962,cut,9083,9083,no
rKaHyPar,192bit.mtx.hgr,no,no,4,2,0.03,0.0299664,22.6112,cut,9081,9081,no
rKaHyPar,192bit.mtx.hgr,no,no,5,2,0.03,0.0299664,26.1987,cut,9004,9004,no
rKaHyPar,192bit.mtx.hgr,no,no,6,2,0.03,0.0299664,15.8927,cut,9024,9024,no
rKaHyPar,192bit.mtx.hgr,no,no,7,2,0.03,0.0299664,21.4932,cut,9112,9112,no
rKaHyPar,192bit.mtx.hgr,no,no,8,2,0.03,0.0299664,24.9935,cut,9081,9081,no
rKaHyPar,192bit.mtx.hgr,no,no,9,2,0.03,0.0299664,15.8518,cut,9110,9110,no
rKaHyPar,192bit.mtx.hgr,no,no,0,32,0.03,0.0257009,6.812,cut,70958,13615,no
rKaHyPar,192bit.mtx.hgr,no,no,1,32,0.03,0.021028,6.94436,cut,72866,13616,no
rKaHyPar,192bit.mtx.hgr,no,no,2,32,0.03,0.021028,7.09189,cut,71474,13608,no
rKaHyPar,192bit.mtx.hgr,no,no,3,32,0.03,0.021028,6.80275,cut,71366,13608,no
rKaHyPar,192bit.mtx.hgr,no,no,4,32,0.03,0.0257009,9.8136,cut,74215,13606,no
rKaHyPar,192bit.mtx.hgr,no,no,5,32,0.03,0.021028,10.0196,cut,71359,13614,no
rKaHyPar,192bit.mtx.hgr,no,no,6,32,0.03,0.0233645,6.85051,cut,71289,13614,no
rKaHyPar,192bit.mtx.hgr,no,no,7,32,0.03,0.021028,6.98611,cut,72090,13610,no
rKaHyPar,192bit.mtx.hgr,no,no,8,32,0.03,0.0233645,9.85498,cut,71881,13609,no
