algorithm,graph,timeout,seed,k,epsilon,imbalance,totalPartitionTime,objective,km1,cut,failed
Zoltan-AlgD,192bit.mtx.hgr,no,0,128,0.03,0.028999999999999915,6.71,cut,97859,13663,no
Zoltan-AlgD,192bit.mtx.hgr,no,1,128,0.03,0.028999999999999915,6.64,cut,94682,13676,no
Zoltan-AlgD,192bit.mtx.hgr,no,2,128,0.03,0.028999999999999915,6.85,cut,97811,13668,no
Zoltan-AlgD,192bit.mtx.hgr,no,3,128,0.03,0.028999999999999915,6.6,cut,94888,13674,no
Zoltan-AlgD,192bit.mtx.hgr,no,4,128,0.03,0.028999999999999915,7.17,cut,94195,13675,no
Zoltan-AlgD,192bit.mtx.hgr,no,5,128,0.03,0.028999999999999915,6.53,cut,95131,13676,no
Zoltan-AlgD,192bit.mtx.hgr,no,6,128,0.03,0.028999999999999915,6.6,cut,94341,13670,no
Zoltan-AlgD,192bit.mtx.hgr,no,7,128,0.03,0.028999999999999915,6.71,cut,95740,13670,no
Zoltan-AlgD,192bit.mtx.hgr,no,8,128,0.03,0.028999999999999915,6.75,cut,96051,13669,no
Zoltan-AlgD,192bit.mtx.hgr,no,9,128,0.03,0.028999999999999915,6.1,cut,95020,13674,no
Zoltan-AlgD,192bit.mtx.hgr,no,0,16,0.03,0.028999999999999915,4.98,cut,53553,13590,no
Zoltan-AlgD,192bit.mtx.hgr,no,1,16,0.03,0.028000000000000025,5.42,cut,54459,13534,no
Zoltan-AlgD,192bit.mtx.hgr,no,2,16,0.03,0.028999999999999915,5.18,cut,54562,13550,no
Zoltan-AlgD,192bit.mtx.hgr,no,3,16,0.03,0.028999999999999915,5.41,cut,53244,13624,no
Zoltan-AlgD,192bit.mtx.hgr,no,4,16,0.03,0.028999999999999915,5.34,cut,57068,13649,no
Zoltan-AlgD,192bit.mtx.hgr,no,5,16,0.03,0.028999999999999915,4.77,cut,53225,13633,no
Zoltan-AlgD,192bit.mtx.hgr,no,6,16,0.03,0.028999999999999915,5.04,cut,53345,13511,no
Zoltan-AlgD,192bit.mtx.hgr,no,7,16,0.03,0.028999999999999915,5.29,cut,54186,13533,no
Zoltan-AlgD,192bit.mtx.hgr,no,8,16,0.03,0.028999999999999915,5.67,cut,54277,13528,no
Zoltan-AlgD,192bit.mtx.hgr,no,9,16,0.03,0.028999999999999915,5.77,cut,54279,13539,no
Zoltan-AlgD,192bit.mtx.hgr,no,0,2,0.03,0.03,3.15,cut,7617,7617,no
Zoltan-AlgD,192bit.mtx.hgr,no,1,2,0.03,0.03,3.47,cut,7638,7638,no
Zoltan-AlgD,192bit.mtx.hgr,no,2,2,0.03,0.03,3.63,cut,7656,7656,no
Zoltan-AlgD,192bit.mtx.hgr,no,3,2,0.03,0.03,3.68,cut,7600,7600,no
Zoltan-AlgD,192bit.mtx.hgr,no,4,2,0.03,0.03,3.43,cut,7633,7633,no
Zoltan-AlgD,192bit.mtx.hgr,no,5,2,0.03,0.03,3.23,cut,7615,7615,no
Zoltan-AlgD,192bit.mtx.hgr,no,6,2,0.03,0.03,3.57,cut,7649,7649,no
Zoltan-AlgD,192bit.mtx.hgr,no,7,2,0.03,0.03,3.51,cut,7619,7619,no
Zoltan-AlgD,192bit.mtx.hgr,no,8,2,0.03,0.03,3.61,cut,7624,7624,no
Zoltan-AlgD,192bit.mtx.hgr,no,9,2,0.03,0.03,3.16,cut,7623,7623,no
Zoltan-AlgD,192bit.mtx.hgr,no,0,32,0.03,0.028999999999999915,6.03,cut,70160,13620,no
Zoltan-AlgD,192bit.mtx.hgr,no,1,32,0.03,0.028999999999999915,6.12,cut,68113,13636,no
Zoltan-AlgD,192bit.mtx.hgr,no,2,32,0.03,0.028999999999999915,5.93,cut,72900,13653,no
Zoltan-AlgD,192bit.mtx.hgr,no,3,32,0.03,0.028999999999999915,6.01,cut,71096,13626,no
Zoltan-AlgD,192bit.mtx.hgr,no,4,32,0.03,0.028999999999999915,5.73,cut,68022,13657,no
Zoltan-AlgD,192bit.mtx.hgr,no,5,32,0.03,0.028999999999999915,5.73,cut,71385,13631,no
Zoltan-AlgD,192bit.mtx.hgr,no,6,32,0.03,0.028999999999999915,6.48,cut,67560,13662,no
Zoltan-AlgD,192bit.mtx.hgr,no,7,32,0.03,0.028999999999999915,5.9,cut,68227,13656,no
Zoltan-AlgD,192bit.mtx.hgr,no,8,32,0.03,0.028999999999999915,6.5,cut,67770,13649,no
Zoltan-AlgD,192bit.mtx.hgr,no,9,32,0.03,0.028999999999999915,6.04,cut,69539,13625,no
Zoltan-AlgD,192bit.mtx.hgr,no,0,4,0.03,0.03,4.54,cut,20652,11652,no
