algorithm,graph,timeout,seed,k,epsilon,imbalance,totalPartitionTime,objective,km1,cut,failed
hMetis-K,144.hgr,no,1,2,0.03,0.00886825503493,246.37,km1,1624,1624,no
hMetis-K,144.hgr,no,2,2,0.03,0.0185481303879,234.247,km1,1631,1631,no
hMetis-K,144.hgr,no,3,2,0.03,0.00812551075304,244.514,km1,1618,1618,no
hMetis-K,144.hgr,no,4,2,0.03,0.00732878255091,253.047,km1,1619,1619,no
hMetis-K,144.hgr,no,5,2,0.03,0.0139930044285,249.765,km1,1628,1628,no
hMetis-K,144.hgr,no,1,4,0.03,0.00334327380221,256.208,km1,4031,3986,no
hMetis-K,144.hgr,no,2,4,0.03,0.00483620564485,251.737,km1,4027,3983,no
hMetis-K,144.hgr,no,3,4,0.03,0.00775877795524,251.555,km1,4056,4008,no
hMetis-K,144.hgr,no,4,4,0.03,0.00663814831775,256.287,km1,3984,3947,no
hMetis-K,144.hgr,no,5,4,0.03,0.008682087424,252.569,km1,4063,4020,no
hMetis-K,144.hgr,no,1,8,0.03,0.00770662695458,259.92,km1,6585,6420,no
hMetis-K,144.hgr,no,2,8,0.03,0.0095234549516,253.849,km1,6617,6458,no
hMetis-K,144.hgr,no,3,8,0.03,0.00655249441549,259.255,km1,6659,6507,no
hMetis-K,144.hgr,no,4,8,0.03,0.00965748324646,257.241,km1,6609,6452,no
hMetis-K,144.hgr,no,5,8,0.03,0.00758749069248,260.252,km1,6661,6501,no
hMetis-K,144.hgr,no,1,16,0.03,0.00689501116902,266.407,km1,10070,9728,no
hMetis-K,144.hgr,no,2,16,0.03,0.00306775874907,263.591,km1,9928,9626,no
hMetis-K,144.hgr,no,3,16,0.03,0.00562918838421,263.421,km1,10060,9722,no
hMetis-K,144.hgr,no,4,16,0.03,0.00860759493671,264.261,km1,9998,9673,no
hMetis-K,144.hgr,no,5,16,0.03,0.00510796723753,264.715,km1,9971,9640,no
hMetis-K,144.hgr,no,1,32,0.03,0.00303797468354,286.164,km1,14831,14217,no
hMetis-K,144.hgr,no,2,32,0.03,0.00601638123604,283.493,km1,14889,14266,no
hMetis-K,144.hgr,no,3,32,0.03,0.0112583767684,285.192,km1,14689,14074,no
hMetis-K,144.hgr,no,4,32,0.03,0.000416976917349,287.353,km1,14696,14053,no
hMetis-K,144.hgr,no,5,32,0.03,0.00893521965748,282.409,km1,14728,14105,no
hMetis-K,144.hgr,no,1,64,0.03,0.00941148439361,317.821,km1,20958,19765,no
hMetis-K,144.hgr,no,2,64,0.03,0.000774362639981,313.001,km1,21010,19823,no
hMetis-K,144.hgr,no,3,64,0.03,0.00720752918751,312.986,km1,20796,19676,no
hMetis-K,144.hgr,no,4,64,0.03,0.00905408625208,312.416,km1,20859,19692,no
hMetis-K,144.hgr,no,5,64,0.03,0.00702883011675,314.136,km1,20785,19633,no
hMetis-K,144.hgr,no,1,128,0.03,0.00131045985228,369.527,km1,28448,26453,no
hMetis-K,144.hgr,no,2,128,0.03,0.00107219442459,370.638,km1,28327,26378,no
hMetis-K,144.hgr,no,3,128,0.03,0.000595663569216,367.302,km1,28479,26462,no
hMetis-K,144.hgr,no,4,128,0.03,0.000119132713843,372.959,km1,28437,26424,no
hMetis-K,144.hgr,no,5,128,0.03,0.00500357398142,366.982,km1,28574,26565,no
hMetis-K,3elt.hgr,no,1,2,0.03,0.0053927998834,0.277,km1,46,46,no
hMetis-K,3elt.hgr,no,2,2,0.03,0.0002915026964,0.273,km1,47,47,no
hMetis-K,3elt.hgr,no,3,2,0.03,0.0016032648302,0.276,km1,47,47,no
hMetis-K,3elt.hgr,no,4,2,0.03,0.0033522810086,0.295,km1,46,46,no
hMetis-K,3elt.hgr,no,5,2,0.03,0.0151581402128,0.271,km1,46,46,no
hMetis-K,3elt.hgr,no,1,4,0.03,0.00728650539201,0.463,km1,104,103,no
hMetis-K,3elt.hgr,no,2,4,0.03,0.0160303118624,0.379,km1,105,104,no
hMetis-K,3elt.hgr,no,3,4,0.03,0.000582920431361,0.386,km1,105,104,no
hMetis-K,3elt.hgr,no,4,4,0.03,0.0116584086272,0.413,km1,104,103,no
hMetis-K,3elt.hgr,no,5,4,0.03,0.00233168172544,0.41,km1,105,105,no
hMetis-K,3elt.hgr,no,1,8,0.03,0.00174825174825,0.75,km1,180,179,no
hMetis-K,3elt.hgr,no,2,8,0.03,0.0128205128205,0.685,km1,184,182,no
hMetis-K,3elt.hgr,no,3,8,0.03,0.0034965034965,0.756,km1,181,178,no
hMetis-K,3elt.hgr,no,4,8,0.03,0.00524475524476,0.775,km1,182,180,no
hMetis-K,3elt.hgr,no,5,8,0.03,0.00291375291375,0.834,km1,179,177,no
hMetis-K,3elt.hgr,no,1,16,0.03,0.0221445221445,1.574,km1,303,298,no
hMetis-K,3elt.hgr,no,2,16,0.03,0.00582750582751,1.633,km1,295,289,no
hMetis-K,3elt.hgr,no,3,16,0.03,0.004662004662,1.665,km1,302,296,no
hMetis-K,3elt.hgr,no,4,16,0.03,0.00932400932401,1.588,km1,293,290,no
hMetis-K,3elt.hgr,no,5,16,0.03,0.020979020979,1.515,km1,308,304,no
hMetis-K,3elt.hgr,no,1,32,0.03,0.013986013986,3.323,km1,528,514,no
hMetis-K,3elt.hgr,no,2,32,0.03,0.00932400932401,3.282,km1,515,502,no
hMetis-K,3elt.hgr,no,3,32,0.03,0.018648018648,3.287,km1,524,514,no
hMetis-K,3elt.hgr,no,4,32,0.03,0.020979020979,3.318,km1,526,513,no
hMetis-K,3elt.hgr,no,5,32,0.03,0.027972027972,3.342,km1,526,520,no
hMetis-K,3elt.hgr,no,1,64,0.03,0.0232558139535,6.597,km1,849,824,no
hMetis-K,3elt.hgr,no,2,64,0.03,0.0232558139535,6.412,km1,848,822,no
hMetis-K,3elt.hgr,no,3,64,0.03,0.0232558139535,6.529,km1,846,822,no
hMetis-K,3elt.hgr,no,4,64,0.03,0.0232558139535,6.563,km1,842,817,no
hMetis-K,3elt.hgr,no,5,64,0.03,0.0232558139535,6.595,km1,832,804,no
hMetis-K,3elt.hgr,no,1,128,0.03,0.0185185185185,10.402,km1,1289,1230,no
hMetis-K,3elt.hgr,no,2,128,0.03,0.0185185185185,10.325,km1,1291,1228,no
hMetis-K,3elt.hgr,no,3,128,0.03,0.0185185185185,10.431,km1,1297,1227,no
hMetis-K,3elt.hgr,no,4,128,0.03,0.0185185185185,10.363,km1,1290,1220,no
hMetis-K,3elt.hgr,no,5,128,0.03,0.0185185185185,10.282,km1,1288,1231,no
hMetis-K,4elt.hgr,no,1,2,0.03,0,1.243,km1,70,70,no
hMetis-K,4elt.hgr,no,2,2,0.03,0.00283360216226,1.156,km1,70,70,no
hMetis-K,4elt.hgr,no,3,2,0.03,0.0231919438511,1.092,km1,73,73,no
hMetis-K,4elt.hgr,no,4,2,0.03,0.0127294127904,1.351,km1,70,70,no
hMetis-K,4elt.hgr,no,5,2,0.03,0.004054230786,1.233,km1,70,70,no
hMetis-K,4elt.hgr,no,1,4,0.03,0.00514385353095,1.559,km1,167,167,no
hMetis-K,4elt.hgr,no,2,4,0.03,0.00331299040976,1.753,km1,169,169,no
hMetis-K,4elt.hgr,no,3,4,0.03,0.00287707061901,1.82,km1,168,168,no
