algorithm,graph,timeout,seed,k,epsilon,imbalance,totalPartitionTime,objective,km1,cut,failed
Mondriaan,144.hgr,no,1,2,0.03,0.0205586,5.66352009773,km1,1880,1880,no
Mondriaan,144.hgr,no,2,2,0.03,0.0298289,8.87332391739,km1,1853,1853,no
Mondriaan,144.hgr,no,3,2,0.03,0.00515826,5.77489495277,km1,1882,1882,no
Mondriaan,144.hgr,no,4,2,0.03,0.0147767,8.6948621273,km1,2020,2020,no
Mondriaan,144.hgr,no,5,2,0.03,0.0194249,5.69821000099,km1,1903,1903,no
Mondriaan,144.hgr,no,1,4,0.03,0.0226285,12.6980979443,km1,4920,4841,no
Mondriaan,144.hgr,no,2,4,0.03,0.0296688,8.6964609623,km1,4922,4842,no
Mondriaan,144.hgr,no,3,4,0.03,0.0147394,12.8129270077,km1,4867,4794,no
Mondriaan,144.hgr,no,4,4,0.03,0.0293598,9.29306292534,km1,4873,4801,no
Mondriaan,144.hgr,no,5,4,0.03,0.0274387,12.795404911,km1,4867,4791,no
Mondriaan,144.hgr,no,1,8,0.03,0.0296724,11.4784440994,km1,8073,7810,no
Mondriaan,144.hgr,no,2,8,0.03,0.0298883,16.9977760315,km1,7938,7674,no
Mondriaan,144.hgr,no,3,8,0.03,0.0290395,11.8319559097,km1,7973,7727,no
Mondriaan,144.hgr,no,4,8,0.03,0.0299404,16.8714568615,km1,7937,7674,no
Mondriaan,144.hgr,no,5,8,0.03,0.0291288,16.9279849529,km1,8023,7768,no
Mondriaan,144.hgr,no,1,16,0.03,0.0293373,14.073513031,km1,11905,11357,no
Mondriaan,144.hgr,no,2,16,0.03,0.0299628,13.9080471992,km1,11949,11428,no
Mondriaan,144.hgr,no,3,16,0.03,0.02965,20.0715239048,km1,12195,11662,no
Mondriaan,144.hgr,no,4,16,0.03,0.029799,13.93343997,km1,12125,11573,no
Mondriaan,144.hgr,no,5,16,0.03,0.0299628,20.2159562111,km1,12005,11478,no
Mondriaan,144.hgr,no,1,32,0.03,0.0283842,16.1126639843,km1,17769,16779,no
Mondriaan,144.hgr,no,2,32,0.03,0.0297543,23.4232161045,km1,17987,16920,no
