algorithm,graph,timeout,seed,k,epsilon,imbalance,totalPartitionTime,objective,km1,cut,failed
PaToH-D,144.hgr,no,1,2,0.03,0.0101862072945,1.169,km1,1692,1692,no
PaToH-D,144.hgr,no,2,2,0.03,0,1.183,km1,1836,1836,no
PaToH-D,144.hgr,no,3,2,0.03,0.00309383708397,1.162,km1,1678,1678,no
PaToH-D,144.hgr,no,4,2,0.03,0.0098418271137,1.178,km1,1698,1698,no
PaToH-D,144.hgr,no,5,2,0.03,0.00731761346396,1.171,km1,1700,1700,no
PaToH-D,144.hgr,no,1,4,0.03,0,2.034,km1,4569,4569,no
PaToH-D,144.hgr,no,2,4,0.03,3.72302205154e-06,2.05,km1,4591,4591,no
PaToH-D,144.hgr,no,3,4,0.03,0.00314967665553,2.029,km1,4415,4415,no
PaToH-D,144.hgr,no,4,4,0.03,0,2.021,km1,4530,4530,no
PaToH-D,144.hgr,no,5,4,0.03,3.72302205154e-06,2.047,km1,4689,4689,no
PaToH-D,144.hgr,no,1,8,0.03,7.44601638125e-06,2.782,km1,8299,8299,no
PaToH-D,144.hgr,no,2,8,0.03,7.44601638125e-06,2.748,km1,7621,7621,no
PaToH-D,144.hgr,no,3,8,0.03,7.44601638125e-06,2.756,km1,7647,7647,no
PaToH-D,144.hgr,no,4,8,0.03,0.00466865227104,2.771,km1,8003,8003,no
PaToH-D,144.hgr,no,5,8,0.03,0,2.768,km1,7953,7953,no
PaToH-D,144.hgr,no,1,16,0.03,0.0016679076694,3.4,km1,12187,12187,no
PaToH-D,144.hgr,no,2,16,0.03,0,3.431,km1,12019,12019,no
PaToH-D,144.hgr,no,3,16,0.03,1.48920327625e-05,3.39,km1,11744,11744,no
PaToH-D,144.hgr,no,4,16,0.03,1.48920327625e-05,3.42,km1,12143,12143,no
PaToH-D,144.hgr,no,5,16,0.03,1.48920327625e-05,3.389,km1,12143,12143,no
PaToH-D,144.hgr,no,1,32,0.03,5.95681310498e-05,4.015,km1,18012,18012,no
PaToH-D,144.hgr,no,2,32,0.03,2.9784065525e-05,3.998,km1,17949,17949,no
PaToH-D,144.hgr,no,3,32,0.03,2.9784065525e-05,4.003,km1,18123,18123,no
PaToH-D,144.hgr,no,4,32,0.03,2.9784065525e-05,3.965,km1,18121,18121,no
PaToH-D,144.hgr,no,5,32,0.03,2.9784065525e-05,4.025,km1,18157,18157,no
PaToH-D,144.hgr,no,1,64,0.03,5.95663569216e-05,4.563,km1,26054,26054,no
PaToH-D,144.hgr,no,2,64,0.03,5.95663569216e-05,4.587,km1,26240,26240,no
PaToH-D,144.hgr,no,3,64,0.03,5.95663569216e-05,4.567,km1,25593,25593,no
PaToH-D,144.hgr,no,4,64,0.03,0.000119132713843,4.609,km1,25772,25772,no
PaToH-D,144.hgr,no,5,64,0.03,0.00184655706457,4.593,km1,25903,25903,no
PaToH-D,144.hgr,no,1,128,0.03,0.000238265427686,5.231,km1,35482,35482,no
PaToH-D,144.hgr,no,2,128,0.03,0.000238265427686,5.188,km1,35316,35316,no
PaToH-D,144.hgr,no,3,128,0.03,0.000119132713843,5.21,km1,35751,35751,no
PaToH-D,144.hgr,no,4,128,0.03,0.000119132713843,5.16,km1,35902,35902,no
PaToH-D,144.hgr,no,5,128,0.03,0.000238265427686,5.158,km1,35872,35872,no
PaToH-D,3elt.hgr,no,1,2,0.03,0,0.007,km1,53,53,no
PaToH-D,3elt.hgr,no,2,2,0.03,0,0.006,km1,46,46,no
PaToH-D,3elt.hgr,no,3,2,0.03,0,0.007,km1,45,45,no
PaToH-D,3elt.hgr,no,4,2,0.03,0,0.007,km1,45,45,no
PaToH-D,3elt.hgr,no,5,2,0.03,0,0.007,km1,63,63,no
PaToH-D,3elt.hgr,no,1,4,0.03,0,0.012,km1,126,126,no
PaToH-D,3elt.hgr,no,2,4,0.03,0.00786942582338,0.011,km1,114,114,no
PaToH-D,3elt.hgr,no,3,4,0.03,0,0.012,km1,113,113,no
PaToH-D,3elt.hgr,no,4,4,0.03,0.0102011075488,0.011,km1,104,104,no
PaToH-D,3elt.hgr,no,5,4,0.03,0,0.011,km1,109,109,no
PaToH-D,3elt.hgr,no,1,8,0.03,0.00582750582751,0.018,km1,217,217,no
PaToH-D,3elt.hgr,no,2,8,0.03,0,0.018,km1,207,207,no
PaToH-D,3elt.hgr,no,3,8,0.03,0,0.018,km1,190,190,no
PaToH-D,3elt.hgr,no,4,8,0.03,0,0.018,km1,219,219,no
PaToH-D,3elt.hgr,no,5,8,0.03,0,0.019,km1,194,194,no
PaToH-D,3elt.hgr,no,1,16,0.03,0,0.026,km1,358,358,no
PaToH-D,3elt.hgr,no,2,16,0.03,0,0.026,km1,332,332,no
PaToH-D,3elt.hgr,no,3,16,0.03,0,0.027,km1,346,346,no
PaToH-D,3elt.hgr,no,4,16,0.03,0,0.026,km1,348,348,no
PaToH-D,3elt.hgr,no,5,16,0.03,0,0.026,km1,336,336,no
PaToH-D,3elt.hgr,no,1,32,0.03,0,0.037,km1,560,560,no
PaToH-D,3elt.hgr,no,2,32,0.03,0.002331002331,0.037,km1,561,561,no
PaToH-D,3elt.hgr,no,3,32,0.03,0,0.037,km1,553,553,no
PaToH-D,3elt.hgr,no,4,32,0.03,0,0.038,km1,558,558,no
PaToH-D,3elt.hgr,no,5,32,0.03,0.004662004662,0.037,km1,557,557,no
PaToH-D,3elt.hgr,no,1,64,0.03,0,0.05,km1,917,917,no
PaToH-D,3elt.hgr,no,2,64,0.03,0,0.051,km1,899,899,no
PaToH-D,3elt.hgr,no,3,64,0.03,0,0.054,km1,919,919,no
PaToH-D,3elt.hgr,no,4,64,0.03,0,0.053,km1,926,926,no
PaToH-D,3elt.hgr,no,5,64,0.03,0.0046511627907,0.05,km1,925,925,no
PaToH-D,3elt.hgr,no,1,128,0.03,0,0.067,km1,1424,1424,no
PaToH-D,3elt.hgr,no,2,128,0.03,0,0.069,km1,1442,1442,no
PaToH-D,3elt.hgr,no,3,128,0.03,0,0.069,km1,1435,1435,no
PaToH-D,3elt.hgr,no,4,128,0.03,0,0.069,km1,1454,1454,no
PaToH-D,3elt.hgr,no,5,128,0.03,0,0.068,km1,1439,1439,no
PaToH-D,4elt.hgr,no,1,2,0.03,0,0.017,km1,96,96,no
