algorithm,graph,timeout,seed,k,epsilon,imbalance,totalPartitionTime,objective,km1,cut,failed
PaToH-S,144.hgr,no,1,2,0.03,0.0118206170176,1.259,km1,1701,1701,no
PaToH-S,144.hgr,no,2,2,0.03,0.00943973998366,1.201,km1,1701,1701,no
PaToH-S,144.hgr,no,3,2,0.03,0,1.192,km1,1710,1710,no
PaToH-S,144.hgr,no,4,2,0.03,0.00782952994898,1.193,km1,1667,1667,no
PaToH-S,144.hgr,no,5,2,0.03,0.0185816376488,1.193,km1,1630,1630,no
PaToH-S,144.hgr,no,1,4,0.03,0,2.095,km1,4910,4910,no
PaToH-S,144.hgr,no,2,4,0.03,0,2.102,km1,4577,4577,no
PaToH-S,144.hgr,no,3,4,0.03,0,2.093,km1,4813,4813,no
PaToH-S,144.hgr,no,4,4,0.03,0,2.112,km1,4952,4952,no
PaToH-S,144.hgr,no,5,4,0.03,0.00235294993652,2.087,km1,4731,4731,no
PaToH-S,144.hgr,no,1,8,0.03,0,2.868,km1,8150,8150,no
PaToH-S,144.hgr,no,2,8,0.03,0,2.833,km1,8093,8093,no
PaToH-S,144.hgr,no,3,8,0.03,0,2.857,km1,8260,8260,no
PaToH-S,144.hgr,no,4,8,0.03,0,2.829,km1,8005,8005,no
PaToH-S,144.hgr,no,5,8,0.03,0,2.903,km1,8244,8244,no
PaToH-S,144.hgr,no,1,16,0.03,0,3.518,km1,11990,11990,no
PaToH-S,144.hgr,no,2,16,0.03,0,3.543,km1,12401,12401,no
PaToH-S,144.hgr,no,3,16,0.03,0,3.491,km1,12131,12131,no
PaToH-S,144.hgr,no,4,16,0.03,0,3.536,km1,12243,12243,no
PaToH-S,144.hgr,no,5,16,0.03,0,3.544,km1,12025,12025,no
PaToH-S,144.hgr,no,1,32,0.03,0,4.138,km1,18810,18810,no
PaToH-S,144.hgr,no,2,32,0.03,0,4.114,km1,18471,18471,no
PaToH-S,144.hgr,no,3,32,0.03,0,4.126,km1,18138,18138,no
PaToH-S,144.hgr,no,4,32,0.03,0,4.104,km1,18863,18863,no
PaToH-S,144.hgr,no,5,32,0.03,0,4.121,km1,18443,18443,no
PaToH-S,144.hgr,no,1,64,0.03,0,4.676,km1,26293,26293,no
PaToH-S,144.hgr,no,2,64,0.03,0,4.693,km1,26218,26218,no
PaToH-S,144.hgr,no,3,64,0.03,0,4.669,km1,25945,25945,no
PaToH-S,144.hgr,no,4,64,0.03,0,4.65,km1,26202,26202,no
PaToH-S,144.hgr,no,5,64,0.03,0,4.676,km1,26381,26381,no
PaToH-S,144.hgr,no,1,128,0.03,0,5.212,km1,36118,36118,no
PaToH-S,144.hgr,no,2,128,0.03,0,5.2,km1,36430,36430,no
PaToH-S,144.hgr,no,3,128,0.03,0,5.176,km1,36377,36377,no
PaToH-S,144.hgr,no,4,128,0.03,0,5.182,km1,35916,35916,no
PaToH-S,144.hgr,no,5,128,0.03,0,5.244,km1,36448,36448,no
