algorithm,graph,timeout,seed,k,epsilon,imbalance,totalPartitionTime,objective,km1,cut,failed
KaHyPar-R,144.hgr,no,1,2,0.03,0.00971152,49.707,km1,1522,1522,no
KaHyPar-R,144.hgr,no,2,2,0.03,0.0293617,56.0189,km1,1521,1521,no
KaHyPar-R,144.hgr,no,3,2,0.03,0.0293617,56.36,km1,1521,1521,no
KaHyPar-R,144.hgr,no,4,2,0.03,0.00971152,51.9487,km1,1522,1522,no
KaHyPar-R,144.hgr,no,5,2,0.03,0.0293617,51.5558,km1,1521,1521,no
KaHyPar-R,144.hgr,no,1,4,0.03,0.0298475,69.3796,km1,3895,3847,no
KaHyPar-R,144.hgr,no,2,4,0.03,0.0292741,68.8149,km1,3863,3818,no
KaHyPar-R,144.hgr,no,3,4,0.03,0.0285965,75.3682,km1,3860,3814,no
KaHyPar-R,144.hgr,no,4,4,0.03,0.0298475,70.8282,km1,3870,3823,no
KaHyPar-R,144.hgr,no,5,4,0.03,0.0299741,71.7115,km1,3905,3856,no
KaHyPar-R,144.hgr,no,1,8,0.03,0.0293224,90.1753,km1,6455,6292,no
KaHyPar-R,144.hgr,no,2,8,0.03,0.0297319,86.0329,km1,6491,6312,no
KaHyPar-R,144.hgr,no,3,8,0.03,0.0299851,102.083,km1,6469,6271,no
KaHyPar-R,144.hgr,no,4,8,0.03,0.0286001,87.2529,km1,6427,6261,no
KaHyPar-R,144.hgr,no,5,8,0.03,0.0294192,102.29,km1,6524,6331,no
KaHyPar-R,144.hgr,no,1,16,0.03,0.0299479,82.1241,km1,9707,9330,no
KaHyPar-R,144.hgr,no,2,16,0.03,0.0297841,104.461,km1,9963,9614,no
KaHyPar-R,144.hgr,no,3,16,0.03,0.0295756,90.7009,km1,10049,9695,no
KaHyPar-R,144.hgr,no,4,16,0.03,0.029799,90.3407,km1,9920,9549,no
KaHyPar-R,144.hgr,no,5,16,0.03,0.028831,101.239,km1,10011,9613,no
KaHyPar-R,144.hgr,no,1,32,0.03,0.0296947,97.6029,km1,14772,14047,no
KaHyPar-R,144.hgr,no,2,32,0.03,0.0299926,100.519,km1,14717,13998,no
KaHyPar-R,144.hgr,no,3,32,0.03,0.0298734,101.556,km1,14744,14050,no
KaHyPar-R,144.hgr,no,4,32,0.03,0.0298436,96.8186,km1,14621,13988,no
KaHyPar-R,144.hgr,no,5,32,0.03,0.0296054,93.7256,km1,14542,13832,no
KaHyPar-R,144.hgr,no,1,64,0.03,0.0295449,103.547,km1,20818,19611,no
KaHyPar-R,144.hgr,no,2,64,0.03,0.0299023,103.907,km1,20712,19532,no
KaHyPar-R,144.hgr,no,3,64,0.03,0.0299619,105.495,km1,20630,19407,no
KaHyPar-R,144.hgr,no,4,64,0.03,0.0299619,107.459,km1,20774,19558,no
KaHyPar-R,144.hgr,no,5,64,0.03,0.0299619,105.846,km1,20768,19556,no
KaHyPar-R,144.hgr,no,1,128,0.03,0.0297832,115.739,km1,28841,26574,no
KaHyPar-R,144.hgr,no,2,128,0.03,0.0299023,115.672,km1,28801,26572,no
KaHyPar-R,144.hgr,no,3,128,0.03,0.0294258,116.331,km1,28822,26574,no
KaHyPar-R,144.hgr,no,4,128,0.03,0.0297832,116.543,km1,28741,26482,no
KaHyPar-R,144.hgr,no,5,128,0.03,0.0297832,115.782,km1,28662,26406,no
KaHyPar-R,3elt.hgr,no,1,2,0.03,0.0137006,0.12794,km1,43,43,no
KaHyPar-R,3elt.hgr,no,2,2,0.03,0.0137006,0.139053,km1,43,43,no
KaHyPar-R,3elt.hgr,no,3,2,0.03,0.0137006,0.143707,km1,43,43,no
KaHyPar-R,3elt.hgr,no,4,2,0.03,0.0137006,0.137302,km1,43,43,no
KaHyPar-R,3elt.hgr,no,5,2,0.03,0.0137006,0.130102,km1,43,43,no
KaHyPar-R,3elt.hgr,no,1,4,0.03,0.0142816,0.290957,km1,103,102,no
KaHyPar-R,3elt.hgr,no,2,4,0.03,0.0215681,0.304286,km1,101,100,no
KaHyPar-R,3elt.hgr,no,3,4,0.03,0.0215681,0.287589,km1,101,100,no
KaHyPar-R,3elt.hgr,no,4,4,0.03,0.0215681,0.297637,km1,101,100,no
KaHyPar-R,3elt.hgr,no,5,4,0.03,0.0215681,0.281463,km1,101,100,no
KaHyPar-R,3elt.hgr,no,1,8,0.03,0.0285548,0.532317,km1,180,177,no
KaHyPar-R,3elt.hgr,no,2,8,0.03,0.0215618,0.555795,km1,182,179,no
KaHyPar-R,3elt.hgr,no,3,8,0.03,0.0268065,0.562816,km1,184,181,no
KaHyPar-R,3elt.hgr,no,4,8,0.03,0.0291375,0.538702,km1,186,184,no
KaHyPar-R,3elt.hgr,no,5,8,0.03,0.0238928,0.558683,km1,181,177,no
KaHyPar-R,3elt.hgr,no,1,16,0.03,0.0268065,0.87646,km1,304,297,no
KaHyPar-R,3elt.hgr,no,2,16,0.03,0.018648,0.911631,km1,312,308,no
KaHyPar-R,3elt.hgr,no,3,16,0.03,0.0291375,0.887247,km1,313,308,no
KaHyPar-R,3elt.hgr,no,4,16,0.03,0.027972,0.879553,km1,310,305,no
KaHyPar-R,3elt.hgr,no,5,16,0.03,0.0268065,0.947462,km1,306,300,no
KaHyPar-R,3elt.hgr,no,1,32,0.03,0.02331,1.43741,km1,516,507,no
KaHyPar-R,3elt.hgr,no,2,32,0.03,0.020979,1.3861,km1,533,527,no
KaHyPar-R,3elt.hgr,no,3,32,0.03,0.02331,1.44345,km1,533,525,no
KaHyPar-R,3elt.hgr,no,4,32,0.03,0.025641,1.38544,km1,532,520,no
KaHyPar-R,3elt.hgr,no,5,32,0.03,0.011655,1.42598,km1,523,510,no
KaHyPar-R,3elt.hgr,no,1,64,0.03,0.027907,2.07619,km1,842,823,no
KaHyPar-R,3elt.hgr,no,2,64,0.03,0.027907,2.08312,km1,851,823,no
KaHyPar-R,3elt.hgr,no,3,64,0.03,0.027907,2.13704,km1,854,829,no
KaHyPar-R,3elt.hgr,no,4,64,0.03,0.027907,2.05775,km1,856,835,no
KaHyPar-R,3elt.hgr,no,5,64,0.03,0.00930233,2.06897,km1,849,833,no
KaHyPar-R,3elt.hgr,no,1,128,0.03,0.0277778,2.96519,km1,1305,1250,no
KaHyPar-R,3elt.hgr,no,2,128,0.03,0.0277778,2.97467,km1,1296,1237,no
KaHyPar-R,3elt.hgr,no,3,128,0.03,0.0277778,3.02841,km1,1297,1248,no
KaHyPar-R,3elt.hgr,no,4,128,0.03,0.0185185,2.97984,km1,1305,1257,no
KaHyPar-R,3elt.hgr,no,5,128,0.03,0.0277778,2.99241,km1,1298,1257,no
KaHyPar-R,4elt.hgr,no,1,2,0.03,0.0136449,0.394627,km1,68,68,no
KaHyPar-R,4elt.hgr,no,2,2,0.03,0.0136449,0.388444,km1,68,68,no
KaHyPar-R,4elt.hgr,no,3,2,0.03,0.0136449,0.411536,km1,68,68,no
KaHyPar-R,4elt.hgr,no,4,2,0.03,0.0136449,0.40591,km1,68,68,no
KaHyPar-R,4elt.hgr,no,5,2,0.03,0.0136449,0.410876,km1,68,68,no
KaHyPar-R,4elt.hgr,no,1,4,0.03,0.0136007,0.71936,km1,168,168,no
KaHyPar-R,4elt.hgr,no,2,4,0.03,0.0136007,0.701303,km1,168,168,no
KaHyPar-R,4elt.hgr,no,3,4,0.03,0.0229294,0.756225,km1,168,167,no
KaHyPar-R,4elt.hgr,no,4,4,0.03,0.0136007,0.727688,km1,168,168,no
KaHyPar-R,4elt.hgr,no,5,4,0.03,0.0229294,0.759694,km1,168,167,no
KaHyPar-R,4elt.hgr,no,1,8,0.03,0.0277245,1.1243,km1,277,275,no
KaHyPar-R,4elt.hgr,no,2,8,0.03,0.0254577,1.09928,km1,294,293,no
