algorithm,graph,timeout,seed,k,epsilon,imbalance,totalPartitionTime,objective,km1,cut,failed
Zoltan-AlgD,144.hgr,no,10,128,0.03,0.03,424.559,km1,33171,30337,no
Zoltan-AlgD,144.hgr,no,1,128,0.03,0.03,419.084,km1,33692,30707,no
Zoltan-AlgD,144.hgr,no,2,128,0.03,0.03,413.648,km1,33693,30645,no
Zoltan-AlgD,144.hgr,no,3,128,0.03,0.03,403.183,km1,33721,30646,no
Zoltan-AlgD,144.hgr,no,4,128,0.03,0.03,426.281,km1,33333,30448,no
Zoltan-AlgD,144.hgr,no,5,128,0.03,0.03,416.423,km1,33402,30482,no
Zoltan-AlgD,144.hgr,no,6,128,0.03,0.03,409.443,km1,33614,30613,no
Zoltan-AlgD,144.hgr,no,7,128,0.03,0.03,420.805,km1,33878,30776,no
Zoltan-AlgD,144.hgr,no,8,128,0.03,0.03,409.54,km1,34018,30870,no
Zoltan-AlgD,144.hgr,no,9,128,0.03,0.03,419.947,km1,33423,30352,no
Zoltan-AlgD,144.hgr,no,10,16,0.03,0.03,273.251,km1,11627,11191,no
Zoltan-AlgD,144.hgr,no,1,16,0.03,0.03,268.138,km1,11937,11429,no
Zoltan-AlgD,144.hgr,no,2,16,0.03,0.03,281.236,km1,11904,11431,no
Zoltan-AlgD,144.hgr,no,3,16,0.03,0.03,271.467,km1,11160,10753,no
Zoltan-AlgD,144.hgr,no,4,16,0.03,0.03,266.809,km1,11536,11081,no
Zoltan-AlgD,144.hgr,no,5,16,0.03,0.03,272.254,km1,11732,11232,no
Zoltan-AlgD,144.hgr,no,6,16,0.03,0.03,268.117,km1,11817,11296,no
Zoltan-AlgD,144.hgr,no,7,16,0.03,0.03,280.328,km1,11788,11311,no
Zoltan-AlgD,144.hgr,no,8,16,0.03,0.03,261.091,km1,11678,11180,no
Zoltan-AlgD,144.hgr,no,9,16,0.03,0.03,283.507,km1,11922,11424,no
Zoltan-AlgD,144.hgr,no,10,2,0.03,0.02,88.3793,km1,1784,1784,no
Zoltan-AlgD,144.hgr,no,1,2,0.03,0.03,78.7077,km1,1899,1899,no
Zoltan-AlgD,144.hgr,no,2,2,0.03,0.00499999999999989,91.3763,km1,1742,1742,no
Zoltan-AlgD,144.hgr,no,3,2,0.03,0.00299999999999989,95.5434,km1,1734,1734,no
Zoltan-AlgD,144.hgr,no,4,2,0.03,0.02,99.353,km1,1811,1811,no
Zoltan-AlgD,144.hgr,no,5,2,0.03,0.03,90.9186,km1,1918,1918,no
Zoltan-AlgD,144.hgr,no,6,2,0.03,0.03,81.0513,km1,1962,1962,no
Zoltan-AlgD,144.hgr,no,7,2,0.03,0.03,97.9396,km1,1883,1883,no
Zoltan-AlgD,144.hgr,no,8,2,0.03,0.012,80.8535,km1,1799,1799,no
Zoltan-AlgD,144.hgr,no,9,2,0.03,0.00600000000000001,94.2715,km1,1755,1755,no
Zoltan-AlgD,144.hgr,no,10,32,0.03,0.03,318.797,km1,17160,16328,no
Zoltan-AlgD,144.hgr,no,1,32,0.03,0.03,327.358,km1,17450,16497,no
Zoltan-AlgD,144.hgr,no,2,32,0.03,0.03,310.658,km1,16963,16073,no
Zoltan-AlgD,144.hgr,no,3,32,0.03,0.03,324.724,km1,16765,15955,no
Zoltan-AlgD,144.hgr,no,4,32,0.03,0.03,314.362,km1,17515,16622,no
Zoltan-AlgD,144.hgr,no,5,32,0.03,0.03,329.872,km1,17312,16431,no
Zoltan-AlgD,144.hgr,no,6,32,0.03,0.03,316.723,km1,17063,16145,no
Zoltan-AlgD,144.hgr,no,7,32,0.03,0.03,327.822,km1,17084,16204,no
