algorithm,graph,timeout,seed,k,epsilon,imbalance,totalPartitionTime,objective,km1,cut,failed
Zoltan,144.hgr,no,10,128,0.03,0.03,246.333,km1,34098,30893,no
Zoltan,144.hgr,no,1,128,0.03,0.03,240.306,km1,34868,31433,no
Zoltan,144.hgr,no,2,128,0.03,0.03,236.419,km1,34740,31367,no
Zoltan,144.hgr,no,3,128,0.03,0.03,239.135,km1,34356,31021,no
Zoltan,144.hgr,no,4,128,0.03,0.03,248.773,km1,34129,31004,no
Zoltan,144.hgr,no,5,128,0.03,0.03,235.047,km1,35076,31651,no
Zoltan,144.hgr,no,6,128,0.03,0.03,250.111,km1,34384,31100,no
Zoltan,144.hgr,no,7,128,0.03,0.03,233.831,km1,34322,31074,no
Zoltan,144.hgr,no,8,128,0.03,0.03,236.894,km1,34486,31216,no
Zoltan,144.hgr,no,9,128,0.03,0.03,245.83,km1,34260,31054,no
Zoltan,144.hgr,no,10,16,0.03,0.03,168.087,km1,11995,11441,no
Zoltan,144.hgr,no,1,16,0.03,0.03,168.321,km1,12238,11714,no
Zoltan,144.hgr,no,2,16,0.03,0.03,158.374,km1,12294,11716,no
Zoltan,144.hgr,no,3,16,0.03,0.03,156.004,km1,12113,11536,no
Zoltan,144.hgr,no,4,16,0.03,0.03,177.128,km1,12221,11728,no
Zoltan,144.hgr,no,5,16,0.03,0.03,157.771,km1,12634,12067,no
Zoltan,144.hgr,no,6,16,0.03,0.03,168.942,km1,12304,11756,no
Zoltan,144.hgr,no,7,16,0.03,0.03,160.223,km1,12555,11956,no
Zoltan,144.hgr,no,8,16,0.03,0.03,171.928,km1,12036,11489,no
Zoltan,144.hgr,no,9,16,0.03,0.03,177.762,km1,12226,11661,no
Zoltan,144.hgr,no,10,2,0.03,0.03,67.5742,km1,1843,1843,no
Zoltan,144.hgr,no,1,2,0.03,0.03,74.5019,km1,1881,1881,no
Zoltan,144.hgr,no,2,2,0.03,0.03,50.1556,km1,1879,1879,no
Zoltan,144.hgr,no,3,2,0.03,0.03,57.3377,km1,1957,1957,no
Zoltan,144.hgr,no,4,2,0.03,0.0189999999999999,63.6191,km1,1723,1723,no
Zoltan,144.hgr,no,5,2,0.03,0.03,73.6366,km1,1858,1858,no
Zoltan,144.hgr,no,6,2,0.03,0.0249999999999999,61.6285,km1,1712,1712,no
Zoltan,144.hgr,no,7,2,0.03,0.03,59.0378,km1,1838,1838,no
Zoltan,144.hgr,no,8,2,0.03,0.03,71.9879,km1,1857,1857,no
Zoltan,144.hgr,no,9,2,0.03,0.03,68.4796,km1,1879,1879,no
Zoltan,144.hgr,no,10,32,0.03,0.03,192.789,km1,17834,16791,no
Zoltan,144.hgr,no,1,32,0.03,0.03,196.74,km1,17911,16868,no
Zoltan,144.hgr,no,2,32,0.03,0.03,184.951,km1,17992,16970,no
Zoltan,144.hgr,no,3,32,0.03,0.03,188.584,km1,17936,16875,no
Zoltan,144.hgr,no,4,32,0.03,0.03,197.087,km1,17397,16492,no
Zoltan,144.hgr,no,5,32,0.03,0.03,194.175,km1,18374,17247,no
Zoltan,144.hgr,no,6,32,0.03,0.03,198.112,km1,18092,17045,no
Zoltan,144.hgr,no,7,32,0.03,0.03,182.846,km1,18028,16973,no
Zoltan,144.hgr,no,8,32,0.03,0.03,199.152,km1,17866,16811,no
Zoltan,144.hgr,no,9,32,0.03,0.03,195.756,km1,17628,16682,no
Zoltan,144.hgr,no,10,4,0.03,0.03,103.916,km1,4827,4785,no
Zoltan,144.hgr,no,1,4,0.03,0.03,109.901,km1,4920,4881,no
Zoltan,144.hgr,no,2,4,0.03,0.03,95.1713,km1,4793,4716,no
Zoltan,144.hgr,no,3,4,0.03,0.03,100.593,km1,4811,4736,no
Zoltan,144.hgr,no,4,4,0.03,0.03,115.056,km1,4507,4500,no
Zoltan,144.hgr,no,5,4,0.03,0.03,96.5157,km1,4886,4807,no
Zoltan,144.hgr,no,6,4,0.03,0.03,103.826,km1,4950,4886,no
Zoltan,144.hgr,no,7,4,0.03,0.03,92.2528,km1,4956,4873,no
Zoltan,144.hgr,no,8,4,0.03,0.03,95.0258,km1,5080,4994,no
Zoltan,144.hgr,no,9,4,0.03,0.03,108.383,km1,4543,4474,no
Zoltan,144.hgr,no,10,64,0.03,0.03,222.843,km1,25245,23326,no
Zoltan,144.hgr,no,1,64,0.03,0.03,221.492,km1,25258,23361,no
Zoltan,144.hgr,no,2,64,0.03,0.03,198.729,km1,25326,23417,no
Zoltan,144.hgr,no,3,64,0.03,0.03,211.125,km1,24995,23153,no
Zoltan,144.hgr,no,4,64,0.03,0.03,223.676,km1,24730,22961,no
Zoltan,144.hgr,no,5,64,0.03,0.03,208.115,km1,25011,23166,no
Zoltan,144.hgr,no,6,64,0.03,0.03,217.176,km1,25036,23195,no
Zoltan,144.hgr,no,7,64,0.03,0.03,207.015,km1,25705,23729,no
Zoltan,144.hgr,no,8,64,0.03,0.03,225.254,km1,25239,23372,no
Zoltan,144.hgr,no,9,64,0.03,0.03,216.416,km1,25041,23203,no
Zoltan,144.hgr,no,10,8,0.03,0.03,137.15,km1,8107,7843,no
Zoltan,144.hgr,no,1,8,0.03,0.03,144.003,km1,7783,7533,no
Zoltan,144.hgr,no,2,8,0.03,0.03,123.516,km1,7830,7551,no
Zoltan,144.hgr,no,3,8,0.03,0.03,139.075,km1,8056,7781,no
Zoltan,144.hgr,no,4,8,0.03,0.03,148.007,km1,8069,7858,no
Zoltan,144.hgr,no,5,8,0.03,0.03,129.282,km1,8210,7929,no
Zoltan,144.hgr,no,6,8,0.03,0.03,139.468,km1,8142,7860,no
Zoltan,144.hgr,no,7,8,0.03,0.03,122.705,km1,8003,7732,no
Zoltan,144.hgr,no,8,8,0.03,0.03,148.837,km1,8237,7926,no
Zoltan,144.hgr,no,9,8,0.03,0.03,141.059,km1,7713,7475,no
Zoltan,3elt.hgr,no,10,128,0.03,0.0349999999999999,0.864882,km1,1409,1345,no
