algorithm,graph,timeout,seed,k,epsilon,num_threads,imbalance,totalPartitionTime,objective,km1,cut,failed
KaHyPar-K,AS365.graph.hgr,no,10,128,0.03,1,0.0299845,884.779,km1,68906,68906,no
KaHyPar-K,AS365.graph.hgr,no,1,128,0.03,1,0.0299845,882.431,km1,68906,68906,no
KaHyPar-K,AS365.graph.hgr,no,2,128,0.03,1,0.0299845,879.462,km1,68906,68906,no
KaHyPar-K,AS365.graph.hgr,no,3,128,0.03,1,0.0299845,884.36,km1,68906,68906,no
KaHyPar-K,AS365.graph.hgr,no,4,128,0.03,1,0.0299845,883.201,km1,68906,68906,no
KaHyPar-K,AS365.graph.hgr,no,5,128,0.03,1,0.0299845,884.808,km1,68906,68906,no
KaHyPar-K,AS365.graph.hgr,no,6,128,0.03,1,0.0299845,883.131,km1,68906,68906,no
KaHyPar-K,AS365.graph.hgr,no,7,128,0.03,1,0.0299845,884.91,km1,68906,68906,no
KaHyPar-K,AS365.graph.hgr,no,8,128,0.03,1,0.0299845,885.501,km1,68906,68906,no
KaHyPar-K,AS365.graph.hgr,no,9,128,0.03,1,0.0299845,881.755,km1,68906,68906,no
KaHyPar-K,AS365.graph.hgr,no,10,16,0.03,1,0.0299257,2461.67,km1,20766,20766,no
KaHyPar-K,AS365.graph.hgr,no,1,16,0.03,1,0.0299257,2458.26,km1,20766,20766,no
KaHyPar-K,AS365.graph.hgr,no,2,16,0.03,1,0.0299257,2459.22,km1,20766,20766,no
KaHyPar-K,AS365.graph.hgr,no,3,16,0.03,1,0.0299257,2462.99,km1,20766,20766,no
KaHyPar-K,AS365.graph.hgr,no,4,16,0.03,1,0.0299257,2464.67,km1,20766,20766,no
KaHyPar-K,AS365.graph.hgr,no,5,16,0.03,1,0.0299257,2475.73,km1,20766,20766,no
KaHyPar-K,AS365.graph.hgr,no,6,16,0.03,1,0.0299257,2453.56,km1,20766,20766,no
KaHyPar-K,AS365.graph.hgr,no,7,16,0.03,1,0.0299257,2464.91,km1,20766,20766,no
KaHyPar-K,AS365.graph.hgr,no,8,16,0.03,1,0.0299257,2456.72,km1,20766,20766,no
KaHyPar-K,AS365.graph.hgr,no,9,16,0.03,1,0.0299257,2471.69,km1,20766,20766,no
KaHyPar-K,AS365.graph.hgr,no,10,2,0.03,1,0.0014787,1289.19,km1,2223,2223,no
KaHyPar-K,AS365.graph.hgr,no,1,2,0.03,1,0.0014787,1287.49,km1,2223,2223,no
KaHyPar-K,AS365.graph.hgr,no,2,2,0.03,1,0.0014787,1694.55,km1,2223,2223,no
KaHyPar-K,AS365.graph.hgr,no,3,2,0.03,1,0.0014787,1288.22,km1,2223,2223,no
KaHyPar-K,AS365.graph.hgr,no,4,2,0.03,1,0.0014787,1694.73,km1,2223,2223,no
KaHyPar-K,AS365.graph.hgr,no,5,2,0.03,1,0.0014787,1286.7,km1,2223,2223,no
KaHyPar-K,AS365.graph.hgr,no,6,2,0.03,1,0.0014787,1697.27,km1,2223,2223,no
KaHyPar-K,AS365.graph.hgr,no,7,2,0.03,1,0.0014787,1285.66,km1,2223,2223,no
KaHyPar-K,AS365.graph.hgr,no,8,2,0.03,1,0.0014787,1698.2,km1,2223,2223,no
KaHyPar-K,AS365.graph.hgr,no,9,2,0.03,1,0.0014787,1290.42,km1,2223,2223,no
KaHyPar-K,AS365.graph.hgr,no,10,32,0.03,1,0.0296223,2055.55,km1,31331,31331,no
KaHyPar-K,AS365.graph.hgr,no,1,32,0.03,1,0.0296223,2064.53,km1,31331,31331,no
KaHyPar-K,AS365.graph.hgr,no,2,32,0.03,1,0.0296223,2076.36,km1,31331,31331,no
KaHyPar-K,AS365.graph.hgr,no,3,32,0.03,1,0.0296223,2073.94,km1,31331,31331,no
KaHyPar-K,AS365.graph.hgr,no,4,32,0.03,1,0.0296223,2085.9,km1,31331,31331,no
KaHyPar-K,AS365.graph.hgr,no,5,32,0.03,1,0.0296223,2072.06,km1,31331,31331,no
KaHyPar-K,AS365.graph.hgr,no,6,32,0.03,1,0.0296223,2061.86,km1,31331,31331,no
KaHyPar-K,AS365.graph.hgr,no,7,32,0.03,1,0.0296223,2073.11,km1,31331,31331,no
KaHyPar-K,AS365.graph.hgr,no,8,32,0.03,1,0.0296223,2069.88,km1,31331,31331,no
KaHyPar-K,AS365.graph.hgr,no,9,32,0.03,1,0.0296223,2064.55,km1,31331,31331,no
KaHyPar-K,AS365.graph.hgr,no,10,4,0.03,1,0.0294077,1370.72,km1,6719,6719,no
KaHyPar-K,AS365.graph.hgr,no,1,4,0.03,1,0.0294077,1375.97,km1,6719,6719,no
KaHyPar-K,AS365.graph.hgr,no,2,4,0.03,1,0.0294077,1373.17,km1,6719,6719,no
KaHyPar-K,AS365.graph.hgr,no,3,4,0.03,1,0.0294077,1373.08,km1,6719,6719,no
KaHyPar-K,AS365.graph.hgr,no,4,4,0.03,1,0.0294077,1375.05,km1,6719,6719,no
KaHyPar-K,AS365.graph.hgr,no,5,4,0.03,1,0.0294077,1370.41,km1,6719,6719,no
KaHyPar-K,AS365.graph.hgr,no,6,4,0.03,1,0.0294077,1372.26,km1,6719,6719,no
KaHyPar-K,AS365.graph.hgr,no,7,4,0.03,1,0.0294077,1370.18,km1,6719,6719,no
KaHyPar-K,AS365.graph.hgr,no,8,4,0.03,1,0.0294077,1372.08,km1,6719,6719,no
KaHyPar-K,AS365.graph.hgr,no,9,4,0.03,1,0.0294077,1374.72,km1,6719,6719,no
KaHyPar-K,AS365.graph.hgr,no,10,64,0.03,1,0.0298497,1110.67,km1,46687,46687,no
KaHyPar-K,AS365.graph.hgr,no,1,64,0.03,1,0.0298497,1121.82,km1,46687,46687,no
KaHyPar-K,AS365.graph.hgr,no,2,64,0.03,1,0.0298497,1113.41,km1,46687,46687,no
KaHyPar-K,AS365.graph.hgr,no,3,64,0.03,1,0.0298497,1116.92,km1,46687,46687,no
KaHyPar-K,AS365.graph.hgr,no,4,64,0.03,1,0.0298497,1122.78,km1,46687,46687,no
KaHyPar-K,AS365.graph.hgr,no,5,64,0.03,1,0.0298497,1110.48,km1,46687,46687,no
