algorithm,graph,timeout,seed,k,epsilon,num_threads,imbalance,totalPartitionTime,objective,km1,cut,failed
KaHyPar-K,amazon-2008.graph.hgr,no,10,128,0.03,1,0.0299391,1215.89,km1,406693,406693,no
KaHyPar-K,amazon-2008.graph.hgr,no,1,128,0.03,1,0.0299391,925.49,km1,406693,406693,no
KaHyPar-K,amazon-2008.graph.hgr,no,2,128,0.03,1,0.0299391,1211.28,km1,406693,406693,no
KaHyPar-K,amazon-2008.graph.hgr,no,3,128,0.03,1,0.0299391,919.167,km1,406693,406693,no
KaHyPar-K,amazon-2008.graph.hgr,no,4,128,0.03,1,0.0299391,1212.12,km1,406693,406693,no
KaHyPar-K,amazon-2008.graph.hgr,no,5,128,0.03,1,0.0299391,920.516,km1,406693,406693,no
KaHyPar-K,amazon-2008.graph.hgr,no,6,128,0.03,1,0.0299391,1222.87,km1,406693,406693,no
KaHyPar-K,amazon-2008.graph.hgr,no,7,128,0.03,1,0.0299391,922.216,km1,406693,406693,no
KaHyPar-K,amazon-2008.graph.hgr,no,8,128,0.03,1,0.0299391,1210.76,km1,406693,406693,no
KaHyPar-K,amazon-2008.graph.hgr,no,9,128,0.03,1,0.0299391,913.695,km1,406693,406693,no
KaHyPar-K,amazon-2008.graph.hgr,no,10,16,0.03,1,0.0299404,1260.14,km1,232742,232742,no
KaHyPar-K,amazon-2008.graph.hgr,no,1,16,0.03,1,0.0299404,927.669,km1,232742,232742,no
KaHyPar-K,amazon-2008.graph.hgr,no,2,16,0.03,1,0.0299404,1257.1,km1,232742,232742,no
KaHyPar-K,amazon-2008.graph.hgr,no,3,16,0.03,1,0.0299404,929.525,km1,232742,232742,no
KaHyPar-K,amazon-2008.graph.hgr,no,4,16,0.03,1,0.0299404,1258.97,km1,232742,232742,no
KaHyPar-K,amazon-2008.graph.hgr,no,5,16,0.03,1,0.0299404,921.837,km1,232742,232742,no
KaHyPar-K,amazon-2008.graph.hgr,no,6,16,0.03,1,0.0299404,1267.73,km1,232742,232742,no
KaHyPar-K,amazon-2008.graph.hgr,no,7,16,0.03,1,0.0299404,939.686,km1,232742,232742,no
KaHyPar-K,amazon-2008.graph.hgr,no,8,16,0.03,1,0.0299404,1259.17,km1,232742,232742,no
KaHyPar-K,amazon-2008.graph.hgr,no,9,16,0.03,1,0.0299404,923.205,km1,232742,232742,no
KaHyPar-K,amazon-2008.graph.hgr,no,10,2,0.03,1,0.0299895,2208.6,km1,68011,68011,no
KaHyPar-K,amazon-2008.graph.hgr,no,1,2,0.03,1,0.0299895,1585.53,km1,68011,68011,no
KaHyPar-K,amazon-2008.graph.hgr,no,2,2,0.03,1,0.0299895,1588.28,km1,68011,68011,no
KaHyPar-K,amazon-2008.graph.hgr,no,3,2,0.03,1,0.0299895,1593.49,km1,68011,68011,no
KaHyPar-K,amazon-2008.graph.hgr,no,4,2,0.03,1,0.0299895,2214.55,km1,68011,68011,no
KaHyPar-K,amazon-2008.graph.hgr,no,5,2,0.03,1,0.0299895,1593.04,km1,68011,68011,no
KaHyPar-K,amazon-2008.graph.hgr,no,6,2,0.03,1,0.0299895,2226.18,km1,68011,68011,no
KaHyPar-K,amazon-2008.graph.hgr,no,7,2,0.03,1,0.0299895,1578.85,km1,68011,68011,no
KaHyPar-K,amazon-2008.graph.hgr,no,8,2,0.03,1,0.0299895,2202.76,km1,68011,68011,no
KaHyPar-K,amazon-2008.graph.hgr,no,9,2,0.03,1,0.0299895,1588.09,km1,68011,68011,no
KaHyPar-K,amazon-2008.graph.hgr,no,10,32,0.03,1,0.0299839,1160.29,km1,286610,286610,no
KaHyPar-K,amazon-2008.graph.hgr,no,1,32,0.03,1,0.0299839,857.755,km1,286610,286610,no
KaHyPar-K,amazon-2008.graph.hgr,no,2,32,0.03,1,0.0299839,1170.56,km1,286610,286610,no
KaHyPar-K,amazon-2008.graph.hgr,no,3,32,0.03,1,0.0299839,857.203,km1,286610,286610,no
KaHyPar-K,amazon-2008.graph.hgr,no,4,32,0.03,1,0.0299839,1155.44,km1,286610,286610,no
KaHyPar-K,amazon-2008.graph.hgr,no,5,32,0.03,1,0.0299839,858.92,km1,286610,286610,no
KaHyPar-K,amazon-2008.graph.hgr,no,6,32,0.03,1,0.0299839,1159.39,km1,286610,286610,no
KaHyPar-K,amazon-2008.graph.hgr,no,7,32,0.03,1,0.0299839,852.591,km1,286610,286610,no
KaHyPar-K,amazon-2008.graph.hgr,no,8,32,0.03,1,0.0299839,1155.96,km1,286610,286610,no
KaHyPar-K,amazon-2008.graph.hgr,no,9,32,0.03,1,0.0299839,867.044,km1,286610,286610,no
KaHyPar-K,amazon-2008.graph.hgr,no,10,4,0.03,1,0.0299949,2180.84,km1,129836,129836,no
KaHyPar-K,amazon-2008.graph.hgr,no,1,4,0.03,1,0.0299949,1571.85,km1,129836,129836,no
KaHyPar-K,amazon-2008.graph.hgr,no,2,4,0.03,1,0.0299949,2192.84,km1,129836,129836,no
KaHyPar-K,amazon-2008.graph.hgr,no,3,4,0.03,1,0.0299949,1587.36,km1,129836,129836,no
KaHyPar-K,amazon-2008.graph.hgr,no,4,4,0.03,1,0.0299949,2198.01,km1,129836,129836,no
KaHyPar-K,amazon-2008.graph.hgr,no,5,4,0.03,1,0.0299949,1576.56,km1,129836,129836,no
KaHyPar-K,amazon-2008.graph.hgr,no,6,4,0.03,1,0.0299949,2187.7,km1,129836,129836,no
KaHyPar-K,amazon-2008.graph.hgr,no,7,4,0.03,1,0.0299949,1591.32,km1,129836,129836,no
KaHyPar-K,amazon-2008.graph.hgr,no,8,4,0.03,1,0.0299949,2212.14,km1,129836,129836,no
KaHyPar-K,amazon-2008.graph.hgr,no,9,4,0.03,1,0.0299949,1572.81,km1,129836,129836,no
KaHyPar-K,amazon-2008.graph.hgr,no,10,64,0.03,1,0.029852,1220.84,km1,342021,342021,no
KaHyPar-K,amazon-2008.graph.hgr,no,1,64,0.03,1,0.029852,916.665,km1,342021,342021,no
KaHyPar-K,amazon-2008.graph.hgr,no,2,64,0.03,1,0.029852,1217.55,km1,342021,342021,no
KaHyPar-K,amazon-2008.graph.hgr,no,3,64,0.03,1,0.029852,917.755,km1,342021,342021,no
KaHyPar-K,amazon-2008.graph.hgr,no,4,64,0.03,1,0.029852,1226.47,km1,342021,342021,no
KaHyPar-K,amazon-2008.graph.hgr,no,5,64,0.03,1,0.029852,916.202,km1,342021,342021,no
KaHyPar-K,amazon-2008.graph.hgr,no,6,64,0.03,1,0.029852,1214.52,km1,342021,342021,no
KaHyPar-K,amazon-2008.graph.hgr,no,7,64,0.03,1,0.029852,915.121,km1,342021,342021,no
KaHyPar-K,amazon-2008.graph.hgr,no,8,64,0.03,1,0.029852,1213.84,km1,342021,342021,no
KaHyPar-K,amazon-2008.graph.hgr,no,9,64,0.03,1,0.029852,910.612,km1,342021,342021,no
KaHyPar-K,amazon-2008.graph.hgr,no,10,8,0.03,1,0.0298098,1878.95,km1,179241,179241,no
KaHyPar-K,amazon-2008.graph.hgr,no,1,8,0.03,1,0.0298098,1358.34,km1,179241,179241,no
KaHyPar-K,amazon-2008.graph.hgr,no,2,8,0.03,1,0.0298098,1856.34,km1,179241,179241,no
KaHyPar-K,amazon-2008.graph.hgr,no,3,8,0.03,1,0.0298098,1348.61,km1,179241,179241,no
KaHyPar-K,amazon-2008.graph.hgr,no,4,8,0.03,1,0.0298098,1861.41,km1,179241,179241,no
KaHyPar-K,amazon-2008.graph.hgr,no,5,8,0.03,1,0.0298098,1360.18,km1,179241,179241,no
KaHyPar-K,amazon-2008.graph.hgr,no,6,8,0.03,1,0.0298098,1864.45,km1,179241,179241,no
KaHyPar-K,amazon-2008.graph.hgr,no,7,8,0.03,1,0.0298098,1356.37,km1,179241,179241,no
KaHyPar-K,amazon-2008.graph.hgr,no,8,8,0.03,1,0.0298098,1861.42,km1,179241,179241,no
KaHyPar-K,amazon-2008.graph.hgr,no,9,8,0.03,1,0.0298098,1358.94,km1,179241,179241,no
KaHyPar-K,as-22july06.graph.hgr,no,10,128,0.03,1,0.0277778,17.7859,km1,23459,23459,no
KaHyPar-K,as-22july06.graph.hgr,no,1,128,0.03,1,0.0277778,12.7223,km1,23459,23459,no
KaHyPar-K,as-22july06.graph.hgr,no,2,128,0.03,1,0.0277778,12.734,km1,23459,23459,no
KaHyPar-K,as-22july06.graph.hgr,no,3,128,0.03,1,0.0277778,12.7142,km1,23459,23459,no
KaHyPar-K,as-22july06.graph.hgr,no,4,128,0.03,1,0.0277778,12.7357,km1,23459,23459,no
KaHyPar-K,as-22july06.graph.hgr,no,5,128,0.03,1,0.0277778,17.8362,km1,23459,23459,no
KaHyPar-K,as-22july06.graph.hgr,no,6,128,0.03,1,0.0277778,17.7693,km1,23459,23459,no
KaHyPar-K,as-22july06.graph.hgr,no,7,128,0.03,1,0.0277778,17.7965,km1,23459,23459,no
KaHyPar-K,as-22july06.graph.hgr,no,8,128,0.03,1,0.0277778,17.8621,km1,23459,23459,no
KaHyPar-K,as-22july06.graph.hgr,no,9,128,0.03,1,0.0277778,17.8461,km1,23459,23459,no
KaHyPar-K,as-22july06.graph.hgr,no,10,16,0.03,1,0.0299443,14.3449,km1,13831,13831,no
KaHyPar-K,as-22july06.graph.hgr,no,1,16,0.03,1,0.0299443,14.335,km1,13831,13831,no
KaHyPar-K,as-22july06.graph.hgr,no,2,16,0.03,1,0.0299443,14.3436,km1,13831,13831,no
KaHyPar-K,as-22july06.graph.hgr,no,3,16,0.03,1,0.0299443,14.3729,km1,13831,13831,no
KaHyPar-K,as-22july06.graph.hgr,no,4,16,0.03,1,0.0299443,14.3602,km1,13831,13831,no
KaHyPar-K,as-22july06.graph.hgr,no,5,16,0.03,1,0.0299443,14.3566,km1,13831,13831,no
KaHyPar-K,as-22july06.graph.hgr,no,6,16,0.03,1,0.0299443,14.3116,km1,13831,13831,no
KaHyPar-K,as-22july06.graph.hgr,no,7,16,0.03,1,0.0299443,14.331,km1,13831,13831,no
KaHyPar-K,as-22july06.graph.hgr,no,8,16,0.03,1,0.0299443,14.3386,km1,13831,13831,no
KaHyPar-K,as-22july06.graph.hgr,no,9,16,0.03,1,0.0299443,14.3937,km1,13831,13831,no
KaHyPar-K,as-22july06.graph.hgr,no,10,2,0.03,1,0.0,3.66126,km1,3606,3606,no
KaHyPar-K,as-22july06.graph.hgr,no,1,2,0.03,1,0.0,2.63105,km1,3606,3606,no
KaHyPar-K,as-22july06.graph.hgr,no,2,2,0.03,1,0.0,2.63001,km1,3606,3606,no
KaHyPar-K,as-22july06.graph.hgr,no,3,2,0.03,1,0.0,2.63134,km1,3606,3606,no
KaHyPar-K,as-22july06.graph.hgr,no,4,2,0.03,1,0.0,2.62703,km1,3606,3606,no
KaHyPar-K,as-22july06.graph.hgr,no,5,2,0.03,1,0.0,3.66365,km1,3606,3606,no
KaHyPar-K,as-22july06.graph.hgr,no,6,2,0.03,1,0.0,3.66208,km1,3606,3606,no
KaHyPar-K,as-22july06.graph.hgr,no,7,2,0.03,1,0.0,3.66114,km1,3606,3606,no
KaHyPar-K,as-22july06.graph.hgr,no,8,2,0.03,1,0.0,3.66914,km1,3606,3606,no
KaHyPar-K,as-22july06.graph.hgr,no,9,2,0.03,1,0.0,3.65718,km1,3606,3606,no
KaHyPar-K,as-22july06.graph.hgr,no,10,32,0.03,1,0.0292479,9.91364,km1,16371,16371,no
KaHyPar-K,as-22july06.graph.hgr,no,1,32,0.03,1,0.0292479,13.7101,km1,16371,16371,no
KaHyPar-K,as-22july06.graph.hgr,no,2,32,0.03,1,0.0292479,13.7421,km1,16371,16371,no
KaHyPar-K,as-22july06.graph.hgr,no,3,32,0.03,1,0.0292479,13.69,km1,16371,16371,no
KaHyPar-K,as-22july06.graph.hgr,no,4,32,0.03,1,0.0292479,13.7331,km1,16371,16371,no
KaHyPar-K,as-22july06.graph.hgr,no,5,32,0.03,1,0.0292479,13.709,km1,16371,16371,no
KaHyPar-K,as-22july06.graph.hgr,no,6,32,0.03,1,0.0292479,13.7185,km1,16371,16371,no
KaHyPar-K,as-22july06.graph.hgr,no,7,32,0.03,1,0.0292479,9.90087,km1,16371,16371,no
KaHyPar-K,as-22july06.graph.hgr,no,8,32,0.03,1,0.0292479,9.8882,km1,16371,16371,no
KaHyPar-K,as-22july06.graph.hgr,no,9,32,0.03,1,0.0292479,9.91826,km1,16371,16371,no
KaHyPar-K,as-22july06.graph.hgr,no,10,4,0.03,1,0.024386,8.66826,km1,7606,7606,no
KaHyPar-K,as-22july06.graph.hgr,no,1,4,0.03,1,0.024386,8.67449,km1,7606,7606,no
KaHyPar-K,as-22july06.graph.hgr,no,2,4,0.03,1,0.024386,8.67272,km1,7606,7606,no
KaHyPar-K,as-22july06.graph.hgr,no,3,4,0.03,1,0.024386,8.67138,km1,7606,7606,no
KaHyPar-K,as-22july06.graph.hgr,no,4,4,0.03,1,0.024386,8.66566,km1,7606,7606,no
KaHyPar-K,as-22july06.graph.hgr,no,5,4,0.03,1,0.024386,8.6653,km1,7606,7606,no
KaHyPar-K,as-22july06.graph.hgr,no,6,4,0.03,1,0.024386,8.66938,km1,7606,7606,no
KaHyPar-K,as-22july06.graph.hgr,no,7,4,0.03,1,0.024386,8.64152,km1,7606,7606,no
KaHyPar-K,as-22july06.graph.hgr,no,8,4,0.03,1,0.024386,8.67709,km1,7606,7606,no
KaHyPar-K,as-22july06.graph.hgr,no,9,4,0.03,1,0.024386,8.66945,km1,7606,7606,no
KaHyPar-K,as-22july06.graph.hgr,no,10,64,0.03,1,0.0278552,11.6518,km1,19875,19875,no
KaHyPar-K,as-22july06.graph.hgr,no,1,64,0.03,1,0.0278552,11.6321,km1,19875,19875,no
KaHyPar-K,as-22july06.graph.hgr,no,2,64,0.03,1,0.0278552,11.6351,km1,19875,19875,no
KaHyPar-K,as-22july06.graph.hgr,no,3,64,0.03,1,0.0278552,16.2932,km1,19875,19875,no
KaHyPar-K,as-22july06.graph.hgr,no,4,64,0.03,1,0.0278552,16.2858,km1,19875,19875,no
KaHyPar-K,as-22july06.graph.hgr,no,5,64,0.03,1,0.0278552,16.3207,km1,19875,19875,no
KaHyPar-K,as-22july06.graph.hgr,no,6,64,0.03,1,0.0278552,16.3008,km1,19875,19875,no
KaHyPar-K,as-22july06.graph.hgr,no,7,64,0.03,1,0.0278552,16.3244,km1,19875,19875,no
KaHyPar-K,as-22july06.graph.hgr,no,8,64,0.03,1,0.0278552,16.3034,km1,19875,19875,no
KaHyPar-K,as-22july06.graph.hgr,no,9,64,0.03,1,0.0278552,11.6281,km1,19875,19875,no
KaHyPar-K,as-22july06.graph.hgr,no,10,8,0.03,1,0.0299547,9.74582,km1,11077,11077,no
KaHyPar-K,as-22july06.graph.hgr,no,1,8,0.03,1,0.0299547,9.73198,km1,11077,11077,no
KaHyPar-K,as-22july06.graph.hgr,no,2,8,0.03,1,0.0299547,9.73628,km1,11077,11077,no
KaHyPar-K,as-22july06.graph.hgr,no,3,8,0.03,1,0.0299547,9.67374,km1,11077,11077,no
KaHyPar-K,as-22july06.graph.hgr,no,4,8,0.03,1,0.0299547,9.69676,km1,11077,11077,no
KaHyPar-K,as-22july06.graph.hgr,no,5,8,0.03,1,0.0299547,9.68165,km1,11077,11077,no
KaHyPar-K,as-22july06.graph.hgr,no,6,8,0.03,1,0.0299547,9.68818,km1,11077,11077,no
KaHyPar-K,as-22july06.graph.hgr,no,7,8,0.03,1,0.0299547,9.68409,km1,11077,11077,no
KaHyPar-K,as-22july06.graph.hgr,no,8,8,0.03,1,0.0299547,9.67593,km1,11077,11077,no
KaHyPar-K,as-22july06.graph.hgr,no,9,8,0.03,1,0.0299547,9.76026,km1,11077,11077,no
KaHyPar-K,as-skitter.graph.hgr,no,10,128,0.03,1,0.0299815,4159.59,km1,1895497,1895497,no
KaHyPar-K,as-skitter.graph.hgr,no,1,128,0.03,1,0.0299815,5534.8,km1,1895497,1895497,no
