algorithm,graph,timeout,seed,k,epsilon,num_threads,imbalance,totalPartitionTime,objective,km1,cut,failed
KaFFPa-Strong*,AS365.graph,no,10,128,0.03,1,0.02994999999999992,793.239,km1,68092,68092,no
KaFFPa-Strong*,AS365.graph,no,1,128,0.03,1,0.02994999999999992,1008.28,km1,68062,68062,no
KaFFPa-Strong*,AS365.graph,no,2,128,0.03,1,0.029919999999999947,1019.15,km1,68462,68462,no
KaFFPa-Strong*,AS365.graph,no,3,128,0.03,1,0.029879999999999907,1030.35,km1,68696,68696,no
KaFFPa-Strong*,AS365.graph,no,4,128,0.03,1,0.02994999999999992,996.742,km1,68154,68154,no
KaFFPa-Strong*,AS365.graph,no,5,128,0.03,1,0.02994999999999992,1033.87,km1,68569,68569,no
KaFFPa-Strong*,AS365.graph,no,6,128,0.03,1,0.029919999999999947,1001.21,km1,68625,68625,no
KaFFPa-Strong*,AS365.graph,no,7,128,0.03,1,0.02994999999999992,1022.18,km1,68514,68514,no
KaFFPa-Strong*,AS365.graph,no,8,128,0.03,1,0.029919999999999947,998.464,km1,67881,67881,no
KaFFPa-Strong*,AS365.graph,no,9,128,0.03,1,0.029849999999999932,803.278,km1,68478,68478,no
KaFFPa-Strong*,AS365.graph,no,10,16,0.03,1,0.029749999999999943,883.413,km1,19730,19730,no
KaFFPa-Strong*,AS365.graph,no,1,16,0.03,1,0.029269999999999907,548.17,km1,19847,19847,no
KaFFPa-Strong*,AS365.graph,no,2,16,0.03,1,0.02950000000000008,488.402,km1,19879,19879,no
KaFFPa-Strong*,AS365.graph,no,3,16,0.03,1,0.028410000000000046,646.694,km1,20319,20319,no
KaFFPa-Strong*,AS365.graph,no,4,16,0.03,1,0.029940000000000078,834.833,km1,20424,20424,no
KaFFPa-Strong*,AS365.graph,no,5,16,0.03,1,0.029249999999999998,757.439,km1,19964,19964,no
KaFFPa-Strong*,AS365.graph,no,6,16,0.03,1,0.02956000000000003,722.705,km1,19894,19894,no
KaFFPa-Strong*,AS365.graph,no,7,16,0.03,1,0.029849999999999932,943.131,km1,19809,19809,no
KaFFPa-Strong*,AS365.graph,no,8,16,0.03,1,0.02984000000000009,829.142,km1,20214,20214,no
KaFFPa-Strong*,AS365.graph,no,9,16,0.03,1,0.02854000000000001,758.698,km1,20165,20165,no
KaFFPa-Strong*,AS365.graph,no,10,2,0.03,1,0.0015099999999999003,208.986,km1,2223,2223,no
KaFFPa-Strong*,AS365.graph,no,1,2,0.03,1,0.0016099999999998893,206.758,km1,2223,2223,no
KaFFPa-Strong*,AS365.graph,no,2,2,0.03,1,0.0018899999999999473,212.066,km1,2223,2223,no
KaFFPa-Strong*,AS365.graph,no,3,2,0.03,1,0.0015600000000000058,161.482,km1,2223,2223,no
KaFFPa-Strong*,AS365.graph,no,4,2,0.03,1,0.0018100000000000893,169.551,km1,2223,2223,no
KaFFPa-Strong*,AS365.graph,no,5,2,0.03,1,0.0015600000000000058,165.248,km1,2223,2223,no
KaFFPa-Strong*,AS365.graph,no,6,2,0.03,1,0.0015499999999999403,157.736,km1,2223,2223,no
KaFFPa-Strong*,AS365.graph,no,7,2,0.03,1,0.0015600000000000058,159.084,km1,2223,2223,no
KaFFPa-Strong*,AS365.graph,no,8,2,0.03,1,0.0015600000000000058,158.435,km1,2223,2223,no
KaFFPa-Strong*,AS365.graph,no,9,2,0.03,1,0.0015499999999999403,209.069,km1,2223,2223,no
KaFFPa-Strong*,AS365.graph,no,10,32,0.03,1,0.02994999999999992,671.054,km1,31047,31047,no
KaFFPa-Strong*,AS365.graph,no,1,32,0.03,1,0.029819999999999958,942.499,km1,30519,30519,no
KaFFPa-Strong*,AS365.graph,no,2,32,0.03,1,0.029979999999999896,1004.28,km1,30700,30700,no
KaFFPa-Strong*,AS365.graph,no,3,32,0.03,1,0.029870000000000063,1023.25,km1,30950,30950,no
KaFFPa-Strong*,AS365.graph,no,4,32,0.03,1,0.029930000000000012,921.752,km1,30539,30539,no
KaFFPa-Strong*,AS365.graph,no,5,32,0.03,1,0.029979999999999896,668.732,km1,30486,30486,no
KaFFPa-Strong*,AS365.graph,no,6,32,0.03,1,0.02960000000000007,668.021,km1,30706,30706,no
KaFFPa-Strong*,AS365.graph,no,7,32,0.03,1,0.029549999999999965,666.435,km1,30699,30699,no
KaFFPa-Strong*,AS365.graph,no,8,32,0.03,1,0.0295399999999999,631.385,km1,31077,31077,no
KaFFPa-Strong*,AS365.graph,no,9,32,0.03,1,0.029709999999999903,671.832,km1,30935,30935,no
KaFFPa-Strong*,AS365.graph,no,10,4,0.03,1,0.021689999999999987,177.198,km1,6705,6705,no
KaFFPa-Strong*,AS365.graph,no,1,4,0.03,1,0.021689999999999987,244.5,km1,6705,6705,no
KaFFPa-Strong*,AS365.graph,no,2,4,0.03,1,0.021689999999999987,212.806,km1,6713,6713,no
KaFFPa-Strong*,AS365.graph,no,3,4,0.03,1,0.021689999999999987,208.704,km1,6705,6705,no
KaFFPa-Strong*,AS365.graph,no,4,4,0.03,1,0.02919000000000005,301.221,km1,6765,6765,no
KaFFPa-Strong*,AS365.graph,no,5,4,0.03,1,0.021689999999999987,163.934,km1,6705,6705,no
KaFFPa-Strong*,AS365.graph,no,6,4,0.03,1,0.021709999999999896,162.531,km1,6705,6705,no
KaFFPa-Strong*,AS365.graph,no,7,4,0.03,1,0.021689999999999987,159.56,km1,6716,6716,no
KaFFPa-Strong*,AS365.graph,no,8,4,0.03,1,0.021810000000000107,194.901,km1,6713,6713,no
KaFFPa-Strong*,AS365.graph,no,9,4,0.03,1,0.021709999999999896,161.466,km1,6716,6716,no
KaFFPa-Strong*,AS365.graph,no,10,64,0.03,1,0.029919999999999947,946.251,km1,46114,46114,no
KaFFPa-Strong*,AS365.graph,no,1,64,0.03,1,0.029879999999999907,711.638,km1,46125,46125,no
KaFFPa-Strong*,AS365.graph,no,2,64,0.03,1,0.02994999999999992,746.645,km1,46325,46325,no
KaFFPa-Strong*,AS365.graph,no,3,64,0.03,1,0.029970000000000052,702.681,km1,45925,45925,no
KaFFPa-Strong*,AS365.graph,no,4,64,0.03,1,0.029970000000000052,627.061,km1,45702,45702,no
KaFFPa-Strong*,AS365.graph,no,5,64,0.03,1,0.029870000000000063,695.352,km1,46363,46363,no
KaFFPa-Strong*,AS365.graph,no,6,64,0.03,1,0.029930000000000012,700.197,km1,46594,46594,no
KaFFPa-Strong*,AS365.graph,no,7,64,0.03,1,0.029970000000000052,1078.28,km1,46160,46160,no
KaFFPa-Strong*,AS365.graph,no,8,64,0.03,1,0.029970000000000052,947.106,km1,46648,46648,no
KaFFPa-Strong*,AS365.graph,no,9,64,0.03,1,0.029970000000000052,944.101,km1,46588,46588,no
KaFFPa-Strong*,AS365.graph,no,10,8,0.03,1,0.02751999999999999,410.323,km1,11905,11905,no
KaFFPa-Strong*,AS365.graph,no,1,8,0.03,1,0.02946000000000004,466.822,km1,12058,12058,no
