algorithm,graph,timeout,seed,k,epsilon,num_threads,imbalance,totalPartitionTime,objective,km1,cut,failed
KaFFPa-Strong,AS365.graph,no,10,128,0.03,1,0.02994999999999992,1001.09,km1,68965,68965,no
KaFFPa-Strong,AS365.graph,no,1,128,0.03,1,0.02994999999999992,1083.34,km1,69148,69148,no
KaFFPa-Strong,AS365.graph,no,2,128,0.03,1,0.02994999999999992,1004.18,km1,68245,68245,no
KaFFPa-Strong,AS365.graph,no,3,128,0.03,1,0.029919999999999947,1009.17,km1,68413,68413,no
KaFFPa-Strong,AS365.graph,no,4,128,0.03,1,0.029919999999999947,958.182,km1,68539,68539,no
KaFFPa-Strong,AS365.graph,no,5,128,0.03,1,0.02994999999999992,984.043,km1,68256,68256,no
KaFFPa-Strong,AS365.graph,no,6,128,0.03,1,0.02994999999999992,1039.04,km1,68540,68540,no
KaFFPa-Strong,AS365.graph,no,7,128,0.03,1,0.02994999999999992,973.12,km1,68615,68615,no
KaFFPa-Strong,AS365.graph,no,8,128,0.03,1,0.02994999999999992,1028.13,km1,68718,68718,no
KaFFPa-Strong,AS365.graph,no,9,128,0.03,1,0.02994999999999992,1014.27,km1,68475,68475,no
KaFFPa-Strong,AS365.graph,no,10,16,0.03,1,0.029449999999999976,487.201,km1,19912,19912,no
KaFFPa-Strong,AS365.graph,no,1,16,0.03,1,0.029220000000000024,529.685,km1,19951,19951,no
KaFFPa-Strong,AS365.graph,no,2,16,0.03,1,0.029260000000000064,617.364,km1,20357,20357,no
KaFFPa-Strong,AS365.graph,no,3,16,0.03,1,0.02943999999999991,537.164,km1,20437,20437,no
KaFFPa-Strong,AS365.graph,no,4,16,0.03,1,0.029910000000000103,592.14,km1,20058,20058,no
KaFFPa-Strong,AS365.graph,no,5,16,0.03,1,0.029430000000000067,657.199,km1,19993,19993,no
KaFFPa-Strong,AS365.graph,no,6,16,0.03,1,0.029649999999999954,647.065,km1,20281,20281,no
KaFFPa-Strong,AS365.graph,no,7,16,0.03,1,0.029830000000000023,630.706,km1,19909,19909,no
KaFFPa-Strong,AS365.graph,no,8,16,0.03,1,0.0297400000000001,862.211,km1,20404,20404,no
KaFFPa-Strong,AS365.graph,no,9,16,0.03,1,0.02998999999999996,759.701,km1,20524,20524,no
KaFFPa-Strong,AS365.graph,no,10,2,0.03,1,0.0016499999999999293,161.638,km1,2223,2223,no
KaFFPa-Strong,AS365.graph,no,1,2,0.03,1,0.0018599999999999728,161.001,km1,2223,2223,no
KaFFPa-Strong,AS365.graph,no,2,2,0.03,1,0.0016400000000000858,164.145,km1,2223,2223,no
KaFFPa-Strong,AS365.graph,no,3,2,0.03,1,0.0016899999999999693,162.179,km1,2223,2223,no
KaFFPa-Strong,AS365.graph,no,4,2,0.03,1,0.0015700000000000713,170.026,km1,2223,2223,no
KaFFPa-Strong,AS365.graph,no,5,2,0.03,1,0.0018100000000000893,164.137,km1,2223,2223,no
KaFFPa-Strong,AS365.graph,no,6,2,0.03,1,0.0017000000000000348,157.589,km1,2223,2223,no
KaFFPa-Strong,AS365.graph,no,7,2,0.03,1,0.0018499999999999073,159.643,km1,2223,2223,no
KaFFPa-Strong,AS365.graph,no,8,2,0.03,1,0.0018499999999999073,158.997,km1,2223,2223,no
KaFFPa-Strong,AS365.graph,no,9,2,0.03,1,0.0016799999999999038,159.451,km1,2223,2223,no
KaFFPa-Strong,AS365.graph,no,10,32,0.03,1,0.029979999999999896,680.7,km1,31213,31213,no
KaFFPa-Strong,AS365.graph,no,1,32,0.03,1,0.029979999999999896,878.469,km1,31243,31243,no
KaFFPa-Strong,AS365.graph,no,2,32,0.03,1,0.029979999999999896,806.521,km1,30685,30685,no
KaFFPa-Strong,AS365.graph,no,3,32,0.03,1,0.029930000000000012,1002.14,km1,31075,31075,no
KaFFPa-Strong,AS365.graph,no,4,32,0.03,1,0.029979999999999896,1132.81,km1,30641,30641,no
KaFFPa-Strong,AS365.graph,no,5,32,0.03,1,0.02984000000000009,859.957,km1,30765,30765,no
KaFFPa-Strong,AS365.graph,no,6,32,0.03,1,0.029979999999999896,1014.82,km1,31183,31183,no
KaFFPa-Strong,AS365.graph,no,7,32,0.03,1,0.029979999999999896,917.247,km1,30490,30490,no
KaFFPa-Strong,AS365.graph,no,8,32,0.03,1,0.029749999999999943,889.386,km1,31007,31007,no
KaFFPa-Strong,AS365.graph,no,9,32,0.03,1,0.028799999999999937,791.036,km1,30794,30794,no
KaFFPa-Strong,AS365.graph,no,10,4,0.03,1,0.021730000000000027,190.905,km1,6734,6734,no
KaFFPa-Strong,AS365.graph,no,1,4,0.03,1,0.021700000000000053,208.757,km1,6705,6705,no
KaFFPa-Strong,AS365.graph,no,2,4,0.03,1,0.021689999999999987,203.19,km1,6713,6713,no
KaFFPa-Strong,AS365.graph,no,3,4,0.03,1,0.021709999999999896,162.652,km1,6716,6716,no
KaFFPa-Strong,AS365.graph,no,4,4,0.03,1,0.02171999999999996,158.163,km1,6716,6716,no
KaFFPa-Strong,AS365.graph,no,5,4,0.03,1,0.021700000000000053,216.142,km1,6710,6710,no
KaFFPa-Strong,AS365.graph,no,6,4,0.03,1,0.021689999999999987,162.849,km1,6705,6705,no
KaFFPa-Strong,AS365.graph,no,7,4,0.03,1,0.021689999999999987,159.463,km1,6716,6716,no
KaFFPa-Strong,AS365.graph,no,8,4,0.03,1,0.021689999999999987,188.567,km1,6705,6705,no
KaFFPa-Strong,AS365.graph,no,9,4,0.03,1,0.021689999999999987,160.271,km1,6716,6716,no
KaFFPa-Strong,AS365.graph,no,10,64,0.03,1,0.029919999999999947,715.919,km1,46250,46250,no
KaFFPa-Strong,AS365.graph,no,1,64,0.03,1,0.029649999999999954,697.91,km1,46703,46703,no
KaFFPa-Strong,AS365.graph,no,2,64,0.03,1,0.029879999999999907,765.287,km1,46658,46658,no
KaFFPa-Strong,AS365.graph,no,3,64,0.03,1,0.029830000000000023,696.417,km1,46904,46904,no
KaFFPa-Strong,AS365.graph,no,4,64,0.03,1,0.029970000000000052,725.951,km1,46431,46431,no
KaFFPa-Strong,AS365.graph,no,5,64,0.03,1,0.029930000000000012,698.07,km1,46650,46650,no
KaFFPa-Strong,AS365.graph,no,6,64,0.03,1,0.029749999999999943,743.376,km1,46563,46563,no
KaFFPa-Strong,AS365.graph,no,7,64,0.03,1,0.02994999999999992,805.465,km1,46201,46201,no
KaFFPa-Strong,AS365.graph,no,8,64,0.03,1,0.029900000000000038,713.805,km1,46658,46658,no
KaFFPa-Strong,AS365.graph,no,9,64,0.03,1,0.029970000000000052,709.345,km1,46463,46463,no
KaFFPa-Strong,AS365.graph,no,10,8,0.03,1,0.026100000000000012,476.954,km1,11969,11969,no
KaFFPa-Strong,AS365.graph,no,1,8,0.03,1,0.026540000000000008,689.707,km1,12178,12178,no
KaFFPa-Strong,AS365.graph,no,2,8,0.03,1,0.027940000000000076,403.353,km1,12047,12047,no
KaFFPa-Strong,AS365.graph,no,3,8,0.03,1,0.030000000000000027,568.169,km1,12037,12037,no
KaFFPa-Strong,AS365.graph,no,4,8,0.03,1,0.02919000000000005,440.573,km1,12065,12065,no
KaFFPa-Strong,AS365.graph,no,5,8,0.03,1,0.029819999999999958,673.447,km1,12116,12116,no
KaFFPa-Strong,AS365.graph,no,6,8,0.03,1,0.0220800000000001,527.692,km1,11899,11899,no
KaFFPa-Strong,AS365.graph,no,7,8,0.03,1,0.027660000000000018,509.299,km1,12103,12103,no
KaFFPa-Strong,AS365.graph,no,8,8,0.03,1,0.02942,599.014,km1,12036,12036,no
KaFFPa-Strong,AS365.graph,no,9,8,0.03,1,0.02662999999999993,498.8,km1,11965,11965,no
KaFFPa-Strong,asia.osm.graph,no,10,128,0.03,1,0.029979999999999896,274.338,km1,980,980,no
KaFFPa-Strong,asia.osm.graph,no,1,128,0.03,1,0.029979999999999896,289.424,km1,975,975,no
KaFFPa-Strong,asia.osm.graph,no,2,128,0.03,1,0.029979999999999896,282.393,km1,959,959,no
