algorithm,graph,timeout,seed,k,epsilon,num_threads,imbalance,totalPartitionTime,objective,km1,cut,failed
KaFFPa-StrongS*,AS365.graph,no,10,128,0.03,1,0.02994999999999992,1060.66,km1,68761,68761,no
KaFFPa-StrongS*,AS365.graph,no,1,128,0.03,1,0.02994999999999992,912.393,km1,68814,68814,no
KaFFPa-StrongS*,AS365.graph,no,2,128,0.03,1,0.02994999999999992,1017.84,km1,68934,68934,no
KaFFPa-StrongS*,AS365.graph,no,3,128,0.03,1,0.02994999999999992,850.91,km1,68971,68971,no
KaFFPa-StrongS*,AS365.graph,no,4,128,0.03,1,0.02994999999999992,1072.77,km1,68708,68708,no
KaFFPa-StrongS*,AS365.graph,no,5,128,0.03,1,0.02994999999999992,845.844,km1,68850,68850,no
KaFFPa-StrongS*,AS365.graph,no,6,128,0.03,1,0.03004999999999991,976.06,km1,68923,68923,no
KaFFPa-StrongS*,AS365.graph,no,7,128,0.03,1,0.02994999999999992,849.43,km1,69364,69364,no
KaFFPa-StrongS*,AS365.graph,no,8,128,0.03,1,0.02994999999999992,1047.6,km1,68826,68826,no
KaFFPa-StrongS*,AS365.graph,no,9,128,0.03,1,0.029879999999999907,769.398,km1,68680,68680,no
KaFFPa-StrongS*,AS365.graph,no,10,16,0.03,1,0.0297400000000001,2049.26,km1,19941,19941,no
KaFFPa-StrongS*,AS365.graph,no,1,16,0.03,1,0.029979999999999896,1464.23,km1,20607,20607,no
KaFFPa-StrongS*,AS365.graph,no,2,16,0.03,1,0.029979999999999896,1531.77,km1,20635,20635,no
KaFFPa-StrongS*,AS365.graph,no,3,16,0.03,1,0.029879999999999907,1374.91,km1,20589,20589,no
KaFFPa-StrongS*,AS365.graph,no,4,16,0.03,1,0.029979999999999896,1266.0,km1,20420,20420,no
KaFFPa-StrongS*,AS365.graph,no,5,16,0.03,1,0.029879999999999907,1276.77,km1,20177,20177,no
KaFFPa-StrongS*,AS365.graph,no,6,16,0.03,1,0.029959999999999987,1417.51,km1,20236,20236,no
KaFFPa-StrongS*,AS365.graph,no,7,16,0.03,1,0.02998999999999996,1834.45,km1,20497,20497,no
KaFFPa-StrongS*,AS365.graph,no,8,16,0.03,1,0.029979999999999896,1665.27,km1,20622,20622,no
KaFFPa-StrongS*,AS365.graph,no,9,16,0.03,1,0.026270000000000016,1563.34,km1,20647,20647,no
KaFFPa-StrongS*,AS365.graph,no,10,2,0.03,1,0.0014799999999999258,4914.02,km1,2223,2223,no
KaFFPa-StrongS*,AS365.graph,no,1,2,0.03,1,0.0015000000000000568,3842.82,km1,2223,2223,no
KaFFPa-StrongS*,AS365.graph,no,2,2,0.03,1,0.0016300000000000203,4704.16,km1,2223,2223,no
KaFFPa-StrongS*,AS365.graph,no,3,2,0.03,1,0.0014799999999999258,3580.46,km1,2223,2223,no
KaFFPa-StrongS*,AS365.graph,no,4,2,0.03,1,0.0018299999999999983,4851.38,km1,2223,2223,no
KaFFPa-StrongS*,AS365.graph,no,5,2,0.03,1,0.0015000000000000568,3947.49,km1,2223,2223,no
KaFFPa-StrongS*,AS365.graph,no,6,2,0.03,1,0.0015600000000000058,5015.97,km1,2223,2223,no
KaFFPa-StrongS*,AS365.graph,no,7,2,0.03,1,0.0018000000000000238,3921.51,km1,2223,2223,no
KaFFPa-StrongS*,AS365.graph,no,8,2,0.03,1,0.0018299999999999983,4719.54,km1,2223,2223,no
KaFFPa-StrongS*,AS365.graph,no,9,2,0.03,1,0.0015799999999999148,3930.1,km1,2223,2223,no
KaFFPa-StrongS*,AS365.graph,no,10,32,0.03,1,0.029930000000000012,1043.0,km1,30737,30737,no
KaFFPa-StrongS*,AS365.graph,no,1,32,0.03,1,0.029530000000000056,880.577,km1,31192,31192,no
KaFFPa-StrongS*,AS365.graph,no,2,32,0.03,1,0.029979999999999896,963.463,km1,30860,30860,no
KaFFPa-StrongS*,AS365.graph,no,3,32,0.03,1,0.029959999999999987,942.353,km1,31107,31107,no
KaFFPa-StrongS*,AS365.graph,no,4,32,0.03,1,0.029979999999999896,1018.96,km1,31174,31174,no
KaFFPa-StrongS*,AS365.graph,no,5,32,0.03,1,0.029979999999999896,1090.56,km1,30692,30692,no
KaFFPa-StrongS*,AS365.graph,no,6,32,0.03,1,0.029979999999999896,869.246,km1,31076,31076,no
KaFFPa-StrongS*,AS365.graph,no,7,32,0.03,1,0.029979999999999896,818.202,km1,31077,31077,no
KaFFPa-StrongS*,AS365.graph,no,8,32,0.03,1,0.029970000000000052,978.408,km1,30943,30943,no
KaFFPa-StrongS*,AS365.graph,no,9,32,0.03,1,0.02994999999999992,669.452,km1,30733,30733,no
KaFFPa-StrongS*,AS365.graph,no,10,4,0.03,1,0.021689999999999987,4587.15,km1,6705,6705,no
KaFFPa-StrongS*,AS365.graph,no,1,4,0.03,1,0.021689999999999987,6609.45,km1,6705,6705,no
KaFFPa-StrongS*,AS365.graph,no,2,4,0.03,1,0.021700000000000053,5161.57,km1,6705,6705,no
KaFFPa-StrongS*,AS365.graph,no,3,4,0.03,1,0.021689999999999987,8003.52,km1,6705,6705,no
KaFFPa-StrongS*,AS365.graph,no,4,4,0.03,1,0.021689999999999987,8161.13,km1,6705,6705,no
KaFFPa-StrongS*,AS365.graph,no,5,4,0.03,1,0.021709999999999896,8334.55,km1,6705,6705,no
KaFFPa-StrongS*,AS365.graph,no,6,4,0.03,1,0.021689999999999987,8276.1,km1,6705,6705,no
KaFFPa-StrongS*,AS365.graph,no,7,4,0.03,1,0.02167999999999992,8642.65,km1,6705,6705,no
KaFFPa-StrongS*,AS365.graph,no,8,4,0.03,1,0.021810000000000107,8266.13,km1,6705,6705,no
KaFFPa-StrongS*,AS365.graph,no,9,4,0.03,1,0.021689999999999987,8325.62,km1,6705,6705,no
KaFFPa-StrongS*,AS365.graph,no,10,64,0.03,1,0.02994999999999992,963.728,km1,46999,46999,no
KaFFPa-StrongS*,AS365.graph,no,1,64,0.03,1,0.029970000000000052,698.868,km1,47184,47184,no
KaFFPa-StrongS*,AS365.graph,no,2,64,0.03,1,0.029970000000000052,893.584,km1,47157,47157,no
KaFFPa-StrongS*,AS365.graph,no,3,64,0.03,1,0.029970000000000052,683.422,km1,47264,47264,no
KaFFPa-StrongS*,AS365.graph,no,4,64,0.03,1,0.02994999999999992,963.531,km1,46601,46601,no
KaFFPa-StrongS*,AS365.graph,no,5,64,0.03,1,0.029970000000000052,649.518,km1,46946,46946,no
KaFFPa-StrongS*,AS365.graph,no,6,64,0.03,1,0.02994999999999992,855.273,km1,47248,47248,no
KaFFPa-StrongS*,AS365.graph,no,7,64,0.03,1,0.02994999999999992,716.386,km1,46888,46888,no
KaFFPa-StrongS*,AS365.graph,no,8,64,0.03,1,0.029970000000000052,885.106,km1,46838,46838,no
KaFFPa-StrongS*,AS365.graph,no,9,64,0.03,1,0.029970000000000052,634.646,km1,47280,47280,no
KaFFPa-StrongS*,AS365.graph,no,10,8,0.03,1,0.02994999999999992,5569.08,km1,11972,11972,no
