algorithm,graph,timeout,seed,k,epsilon,num_threads,imbalance,totalPartitionTime,objective,km1,cut,failed
KaFFPa-StrongS,AS365.graph,no,10,128,0.03,1,0.02994999999999992,1159.01,km1,68848,68848,no
KaFFPa-StrongS,AS365.graph,no,1,128,0.03,1,0.02994999999999992,869.659,km1,69431,69431,no
KaFFPa-StrongS,AS365.graph,no,2,128,0.03,1,0.02994999999999992,890.224,km1,69494,69494,no
KaFFPa-StrongS,AS365.graph,no,3,128,0.03,1,0.02994999999999992,865.111,km1,69119,69119,no
KaFFPa-StrongS,AS365.graph,no,4,128,0.03,1,0.02994999999999992,778.194,km1,69604,69604,no
KaFFPa-StrongS,AS365.graph,no,5,128,0.03,1,0.02994999999999992,1062.67,km1,69055,69055,no
KaFFPa-StrongS,AS365.graph,no,6,128,0.03,1,0.02994999999999992,1315.76,km1,69715,69715,no
KaFFPa-StrongS,AS365.graph,no,7,128,0.03,1,0.02994999999999992,1149.26,km1,69293,69293,no
KaFFPa-StrongS,AS365.graph,no,8,128,0.03,1,0.02994999999999992,1157.5,km1,69371,69371,no
KaFFPa-StrongS,AS365.graph,no,9,128,0.03,1,0.02994999999999992,1265.56,km1,68917,68917,no
KaFFPa-StrongS,AS365.graph,no,10,16,0.03,1,0.028729999999999922,1854.46,km1,20090,20090,no
KaFFPa-StrongS,AS365.graph,no,1,16,0.03,1,0.028329999999999966,1172.14,km1,20166,20166,no
KaFFPa-StrongS,AS365.graph,no,2,16,0.03,1,0.02943999999999991,1232.88,km1,20940,20940,no
KaFFPa-StrongS,AS365.graph,no,3,16,0.03,1,0.029930000000000012,1404.5,km1,20548,20548,no
KaFFPa-StrongS,AS365.graph,no,4,16,0.03,1,0.029930000000000012,1398.69,km1,20517,20517,no
KaFFPa-StrongS,AS365.graph,no,5,16,0.03,1,0.02971999999999997,1695.32,km1,20289,20289,no
KaFFPa-StrongS,AS365.graph,no,6,16,0.03,1,0.029979999999999896,1857.67,km1,20644,20644,no
KaFFPa-StrongS,AS365.graph,no,7,16,0.03,1,0.02961999999999998,1616.91,km1,20610,20610,no
KaFFPa-StrongS,AS365.graph,no,8,16,0.03,1,0.029870000000000063,1528.73,km1,19840,19840,no
KaFFPa-StrongS,AS365.graph,no,9,16,0.03,1,0.02998999999999996,1536.12,km1,20429,20429,no
KaFFPa-StrongS,AS365.graph,no,10,2,0.03,1,0.0018700000000000383,4911.02,km1,2223,2223,no
KaFFPa-StrongS,AS365.graph,no,1,2,0.03,1,0.0017499999999999183,3889.3,km1,2223,2223,no
KaFFPa-StrongS,AS365.graph,no,2,2,0.03,1,0.0016899999999999693,3789.19,km1,2223,2223,no
KaFFPa-StrongS,AS365.graph,no,3,2,0.03,1,0.0016099999999998893,3633.04,km1,2223,2223,no
KaFFPa-StrongS,AS365.graph,no,4,2,0.03,1,0.0019899999999999363,3895.25,km1,2223,2223,no
KaFFPa-StrongS,AS365.graph,no,5,2,0.03,1,0.0016499999999999293,5012.32,km1,2223,2223,no
KaFFPa-StrongS,AS365.graph,no,6,2,0.03,1,0.0015899999999999803,4985.63,km1,2223,2223,no
KaFFPa-StrongS,AS365.graph,no,7,2,0.03,1,0.0017899999999999583,5083.51,km1,2223,2223,no
KaFFPa-StrongS,AS365.graph,no,8,2,0.03,1,0.0018400000000000638,4728.85,km1,2223,2223,no
KaFFPa-StrongS,AS365.graph,no,9,2,0.03,1,0.0017599999999999838,4918.69,km1,2223,2223,no
