algorithm,graph,timeout,seed,k,epsilon,num_threads,imbalance,totalPartitionTime,objective,km1,cut,failed
KaFFPa-StrongS*,amazon-2008.graph,yes,10,128,0.03,1,1.0,2147483647,km1,2147483647,2147483647,no
KaFFPa-StrongS*,amazon-2008.graph,yes,1,128,0.03,1,1.0,2147483647,km1,2147483647,2147483647,no
KaFFPa-StrongS*,amazon-2008.graph,yes,2,128,0.03,1,1.0,2147483647,km1,2147483647,2147483647,no
KaFFPa-StrongS*,amazon-2008.graph,yes,3,128,0.03,1,1.0,2147483647,km1,2147483647,2147483647,no
KaFFPa-StrongS*,amazon-2008.graph,no,4,128,0.03,1,0.029770000000000074,25816.5,km1,409887,409887,no
KaFFPa-StrongS*,amazon-2008.graph,yes,5,128,0.03,1,1.0,2147483647,km1,2147483647,2147483647,no
KaFFPa-StrongS*,amazon-2008.graph,yes,6,128,0.03,1,1.0,2147483647,km1,2147483647,2147483647,no
KaFFPa-StrongS*,amazon-2008.graph,yes,7,128,0.03,1,1.0,2147483647,km1,2147483647,2147483647,no
KaFFPa-StrongS*,amazon-2008.graph,yes,8,128,0.03,1,1.0,2147483647,km1,2147483647,2147483647,no
KaFFPa-StrongS*,amazon-2008.graph,yes,9,128,0.03,1,1.0,2147483647,km1,2147483647,2147483647,no
KaFFPa-StrongS*,amazon-2008.graph,no,10,16,0.03,1,0.029959999999999987,2279.66,km1,229418,229418,no
KaFFPa-StrongS*,amazon-2008.graph,no,1,16,0.03,1,0.029959999999999987,2282.59,km1,229790,229790,no
KaFFPa-StrongS*,amazon-2008.graph,no,2,16,0.03,1,0.029959999999999987,2363.56,km1,229008,229008,no
KaFFPa-StrongS*,amazon-2008.graph,no,3,16,0.03,1,0.029959999999999987,1472.86,km1,233706,233706,no
KaFFPa-StrongS*,amazon-2008.graph,no,4,16,0.03,1,0.029959999999999987,2250.58,km1,235016,235016,no
KaFFPa-StrongS*,amazon-2008.graph,no,5,16,0.03,1,0.029959999999999987,1569.49,km1,233675,233675,no
KaFFPa-StrongS*,amazon-2008.graph,no,6,16,0.03,1,0.029959999999999987,1526.97,km1,233945,233945,no
KaFFPa-StrongS*,amazon-2008.graph,no,7,16,0.03,1,0.029959999999999987,1873.95,km1,236661,236661,no
KaFFPa-StrongS*,amazon-2008.graph,no,8,16,0.03,1,0.029959999999999987,2141.1,km1,233617,233617,no
KaFFPa-StrongS*,amazon-2008.graph,no,9,16,0.03,1,0.029959999999999987,2305.87,km1,230639,230639,no
KaFFPa-StrongS*,amazon-2008.graph,no,10,2,0.03,1,0.02998999999999996,222.267,km1,68432,68432,no
KaFFPa-StrongS*,amazon-2008.graph,no,1,2,0.03,1,0.02998999999999996,201.956,km1,73102,73102,no
KaFFPa-StrongS*,amazon-2008.graph,no,2,2,0.03,1,0.029970000000000052,201.019,km1,68353,68353,no
KaFFPa-StrongS*,amazon-2008.graph,no,3,2,0.03,1,0.02998999999999996,225.896,km1,67956,67956,no
KaFFPa-StrongS*,amazon-2008.graph,no,4,2,0.03,1,0.02998999999999996,165.148,km1,68326,68326,no
KaFFPa-StrongS*,amazon-2008.graph,no,5,2,0.03,1,0.02998999999999996,228.634,km1,67876,67876,no
KaFFPa-StrongS*,amazon-2008.graph,no,6,2,0.03,1,0.02998999999999996,222.728,km1,72053,72053,no
KaFFPa-StrongS*,amazon-2008.graph,no,7,2,0.03,1,0.02998999999999996,208.266,km1,68218,68218,no
KaFFPa-StrongS*,amazon-2008.graph,no,8,2,0.03,1,0.029979999999999896,216.883,km1,69262,69262,no
KaFFPa-StrongS*,amazon-2008.graph,no,9,2,0.03,1,0.02998999999999996,229.865,km1,69240,69240,no
KaFFPa-StrongS*,amazon-2008.graph,no,10,32,0.03,1,0.029940000000000078,4579.5,km1,290961,290961,no
KaFFPa-StrongS*,amazon-2008.graph,no,1,32,0.03,1,0.029940000000000078,3564.97,km1,292222,292222,no
KaFFPa-StrongS*,amazon-2008.graph,no,2,32,0.03,1,0.029940000000000078,3527.76,km1,290423,290423,no
KaFFPa-StrongS*,amazon-2008.graph,no,3,32,0.03,1,0.029940000000000078,7004.71,km1,288334,288334,no
KaFFPa-StrongS*,amazon-2008.graph,no,4,32,0.03,1,0.029940000000000078,5583.13,km1,285124,285124,no
KaFFPa-StrongS*,amazon-2008.graph,no,5,32,0.03,1,0.029940000000000078,5377.31,km1,291146,291146,no
KaFFPa-StrongS*,amazon-2008.graph,no,6,32,0.03,1,0.029940000000000078,5433.17,km1,291043,291043,no
KaFFPa-StrongS*,amazon-2008.graph,no,7,32,0.03,1,0.029940000000000078,6194.65,km1,288667,288667,no
KaFFPa-StrongS*,amazon-2008.graph,no,8,32,0.03,1,0.029940000000000078,5934.03,km1,291060,291060,no
KaFFPa-StrongS*,amazon-2008.graph,no,9,32,0.03,1,0.029940000000000078,5721.53,km1,287302,287302,no
KaFFPa-StrongS*,amazon-2008.graph,no,10,4,0.03,1,0.029979999999999896,438.843,km1,133081,133081,no
KaFFPa-StrongS*,amazon-2008.graph,no,1,4,0.03,1,0.02998999999999996,446.964,km1,135155,135155,no
KaFFPa-StrongS*,amazon-2008.graph,no,2,4,0.03,1,0.028410000000000046,441.643,km1,131488,131488,no
KaFFPa-StrongS*,amazon-2008.graph,no,3,4,0.03,1,0.02998999999999996,470.166,km1,134170,134170,no
KaFFPa-StrongS*,amazon-2008.graph,no,4,4,0.03,1,0.029979999999999896,513.898,km1,129878,129878,no
KaFFPa-StrongS*,amazon-2008.graph,no,5,4,0.03,1,0.029979999999999896,399.585,km1,133726,133726,no
KaFFPa-StrongS*,amazon-2008.graph,no,6,4,0.03,1,0.02998999999999996,409.339,km1,127234,127234,no
KaFFPa-StrongS*,amazon-2008.graph,no,7,4,0.03,1,0.02998999999999996,307.802,km1,133604,133604,no
KaFFPa-StrongS*,amazon-2008.graph,no,8,4,0.03,1,0.027740000000000098,298.121,km1,133793,133793,no
