algorithm,graph,timeout,seed,k,epsilon,num_threads,imbalance,totalPartitionTime,objective,km1,cut,failed
KaHyPar-R,amazon-2008.graph.hgr,no,10,128,0.03,1,0.0299391,220.494,km1,427370,427370,no
KaHyPar-R,amazon-2008.graph.hgr,no,1,128,0.03,1,0.0299391,167.91,km1,427370,427370,no
KaHyPar-R,amazon-2008.graph.hgr,no,2,128,0.03,1,0.0299391,220.247,km1,427370,427370,no
KaHyPar-R,amazon-2008.graph.hgr,no,3,128,0.03,1,0.0299391,169.058,km1,427370,427370,no
KaHyPar-R,amazon-2008.graph.hgr,no,4,128,0.03,1,0.0299391,218.713,km1,427370,427370,no
KaHyPar-R,amazon-2008.graph.hgr,no,5,128,0.03,1,0.0299391,167.804,km1,427370,427370,no
KaHyPar-R,amazon-2008.graph.hgr,no,6,128,0.03,1,0.0299391,220.575,km1,427370,427370,no
KaHyPar-R,amazon-2008.graph.hgr,no,7,128,0.03,1,0.0299391,168.845,km1,427370,427370,no
KaHyPar-R,amazon-2008.graph.hgr,no,8,128,0.03,1,0.0299391,219.022,km1,427370,427370,no
KaHyPar-R,amazon-2008.graph.hgr,no,9,128,0.03,1,0.0299391,167.864,km1,427370,427370,no
KaHyPar-R,amazon-2008.graph.hgr,no,10,16,0.03,1,0.0299839,165.341,km1,238852,238852,no
KaHyPar-R,amazon-2008.graph.hgr,no,1,16,0.03,1,0.0299839,166.616,km1,238852,238852,no
KaHyPar-R,amazon-2008.graph.hgr,no,2,16,0.03,1,0.0299839,166.469,km1,238852,238852,no
KaHyPar-R,amazon-2008.graph.hgr,no,3,16,0.03,1,0.0299839,164.263,km1,238852,238852,no
KaHyPar-R,amazon-2008.graph.hgr,no,4,16,0.03,1,0.0299839,164.599,km1,238852,238852,no
KaHyPar-R,amazon-2008.graph.hgr,no,5,16,0.03,1,0.0299839,164.439,km1,238852,238852,no
KaHyPar-R,amazon-2008.graph.hgr,no,6,16,0.03,1,0.0299839,164.544,km1,238852,238852,no
KaHyPar-R,amazon-2008.graph.hgr,no,7,16,0.03,1,0.0299839,164.332,km1,238852,238852,no
KaHyPar-R,amazon-2008.graph.hgr,no,8,16,0.03,1,0.0299839,164.218,km1,238852,238852,no
KaHyPar-R,amazon-2008.graph.hgr,no,9,16,0.03,1,0.0299839,165.181,km1,238852,238852,no
KaHyPar-R,amazon-2008.graph.hgr,no,10,2,0.03,1,0.0299949,932.903,km1,67017,67017,no
KaHyPar-R,amazon-2008.graph.hgr,no,1,2,0.03,1,0.0299949,927.161,km1,67017,67017,no
KaHyPar-R,amazon-2008.graph.hgr,no,2,2,0.03,1,0.0299949,932.429,km1,67017,67017,no
KaHyPar-R,amazon-2008.graph.hgr,no,3,2,0.03,1,0.0299949,937.774,km1,67017,67017,no
KaHyPar-R,amazon-2008.graph.hgr,no,4,2,0.03,1,0.0299949,935.655,km1,67017,67017,no
KaHyPar-R,amazon-2008.graph.hgr,no,5,2,0.03,1,0.0299949,930.552,km1,67017,67017,no
KaHyPar-R,amazon-2008.graph.hgr,no,6,2,0.03,1,0.0299949,930.122,km1,67017,67017,no
KaHyPar-R,amazon-2008.graph.hgr,no,7,2,0.03,1,0.0299949,929.024,km1,67017,67017,no
KaHyPar-R,amazon-2008.graph.hgr,no,8,2,0.03,1,0.0299949,938.556,km1,67017,67017,no
KaHyPar-R,amazon-2008.graph.hgr,no,9,2,0.03,1,0.0299949,930.746,km1,67017,67017,no
KaHyPar-R,amazon-2008.graph.hgr,no,10,32,0.03,1,0.0299839,161.605,km1,299163,299163,no
KaHyPar-R,amazon-2008.graph.hgr,no,1,32,0.03,1,0.0299839,162.233,km1,299163,299163,no
KaHyPar-R,amazon-2008.graph.hgr,no,2,32,0.03,1,0.0299839,162.412,km1,299163,299163,no
KaHyPar-R,amazon-2008.graph.hgr,no,3,32,0.03,1,0.0299839,162.291,km1,299163,299163,no
KaHyPar-R,amazon-2008.graph.hgr,no,4,32,0.03,1,0.0299839,162.561,km1,299163,299163,no
KaHyPar-R,amazon-2008.graph.hgr,no,5,32,0.03,1,0.0299839,161.51,km1,299163,299163,no
KaHyPar-R,amazon-2008.graph.hgr,no,6,32,0.03,1,0.0299839,161.54,km1,299163,299163,no
KaHyPar-R,amazon-2008.graph.hgr,no,7,32,0.03,1,0.0299839,161.772,km1,299163,299163,no
KaHyPar-R,amazon-2008.graph.hgr,no,8,32,0.03,1,0.0299839,161.914,km1,299163,299163,no
KaHyPar-R,amazon-2008.graph.hgr,no,9,32,0.03,1,0.0299839,161.497,km1,299163,299163,no
KaHyPar-R,amazon-2008.graph.hgr,no,10,4,0.03,1,0.0299949,426.233,km1,130049,130049,no
KaHyPar-R,amazon-2008.graph.hgr,no,1,4,0.03,1,0.0299949,309.58,km1,130049,130049,no
KaHyPar-R,amazon-2008.graph.hgr,no,2,4,0.03,1,0.0299949,309.52,km1,130049,130049,no
KaHyPar-R,amazon-2008.graph.hgr,no,3,4,0.03,1,0.0299949,309.516,km1,130049,130049,no
KaHyPar-R,amazon-2008.graph.hgr,no,4,4,0.03,1,0.0299949,309.45,km1,130049,130049,no
KaHyPar-R,amazon-2008.graph.hgr,no,5,4,0.03,1,0.0299949,424.361,km1,130049,130049,no
KaHyPar-R,amazon-2008.graph.hgr,no,6,4,0.03,1,0.0299949,424.618,km1,130049,130049,no
KaHyPar-R,amazon-2008.graph.hgr,no,7,4,0.03,1,0.0299949,425.5,km1,130049,130049,no
KaHyPar-R,amazon-2008.graph.hgr,no,8,4,0.03,1,0.0299949,424.018,km1,130049,130049,no
KaHyPar-R,amazon-2008.graph.hgr,no,9,4,0.03,1,0.0299949,425.839,km1,130049,130049,no
KaHyPar-R,amazon-2008.graph.hgr,no,10,64,0.03,1,0.0299391,223.929,km1,363327,363327,no
KaHyPar-R,amazon-2008.graph.hgr,no,1,64,0.03,1,0.0299391,172.304,km1,363327,363327,no
KaHyPar-R,amazon-2008.graph.hgr,no,2,64,0.03,1,0.0299391,172.114,km1,363327,363327,no
KaHyPar-R,amazon-2008.graph.hgr,no,3,64,0.03,1,0.0299391,172.162,km1,363327,363327,no
KaHyPar-R,amazon-2008.graph.hgr,no,4,64,0.03,1,0.0299391,172.146,km1,363327,363327,no
KaHyPar-R,amazon-2008.graph.hgr,no,5,64,0.03,1,0.0299391,172.132,km1,363327,363327,no
KaHyPar-R,amazon-2008.graph.hgr,no,6,64,0.03,1,0.0299391,172.033,km1,363327,363327,no
KaHyPar-R,amazon-2008.graph.hgr,no,7,64,0.03,1,0.0299391,171.814,km1,363327,363327,no
