algorithm,graph,timeout,seed,k,epsilon,num_threads,imbalance,totalPartitionTime,objective,km1,cut,failed
KaHyPar-R,AS365.graph.hgr,no,10,128,0.03,1,0.0298834,826.687,km1,70758,70758,no
KaHyPar-R,AS365.graph.hgr,no,1,128,0.03,1,0.0298834,636.926,km1,70758,70758,no
KaHyPar-R,AS365.graph.hgr,no,2,128,0.03,1,0.0298834,821.564,km1,70758,70758,no
KaHyPar-R,AS365.graph.hgr,no,3,128,0.03,1,0.0298834,646.955,km1,70758,70758,no
KaHyPar-R,AS365.graph.hgr,no,4,128,0.03,1,0.0298834,820.71,km1,70758,70758,no
KaHyPar-R,AS365.graph.hgr,no,5,128,0.03,1,0.0298834,638.997,km1,70758,70758,no
KaHyPar-R,AS365.graph.hgr,no,6,128,0.03,1,0.0298834,819.916,km1,70758,70758,no
KaHyPar-R,AS365.graph.hgr,no,7,128,0.03,1,0.0298834,640.427,km1,70758,70758,no
KaHyPar-R,AS365.graph.hgr,no,8,128,0.03,1,0.0298834,816.039,km1,70758,70758,no
KaHyPar-R,AS365.graph.hgr,no,9,128,0.03,1,0.0298834,637.361,km1,70758,70758,no
KaHyPar-R,AS365.graph.hgr,no,10,16,0.03,1,0.0299004,1321.1,km1,21068,21068,no
KaHyPar-R,AS365.graph.hgr,no,1,16,0.03,1,0.0299004,1322.64,km1,21068,21068,no
KaHyPar-R,AS365.graph.hgr,no,2,16,0.03,1,0.0299004,1322.93,km1,21068,21068,no
KaHyPar-R,AS365.graph.hgr,no,3,16,0.03,1,0.0299004,1323.89,km1,21068,21068,no
KaHyPar-R,AS365.graph.hgr,no,4,16,0.03,1,0.0299004,1322.87,km1,21068,21068,no
KaHyPar-R,AS365.graph.hgr,no,5,16,0.03,1,0.0299004,1323.19,km1,21068,21068,no
KaHyPar-R,AS365.graph.hgr,no,6,16,0.03,1,0.0299004,1323.82,km1,21068,21068,no
KaHyPar-R,AS365.graph.hgr,no,7,16,0.03,1,0.0299004,1320.91,km1,21068,21068,no
KaHyPar-R,AS365.graph.hgr,no,8,16,0.03,1,0.0299004,1321.43,km1,21068,21068,no
KaHyPar-R,AS365.graph.hgr,no,9,16,0.03,1,0.0299004,1322.39,km1,21068,21068,no
KaHyPar-R,AS365.graph.hgr,no,10,2,0.03,1,0.0014787,852.2,km1,2223,2223,no
KaHyPar-R,AS365.graph.hgr,no,1,2,0.03,1,0.0014787,846.769,km1,2223,2223,no
KaHyPar-R,AS365.graph.hgr,no,2,2,0.03,1,0.0014787,1122.28,km1,2223,2223,no
KaHyPar-R,AS365.graph.hgr,no,3,2,0.03,1,0.0014787,846.55,km1,2223,2223,no
KaHyPar-R,AS365.graph.hgr,no,4,2,0.03,1,0.0014787,1110.78,km1,2223,2223,no
KaHyPar-R,AS365.graph.hgr,no,5,2,0.03,1,0.0014787,847.938,km1,2223,2223,no
KaHyPar-R,AS365.graph.hgr,no,6,2,0.03,1,0.0014787,1125.81,km1,2223,2223,no
KaHyPar-R,AS365.graph.hgr,no,7,2,0.03,1,0.0014787,850.336,km1,2223,2223,no
KaHyPar-R,AS365.graph.hgr,no,8,2,0.03,1,0.0014787,851.045,km1,2223,2223,no
KaHyPar-R,AS365.graph.hgr,no,9,2,0.03,1,0.0014787,850.39,km1,2223,2223,no
KaHyPar-R,AS365.graph.hgr,no,10,32,0.03,1,0.0299508,1075.96,km1,32049,32049,no
KaHyPar-R,AS365.graph.hgr,no,1,32,0.03,1,0.0299508,824.632,km1,32049,32049,no
KaHyPar-R,AS365.graph.hgr,no,2,32,0.03,1,0.0299508,823.087,km1,32049,32049,no
KaHyPar-R,AS365.graph.hgr,no,3,32,0.03,1,0.0299508,828.982,km1,32049,32049,no
KaHyPar-R,AS365.graph.hgr,no,4,32,0.03,1,0.0299508,828.858,km1,32049,32049,no
KaHyPar-R,AS365.graph.hgr,no,5,32,0.03,1,0.0299508,828.869,km1,32049,32049,no
KaHyPar-R,AS365.graph.hgr,no,6,32,0.03,1,0.0299508,830.086,km1,32049,32049,no
KaHyPar-R,AS365.graph.hgr,no,7,32,0.03,1,0.0299508,827.776,km1,32049,32049,no
KaHyPar-R,AS365.graph.hgr,no,8,32,0.03,1,0.0299508,829.017,km1,32049,32049,no
KaHyPar-R,AS365.graph.hgr,no,9,32,0.03,1,0.0299508,826.776,km1,32049,32049,no
KaHyPar-R,AS365.graph.hgr,no,10,4,0.03,1,0.0216841,906.786,km1,6705,6705,no
KaHyPar-R,AS365.graph.hgr,no,1,4,0.03,1,0.0216841,905.702,km1,6705,6705,no
KaHyPar-R,AS365.graph.hgr,no,2,4,0.03,1,0.0216841,905.841,km1,6705,6705,no
KaHyPar-R,AS365.graph.hgr,no,3,4,0.03,1,0.0216841,1183.78,km1,6705,6705,no
KaHyPar-R,AS365.graph.hgr,no,4,4,0.03,1,0.0216841,1178.79,km1,6705,6705,no
KaHyPar-R,AS365.graph.hgr,no,5,4,0.03,1,0.0216841,1182.37,km1,6705,6705,no
KaHyPar-R,AS365.graph.hgr,no,6,4,0.03,1,0.0216841,1182.33,km1,6705,6705,no
KaHyPar-R,AS365.graph.hgr,no,7,4,0.03,1,0.0216841,1180.17,km1,6705,6705,no
KaHyPar-R,AS365.graph.hgr,no,8,4,0.03,1,0.0216841,1181.13,km1,6705,6705,no
KaHyPar-R,AS365.graph.hgr,no,9,4,0.03,1,0.0216841,905.947,km1,6705,6705,no
KaHyPar-R,AS365.graph.hgr,no,10,64,0.03,1,0.0286706,959.82,km1,48347,48347,no
KaHyPar-R,AS365.graph.hgr,no,1,64,0.03,1,0.0286706,743.682,km1,48347,48347,no
KaHyPar-R,AS365.graph.hgr,no,2,64,0.03,1,0.0286706,955.749,km1,48347,48347,no
KaHyPar-R,AS365.graph.hgr,no,3,64,0.03,1,0.0286706,742.0,km1,48347,48347,no
KaHyPar-R,AS365.graph.hgr,no,4,64,0.03,1,0.0286706,965.502,km1,48347,48347,no
KaHyPar-R,AS365.graph.hgr,no,5,64,0.03,1,0.0286706,743.052,km1,48347,48347,no
KaHyPar-R,AS365.graph.hgr,no,6,64,0.03,1,0.0286706,964.012,km1,48347,48347,no
KaHyPar-R,AS365.graph.hgr,no,7,64,0.03,1,0.0286706,741.89,km1,48347,48347,no
KaHyPar-R,AS365.graph.hgr,no,8,64,0.03,1,0.0286706,963.661,km1,48347,48347,no
KaHyPar-R,AS365.graph.hgr,no,9,64,0.03,1,0.0286706,742.262,km1,48347,48347,no
KaHyPar-R,AS365.graph.hgr,no,10,8,0.03,1,0.0227959,905.317,km1,12188,12188,no
KaHyPar-R,AS365.graph.hgr,no,1,8,0.03,1,0.0227959,908.035,km1,12188,12188,no
