algorithm,graph,timeout,seed,k,epsilon,imbalance,totalPartitionTime,objective,km1,cut,failed
hMetis-K,dac2012_superblue12.hgr,no,1,16,0.03,0.029995293884526708,379.708,km1,26881,23120,no
hMetis-K,dac2012_superblue12.hgr,no,7,16,0.03,0.029995293884526708,379.182,km1,26970,22748,no
hMetis-K,dac2012_superblue12.hgr,no,8,16,0.03,0.029995293884526708,385.157,km1,27458,23382,no
hMetis-K,dac2012_superblue12.hgr,no,0,32,0.03,0.029995293884526708,417.322,km1,43175,34170,no
hMetis-K,dac2012_superblue12.hgr,no,1,32,0.03,0.029995293884526708,421.623,km1,42865,34007,no
hMetis-K,dac2012_superblue12.hgr,no,3,32,0.03,0.029995293884526708,528.179,km1,42434,34461,no
hMetis-K,dac2012_superblue12.hgr,no,5,32,0.03,0.029995293884526708,529.234,km1,45013,35928,no
hMetis-K,dac2012_superblue12.hgr,no,6,32,0.03,0.029995293884526708,535.398,km1,44181,35650,no
hMetis-K,dac2012_superblue12.hgr,no,0,64,0.03,0.08842324268093327,610.266,km1,71357,50746,no
hMetis-K,dac2012_superblue12.hgr,no,1,64,0.03,0.029969782533313616,611.234,km1,69325,51275,no
hMetis-K,dac2012_superblue12.hgr,no,2,64,0.03,0.030564224500916337,615.771,km1,70093,51991,no
hMetis-K,dac2012_superblue12.hgr,no,3,64,0.03,0.03923316986179226,620.719,km1,70559,50641,no
hMetis-K,dac2012_superblue12.hgr,no,4,64,0.03,0.05057710407688121,612.604,km1,67868,51714,no
hMetis-K,dac2012_superblue12.hgr,no,5,64,0.03,0.04275028483677623,608.433,km1,72519,51515,no
hMetis-K,dac2012_superblue12.hgr,no,8,8,0.03,0.029976717112921936,359.332,km1,18871,16748,no
hMetis-K,dac2012_superblue14.hgr,no,1,16,0.03,0.02995485212803728,142.421,km1,19865,16519,no
hMetis-K,dac2012_superblue14.hgr,no,2,16,0.03,0.02995485212803728,185.532,km1,19331,16384,no
hMetis-K,dac2012_superblue14.hgr,no,3,16,0.03,0.02995485212803728,185.458,km1,18658,15805,no
hMetis-K,dac2012_superblue14.hgr,no,4,2,0.03,0.0,152.281,km1,3888,3888,no
hMetis-K,dac2012_superblue14.hgr,no,7,8,0.03,0.02992986772520334,131.341,km1,13427,12251,no
hMetis-K,ESOC.mtx.hgr,no,9,128,0.03,0.013513513513513598,21724.117,km1,451831,327062,no
hMetis-K,ESOC.mtx.hgr,yes,4,64,0.03,1.0,28800,km1,2147483647,2147483647,no
hMetis-K,ESOC.mtx.hgr,yes,7,64,0.03,1.0,28800,km1,2147483647,2147483647,no
hMetis-K,gupta3.mtx.hgr,no,0,128,0.03,0.11363636363636354,15813.232,km1,197048,16783,no
hMetis-K,gupta3.mtx.hgr,no,1,128,0.03,0.09090909090909083,14437.232,km1,195933,16783,no
hMetis-K,gupta3.mtx.hgr,no,2,128,0.03,0.07575757575757569,15214.317,km1,193533,16783,no
hMetis-K,gupta3.mtx.hgr,no,3,32,0.03,0.02857142857142847,1418.339,km1,88763,16783,no
