algorithm,graph,timeout,seed,k,epsilon,imbalance,totalPartitionTime,objective,km1,cut,failed
hMetis-R,192bit.mtx.hgr,no,0,128,0.03,0.0,105.217,km1,69024,13691,no
hMetis-R,192bit.mtx.hgr,no,1,128,0.03,0.0,80.274,km1,69024,13691,no
hMetis-R,192bit.mtx.hgr,no,2,128,0.03,0.0,83.21,km1,69045,13691,no
hMetis-R,192bit.mtx.hgr,no,3,128,0.03,0.0,82.458,km1,69035,13691,no
hMetis-R,192bit.mtx.hgr,no,4,128,0.03,0.0,83.908,km1,68999,13691,no
hMetis-R,192bit.mtx.hgr,no,5,128,0.03,0.0,80.654,km1,69059,13691,no
hMetis-R,192bit.mtx.hgr,no,6,128,0.03,0.0,85.124,km1,69054,13691,no
hMetis-R,192bit.mtx.hgr,no,7,128,0.03,0.0,86.538,km1,69040,13691,no
hMetis-R,192bit.mtx.hgr,no,8,128,0.03,0.0,89.79,km1,69054,13691,no
hMetis-R,192bit.mtx.hgr,no,9,128,0.03,0.0,115.366,km1,68979,13691,no
hMetis-R,192bit.mtx.hgr,no,0,16,0.03,0.0,90.98,km1,37195,13682,no
hMetis-R,192bit.mtx.hgr,no,1,16,0.03,0.0,68.874,km1,37195,13682,no
hMetis-R,192bit.mtx.hgr,no,2,16,0.03,0.0,69.172,km1,37204,13681,no
hMetis-R,192bit.mtx.hgr,no,3,16,0.03,0.0,63.548,km1,37246,13682,no
hMetis-R,192bit.mtx.hgr,no,4,16,0.03,0.0,71.887,km1,37235,13683,no
hMetis-R,192bit.mtx.hgr,no,5,16,0.03,0.0,68.225,km1,37260,13685,no
hMetis-R,192bit.mtx.hgr,no,6,16,0.03,0.0,74.274,km1,37233,13684,no
hMetis-R,192bit.mtx.hgr,no,7,16,0.03,0.0,70.913,km1,37226,13684,no
hMetis-R,192bit.mtx.hgr,no,8,16,0.03,0.0,76.369,km1,37202,13683,no
hMetis-R,192bit.mtx.hgr,no,9,16,0.03,0.0,89.046,km1,37224,13683,no
hMetis-R,192bit.mtx.hgr,no,0,2,0.03,0.0,31.392,km1,7879,7879,no
hMetis-R,192bit.mtx.hgr,no,1,2,0.03,0.0,32.115,km1,7879,7879,no
hMetis-R,192bit.mtx.hgr,no,2,2,0.03,0.0,27.296,km1,7878,7878,no
hMetis-R,192bit.mtx.hgr,no,3,2,0.03,0.0,31.431,km1,7875,7875,no
hMetis-R,192bit.mtx.hgr,no,4,2,0.03,0.0,32.483,km1,7865,7865,no
hMetis-R,192bit.mtx.hgr,no,5,2,0.03,0.0,33.705,km1,7883,7883,no
hMetis-R,192bit.mtx.hgr,no,6,2,0.03,0.0,28.296,km1,7860,7860,no
hMetis-R,192bit.mtx.hgr,no,7,2,0.03,0.0,28.411,km1,7873,7873,no
hMetis-R,192bit.mtx.hgr,no,8,2,0.03,0.0,33.886,km1,7884,7884,no
hMetis-R,192bit.mtx.hgr,no,9,2,0.03,0.0,31.843,km1,7871,7871,no
hMetis-R,192bit.mtx.hgr,no,0,32,0.03,0.0,99.233,km1,47999,13691,no
hMetis-R,192bit.mtx.hgr,no,1,32,0.03,0.0,99.063,km1,47999,13691,no
hMetis-R,192bit.mtx.hgr,no,2,32,0.03,0.0,101.416,km1,47965,13691,no
hMetis-R,192bit.mtx.hgr,no,3,32,0.03,0.0,72.58,km1,48020,13691,no
hMetis-R,192bit.mtx.hgr,no,4,32,0.03,0.0,80.878,km1,47910,13691,no
hMetis-R,192bit.mtx.hgr,no,5,32,0.03,0.0,103.446,km1,47976,13691,no
hMetis-R,192bit.mtx.hgr,no,6,32,0.03,0.0,76.85,km1,47953,13691,no
hMetis-R,192bit.mtx.hgr,no,7,32,0.03,0.0,73.705,km1,47978,13691,no
hMetis-R,192bit.mtx.hgr,no,8,32,0.03,0.0,98.527,km1,47958,13691,no
