algorithm,graph,timeout,seed,k,epsilon,imbalance,totalPartitionTime,objective,km1,cut,failed
HYPE,192bit.mtx.hgr,no,-1,128,0.03,0.00970874,0.075,km1,120970,13685,no
HYPE,192bit.mtx.hgr,no,-1,16,0.03,0.001221,0.082,km1,85627,13673,no
HYPE,192bit.mtx.hgr,no,-1,2,0.03,0.000152742,0.081,km1,13048,13048,no
HYPE,192bit.mtx.hgr,no,-1,32,0.03,0.00243902,0.084,km1,100813,13677,no
HYPE,192bit.mtx.hgr,no,-1,4,0.03,0.000305437,0.083,km1,33658,13623,no
HYPE,192bit.mtx.hgr,no,-1,64,0.03,0.00487805,0.08,km1,113547,13680,no
HYPE,192bit.mtx.hgr,no,-1,8,0.03,0.000610874,0.08,km1,59170,13658,no
HYPE,2cubes_sphere.mtx.hgr,no,-1,128,0.03,0.00126103,0.739,km1,188721,87124,no
HYPE,2cubes_sphere.mtx.hgr,no,-1,16,0.03,0.000157629,0.747,km1,115072,71756,no
HYPE,2cubes_sphere.mtx.hgr,no,-1,2,0.03,0.0,0.795,km1,34515,34515,no
HYPE,2cubes_sphere.mtx.hgr,no,-1,32,0.03,0.000315259,0.744,km1,131703,74552,no
HYPE,2cubes_sphere.mtx.hgr,no,-1,4,0.03,0.0,0.805,km1,67845,55686,no
HYPE,2cubes_sphere.mtx.hgr,no,-1,64,0.03,0.000630517,0.769,km1,160136,81633,no
HYPE,2cubes_sphere.mtx.hgr,no,-1,8,0.03,7.88208e-05,0.786,km1,92213,65319,no
HYPE,2D_54019_highK.mtx.hgr,no,-1,128,0.03,0.00236407,0.296,km1,45427,32609,no
HYPE,2D_54019_highK.mtx.hgr,no,-1,16,0.03,0.000296121,0.33,km1,25811,21653,no
HYPE,2D_54019_highK.mtx.hgr,no,-1,2,0.03,3.70233e-05,0.343,km1,10551,10551,no
HYPE,2D_54019_highK.mtx.hgr,no,-1,32,0.03,0.000592066,0.305,km1,29503,23500,no
HYPE,2D_54019_highK.mtx.hgr,no,-1,4,0.03,7.40466e-05,0.333,km1,16521,15379,no
HYPE,2D_54019_highK.mtx.hgr,no,-1,64,0.03,0.00118343,0.301,km1,35942,27620,no
HYPE,2D_54019_highK.mtx.hgr,no,-1,8,0.03,0.000148082,0.33,km1,21199,18197,no
HYPE,3Dspectralwave2.mtx.hgr,no,-1,128,0.03,0.000438212,3.137,km1,544128,235657,no
HYPE,3Dspectralwave2.mtx.hgr,no,-1,16,0.03,5.47915e-05,3.232,km1,235524,159856,no
HYPE,3Dspectralwave2.mtx.hgr,no,-1,2,0.03,0.0,3.358,km1,40191,40191,no
HYPE,3Dspectralwave2.mtx.hgr,no,-1,32,0.03,0.000109577,3.154,km1,313094,188956,no
HYPE,3Dspectralwave2.mtx.hgr,no,-1,4,0.03,0.0,3.272,km1,91456,80233,no
HYPE,3Dspectralwave2.mtx.hgr,no,-1,64,0.03,0.000219154,3.107,km1,416759,214994,no
HYPE,3Dspectralwave2.mtx.hgr,no,-1,8,0.03,0.0,3.323,km1,149240,118680,no
HYPE,ABACUS_shell_hd.mtx.hgr,no,-1,128,0.03,0.00546448,0.084,km1,21382,15104,no
HYPE,ABACUS_shell_hd.mtx.hgr,no,-1,16,0.03,0.00068306,0.087,km1,11512,9847,no
HYPE,ABACUS_shell_hd.mtx.hgr,no,-1,2,0.03,0.0,0.098,km1,5255,5255,no
HYPE,ABACUS_shell_hd.mtx.hgr,no,-1,32,0.03,0.00136612,0.087,km1,14088,11507,no
HYPE,ABACUS_shell_hd.mtx.hgr,no,-1,4,0.03,0.0,0.104,km1,8170,7592,no
HYPE,ABACUS_shell_hd.mtx.hgr,no,-1,64,0.03,0.00273224,0.09,km1,17246,13259,no
HYPE,ABACUS_shell_hd.mtx.hgr,no,-1,8,0.03,0.000341647,0.098,km1,10180,9089,no
