algorithm,graph,timeout,seed,k,epsilon,imbalance,totalPartitionTime,objective,km1,cut,failed
Mondriaan,Chebyshev4.mtx.hgr,no,8,128,0.03,0.0281426,193.164865732193,km1,50483,21578,no
Mondriaan,dac2012_superblue12.hgr,no,2,128,0.03,0.0299188,79.40334558486938,km1,131198,107110,no
Mondriaan,dac2012_superblue12.hgr,no,3,128,0.03,0.0299188,123.26943349838257,km1,124726,104749,no
Mondriaan,dac2012_superblue12.hgr,no,4,128,0.03,0.0299188,80.6120982170105,km1,124579,104278,no
Mondriaan,dac2012_superblue12.hgr,no,7,128,0.03,0.0299188,120.43656849861145,km1,127651,106818,no
Mondriaan,dac2012_superblue12.hgr,no,8,128,0.03,0.0299188,80.0917181968689,km1,129240,106573,no
Mondriaan,dac2012_superblue12.hgr,no,6,16,0.03,0.0299953,78.19274258613586,km1,35416,33347,no
Mondriaan,dac2012_superblue12.hgr,no,7,16,0.03,0.0299953,51.198115825653076,km1,36872,34481,no
Mondriaan,dac2012_superblue12.hgr,no,2,32,0.03,0.0299953,59.50926089286804,km1,53459,49007,no
Mondriaan,dac2012_superblue12.hgr,no,4,32,0.03,0.0299953,62.51053023338318,km1,53773,49720,no
Mondriaan,dac2012_superblue12.hgr,no,5,32,0.03,0.0299953,90.85102891921997,km1,54726,49446,no
Mondriaan,dac2012_superblue12.hgr,no,7,32,0.03,0.0299953,60.61343312263489,km1,57861,52188,no
Mondriaan,dac2012_superblue12.hgr,no,8,32,0.03,0.0299953,92.33885359764099,km1,55421,50017,no
Mondriaan,dac2012_superblue12.hgr,no,9,32,0.03,0.0299953,62.597421646118164,km1,52897,48279,no
Mondriaan,dac2012_superblue12.hgr,no,6,4,0.03,0.0285433,31.54188632965088,km1,21018,20760,no
Mondriaan,dac2012_superblue12.hgr,no,9,4,0.03,0.0234625,30.819743156433105,km1,21424,21169,no
Mondriaan,dac2012_superblue12.hgr,no,7,64,0.03,0.0299698,68.22062659263611,km1,86333,74339,no
Mondriaan,dac2012_superblue12.hgr,no,8,64,0.03,0.0299698,70.20683312416077,km1,91523,78256,no
Mondriaan,dac2012_superblue12.hgr,no,2,8,0.03,0.0296609,41.51752305030823,km1,32999,32386,no
Mondriaan,dac2012_superblue12.hgr,no,5,8,0.03,0.0276484,63.56736397743225,km1,27630,26803,no
Mondriaan,dac2012_superblue12.hgr,no,7,8,0.03,0.0299953,40.7658166885376,km1,32720,30775,no
Mondriaan,dac2012_superblue14.hgr,no,0,2,0.03,0.0299111,7.399635076522827,km1,7639,7639,no
Mondriaan,dac2012_superblue14.hgr,no,2,2,0.03,0.029797,7.767935276031494,km1,5548,5548,no
Mondriaan,dac2012_superblue14.hgr,no,8,2,0.03,0.0299175,11.151025295257568,km1,5317,5317,no
Mondriaan,dac2012_superblue14.hgr,no,9,2,0.03,0.0106499,7.05087685585022,km1,4171,4171,no
Mondriaan,dac2012_superblue14.hgr,no,2,4,0.03,0.0291057,12.254360437393188,km1,11281,10998,no
Mondriaan,dac2012_superblue14.hgr,no,4,4,0.03,0.0275712,11.723763704299927,km1,8718,8468,no
Mondriaan,dac2012_superblue14.hgr,no,5,4,0.03,0.0288711,12.325599670410156,km1,9848,9568,no
Mondriaan,dac2012_superblue14.hgr,no,6,4,0.03,0.017083,11.651870012283325,km1,8733,8594,no
Mondriaan,dac2012_superblue14.hgr,no,7,4,0.03,0.0299491,11.433189153671265,km1,9014,8821,no
Mondriaan,dac2012_superblue14.hgr,no,8,4,0.03,0.0292706,11.801939725875854,km1,10271,10092,no
Mondriaan,sat14_9vliw_m_9stages_iq3_C1_bug8.cnf.dual.hgr,yes,1,128,0.03,1.0,28800,km1,2147483647,2147483647,no
Mondriaan,sat14_9vliw_m_9stages_iq3_C1_bug8.cnf.dual.hgr,yes,2,128,0.03,1.0,28800,km1,2147483647,2147483647,no
Mondriaan,sat14_9vliw_m_9stages_iq3_C1_bug8.cnf.dual.hgr,yes,4,128,0.03,1.0,28800,km1,2147483647,2147483647,no
Mondriaan,sat14_9vliw_m_9stages_iq3_C1_bug8.cnf.dual.hgr,yes,5,128,0.03,1.0,28800,km1,2147483647,2147483647,no
Mondriaan,sat14_9vliw_m_9stages_iq3_C1_bug8.cnf.dual.hgr,yes,7,128,0.03,1.0,28800,km1,2147483647,2147483647,no
Mondriaan,sat14_9vliw_m_9stages_iq3_C1_bug8.cnf.dual.hgr,yes,8,128,0.03,1.0,28800,km1,2147483647,2147483647,no
Mondriaan,sat14_9vliw_m_9stages_iq3_C1_bug8.cnf.dual.hgr,yes,3,16,0.03,1.0,28800,km1,2147483647,2147483647,no
Mondriaan,sat14_9vliw_m_9stages_iq3_C1_bug8.cnf.dual.hgr,yes,6,16,0.03,1.0,28800,km1,2147483647,2147483647,no
Mondriaan,sat14_9vliw_m_9stages_iq3_C1_bug8.cnf.dual.hgr,yes,9,16,0.03,1.0,28800,km1,2147483647,2147483647,no
Mondriaan,sat14_9vliw_m_9stages_iq3_C1_bug8.cnf.dual.hgr,yes,2,2,0.03,1.0,28800,km1,2147483647,2147483647,no
Mondriaan,sat14_9vliw_m_9stages_iq3_C1_bug8.cnf.dual.hgr,yes,4,2,0.03,1.0,28800,km1,2147483647,2147483647,no
Mondriaan,sat14_9vliw_m_9stages_iq3_C1_bug8.cnf.dual.hgr,yes,5,2,0.03,1.0,28800,km1,2147483647,2147483647,no
Mondriaan,sat14_9vliw_m_9stages_iq3_C1_bug8.cnf.dual.hgr,yes,8,2,0.03,1.0,28800,km1,2147483647,2147483647,no
Mondriaan,sat14_9vliw_m_9stages_iq3_C1_bug8.cnf.dual.hgr,yes,2,32,0.03,1.0,28800,km1,2147483647,2147483647,no
Mondriaan,sat14_9vliw_m_9stages_iq3_C1_bug8.cnf.dual.hgr,yes,5,32,0.03,1.0,28800,km1,2147483647,2147483647,no
Mondriaan,sat14_9vliw_m_9stages_iq3_C1_bug8.cnf.dual.hgr,yes,7,32,0.03,1.0,28800,km1,2147483647,2147483647,no
Mondriaan,sat14_9vliw_m_9stages_iq3_C1_bug8.cnf.dual.hgr,yes,8,32,0.03,1.0,28800,km1,2147483647,2147483647,no
Mondriaan,sat14_9vliw_m_9stages_iq3_C1_bug8.cnf.dual.hgr,yes,0,4,0.03,1.0,28800,km1,2147483647,2147483647,no
Mondriaan,sat14_9vliw_m_9stages_iq3_C1_bug8.cnf.dual.hgr,yes,3,4,0.03,1.0,28800,km1,2147483647,2147483647,no
Mondriaan,sat14_9vliw_m_9stages_iq3_C1_bug8.cnf.dual.hgr,yes,6,4,0.03,1.0,28800,km1,2147483647,2147483647,no
Mondriaan,sat14_9vliw_m_9stages_iq3_C1_bug8.cnf.dual.hgr,yes,9,4,0.03,1.0,28800,km1,2147483647,2147483647,no
Mondriaan,sat14_9vliw_m_9stages_iq3_C1_bug8.cnf.dual.hgr,yes,0,64,0.03,1.0,28800,km1,2147483647,2147483647,no
Mondriaan,sat14_9vliw_m_9stages_iq3_C1_bug8.cnf.dual.hgr,yes,3,64,0.03,1.0,28800,km1,2147483647,2147483647,no
Mondriaan,sat14_9vliw_m_9stages_iq3_C1_bug8.cnf.dual.hgr,yes,6,64,0.03,1.0,28800,km1,2147483647,2147483647,no
Mondriaan,sat14_9vliw_m_9stages_iq3_C1_bug8.cnf.dual.hgr,yes,9,64,0.03,1.0,28800,km1,2147483647,2147483647,no
