algorithm,graph,timeout,seed,k,epsilon,imbalance,totalPartitionTime,objective,km1,cut,failed
PaToH-D,192bit.mtx.hgr,no,0,128,0.03,0.019734,0.327929,km1,68940,13691,no
PaToH-D,192bit.mtx.hgr,no,1,128,0.03,0.019734,0.318282,km1,68940,13691,no
PaToH-D,192bit.mtx.hgr,no,2,128,0.03,0.019734,0.301849,km1,68963,13691,no
PaToH-D,192bit.mtx.hgr,no,3,128,0.03,0.019734,0.302782,km1,68899,13691,no
PaToH-D,192bit.mtx.hgr,no,4,128,0.03,0.019734,0.321118,km1,68892,13691,no
PaToH-D,192bit.mtx.hgr,no,5,128,0.03,0.019734,0.325644,km1,68871,13691,no
PaToH-D,192bit.mtx.hgr,no,6,128,0.03,0.019734,0.30609,km1,68917,13691,no
PaToH-D,192bit.mtx.hgr,no,7,128,0.03,0.019734,0.328756,km1,68913,13691,no
PaToH-D,192bit.mtx.hgr,no,8,128,0.03,0.019734,0.360722,km1,68915,13691,no
PaToH-D,192bit.mtx.hgr,no,9,128,0.03,0.019734,0.324338,km1,68930,13691,no
PaToH-D,192bit.mtx.hgr,no,0,16,0.03,0.0290893,0.195154,km1,37148,13678,no
PaToH-D,192bit.mtx.hgr,no,1,16,0.03,0.0290893,0.210604,km1,37148,13678,no
PaToH-D,192bit.mtx.hgr,no,2,16,0.03,0.0290893,0.213522,km1,37065,13679,no
PaToH-D,192bit.mtx.hgr,no,3,16,0.03,0.0290893,0.220415,km1,37212,13679,no
PaToH-D,192bit.mtx.hgr,no,4,16,0.03,0.0279199,0.217713,km1,37141,13682,no
PaToH-D,192bit.mtx.hgr,no,5,16,0.03,0.0290893,0.243171,km1,37184,13683,no
PaToH-D,192bit.mtx.hgr,no,6,16,0.03,0.0290893,0.217198,km1,37129,13681,no
PaToH-D,192bit.mtx.hgr,no,7,16,0.03,0.0279199,0.223217,km1,37126,13682,no
PaToH-D,192bit.mtx.hgr,no,8,16,0.03,0.0290893,0.224962,km1,37179,13682,no
PaToH-D,192bit.mtx.hgr,no,9,16,0.03,0.0290893,0.221297,km1,37162,13678,no
PaToH-D,192bit.mtx.hgr,no,0,2,0.03,0.0299664,0.0695792,km1,9083,9083,no
PaToH-D,192bit.mtx.hgr,no,1,2,0.03,0.0299664,0.0689586,km1,9083,9083,no
PaToH-D,192bit.mtx.hgr,no,2,2,0.03,0.0299664,0.1055,km1,9002,9002,no
PaToH-D,192bit.mtx.hgr,no,3,2,0.03,0.0299664,0.0846201,km1,9051,9051,no
PaToH-D,192bit.mtx.hgr,no,4,2,0.03,0.0299664,0.095536,km1,9017,9017,no
PaToH-D,192bit.mtx.hgr,no,5,2,0.03,0.0299664,0.0895564,km1,9072,9072,no
PaToH-D,192bit.mtx.hgr,no,6,2,0.03,0.0299664,0.0799785,km1,9070,9070,no
PaToH-D,192bit.mtx.hgr,no,7,2,0.03,0.0299664,0.100368,km1,9048,9048,no
PaToH-D,192bit.mtx.hgr,no,8,2,0.03,0.0299664,0.0832144,km1,9070,9070,no
PaToH-D,192bit.mtx.hgr,no,9,2,0.03,0.0299664,0.0705993,km1,9106,9106,no
PaToH-D,192bit.mtx.hgr,no,0,32,0.03,0.0290893,0.234203,km1,47764,13690,no
PaToH-D,192bit.mtx.hgr,no,1,32,0.03,0.0290893,0.250849,km1,47764,13690,no
PaToH-D,192bit.mtx.hgr,no,2,32,0.03,0.0290893,0.261987,km1,47834,13690,no
PaToH-D,192bit.mtx.hgr,no,3,32,0.03,0.0290893,0.266331,km1,47755,13690,no
PaToH-D,192bit.mtx.hgr,no,4,32,0.03,0.0267505,0.273931,km1,47874,13690,no
PaToH-D,192bit.mtx.hgr,no,5,32,0.03,0.0267505,0.252697,km1,47799,13690,no
PaToH-D,192bit.mtx.hgr,no,6,32,0.03,0.0267505,0.244268,km1,47864,13691,no
PaToH-D,192bit.mtx.hgr,no,7,32,0.03,0.0290893,0.234955,km1,47783,13690,no
PaToH-D,192bit.mtx.hgr,no,8,32,0.03,0.0267505,0.277782,km1,47803,13690,no
PaToH-D,192bit.mtx.hgr,no,9,32,0.03,0.0290893,0.253247,km1,47808,13691,no
PaToH-D,192bit.mtx.hgr,no,0,4,0.03,0.029674,0.132487,km1,17433,12520,no
PaToH-D,192bit.mtx.hgr,no,1,4,0.03,0.029674,0.132487,km1,17433,12520,no
PaToH-D,192bit.mtx.hgr,no,2,4,0.03,0.029674,0.133387,km1,17468,12517,no
PaToH-D,192bit.mtx.hgr,no,3,4,0.03,0.0293817,0.124332,km1,17398,12477,no
PaToH-D,192bit.mtx.hgr,no,4,4,0.03,0.029674,0.138909,km1,17417,12542,no
PaToH-D,192bit.mtx.hgr,no,5,4,0.03,0.029674,0.126463,km1,17437,12492,no
PaToH-D,192bit.mtx.hgr,no,6,4,0.03,0.029674,0.143535,km1,17405,12502,no
PaToH-D,192bit.mtx.hgr,no,7,4,0.03,0.029674,0.158921,km1,17398,12498,no
PaToH-D,192bit.mtx.hgr,no,8,4,0.03,0.029674,0.162343,km1,17420,12493,no
PaToH-D,192bit.mtx.hgr,no,9,4,0.03,0.029674,0.126602,km1,17463,12546,no
PaToH-D,192bit.mtx.hgr,no,0,64,0.03,0.0290893,0.26906,km1,58338,13691,no
PaToH-D,192bit.mtx.hgr,no,1,64,0.03,0.0290893,0.270296,km1,58338,13691,no
PaToH-D,192bit.mtx.hgr,no,2,64,0.03,0.0290893,0.277069,km1,58305,13691,no
PaToH-D,192bit.mtx.hgr,no,3,64,0.03,0.0290893,0.280359,km1,58303,13691,no
