algorithm,graph,timeout,seed,k,epsilon,imbalance,totalPartitionTime,objective,km1,cut,failed
PaToH-Q,192bit.mtx.hgr,no,0,128,0.03,0.019734,2.54522,km1,68523,13691,no
PaToH-Q,192bit.mtx.hgr,no,1,128,0.03,0.019734,2.53849,km1,68523,13691,no
PaToH-Q,192bit.mtx.hgr,no,2,128,0.03,0.019734,2.74938,km1,68523,13691,no
PaToH-Q,192bit.mtx.hgr,no,3,128,0.03,0.019734,2.63397,km1,68543,13691,no
PaToH-Q,192bit.mtx.hgr,no,4,128,0.03,0.019734,2.42472,km1,68463,13691,no
PaToH-Q,192bit.mtx.hgr,no,5,128,0.03,0.019734,2.76789,km1,68500,13691,no
PaToH-Q,192bit.mtx.hgr,no,6,128,0.03,0.019734,2.57062,km1,68493,13691,no
PaToH-Q,192bit.mtx.hgr,no,7,128,0.03,0.019734,2.69876,km1,68479,13691,no
PaToH-Q,192bit.mtx.hgr,no,8,128,0.03,0.019734,2.53441,km1,68462,13691,no
PaToH-Q,192bit.mtx.hgr,no,9,128,0.03,0.019734,2.60816,km1,68500,13691,no
PaToH-Q,192bit.mtx.hgr,no,0,16,0.03,0.0290893,1.69576,km1,36707,13680,no
PaToH-Q,192bit.mtx.hgr,no,1,16,0.03,0.0290893,1.71139,km1,36707,13680,no
PaToH-Q,192bit.mtx.hgr,no,2,16,0.03,0.0290893,2.0825,km1,36686,13684,no
PaToH-Q,192bit.mtx.hgr,no,3,16,0.03,0.0290893,1.81855,km1,36706,13683,no
PaToH-Q,192bit.mtx.hgr,no,4,16,0.03,0.0290893,1.78959,km1,36724,13681,no
PaToH-Q,192bit.mtx.hgr,no,5,16,0.03,0.0290893,1.92257,km1,36637,13679,no
PaToH-Q,192bit.mtx.hgr,no,6,16,0.03,0.0279199,1.75279,km1,36656,13680,no
PaToH-Q,192bit.mtx.hgr,no,7,16,0.03,0.0290893,1.78683,km1,36576,13681,no
PaToH-Q,192bit.mtx.hgr,no,8,16,0.03,0.0290893,1.7626,km1,36685,13680,no
PaToH-Q,192bit.mtx.hgr,no,9,16,0.03,0.0290893,1.99664,km1,36663,13687,no
PaToH-Q,192bit.mtx.hgr,no,0,2,0.03,0.0298202,0.557141,km1,8120,8120,no
PaToH-Q,192bit.mtx.hgr,no,1,2,0.03,0.0298202,0.546822,km1,8120,8120,no
PaToH-Q,192bit.mtx.hgr,no,2,2,0.03,0.0299664,0.756916,km1,8119,8119,no
PaToH-Q,192bit.mtx.hgr,no,3,2,0.03,0.0299664,0.606352,km1,8142,8142,no
PaToH-Q,192bit.mtx.hgr,no,4,2,0.03,0.0299664,0.771753,km1,8074,8074,no
PaToH-Q,192bit.mtx.hgr,no,5,2,0.03,0.0299664,0.786226,km1,8091,8091,no
PaToH-Q,192bit.mtx.hgr,no,6,2,0.03,0.0299664,0.869783,km1,8112,8112,no
PaToH-Q,192bit.mtx.hgr,no,7,2,0.03,0.0299664,0.829485,km1,8131,8131,no
