algorithm,graph,timeout,seed,k,epsilon,imbalance,totalPartitionTime,objective,km1,cut,failed
PaToH-S,192bit.mtx.hgr,no,0,128,0.03,0.019734,0.201042,km1,75522,13691,no
PaToH-S,192bit.mtx.hgr,no,1,128,0.03,0.019734,0.187992,km1,75522,13691,no
PaToH-S,192bit.mtx.hgr,no,2,128,0.03,0.0103786,0.187787,km1,76634,13691,no
PaToH-S,192bit.mtx.hgr,no,3,128,0.03,0.019734,0.189203,km1,76349,13691,no
PaToH-S,192bit.mtx.hgr,no,4,128,0.03,0.0103786,0.200211,km1,76325,13691,no
PaToH-S,192bit.mtx.hgr,no,5,128,0.03,0.019734,0.187989,km1,74261,13691,no
PaToH-S,192bit.mtx.hgr,no,6,128,0.03,0.019734,0.190322,km1,74519,13691,no
PaToH-S,192bit.mtx.hgr,no,7,128,0.03,0.019734,0.190484,km1,77688,13691,no
PaToH-S,192bit.mtx.hgr,no,8,128,0.03,0.019734,0.189471,km1,75136,13691,no
PaToH-S,192bit.mtx.hgr,no,9,128,0.03,0.019734,0.18726,km1,74516,13691,no
PaToH-S,192bit.mtx.hgr,no,0,16,0.03,0.0244116,0.140603,km1,45408,13685,no
PaToH-S,192bit.mtx.hgr,no,1,16,0.03,0.0244116,0.151733,km1,45408,13685,no
PaToH-S,192bit.mtx.hgr,no,2,16,0.03,0.0209034,0.136596,km1,46166,13686,no
PaToH-S,192bit.mtx.hgr,no,3,16,0.03,0.0255811,0.146618,km1,45038,13684,no
PaToH-S,192bit.mtx.hgr,no,4,16,0.03,0.0185645,0.141494,km1,46153,13687,no
PaToH-S,192bit.mtx.hgr,no,5,16,0.03,0.0220728,0.147947,km1,45661,13683,no
PaToH-S,192bit.mtx.hgr,no,6,16,0.03,0.0209034,0.140848,km1,45929,13686,no
PaToH-S,192bit.mtx.hgr,no,7,16,0.03,0.0255811,0.143111,km1,45303,13685,no
PaToH-S,192bit.mtx.hgr,no,8,16,0.03,0.0255811,0.141961,km1,45651,13687,no
PaToH-S,192bit.mtx.hgr,no,9,16,0.03,0.0220728,0.152237,km1,45286,13685,no
PaToH-S,192bit.mtx.hgr,no,0,2,0.03,0.0299664,0.0503169,km1,10319,10319,no
PaToH-S,192bit.mtx.hgr,no,1,2,0.03,0.0299664,0.0505213,km1,10319,10319,no
PaToH-S,192bit.mtx.hgr,no,2,2,0.03,0.0299664,0.0470692,km1,10563,10563,no
PaToH-S,192bit.mtx.hgr,no,3,2,0.03,0.0299664,0.0494065,km1,10460,10460,no
PaToH-S,192bit.mtx.hgr,no,4,2,0.03,0.0299664,0.0534078,km1,10434,10434,no
PaToH-S,192bit.mtx.hgr,no,5,2,0.03,0.0299664,0.0522751,km1,10366,10366,no
PaToH-S,192bit.mtx.hgr,no,6,2,0.03,0.0299664,0.0485897,km1,10449,10449,no
