algorithm,graph,timeout,seed,k,epsilon,imbalance,totalPartitionTime,objective,km1,cut,failed
Zoltan-AlgD,192bit.mtx.hgr,no,0,128,0.03,0.028999999999999915,15.77,km1,68939,13691,no
Zoltan-AlgD,192bit.mtx.hgr,no,1,128,0.03,0.028999999999999915,16.5,km1,68920,13691,no
Zoltan-AlgD,192bit.mtx.hgr,no,2,128,0.03,0.028999999999999915,15.9,km1,68911,13691,no
Zoltan-AlgD,192bit.mtx.hgr,no,3,128,0.03,0.028999999999999915,15.98,km1,68863,13691,no
Zoltan-AlgD,192bit.mtx.hgr,no,4,128,0.03,0.028999999999999915,16.45,km1,68889,13691,no
Zoltan-AlgD,192bit.mtx.hgr,no,5,128,0.03,0.028999999999999915,15.91,km1,68883,13691,no
Zoltan-AlgD,192bit.mtx.hgr,no,6,128,0.03,0.028999999999999915,15.51,km1,68934,13691,no
Zoltan-AlgD,192bit.mtx.hgr,no,7,128,0.03,0.028999999999999915,15.92,km1,68902,13691,no
Zoltan-AlgD,192bit.mtx.hgr,no,8,128,0.03,0.028999999999999915,15.67,km1,68878,13691,no
Zoltan-AlgD,192bit.mtx.hgr,no,9,128,0.03,0.028999999999999915,15.39,km1,68871,13691,no
Zoltan-AlgD,192bit.mtx.hgr,no,0,16,0.03,0.028999999999999915,9.47,km1,36838,13683,no
Zoltan-AlgD,192bit.mtx.hgr,no,1,16,0.03,0.028999999999999915,9.73,km1,36892,13680,no
Zoltan-AlgD,192bit.mtx.hgr,no,2,16,0.03,0.028999999999999915,9.55,km1,36852,13679,no
Zoltan-AlgD,192bit.mtx.hgr,no,3,16,0.03,0.028999999999999915,10.04,km1,36868,13682,no
Zoltan-AlgD,192bit.mtx.hgr,no,4,16,0.03,0.028999999999999915,9.87,km1,36888,13684,no
Zoltan-AlgD,192bit.mtx.hgr,no,5,16,0.03,0.028999999999999915,9.26,km1,36875,13683,no
Zoltan-AlgD,192bit.mtx.hgr,no,6,16,0.03,0.028999999999999915,9.59,km1,36835,13685,no
Zoltan-AlgD,192bit.mtx.hgr,no,7,16,0.03,0.028999999999999915,9.7,km1,36762,13684,no
Zoltan-AlgD,192bit.mtx.hgr,no,8,16,0.03,0.028999999999999915,9.57,km1,36823,13684,no
Zoltan-AlgD,192bit.mtx.hgr,no,9,16,0.03,0.028999999999999915,10.22,km1,36758,13680,no
Zoltan-AlgD,192bit.mtx.hgr,no,0,2,0.03,0.03,3.18,km1,7617,7617,no
Zoltan-AlgD,192bit.mtx.hgr,no,1,2,0.03,0.03,3.5,km1,7638,7638,no
Zoltan-AlgD,192bit.mtx.hgr,no,2,2,0.03,0.03,3.69,km1,7656,7656,no
Zoltan-AlgD,192bit.mtx.hgr,no,3,2,0.03,0.03,3.71,km1,7600,7600,no
Zoltan-AlgD,192bit.mtx.hgr,no,4,2,0.03,0.03,3.4,km1,7633,7633,no
Zoltan-AlgD,192bit.mtx.hgr,no,5,2,0.03,0.03,3.22,km1,7615,7615,no
Zoltan-AlgD,192bit.mtx.hgr,no,6,2,0.03,0.03,3.57,km1,7649,7649,no
Zoltan-AlgD,192bit.mtx.hgr,no,7,2,0.03,0.03,3.62,km1,7619,7619,no
Zoltan-AlgD,192bit.mtx.hgr,no,8,2,0.03,0.03,3.59,km1,7624,7624,no
Zoltan-AlgD,192bit.mtx.hgr,no,9,2,0.03,0.03,3.17,km1,7623,7623,no
Zoltan-AlgD,192bit.mtx.hgr,no,0,32,0.03,0.028999999999999915,12.35,km1,47516,13691,no
Zoltan-AlgD,192bit.mtx.hgr,no,1,32,0.03,0.028999999999999915,11.91,km1,47490,13691,no
Zoltan-AlgD,192bit.mtx.hgr,no,2,32,0.03,0.028999999999999915,12.01,km1,47555,13691,no
Zoltan-AlgD,192bit.mtx.hgr,no,3,32,0.03,0.028999999999999915,12.04,km1,47524,13691,no
Zoltan-AlgD,192bit.mtx.hgr,no,4,32,0.03,0.028999999999999915,11.88,km1,47650,13691,no
Zoltan-AlgD,192bit.mtx.hgr,no,5,32,0.03,0.028999999999999915,12.04,km1,47630,13691,no
Zoltan-AlgD,192bit.mtx.hgr,no,6,32,0.03,0.028999999999999915,12.32,km1,47552,13691,no
Zoltan-AlgD,192bit.mtx.hgr,no,7,32,0.03,0.028999999999999915,12.11,km1,47593,13691,no
Zoltan-AlgD,192bit.mtx.hgr,no,8,32,0.03,0.028999999999999915,12.45,km1,47546,13691,no
Zoltan-AlgD,192bit.mtx.hgr,no,9,32,0.03,0.028999999999999915,12.25,km1,47565,13691,no
Zoltan-AlgD,192bit.mtx.hgr,no,0,4,0.03,0.03,5.51,km1,16444,12333,no
Zoltan-AlgD,192bit.mtx.hgr,no,1,4,0.03,0.03,5.71,km1,16429,12326,no
Zoltan-AlgD,192bit.mtx.hgr,no,2,4,0.03,0.03,5.77,km1,16499,12316,no
Zoltan-AlgD,192bit.mtx.hgr,no,3,4,0.03,0.03,6.14,km1,16465,12339,no
Zoltan-AlgD,192bit.mtx.hgr,no,4,4,0.03,0.03,5.88,km1,16470,12358,no
Zoltan-AlgD,192bit.mtx.hgr,no,5,4,0.03,0.03,5.93,km1,16478,12337,no
Zoltan-AlgD,192bit.mtx.hgr,no,6,4,0.03,0.03,5.58,km1,16457,12334,no
Zoltan-AlgD,192bit.mtx.hgr,no,7,4,0.03,0.03,5.86,km1,16437,12363,no
Zoltan-AlgD,192bit.mtx.hgr,no,8,4,0.03,0.03,5.41,km1,16437,12323,no
Zoltan-AlgD,192bit.mtx.hgr,no,9,4,0.03,0.03,5.16,km1,16490,12327,no
Zoltan-AlgD,192bit.mtx.hgr,no,0,64,0.03,0.028999999999999915,13.48,km1,58135,13691,no
Zoltan-AlgD,192bit.mtx.hgr,no,1,64,0.03,0.028999999999999915,14.02,km1,58169,13691,no
Zoltan-AlgD,192bit.mtx.hgr,no,2,64,0.03,0.028999999999999915,12.92,km1,58197,13691,no
Zoltan-AlgD,192bit.mtx.hgr,no,3,64,0.03,0.028999999999999915,14.03,km1,58265,13691,no
Zoltan-AlgD,192bit.mtx.hgr,no,4,64,0.03,0.028999999999999915,13.91,km1,58248,13691,no
Zoltan-AlgD,192bit.mtx.hgr,no,5,64,0.03,0.028999999999999915,13.7,km1,58186,13691,no
Zoltan-AlgD,192bit.mtx.hgr,no,6,64,0.03,0.028999999999999915,13.57,km1,58303,13691,no
Zoltan-AlgD,192bit.mtx.hgr,no,7,64,0.03,0.028999999999999915,14.88,km1,58220,13691,no
Zoltan-AlgD,192bit.mtx.hgr,no,8,64,0.03,0.028999999999999915,14.09,km1,58132,13691,no
Zoltan-AlgD,192bit.mtx.hgr,no,9,64,0.03,0.028999999999999915,13.68,km1,58219,13691,no
Zoltan-AlgD,192bit.mtx.hgr,no,0,8,0.03,0.03,7.14,km1,26246,13545,no
Zoltan-AlgD,192bit.mtx.hgr,no,1,8,0.03,0.03,7.69,km1,32285,13675,no
Zoltan-AlgD,192bit.mtx.hgr,no,2,8,0.03,0.03,9.12,km1,26251,13548,no
Zoltan-AlgD,192bit.mtx.hgr,no,3,8,0.03,0.03,7.64,km1,26310,13542,no
Zoltan-AlgD,192bit.mtx.hgr,no,4,8,0.03,0.03,7.45,km1,26334,13547,no
Zoltan-AlgD,192bit.mtx.hgr,no,5,8,0.03,0.03,8.06,km1,26240,13520,no
Zoltan-AlgD,192bit.mtx.hgr,no,6,8,0.03,0.03,7.04,km1,26251,13553,no
Zoltan-AlgD,192bit.mtx.hgr,no,7,8,0.03,0.03,7.71,km1,26277,13552,no
Zoltan-AlgD,192bit.mtx.hgr,no,8,8,0.03,0.03,7.44,km1,26300,13538,no
Zoltan-AlgD,192bit.mtx.hgr,no,9,8,0.03,0.03,6.84,km1,26286,13556,no
Zoltan-AlgD,2cubes_sphere.mtx.hgr,no,0,128,0.03,0.03,161.6,km1,74838,55475,no
Zoltan-AlgD,2cubes_sphere.mtx.hgr,no,1,128,0.03,0.03,162.72,km1,73894,54707,no
Zoltan-AlgD,2cubes_sphere.mtx.hgr,no,2,128,0.03,0.03,162.71,km1,74095,54971,no
Zoltan-AlgD,2cubes_sphere.mtx.hgr,no,3,128,0.03,0.028999999999999915,160.42,km1,74165,54963,no
Zoltan-AlgD,2cubes_sphere.mtx.hgr,no,4,128,0.03,0.03,158.0,km1,74597,55242,no
Zoltan-AlgD,2cubes_sphere.mtx.hgr,no,5,128,0.03,0.03,161.03,km1,74279,54995,no
Zoltan-AlgD,2cubes_sphere.mtx.hgr,no,6,128,0.03,0.03,161.45,km1,74704,55401,no
Zoltan-AlgD,2cubes_sphere.mtx.hgr,no,7,128,0.03,0.03,161.11,km1,74277,55160,no
Zoltan-AlgD,2cubes_sphere.mtx.hgr,no,8,128,0.03,0.03,161.49,km1,75219,55642,no
Zoltan-AlgD,2cubes_sphere.mtx.hgr,no,9,128,0.03,0.03,161.55,km1,74479,55276,no
Zoltan-AlgD,2cubes_sphere.mtx.hgr,no,0,16,0.03,0.03,107.16,km1,29389,25928,no
Zoltan-AlgD,2cubes_sphere.mtx.hgr,no,1,16,0.03,0.03,102.36,km1,28989,25536,no
Zoltan-AlgD,2cubes_sphere.mtx.hgr,no,2,16,0.03,0.03,102.91,km1,29391,25822,no
Zoltan-AlgD,2cubes_sphere.mtx.hgr,no,3,16,0.03,0.03,99.65,km1,29372,25845,no
Zoltan-AlgD,2cubes_sphere.mtx.hgr,no,4,16,0.03,0.03,101.5,km1,29607,26115,no
Zoltan-AlgD,2cubes_sphere.mtx.hgr,no,5,16,0.03,0.03,102.05,km1,29754,26170,no
Zoltan-AlgD,2cubes_sphere.mtx.hgr,no,6,16,0.03,0.03,98.61,km1,29509,26116,no
Zoltan-AlgD,2cubes_sphere.mtx.hgr,no,7,16,0.03,0.03,103.42,km1,29539,26046,no
Zoltan-AlgD,2cubes_sphere.mtx.hgr,no,8,16,0.03,0.03,99.65,km1,29660,26096,no
Zoltan-AlgD,2cubes_sphere.mtx.hgr,no,9,16,0.03,0.03,103.62,km1,29400,25932,no
Zoltan-AlgD,2cubes_sphere.mtx.hgr,no,0,2,0.03,0.03,26.46,km1,3996,3996,no
Zoltan-AlgD,2cubes_sphere.mtx.hgr,no,1,2,0.03,0.03,27.19,km1,4073,4073,no
Zoltan-AlgD,2cubes_sphere.mtx.hgr,no,2,2,0.03,0.03,28.82,km1,4007,4007,no
Zoltan-AlgD,2cubes_sphere.mtx.hgr,no,3,2,0.03,0.02200000000000002,24.7,km1,4036,4036,no
Zoltan-AlgD,2cubes_sphere.mtx.hgr,no,4,2,0.03,0.010000000000000009,27.29,km1,4163,4163,no
Zoltan-AlgD,2cubes_sphere.mtx.hgr,no,5,2,0.03,0.03,29.52,km1,4005,4005,no
Zoltan-AlgD,2cubes_sphere.mtx.hgr,no,6,2,0.03,0.03,27.63,km1,4029,4029,no
Zoltan-AlgD,2cubes_sphere.mtx.hgr,no,7,2,0.03,0.03,26.35,km1,4023,4023,no
Zoltan-AlgD,2cubes_sphere.mtx.hgr,no,8,2,0.03,0.03,29.45,km1,3939,3939,no
