algorithm,graph,timeout,seed,k,epsilon,imbalance,totalPartitionTime,objective,km1,cut,failed
Zoltan,192bit.mtx.hgr,no,0,128,0.03,0.028999999999999915,15.22,km1,68916,13691,no
Zoltan,192bit.mtx.hgr,no,1,128,0.03,0.028999999999999915,15.25,km1,68974,13691,no
Zoltan,192bit.mtx.hgr,no,2,128,0.03,0.028999999999999915,15.2,km1,68956,13691,no
Zoltan,192bit.mtx.hgr,no,3,128,0.03,0.028999999999999915,14.6,km1,68997,13691,no
Zoltan,192bit.mtx.hgr,no,4,128,0.03,0.028999999999999915,15.14,km1,68950,13691,no
Zoltan,192bit.mtx.hgr,no,5,128,0.03,0.028999999999999915,15.3,km1,68982,13691,no
Zoltan,192bit.mtx.hgr,no,6,128,0.03,0.028999999999999915,14.15,km1,68980,13691,no
Zoltan,192bit.mtx.hgr,no,7,128,0.03,0.028999999999999915,14.43,km1,68994,13691,no
Zoltan,192bit.mtx.hgr,no,8,128,0.03,0.028999999999999915,14.57,km1,69021,13691,no
Zoltan,192bit.mtx.hgr,no,9,128,0.03,0.028999999999999915,15.52,km1,68991,13691,no
Zoltan,192bit.mtx.hgr,no,0,16,0.03,0.028999999999999915,11.26,km1,36886,13685,no
Zoltan,192bit.mtx.hgr,no,1,16,0.03,0.028999999999999915,11.34,km1,36877,13684,no
Zoltan,192bit.mtx.hgr,no,2,16,0.03,0.028999999999999915,11.46,km1,36957,13682,no
Zoltan,192bit.mtx.hgr,no,3,16,0.03,0.028999999999999915,10.68,km1,36937,13685,no
Zoltan,192bit.mtx.hgr,no,4,16,0.03,0.028999999999999915,11.34,km1,36878,13684,no
Zoltan,192bit.mtx.hgr,no,5,16,0.03,0.028999999999999915,11.92,km1,36903,13680,no
Zoltan,192bit.mtx.hgr,no,6,16,0.03,0.028999999999999915,10.82,km1,36924,13682,no
Zoltan,192bit.mtx.hgr,no,7,16,0.03,0.028999999999999915,10.95,km1,36933,13680,no
Zoltan,192bit.mtx.hgr,no,8,16,0.03,0.028999999999999915,10.93,km1,36893,13682,no
Zoltan,192bit.mtx.hgr,no,9,16,0.03,0.028999999999999915,11.86,km1,36842,13683,no
Zoltan,192bit.mtx.hgr,no,0,2,0.03,0.03,5.19,km1,7711,7711,no
Zoltan,192bit.mtx.hgr,no,1,2,0.03,0.03,5.37,km1,7673,7673,no
Zoltan,192bit.mtx.hgr,no,2,2,0.03,0.03,5.44,km1,7630,7630,no
Zoltan,192bit.mtx.hgr,no,3,2,0.03,0.03,5.15,km1,7663,7663,no
Zoltan,192bit.mtx.hgr,no,4,2,0.03,0.03,4.8,km1,7661,7661,no
Zoltan,192bit.mtx.hgr,no,5,2,0.03,0.03,5.08,km1,7658,7658,no
Zoltan,192bit.mtx.hgr,no,6,2,0.03,0.03,5.17,km1,7641,7641,no
Zoltan,192bit.mtx.hgr,no,7,2,0.03,0.03,5.36,km1,7625,7625,no
Zoltan,192bit.mtx.hgr,no,8,2,0.03,0.03,4.86,km1,7690,7690,no
Zoltan,192bit.mtx.hgr,no,9,2,0.03,0.03,5.11,km1,7635,7635,no
Zoltan,192bit.mtx.hgr,no,0,32,0.03,0.028999999999999915,12.15,km1,47652,13691,no
Zoltan,192bit.mtx.hgr,no,1,32,0.03,0.028999999999999915,12.07,km1,47581,13691,no
Zoltan,192bit.mtx.hgr,no,2,32,0.03,0.028999999999999915,12.56,km1,47671,13691,no
Zoltan,192bit.mtx.hgr,no,3,32,0.03,0.028999999999999915,11.35,km1,47699,13691,no
Zoltan,192bit.mtx.hgr,no,4,32,0.03,0.028999999999999915,12.02,km1,47702,13691,no
Zoltan,192bit.mtx.hgr,no,5,32,0.03,0.028999999999999915,12.01,km1,47735,13691,no
Zoltan,192bit.mtx.hgr,no,6,32,0.03,0.028999999999999915,11.12,km1,47659,13691,no
