"algorithm","graph","timeout","seed","k","epsilon","num_threads","imbalance","totalPartitionTime","objective","km1","cut","failed"
hMetis-K,2cubes_sphere.mtx.hgr,no,1,128,0.03,1,0.029003783102143688,22739.268317461014,km1,70465,52424,no
hMetis-K,2cubes_sphere.mtx.hgr,no,2,128,0.03,1,0.029003783102143688,19376.878790140152,km1,70618,52713,no
hMetis-K,2cubes_sphere.mtx.hgr,no,3,128,0.03,1,0.029003783102143688,17573.154230356216,km1,70560,52469,no
hMetis-K,2cubes_sphere.mtx.hgr,no,4,128,0.03,1,0.029003783102143688,19086.507856607437,km1,70605,52538,no
hMetis-K,2cubes_sphere.mtx.hgr,no,5,128,0.03,1,0.029003783102143688,5566.877650737762,km1,70316,52545,no
hMetis-K,2cubes_sphere.mtx.hgr,no,1,16,0.03,1,0.02947667087011352,4932.750467538834,km1,27275,24008,no
hMetis-K,2cubes_sphere.mtx.hgr,no,2,16,0.03,1,0.029791929382093407,17324.153981924057,km1,27361,24112,no
hMetis-K,2cubes_sphere.mtx.hgr,no,3,16,0.03,1,0.029791929382093407,16544.366326332092,km1,27342,24130,no
hMetis-K,2cubes_sphere.mtx.hgr,no,4,16,0.03,1,0.02947667087011352,23398.805243730545,km1,27310,24106,no
hMetis-K,2cubes_sphere.mtx.hgr,no,5,16,0.03,1,0.029634300126103463,16658.43764615059,km1,27331,24056,no
hMetis-K,2cubes_sphere.mtx.hgr,no,1,2,0.03,1,0.02991368777834702,4118.908575057983,km1,3930,3930,no
hMetis-K,2cubes_sphere.mtx.hgr,no,2,2,0.03,1,0.02888897647105182,26982.73873400688,km1,3937,3937,no
hMetis-K,2cubes_sphere.mtx.hgr,no,3,2,0.03,1,0.02999251172506212,18648.059431552887,km1,3935,3935,no
hMetis-K,2cubes_sphere.mtx.hgr,no,4,2,0.03,1,0.029736333898238376,17834.503627061844,km1,3939,3939,no
hMetis-K,2cubes_sphere.mtx.hgr,no,5,2,0.03,1,0.029204272257912,10304.850999355316,km1,3933,3933,no
hMetis-K,2cubes_sphere.mtx.hgr,no,1,32,0.03,1,0.029634300126103463,26710.596079826355,km1,38258,32250,no
hMetis-K,2cubes_sphere.mtx.hgr,no,2,32,0.03,1,0.029634300126103463,12067.854625463486,km1,38101,32106,no
hMetis-K,2cubes_sphere.mtx.hgr,no,3,32,0.03,1,0.029634300126103463,8131.711648225784,km1,38094,32038,no
hMetis-K,2cubes_sphere.mtx.hgr,no,4,32,0.03,1,0.029634300126103463,23535.40594267845,km1,38251,32172,no
hMetis-K,2cubes_sphere.mtx.hgr,no,5,32,0.03,1,0.029634300126103463,19860.647144794464,km1,38138,32016,no
hMetis-K,2cubes_sphere.mtx.hgr,no,1,4,0.03,1,0.02995309975170457,10223.193239927292,km1,10668,10402,no
hMetis-K,2cubes_sphere.mtx.hgr,no,2,4,0.03,1,0.02936192015134198,19470.639434576035,km1,10685,10438,no
hMetis-K,2cubes_sphere.mtx.hgr,no,3,4,0.03,1,0.02995309975170457,18337.532821416855,km1,10668,10418,no
hMetis-K,2cubes_sphere.mtx.hgr,no,4,4,0.03,1,0.02999251172506212,11112.63102030754,km1,10698,10449,no
hMetis-K,2cubes_sphere.mtx.hgr,no,5,4,0.03,1,0.02971662791155949,22207.718371391296,km1,10677,10428,no
