"algorithm","graph","timeout","seed","k","epsilon","num_threads","imbalance","totalPartitionTime","objective","km1","cut","failed"
hMetis-R,2cubes_sphere.mtx.hgr,no,1,128,0.03,1,0.021437578814627933,25115.02483677864,km1,72907,54358,no
hMetis-R,2cubes_sphere.mtx.hgr,no,2,128,0.03,1,0.021437578814627933,5525.378506422043,km1,72689,54258,no
hMetis-R,2cubes_sphere.mtx.hgr,no,3,128,0.03,1,0.021437578814627933,1856.718995809555,km1,72856,54326,no
hMetis-R,2cubes_sphere.mtx.hgr,no,4,128,0.03,1,0.020176544766708604,22356.61622953415,km1,72920,54397,no
hMetis-R,2cubes_sphere.mtx.hgr,no,5,128,0.03,1,0.02648171500630525,15444.972333431244,km1,72822,54394,no
hMetis-R,2cubes_sphere.mtx.hgr,no,1,16,0.03,1,0.019861286254728938,10411.74985575676,km1,28330,24973,no
hMetis-R,2cubes_sphere.mtx.hgr,no,2,16,0.03,1,0.016708701134930726,19512.528228998184,km1,28293,24864,no
hMetis-R,2cubes_sphere.mtx.hgr,no,3,16,0.03,1,0.024117276166456536,25181.13365674019,km1,28456,25106,no
hMetis-R,2cubes_sphere.mtx.hgr,no,4,16,0.03,1,0.021437578814627933,1663.1598572731018,km1,28416,25043,no
hMetis-R,2cubes_sphere.mtx.hgr,no,5,16,0.03,1,0.014659520807061899,4203.9097781181335,km1,28366,24989,no
hMetis-R,2cubes_sphere.mtx.hgr,no,1,2,0.03,1,0.029893981791668356,22295.079632520676,km1,3900,3900,no
hMetis-R,2cubes_sphere.mtx.hgr,no,2,2,0.03,1,0.02995309975170457,26674.372133016586,km1,3899,3899,no
hMetis-R,2cubes_sphere.mtx.hgr,no,3,2,0.03,1,0.02999251172506212,2981.3518109321594,km1,3911,3911,no
hMetis-R,2cubes_sphere.mtx.hgr,no,4,2,0.03,1,0.02999251172506212,23791.47956609726,km1,3900,3900,no
hMetis-R,2cubes_sphere.mtx.hgr,no,5,2,0.03,1,0.02995309975170457,368.40321373939514,km1,3903,3903,no
hMetis-R,2cubes_sphere.mtx.hgr,no,1,32,0.03,1,0.02080706179066838,2495.2150359153748,km1,39571,33349,no
hMetis-R,2cubes_sphere.mtx.hgr,no,2,32,0.03,1,0.01860025220680961,19907.74326443672,km1,39641,33363,no
hMetis-R,2cubes_sphere.mtx.hgr,no,3,32,0.03,1,0.014501891551071955,15811.722205638885,km1,39672,33408,no
