"algorithm","graph","timeout","seed","k","epsilon","imbalance","totalPartitionTime","objective","km1","cut","failed"
"KaHyPar-E","2cubes_sphere.mtx.hgr","no",1,128,0.03,0.0290038,28801.1,"km1",66905,50821,"no"
"KaHyPar-E","2cubes_sphere.mtx.hgr","no",2,128,0.03,0.0290038,28667.6,"km1",66738,50653,"no"
"KaHyPar-E","2cubes_sphere.mtx.hgr","no",3,128,0.03,0.0290038,26781.7,"km1",66468,50336,"no"
"KaHyPar-E","2cubes_sphere.mtx.hgr","no",4,128,0.03,0.0290038,28290.8,"km1",66570,50549,"no"
"KaHyPar-E","2cubes_sphere.mtx.hgr","no",5,128,0.03,0.0290038,26943.1,"km1",66633,50569,"no"
"KaHyPar-E","2cubes_sphere.mtx.hgr","no",1,16,0.03,0.0247478,23476,"km1",25840,22978,"no"
"KaHyPar-E","2cubes_sphere.mtx.hgr","no",2,16,0.03,0.0279004,27883.2,"km1",25949,23098,"no"
"KaHyPar-E","2cubes_sphere.mtx.hgr","no",3,16,0.03,0.0266393,20982.6,"km1",25830,22975,"no"
"KaHyPar-E","2cubes_sphere.mtx.hgr","no",4,16,0.03,0.0282156,28192.3,"km1",25846,23031,"no"
"KaHyPar-E","2cubes_sphere.mtx.hgr","no",5,16,0.03,0.0290038,28211.7,"km1",25936,23088,"no"
"KaHyPar-E","2cubes_sphere.mtx.hgr","no",1,2,0.03,0.0299334,17471.2,"km1",3863,3863,"no"
"KaHyPar-E","2cubes_sphere.mtx.hgr","no",2,2,0.03,0.0299728,7689.6,"km1",3864,3864,"no"
"KaHyPar-E","2cubes_sphere.mtx.hgr","no",3,2,0.03,0.0297757,14965,"km1",3855,3855,"no"
"KaHyPar-E","2cubes_sphere.mtx.hgr","no",4,2,0.03,0.0298349,25620.5,"km1",3854,3854,"no"
"KaHyPar-E","2cubes_sphere.mtx.hgr","no",5,2,0.03,0.0299925,22033.9,"km1",3860,3860,"no"
"KaHyPar-E","2cubes_sphere.mtx.hgr","no",1,32,0.03,0.0286885,28796.4,"km1",35738,30516,"no"
"KaHyPar-E","2cubes_sphere.mtx.hgr","no",2,32,0.03,0.0299496,27318.5,"km1",35795,30503,"no"
"KaHyPar-E","2cubes_sphere.mtx.hgr","no",3,32,0.03,0.0286885,26054.7,"km1",35865,30544,"no"
"KaHyPar-E","2cubes_sphere.mtx.hgr","no",4,32,0.03,0.0299496,28701.3,"km1",35879,30633,"no"
"KaHyPar-E","2cubes_sphere.mtx.hgr","no",5,32,0.03,0.0299496,28186.2,"km1",35951,30562,"no"
"KaHyPar-E","2cubes_sphere.mtx.hgr","no",1,4,0.03,0.0299137,26995.8,"km1",10338,10121,"no"
"KaHyPar-E","2cubes_sphere.mtx.hgr","no",2,4,0.03,0.0299531,24174.7,"km1",10326,10096,"no"
"KaHyPar-E","2cubes_sphere.mtx.hgr","no",3,4,0.03,0.0297166,20651.5,"km1",10346,10129,"no"
"KaHyPar-E","2cubes_sphere.mtx.hgr","no",4,4,0.03,0.0298349,28705,"km1",10337,10121,"no"
"KaHyPar-E","2cubes_sphere.mtx.hgr","no",5,4,0.03,0.0295984,24187.3,"km1",10338,10121,"no"
"KaHyPar-E","2cubes_sphere.mtx.hgr","no",1,64,0.03,0.0296343,24414.1,"km1",49137,39864,"no"
"KaHyPar-E","2cubes_sphere.mtx.hgr","no",2,64,0.03,0.0296343,28602.1,"km1",49223,39950,"no"
"KaHyPar-E","2cubes_sphere.mtx.hgr","no",3,64,0.03,0.0296343,28565.8,"km1",49058,39682,"no"
"KaHyPar-E","2cubes_sphere.mtx.hgr","no",4,64,0.03,0.0296343,27314.8,"km1",49065,39790,"no"
"KaHyPar-E","2cubes_sphere.mtx.hgr","no",5,64,0.03,0.0296343,28785.8,"km1",49346,39952,"no"
"KaHyPar-E","2cubes_sphere.mtx.hgr","no",1,8,0.03,0.0287696,21397.1,"km1",17974,16661,"no"
"KaHyPar-E","2cubes_sphere.mtx.hgr","no",2,8,0.03,0.0243556,23611.2,"km1",17966,16630,"no"
"KaHyPar-E","2cubes_sphere.mtx.hgr","no",3,8,0.03,0.0261685,14859.1,"km1",18034,16720,"no"
"KaHyPar-E","2cubes_sphere.mtx.hgr","no",4,8,0.03,0.0292425,28682.2,"km1",18073,16725,"no"
"KaHyPar-E","2cubes_sphere.mtx.hgr","no",5,8,0.03,0.028612,26414.4,"km1",17992,16673,"no"
"KaHyPar-E","2D_54019_highK.mtx.hgr","no",1,128,0.03,0.0283688,27410.1,"km1",15193,13582,"no"
"KaHyPar-E","2D_54019_highK.mtx.hgr","no",2,128,0.03,0.0283688,24331.5,"km1",15199,13585,"no"
"KaHyPar-E","2D_54019_highK.mtx.hgr","no",3,128,0.03,0.0283688,26464.8,"km1",15178,13590,"no"
"KaHyPar-E","2D_54019_highK.mtx.hgr","no",4,128,0.03,0.0283688,26715.5,"km1",15172,13559,"no"
"KaHyPar-E","2D_54019_highK.mtx.hgr","no",5,128,0.03,0.0283688,26097,"km1",15179,13576,"no"
"KaHyPar-E","2D_54019_highK.mtx.hgr","no",1,16,0.03,0.0260586,24922.4,"km1",4229,4082,"no"
"KaHyPar-E","2D_54019_highK.mtx.hgr","no",2,16,0.03,0.0287237,15558.6,"km1",4229,4085,"no"
"KaHyPar-E","2D_54019_highK.mtx.hgr","no",3,16,0.03,0.026947,28563.7,"km1",4204,4069,"no"
"KaHyPar-E","2D_54019_highK.mtx.hgr","no",4,16,0.03,0.0260586,23975.1,"km1",4232,4094,"no"
"KaHyPar-E","2D_54019_highK.mtx.hgr","no",5,16,0.03,0.0251703,20957.4,"km1",4192,4060,"no"
"KaHyPar-E","2D_54019_highK.mtx.hgr","no",1,2,0.03,0.0228064,6.31849,"km1",460,460,"no"
"KaHyPar-E","2D_54019_highK.mtx.hgr","no",2,2,0.03,0.0228064,2.51123,"km1",460,460,"no"
"KaHyPar-E","2D_54019_highK.mtx.hgr","no",3,2,0.03,0.0228064,2.36991,"km1",460,460,"no"
"KaHyPar-E","2D_54019_highK.mtx.hgr","no",4,2,0.03,0.0228064,2.16307,"km1",460,460,"no"
"KaHyPar-E","2D_54019_highK.mtx.hgr","no",5,2,0.03,0.0228064,2.44988,"km1",460,460,"no"
"KaHyPar-E","2D_54019_highK.mtx.hgr","no",1,32,0.03,0.026643,27448.3,"km1",6583,6249,"no"
"KaHyPar-E","2D_54019_highK.mtx.hgr","no",2,32,0.03,0.0284192,27536.4,"km1",6591,6255,"no"
"KaHyPar-E","2D_54019_highK.mtx.hgr","no",3,32,0.03,0.0213144,27686.6,"km1",6585,6252,"no"
"KaHyPar-E","2D_54019_highK.mtx.hgr","no",4,32,0.03,0.0284192,27210.4,"km1",6592,6265,"no"
"KaHyPar-E","2D_54019_highK.mtx.hgr","no",5,32,0.03,0.0284192,27038.1,"km1",6579,6249,"no"
"KaHyPar-E","2D_54019_highK.mtx.hgr","no",1,4,0.03,0.0225102,3.89655,"km1",1237,1219,"no"
"KaHyPar-E","2D_54019_highK.mtx.hgr","no",2,4,0.03,0.0213995,5.33029,"km1",1237,1219,"no"
"KaHyPar-E","2D_54019_highK.mtx.hgr","no",3,4,0.03,0.0213995,6.22781,"km1",1237,1219,"no"
"KaHyPar-E","2D_54019_highK.mtx.hgr","no",4,4,0.03,0.0213995,6.69598,"km1",1237,1219,"no"
"KaHyPar-E","2D_54019_highK.mtx.hgr","no",5,4,0.03,0.0225102,12.1628,"km1",1237,1219,"no"
"KaHyPar-E","2D_54019_highK.mtx.hgr","no",1,64,0.03,0.0295858,23716.8,"km1",10107,9368,"no"
"KaHyPar-E","2D_54019_highK.mtx.hgr","no",2,64,0.03,0.0295858,26615.6,"km1",10141,9376,"no"
"KaHyPar-E","2D_54019_highK.mtx.hgr","no",3,64,0.03,0.0295858,28348.3,"km1",10156,9397,"no"
"KaHyPar-E","2D_54019_highK.mtx.hgr","no",4,64,0.03,0.0295858,26919.4,"km1",10069,9312,"no"
"KaHyPar-E","2D_54019_highK.mtx.hgr","no",5,64,0.03,0.0295858,25913.4,"km1",10173,9422,"no"
"KaHyPar-E","2D_54019_highK.mtx.hgr","no",1,8,0.03,0.0288761,25742.1,"km1",2525,2467,"no"
"KaHyPar-E","2D_54019_highK.mtx.hgr","no",2,8,0.03,0.0284318,21362.7,"km1",2504,2455,"no"
"KaHyPar-E","2D_54019_highK.mtx.hgr","no",3,8,0.03,0.0254702,890.785,"km1",2525,2470,"no"
"KaHyPar-E","2D_54019_highK.mtx.hgr","no",4,8,0.03,0.0288761,1083.63,"km1",2528,2476,"no"
"KaHyPar-E","2D_54019_highK.mtx.hgr","no",5,8,0.03,0.0288761,10246.7,"km1",2518,2460,"no"
"KaHyPar-E","af_shell1.mtx.hgr","no",1,128,0.03,0.0291508,26520.5,"km1",60895,58060,"no"
"KaHyPar-E","af_shell1.mtx.hgr","no",2,128,0.03,0.0291508,26205.9,"km1",61120,58270,"no"
"KaHyPar-E","af_shell1.mtx.hgr","no",3,128,0.03,0.0291508,27998,"km1",60770,57920,"no"
"KaHyPar-E","af_shell1.mtx.hgr","no",4,128,0.03,0.0291508,14244.4,"km1",60920,58055,"no"
