"algorithm","graph","timeout","seed","k","epsilon","num_threads","imbalance","totalPartitionTime","objective","km1","cut","failed"
PaToH-D,2cubes_sphere.mtx.hgr,no,1,128,0.03,1,0.0025220680958386588,15895.723843097687,km1,74685,2147483647,no
PaToH-D,2cubes_sphere.mtx.hgr,no,2,128,0.03,1,0.0025220680958386588,12245.38448190689,km1,74868,2147483647,no
PaToH-D,2cubes_sphere.mtx.hgr,no,3,128,0.03,1,0.0025220680958386588,15016.337735414505,km1,74708,2147483647,no
PaToH-D,2cubes_sphere.mtx.hgr,no,4,128,0.03,1,0.0025220680958386588,19727.825694084167,km1,74830,2147483647,no
PaToH-D,2cubes_sphere.mtx.hgr,no,5,128,0.03,1,0.003783102143757988,17726.49748325348,km1,74853,2147483647,no
PaToH-D,2cubes_sphere.mtx.hgr,no,1,16,0.03,1,0.003783102143757988,12334.927943944931,km1,28801,2147483647,no
PaToH-D,2cubes_sphere.mtx.hgr,no,2,16,0.03,1,0.004255989911727598,10858.867680311203,km1,28656,2147483647,no
PaToH-D,2cubes_sphere.mtx.hgr,no,3,16,0.03,1,0.0011034047919293855,15045.786303043365,km1,28789,2147483647,no
PaToH-D,2cubes_sphere.mtx.hgr,no,4,16,0.03,1,0.004886506935687374,4330.015860319138,km1,28883,2147483647,no
PaToH-D,2cubes_sphere.mtx.hgr,no,5,16,0.03,1,0.0009457755359394415,14765.264986276627,km1,28783,2147483647,no
PaToH-D,2cubes_sphere.mtx.hgr,no,1,2,0.03,1,0.019114807078390417,9981.024448871613,km1,3963,2147483647,no
PaToH-D,2cubes_sphere.mtx.hgr,no,2,2,0.03,1,0.019272454971820396,21412.780428171158,km1,3952,2147483647,no
PaToH-D,2cubes_sphere.mtx.hgr,no,3,2,0.03,1,0.01972569266543167,16764.342477321625,km1,3964,2147483647,no
PaToH-D,2cubes_sphere.mtx.hgr,no,4,2,0.03,1,0.019351278918535497,21982.11842775345,km1,3964,2147483647,no
PaToH-D,2cubes_sphere.mtx.hgr,no,5,2,0.03,1,0.016474204863437425,26363.1095495224,km1,3958,2147483647,no
PaToH-D,2cubes_sphere.mtx.hgr,no,1,32,0.03,1,0.0028373266078183246,20868.00313091278,km1,40110,2147483647,no
PaToH-D,2cubes_sphere.mtx.hgr,no,2,32,0.03,1,0.001891551071878883,25782.528161287308,km1,40424,2147483647,no
PaToH-D,2cubes_sphere.mtx.hgr,no,3,32,0.03,1,0.0025220680958386588,11871.638019323349,km1,40220,2147483647,no
PaToH-D,2cubes_sphere.mtx.hgr,no,4,32,0.03,1,0.0034678436317781003,27964.433592557907,km1,40171,2147483647,no
PaToH-D,2cubes_sphere.mtx.hgr,no,5,32,0.03,1,0.0028373266078183246,16392.223131656647,km1,40371,2147483647,no
PaToH-D,2cubes_sphere.mtx.hgr,no,1,4,0.03,1,0.009892405312734054,6189.7918400764465,km1,10943,2147483647,no
PaToH-D,2cubes_sphere.mtx.hgr,no,2,4,0.03,1,0.009931817286091604,20187.700386047363,km1,10912,2147483647,no
PaToH-D,2cubes_sphere.mtx.hgr,no,3,4,0.03,1,0.0,5304.584615468979,km1,10905,2147483647,no
PaToH-D,2cubes_sphere.mtx.hgr,no,4,4,0.03,1,0.008158278485003834,2118.3712067604065,km1,10919,2147483647,no
PaToH-D,2cubes_sphere.mtx.hgr,no,5,4,0.03,1,0.009931817286091604,26352.44113969803,km1,10928,2147483647,no
PaToH-D,2cubes_sphere.mtx.hgr,no,1,64,0.03,1,0.0025220680958386588,27482.44410943985,km1,55510,2147483647,no
PaToH-D,2cubes_sphere.mtx.hgr,no,2,64,0.03,1,0.0025220680958386588,9833.325938463211,km1,55506,2147483647,no
PaToH-D,2cubes_sphere.mtx.hgr,no,3,64,0.03,1,0.0031525851197982124,16489.89446926117,km1,55394,2147483647,no
PaToH-D,2cubes_sphere.mtx.hgr,no,4,64,0.03,1,0.0031525851197982124,13318.289454698563,km1,55434,2147483647,no
PaToH-D,2cubes_sphere.mtx.hgr,no,5,64,0.03,1,0.0031525851197982124,21450.495198249817,km1,55323,2147483647,no
PaToH-D,2cubes_sphere.mtx.hgr,no,1,8,0.03,1,0.0031528336092063736,2169.661789894104,km1,19305,2147483647,no
PaToH-D,2cubes_sphere.mtx.hgr,no,2,8,0.03,1,0.0017340584850633611,27837.0854845047,km1,19476,2147483647,no
PaToH-D,2cubes_sphere.mtx.hgr,no,3,8,0.03,1,0.004256325372428371,15560.009069919586,km1,19429,2147483647,no
PaToH-D,2cubes_sphere.mtx.hgr,no,4,8,0.03,1,0.0,26480.8170170784,km1,19426,2147483647,no
PaToH-D,2cubes_sphere.mtx.hgr,no,5,8,0.03,1,0.001497595964373044,6318.252075910568,km1,19300,2147483647,no
PaToH-D,2D_54019_highK.mtx.hgr,no,1,128,0.03,1,0.0,19460.11522269249,km1,16456,2147483647,no
PaToH-D,2D_54019_highK.mtx.hgr,no,2,128,0.03,1,0.0,5025.140828371048,km1,16511,2147483647,no
PaToH-D,2D_54019_highK.mtx.hgr,no,3,128,0.03,1,0.0,23643.282322883606,km1,16483,2147483647,no
PaToH-D,2D_54019_highK.mtx.hgr,no,4,128,0.03,1,0.007092198581560183,15710.171353340149,km1,16498,2147483647,no
PaToH-D,2D_54019_highK.mtx.hgr,no,5,128,0.03,1,0.0023640661938533203,20643.04317498207,km1,16465,2147483647,no
PaToH-D,2D_54019_highK.mtx.hgr,no,1,16,0.03,1,0.004737933076695233,5575.165717840195,km1,4545,2147483647,no
PaToH-D,2D_54019_highK.mtx.hgr,no,2,16,0.03,1,0.0014806040864672187,27783.220029354095,km1,4550,2147483647,no
PaToH-D,2D_54019_highK.mtx.hgr,no,3,16,0.03,1,0.0029612081729346595,18983.942083358765,km1,4578,2147483647,no
PaToH-D,2D_54019_highK.mtx.hgr,no,4,16,0.03,1,0.00029612081729335493,14326.239236354828,km1,4562,2147483647,no
PaToH-D,2D_54019_highK.mtx.hgr,no,5,16,0.03,1,0.00029612081729335493,27218.82794737816,km1,4498,2147483647,no
PaToH-D,2D_54019_highK.mtx.hgr,no,1,2,0.03,1,0.0005923731951129607,324.2282121181488,km1,462,2147483647,no
PaToH-D,2D_54019_highK.mtx.hgr,no,2,2,0.03,1,0.00136986301369868,154.7259750366211,km1,462,2147483647,no
PaToH-D,2D_54019_highK.mtx.hgr,no,3,2,0.03,1,0.0007034431691965715,1656.2136886119843,km1,462,2147483647,no
PaToH-D,2D_54019_highK.mtx.hgr,no,4,2,0.03,1,0.002813772676786286,274.6468553543091,km1,462,2147483647,no
PaToH-D,2D_54019_highK.mtx.hgr,no,5,2,0.03,1,0.002369492780451621,895.2128350734711,km1,462,2147483647,no
PaToH-D,2D_54019_highK.mtx.hgr,no,1,32,0.03,1,0.0,20214.97322177887,km1,7182,2147483647,no
PaToH-D,2D_54019_highK.mtx.hgr,no,2,32,0.03,1,0.0,14305.397520780563,km1,7193,2147483647,no
PaToH-D,2D_54019_highK.mtx.hgr,no,3,32,0.03,1,0.003552397868561208,23872.37311077118,km1,7205,2147483647,no
PaToH-D,2D_54019_highK.mtx.hgr,no,4,32,0.03,1,0.003552397868561208,13848.972622394562,km1,7180,2147483647,no
PaToH-D,2D_54019_highK.mtx.hgr,no,5,32,0.03,1,0.000592066311426942,2655.295997619629,km1,7185,2147483647,no
PaToH-D,2D_54019_highK.mtx.hgr,no,1,4,0.03,1,7.404664938914784e-05,2484.480129003525,km1,1240,2147483647,no
PaToH-D,2D_54019_highK.mtx.hgr,no,2,4,0.03,1,7.404664938914784e-05,238.569176197052,km1,1239,2147483647,no
PaToH-D,2D_54019_highK.mtx.hgr,no,3,4,0.03,1,7.404664938914784e-05,7576.156541585922,km1,1239,2147483647,no
PaToH-D,2D_54019_highK.mtx.hgr,no,4,4,0.03,1,0.00362828582006669,1373.0537643432617,km1,1239,2147483647,no
PaToH-D,2D_54019_highK.mtx.hgr,no,5,4,0.03,1,0.012291743798593213,26901.20839571953,km1,1238,2147483647,no
PaToH-D,2D_54019_highK.mtx.hgr,no,1,64,0.03,1,0.0011834319526626835,28793.21378183365,km1,10998,2147483647,no
PaToH-D,2D_54019_highK.mtx.hgr,no,2,64,0.03,1,0.0011834319526626835,16549.483666419983,km1,10987,2147483647,no
PaToH-D,2D_54019_highK.mtx.hgr,no,3,64,0.03,1,0.0011834319526626835,12991.422397375107,km1,10996,2147483647,no
PaToH-D,2D_54019_highK.mtx.hgr,no,4,64,0.03,1,0.0011834319526626835,21502.209367990494,km1,10975,2147483647,no
PaToH-D,2D_54019_highK.mtx.hgr,no,5,64,0.03,1,0.0011834319526626835,24686.008195877075,km1,10974,2147483647,no
PaToH-D,2D_54019_highK.mtx.hgr,no,1,8,0.03,1,0.00014808233377761049,23816.276540517807,km1,2628,2147483647,no
PaToH-D,2D_54019_highK.mtx.hgr,no,2,8,0.03,1,0.005479046349770478,22896.785150051117,km1,2626,2147483647,no
PaToH-D,2D_54019_highK.mtx.hgr,no,3,8,0.03,1,0.00014808233377761049,24550.789927721024,km1,2626,2147483647,no
PaToH-D,2D_54019_highK.mtx.hgr,no,4,8,0.03,1,0.0013327410039982723,5326.7542116642,km1,2626,2147483647,no
PaToH-D,2D_54019_highK.mtx.hgr,no,5,8,0.03,1,0.00014808233377761049,2197.784077167511,km1,2624,2147483647,no
PaToH-D,af_shell1.mtx.hgr,no,1,128,0.03,1,0.0,19625.98188138008,km1,66195,2147483647,no
PaToH-D,af_shell1.mtx.hgr,no,2,128,0.03,1,0.0025348542458809575,24589.784084558487,km1,66270,2147483647,no
PaToH-D,af_shell1.mtx.hgr,no,3,128,0.03,1,0.0,13669.44997048378,km1,65900,2147483647,no
PaToH-D,af_shell1.mtx.hgr,no,4,128,0.03,1,0.0025348542458809575,15512.759610891342,km1,66010,2147483647,no
PaToH-D,af_shell1.mtx.hgr,no,5,128,0.03,1,0.0012674271229404788,22087.187604427338,km1,66220,2147483647,no
PaToH-D,af_shell1.mtx.hgr,no,1,16,0.03,1,0.000507067249793991,6188.330623626709,km1,16570,2147483647,no
PaToH-D,af_shell1.mtx.hgr,no,2,16,0.03,1,3.169170311223546e-05,5005.799134492874,km1,16605,2147483647,no
PaToH-D,af_shell1.mtx.hgr,no,3,16,0.03,1,0.00019015021867274662,124.9234344959259,km1,16685,2147483647,no
PaToH-D,af_shell1.mtx.hgr,no,4,16,0.03,1,3.169170311223546e-05,18732.53992319107,km1,16550,2147483647,no
PaToH-D,af_shell1.mtx.hgr,no,5,16,0.03,1,3.169170311223546e-05,1565.4011228084564,km1,16605,2147483647,no
PaToH-D,af_shell1.mtx.hgr,no,1,2,0.03,1,0.004088294483971744,1644.6161031723022,km1,1770,2147483647,no
PaToH-D,af_shell1.mtx.hgr,no,2,2,0.03,1,0.004088294483971744,10052.942348480225,km1,1770,2147483647,no
PaToH-D,af_shell1.mtx.hgr,no,3,2,0.03,1,0.004088294483971744,12861.63305926323,km1,1770,2147483647,no
PaToH-D,af_shell1.mtx.hgr,no,4,2,0.03,1,0.0005823442724262051,3545.1656165122986,km1,1775,2147483647,no
PaToH-D,af_shell1.mtx.hgr,no,5,2,0.03,1,0.004088294483971744,27802.159205913544,km1,1770,2147483647,no
PaToH-D,af_shell1.mtx.hgr,no,1,32,0.03,1,0.00019015021867274662,17030.983995437622,km1,27780,2147483647,no
PaToH-D,af_shell1.mtx.hgr,no,2,32,0.03,1,0.00019015021867274662,18897.023444652557,km1,27860,2147483647,no
PaToH-D,af_shell1.mtx.hgr,no,3,32,0.03,1,0.000507067249793991,7630.773798704147,km1,27875,2147483647,no
PaToH-D,af_shell1.mtx.hgr,no,4,32,0.03,1,0.00019015021867274662,13058.681236982346,km1,27855,2147483647,no
PaToH-D,af_shell1.mtx.hgr,no,5,32,0.03,1,0.00019015021867274662,17996.336627483368,km1,27765,2147483647,no
