"algorithm","graph","timeout","seed","k","epsilon","num_threads","imbalance","totalPartitionTime","objective","km1","cut","failed"
PaToH-Q,2cubes_sphere.mtx.hgr,no,1,128,0.03,1,0.003783102143757988,27426.924654722214,km1,73208,2147483647,no
PaToH-Q,2cubes_sphere.mtx.hgr,no,2,128,0.03,1,0.0025220680958386588,17285.61904501915,km1,73334,2147483647,no
PaToH-Q,2cubes_sphere.mtx.hgr,no,3,128,0.03,1,0.0012610340479193294,23183.348698854446,km1,73444,2147483647,no
PaToH-Q,2cubes_sphere.mtx.hgr,no,4,128,0.03,1,0.0012610340479193294,1999.4638447761536,km1,73437,2147483647,no
PaToH-Q,2cubes_sphere.mtx.hgr,no,5,128,0.03,1,0.0025220680958386588,13072.336383581161,km1,73526,2147483647,no
PaToH-Q,2cubes_sphere.mtx.hgr,no,1,16,0.03,1,0.0006305170239595537,2685.9407675266266,km1,28421,2147483647,no
PaToH-Q,2cubes_sphere.mtx.hgr,no,2,16,0.03,1,0.0,5786.626500844955,km1,28485,2147483647,no
PaToH-Q,2cubes_sphere.mtx.hgr,no,3,16,0.03,1,0.00472887767969743,25579.217512607574,km1,28460,2147483647,no
PaToH-Q,2cubes_sphere.mtx.hgr,no,4,16,0.03,1,0.00472887767969743,8333.630019187927,km1,28511,2147483647,no
PaToH-Q,2cubes_sphere.mtx.hgr,no,5,16,0.03,1,0.0,28525.942120313644,km1,28491,2147483647,no
PaToH-Q,2cubes_sphere.mtx.hgr,no,1,2,0.03,1,0.013991250541914635,17150.325176000595,km1,3937,2147483647,no
PaToH-Q,2cubes_sphere.mtx.hgr,no,2,2,0.03,1,0.013242423048122065,16285.051111459732,km1,3937,2147483647,no
PaToH-Q,2cubes_sphere.mtx.hgr,no,3,2,0.03,1,0.011902415953966905,15340.264815330505,km1,3942,2147483647,no
PaToH-Q,2cubes_sphere.mtx.hgr,no,4,2,0.03,1,0.016158909076577466,5056.329822063446,km1,3938,2147483647,no
PaToH-Q,2cubes_sphere.mtx.hgr,no,5,2,0.03,1,0.013557718834982024,5648.9850153923035,km1,3936,2147483647,no
PaToH-Q,2cubes_sphere.mtx.hgr,no,1,32,0.03,1,0.0028373266078183246,27962.268928289413,km1,39769,2147483647,no
PaToH-Q,2cubes_sphere.mtx.hgr,no,2,32,0.03,1,0.0006305170239595537,4488.994793176651,km1,39630,2147483647,no
PaToH-Q,2cubes_sphere.mtx.hgr,no,3,32,0.03,1,0.004098360655737654,14302.031213283539,km1,39914,2147483647,no
PaToH-Q,2cubes_sphere.mtx.hgr,no,4,32,0.03,1,0.0015762925598992172,5711.441479682922,km1,39740,2147483647,no
PaToH-Q,2cubes_sphere.mtx.hgr,no,5,32,0.03,1,0.0,26758.474163770676,km1,39743,2147483647,no
PaToH-Q,2cubes_sphere.mtx.hgr,no,1,4,0.03,1,0.002364718401450361,28654.63314795494,km1,10851,2147483647,no
PaToH-Q,2cubes_sphere.mtx.hgr,no,2,4,0.03,1,0.0032711937886729103,17525.517824172974,km1,10832,2147483647,no
PaToH-Q,2cubes_sphere.mtx.hgr,no,3,4,0.03,1,0.0072912150711386126,27222.942176103592,km1,10788,2147483647,no
PaToH-Q,2cubes_sphere.mtx.hgr,no,4,4,0.03,1,0.004256493122610561,16499.958365678787,km1,10830,2147483647,no
PaToH-Q,2cubes_sphere.mtx.hgr,no,5,4,0.03,1,0.002561778268237891,4787.591690778732,km1,10815,2147483647,no
PaToH-Q,2cubes_sphere.mtx.hgr,no,1,64,0.03,1,0.0012610340479193294,17244.107120513916,km1,54402,2147483647,no
PaToH-Q,2cubes_sphere.mtx.hgr,no,2,64,0.03,1,0.001891551071878883,10726.687993764877,km1,54340,2147483647,no
PaToH-Q,2cubes_sphere.mtx.hgr,no,3,64,0.03,1,0.0006305170239595537,9455.32693529129,km1,54500,2147483647,no
PaToH-Q,2cubes_sphere.mtx.hgr,no,4,64,0.03,1,0.0006305170239595537,15135.956337928772,km1,54208,2147483647,no
PaToH-Q,2cubes_sphere.mtx.hgr,no,5,64,0.03,1,0.0031525851197982124,3911.6897921562195,km1,54418,2147483647,no
PaToH-Q,2cubes_sphere.mtx.hgr,no,1,8,0.03,1,0.00031528336092057074,25646.29811191559,km1,19190,2147483647,no
PaToH-Q,2cubes_sphere.mtx.hgr,no,2,8,0.03,1,0.0016552376448333295,27450.951465845108,km1,19192,2147483647,no
