"algorithm","graph","timeout","seed","k","epsilon","imbalance","totalPartitionTime","objective","km1","cut","failed"
"KaHyPar-R","2cubes_sphere.mtx.hgr","no",1,128,0.03,0.0290038,22386.1,"km1",72476,53987,"no"
"KaHyPar-R","2cubes_sphere.mtx.hgr","no",2,128,0.03,0.0290038,23395.8,"km1",72545,54177,"no"
"KaHyPar-R","2cubes_sphere.mtx.hgr","no",3,128,0.03,0.0290038,18282,"km1",72494,53966,"no"
"KaHyPar-R","2cubes_sphere.mtx.hgr","no",4,128,0.03,0.0290038,25482.7,"km1",72466,53947,"no"
"KaHyPar-R","2cubes_sphere.mtx.hgr","no",5,128,0.03,0.0290038,25405.9,"km1",72492,53937,"no"
"KaHyPar-R","2cubes_sphere.mtx.hgr","no",1,16,0.03,0.0275851,19806.5,"km1",27992,24706,"no"
"KaHyPar-R","2cubes_sphere.mtx.hgr","no",2,16,0.03,0.0299496,21586.6,"km1",28075,24793,"no"
"KaHyPar-R","2cubes_sphere.mtx.hgr","no",3,16,0.03,0.0297919,2256.86,"km1",27999,24673,"no"
"KaHyPar-R","2cubes_sphere.mtx.hgr","no",4,16,0.03,0.0296343,13287.8,"km1",28054,24798,"no"
"KaHyPar-R","2cubes_sphere.mtx.hgr","no",5,16,0.03,0.0299496,22246.5,"km1",28038,24812,"no"
"KaHyPar-R","2cubes_sphere.mtx.hgr","no",1,2,0.03,0.0297363,9669.18,"km1",3857,3857,"no"
"KaHyPar-R","2cubes_sphere.mtx.hgr","no",2,2,0.03,0.0299925,1989.22,"km1",3860,3860,"no"
"KaHyPar-R","2cubes_sphere.mtx.hgr","no",3,2,0.03,0.029894,26368.1,"km1",3856,3856,"no"
"KaHyPar-R","2cubes_sphere.mtx.hgr","no",4,2,0.03,0.0299925,7183.68,"km1",3861,3861,"no"
"KaHyPar-R","2cubes_sphere.mtx.hgr","no",5,2,0.03,0.0299137,6022,"km1",3852,3852,"no"
