algorithm,graph,timeout,seed,k,epsilon,imbalance,totalPartitionTime,objective,km1,cut,failed
Hype,144.hgr,no,1,2,0.03,1.86151e-06,3.99,km1,75161,75161,no
Hype,144.hgr,no,1,4,0.03,3.72302e-06,5.583,km1,159862,98627,no
Hype,144.hgr,no,1,8,0.03,7.44602e-06,3.993,km1,208102,104734,no
Hype,144.hgr,no,1,16,0.03,1.4892e-05,5.361,km1,236366,107132,no
Hype,144.hgr,no,1,32,0.03,2.97841e-05,3.811,km1,255475,109060,no
Hype,144.hgr,no,1,64,0.03,5.95664e-05,5.252,km1,273844,110910,no
Hype,144.hgr,no,1,128,0.03,0.000119133,3.711,km1,286399,112705,no
Hype,3elt.hgr,no,1,2,0.03,0,0.043,km1,817,817,no
Hype,3elt.hgr,no,1,4,0.03,0.00029146,0.027,km1,1165,1116,no
Hype,3elt.hgr,no,1,8,0.03,0.000582751,0.043,km1,1432,1330,no
Hype,3elt.hgr,no,1,16,0.03,0.0011655,0.027,km1,2007,1761,no
Hype,3elt.hgr,no,1,32,0.03,0.002331,0.042,km1,2339,1973,no
Hype,3elt.hgr,no,1,64,0.03,0.00465116,0.026,km1,2895,2328,no
Hype,3elt.hgr,no,1,128,0.03,0.00925926,0.041,km1,3732,2855,no
Hype,4elt.hgr,no,1,2,0.03,0,0.154,km1,2783,2783,no
Hype,4elt.hgr,no,1,4,0.03,8.7184e-05,0.1,km1,4146,3996,no
Hype,4elt.hgr,no,1,8,0.03,0.000174368,0.151,km1,4688,4386,no
Hype,4elt.hgr,no,1,16,0.03,0.000348675,0.098,km1,5394,4935,no
Hype,4elt.hgr,no,1,32,0.03,0.00069735,0.147,km1,6377,5638,no
Hype,4elt.hgr,no,1,64,0.03,0.0013947,0.094,km1,7498,6398,no
Hype,4elt.hgr,no,1,128,0.03,0.00278552,0.145,km1,8693,7183,no
Hype,598a.hgr,no,1,2,0.03,0,2.534,km1,50523,50523,no
Hype,598a.hgr,no,1,4,0.03,5.3913e-06,2.511,km1,88453,64513,no
Hype,598a.hgr,no,1,8,0.03,1.07826e-05,3.521,km1,120981,72058,no
Hype,598a.hgr,no,1,16,0.03,2.15652e-05,2.454,km1,146963,75985,no
Hype,598a.hgr,no,1,32,0.03,4.31295e-05,3.46,km1,161882,78283,no
Hype,598a.hgr,no,1,64,0.03,8.62589e-05,2.406,km1,171948,79815,no
Hype,598a.hgr,no,1,128,0.03,0.000172503,3.352,km1,182116,80426,no
Hype,add20.hgr,no,1,2,0.03,0,0.015,km1,318,318,no
Hype,add20.hgr,no,1,4,0.03,0.000535906,0.025,km1,715,589,no
Hype,add20.hgr,no,1,8,0.03,0.00107181,0.015,km1,1061,700,no
Hype,add20.hgr,no,1,16,0.03,0.00214133,0.024,km1,1405,761,no
Hype,add20.hgr,no,1,32,0.03,0.0042735,0.015,km1,1753,789,no
Hype,add20.hgr,no,1,64,0.03,0.00854701,0.023,km1,2448,855,no
Hype,add20.hgr,no,1,128,0.03,0.0169492,0.014,km1,3133,944,no
Hype,add32.hgr,no,1,2,0.03,0,0.02,km1,121,121,no
Hype,add32.hgr,no,1,4,0.03,0.000422654,0.02,km1,241,238,no
Hype,add32.hgr,no,1,8,0.03,0.000845309,0.013,km1,311,296,no
Hype,add32.hgr,no,1,16,0.03,0.00168919,0.013,km1,472,440,no
Hype,add32.hgr,no,1,32,0.03,0.00337838,0.02,km1,747,653,no
Hype,add32.hgr,no,1,64,0.03,0.00675676,0.013,km1,1079,892,no
Hype,add32.hgr,no,1,128,0.03,0.0135135,0.019,km1,1531,1130,no
Hype,auto.hgr,no,1,2,0.03,6.03389e-07,13.287,km1,215833,215833,no
Hype,auto.hgr,no,1,4,0.03,1.20678e-06,18.168,km1,476292,300587,no
Hype,auto.hgr,no,1,8,0.03,2.41355e-06,13.754,km1,682056,334368,no
Hype,auto.hgr,no,1,16,0.03,4.82709e-06,17.795,km1,802252,346864,no
Hype,auto.hgr,no,1,32,0.03,9.65419e-06,13.399,km1,871869,351886,no
Hype,auto.hgr,no,1,64,0.03,1.93084e-05,17.597,km1,920788,355666,no
Hype,auto.hgr,no,1,128,0.03,3.8616e-05,12.83,km1,960036,358767,no
Hype,bcsstk29.hgr,no,1,2,0.03,0,1.2,km1,2964,2964,no
Hype,bcsstk29.hgr,no,1,4,0.03,0,0.84,km1,6100,4577,no
Hype,bcsstk29.hgr,no,1,8,0.03,2.64243e-05,1.233,km1,10676,6111,no
Hype,bcsstk29.hgr,no,1,16,0.03,5.28485e-05,0.823,km1,11839,6489,no
Hype,bcsstk29.hgr,no,1,32,0.03,0.000105697,1.203,km1,17268,7794,no
Hype,bcsstk29.hgr,no,1,64,0.03,0.000211372,0.826,km1,25080,9101,no
Hype,bcsstk29.hgr,no,1,128,0.03,0.000422654,1.186,km1,33988,10185,no
Hype,bcsstk30.hgr,no,1,2,0.03,0,3.103,km1,3473,3473,no
Hype,bcsstk30.hgr,no,1,4,0.03,0,4.4,km1,9244,7328,no
Hype,bcsstk30.hgr,no,1,8,0.03,7.94212e-06,2.992,km1,16615,11180,no
Hype,bcsstk30.hgr,no,1,16,0.03,1.58841e-05,4.404,km1,29154,14818,no
