algorithm,graph,timeout,interrupted,seed,k,epsilon,imbalance,totalPartitionTime,objective,km1,cut,failed
kKaHyPar-Eco,192bit.mtx.hgr,no,no,0,128,0.03,0.0280374,27.8286,km1,69973,13691,no
kKaHyPar-Eco,192bit.mtx.hgr,no,no,1,128,0.03,0.0280374,27.8843,km1,69988,13691,no
kKaHyPar-Eco,192bit.mtx.hgr,no,no,2,128,0.03,0.0280374,27.1362,km1,69888,13691,no
kKaHyPar-Eco,192bit.mtx.hgr,no,no,3,128,0.03,0.0280374,27.5696,km1,69845,13691,no
kKaHyPar-Eco,192bit.mtx.hgr,no,no,4,128,0.03,0.0280374,27.8343,km1,69835,13691,no
kKaHyPar-Eco,192bit.mtx.hgr,no,no,5,128,0.03,0.0280374,27.8211,km1,69952,13691,no
kKaHyPar-Eco,192bit.mtx.hgr,no,no,6,128,0.03,0.0280374,27.8002,km1,69919,13691,no
kKaHyPar-Eco,192bit.mtx.hgr,no,no,7,128,0.03,0.0280374,27.1811,km1,69891,13691,no
kKaHyPar-Eco,192bit.mtx.hgr,no,no,8,128,0.03,0.0280374,27.1906,km1,69881,13691,no
kKaHyPar-Eco,192bit.mtx.hgr,no,no,9,128,0.03,0.0280374,27.4217,km1,70055,13691,no
kKaHyPar-Eco,192bit.mtx.hgr,no,no,0,16,0.03,0.0292056,30.7551,km1,36040,13685,no
kKaHyPar-Eco,192bit.mtx.hgr,no,no,1,16,0.03,0.0292056,29.8616,km1,35987,13685,no
kKaHyPar-Eco,192bit.mtx.hgr,no,no,2,16,0.03,0.0292056,30.2191,km1,36335,13684,no
kKaHyPar-Eco,192bit.mtx.hgr,no,no,3,16,0.03,0.0292056,31.6498,km1,36255,13687,no
kKaHyPar-Eco,192bit.mtx.hgr,no,no,4,16,0.03,0.0292056,32.6102,km1,36399,13686,no
kKaHyPar-Eco,192bit.mtx.hgr,no,no,5,16,0.03,0.0292056,29.4664,km1,36225,13683,no
kKaHyPar-Eco,192bit.mtx.hgr,no,no,6,16,0.03,0.0292056,29.2417,km1,36007,13682,no
kKaHyPar-Eco,192bit.mtx.hgr,no,no,7,16,0.03,0.0292056,31.8604,km1,36993,13684,no
kKaHyPar-Eco,192bit.mtx.hgr,no,no,8,16,0.03,0.0292056,29.1273,km1,36249,13686,no
kKaHyPar-Eco,192bit.mtx.hgr,no,no,9,16,0.03,0.0292056,29.7418,km1,36311,13684,no
kKaHyPar-Eco,192bit.mtx.hgr,no,no,0,2,0.03,0.0299664,15.3206,km1,7793,7793,no
kKaHyPar-Eco,192bit.mtx.hgr,no,no,1,2,0.03,0.0299664,16.1688,km1,7809,7809,no
kKaHyPar-Eco,192bit.mtx.hgr,no,no,2,2,0.03,0.0299664,15.3841,km1,7753,7753,no
kKaHyPar-Eco,192bit.mtx.hgr,no,no,3,2,0.03,0.0299664,16.0257,km1,7802,7802,no
kKaHyPar-Eco,192bit.mtx.hgr,no,no,4,2,0.03,0.0299664,15.919,km1,7796,7796,no
kKaHyPar-Eco,192bit.mtx.hgr,no,no,5,2,0.03,0.0299664,15.693,km1,7791,7791,no
kKaHyPar-Eco,192bit.mtx.hgr,no,no,6,2,0.03,0.0298202,15.1338,km1,7783,7783,no
kKaHyPar-Eco,192bit.mtx.hgr,no,no,7,2,0.03,0.0299664,15.766,km1,7821,7821,no
kKaHyPar-Eco,192bit.mtx.hgr,no,no,8,2,0.03,0.0299664,15.94,km1,7815,7815,no
kKaHyPar-Eco,192bit.mtx.hgr,no,no,9,2,0.03,0.0298202,16.3704,km1,7789,7789,no
kKaHyPar-Eco,192bit.mtx.hgr,no,no,0,32,0.03,0.0280374,33.8536,km1,46933,13691,no
kKaHyPar-Eco,192bit.mtx.hgr,no,no,1,32,0.03,0.0280374,33.841,km1,47197,13691,no
kKaHyPar-Eco,192bit.mtx.hgr,no,no,2,32,0.03,0.0280374,33.4994,km1,46892,13691,no
kKaHyPar-Eco,192bit.mtx.hgr,no,no,3,32,0.03,0.0280374,33.9948,km1,47145,13691,no
