algorithm,graph,timeout,interrupted,seed,k,epsilon,imbalance,totalPartitionTime,objective,km1,cut,failed
kKaHyPar,192bit.mtx.hgr,no,no,0,128,0.03,0.0280374,27.8989,km1,69973,13691,no
kKaHyPar,192bit.mtx.hgr,no,no,1,128,0.03,0.0280374,27.9785,km1,69988,13691,no
kKaHyPar,192bit.mtx.hgr,no,no,2,128,0.03,0.0280374,27.4159,km1,69888,13691,no
kKaHyPar,192bit.mtx.hgr,no,no,3,128,0.03,0.0280374,27.5072,km1,69845,13691,no
kKaHyPar,192bit.mtx.hgr,no,no,4,128,0.03,0.0280374,27.5661,km1,69835,13691,no
kKaHyPar,192bit.mtx.hgr,no,no,5,128,0.03,0.0280374,27.8889,km1,69952,13691,no
kKaHyPar,192bit.mtx.hgr,no,no,6,128,0.03,0.0280374,27.5759,km1,69919,13691,no
kKaHyPar,192bit.mtx.hgr,no,no,7,128,0.03,0.0280374,27.2915,km1,69891,13691,no
kKaHyPar,192bit.mtx.hgr,no,no,8,128,0.03,0.0280374,27.6196,km1,69881,13691,no
kKaHyPar,192bit.mtx.hgr,no,no,9,128,0.03,0.0280374,27.7077,km1,70055,13691,no
kKaHyPar,192bit.mtx.hgr,no,no,0,16,0.03,0.0292056,68.8573,km1,36009,13684,no
kKaHyPar,192bit.mtx.hgr,no,no,1,16,0.03,0.0292056,77.526,km1,36153,13683,no
kKaHyPar,192bit.mtx.hgr,no,no,2,16,0.03,0.0292056,84.005,km1,36174,13684,no
kKaHyPar,192bit.mtx.hgr,no,no,3,16,0.03,0.0292056,69.3623,km1,36294,13686,no
kKaHyPar,192bit.mtx.hgr,no,no,4,16,0.03,0.0292056,88.8956,km1,36106,13686,no
kKaHyPar,192bit.mtx.hgr,no,no,5,16,0.03,0.0292056,70.4908,km1,36230,13682,no
kKaHyPar,192bit.mtx.hgr,no,no,6,16,0.03,0.0292056,63.0012,km1,35913,13680,no
kKaHyPar,192bit.mtx.hgr,no,no,7,16,0.03,0.0292056,85.1819,km1,36693,13686,no
kKaHyPar,192bit.mtx.hgr,no,no,8,16,0.03,0.0292056,66.4175,km1,36086,13686,no
kKaHyPar,192bit.mtx.hgr,no,no,9,16,0.03,0.0292056,70.8367,km1,35997,13686,no
kKaHyPar,192bit.mtx.hgr,no,no,0,2,0.03,0.0299664,22.7499,km1,7774,7774,no
kKaHyPar,192bit.mtx.hgr,no,no,1,2,0.03,0.0299664,24.0056,km1,7809,7809,no
kKaHyPar,192bit.mtx.hgr,no,no,2,2,0.03,0.0298202,23.511,km1,7795,7795,no
kKaHyPar,192bit.mtx.hgr,no,no,3,2,0.03,0.0299664,23.4455,km1,7802,7802,no
kKaHyPar,192bit.mtx.hgr,no,no,4,2,0.03,0.0299664,23.3752,km1,7796,7796,no
kKaHyPar,192bit.mtx.hgr,no,no,5,2,0.03,0.0299664,23.3306,km1,7819,7819,no
kKaHyPar,192bit.mtx.hgr,no,no,6,2,0.03,0.0299664,22.3726,km1,7802,7802,no
kKaHyPar,192bit.mtx.hgr,no,no,7,2,0.03,0.0299664,23.2526,km1,7821,7821,no
kKaHyPar,192bit.mtx.hgr,no,no,8,2,0.03,0.0299664,23.7848,km1,7815,7815,no
kKaHyPar,192bit.mtx.hgr,no,no,9,2,0.03,0.0298202,23.7243,km1,7789,7789,no
kKaHyPar,192bit.mtx.hgr,no,no,0,32,0.03,0.0280374,74.7323,km1,46794,13691,no
kKaHyPar,192bit.mtx.hgr,no,no,1,32,0.03,0.0280374,74.7189,km1,46793,13691,no
kKaHyPar,192bit.mtx.hgr,no,no,2,32,0.03,0.0280374,78.3461,km1,46805,13690,no
kKaHyPar,192bit.mtx.hgr,no,no,3,32,0.03,0.0280374,85.5157,km1,46854,13691,no
kKaHyPar,192bit.mtx.hgr,no,no,4,32,0.03,0.0280374,79.4738,km1,46925,13690,no
kKaHyPar,192bit.mtx.hgr,no,no,5,32,0.03,0.0280374,80.4849,km1,46863,13691,no
kKaHyPar,192bit.mtx.hgr,no,no,6,32,0.03,0.0280374,79.3818,km1,46531,13690,no
kKaHyPar,192bit.mtx.hgr,no,no,7,32,0.03,0.0280374,75.6443,km1,47202,13691,no
kKaHyPar,192bit.mtx.hgr,no,no,8,32,0.03,0.0280374,78.815,km1,47104,13691,no
kKaHyPar,192bit.mtx.hgr,no,no,9,32,0.03,0.0280374,78.0418,km1,46871,13691,no
kKaHyPar,192bit.mtx.hgr,no,no,0,4,0.03,0.0298158,81.0943,km1,16815,12684,no
kKaHyPar,192bit.mtx.hgr,no,no,1,4,0.03,0.0298158,47.1232,km1,16838,12696,no
kKaHyPar,192bit.mtx.hgr,no,no,2,4,0.03,0.0298158,63.0041,km1,16902,12718,no
kKaHyPar,192bit.mtx.hgr,no,no,3,4,0.03,0.0298158,99.1155,km1,16865,12726,no
kKaHyPar,192bit.mtx.hgr,no,no,4,4,0.03,0.0298158,52.7112,km1,16822,12720,no
kKaHyPar,192bit.mtx.hgr,no,no,5,4,0.03,0.0298158,45.8973,km1,16751,12689,no
kKaHyPar,192bit.mtx.hgr,no,no,6,4,0.03,0.0298158,47.2831,km1,16787,12658,no
kKaHyPar,192bit.mtx.hgr,no,no,7,4,0.03,0.0298158,61.6788,km1,16789,12710,no
kKaHyPar,192bit.mtx.hgr,no,no,8,4,0.03,0.0298158,47.8169,km1,16725,12698,no
kKaHyPar,192bit.mtx.hgr,no,no,9,4,0.03,0.0298158,75.1507,km1,16805,12700,no
kKaHyPar,192bit.mtx.hgr,no,no,0,64,0.03,0.0280374,86.0186,km1,57345,13691,no
kKaHyPar,192bit.mtx.hgr,no,no,1,64,0.03,0.0280374,84.7808,km1,57346,13691,no
kKaHyPar,192bit.mtx.hgr,no,no,2,64,0.03,0.0280374,87.5336,km1,57383,13691,no
kKaHyPar,192bit.mtx.hgr,no,no,3,64,0.03,0.0280374,86.2773,km1,57587,13691,no
kKaHyPar,192bit.mtx.hgr,no,no,4,64,0.03,0.0280374,86.3048,km1,57781,13691,no
kKaHyPar,192bit.mtx.hgr,no,no,5,64,0.03,0.0280374,88.7337,km1,57263,13691,no
kKaHyPar,192bit.mtx.hgr,no,no,6,64,0.03,0.0280374,86.3737,km1,57213,13691,no
kKaHyPar,192bit.mtx.hgr,no,no,7,64,0.03,0.0280374,87.9779,km1,57559,13691,no
kKaHyPar,192bit.mtx.hgr,no,no,8,64,0.03,0.0280374,85.6194,km1,57454,13691,no
kKaHyPar,192bit.mtx.hgr,no,no,9,64,0.03,0.0280374,86.2045,km1,57150,13691,no
kKaHyPar,192bit.mtx.hgr,no,no,0,8,0.03,0.0298071,101.029,km1,27065,13605,no
kKaHyPar,192bit.mtx.hgr,no,no,1,8,0.03,0.0298071,102.269,km1,26863,13598,no
kKaHyPar,192bit.mtx.hgr,no,no,2,8,0.03,0.0298071,102.22,km1,27075,13628,no
kKaHyPar,192bit.mtx.hgr,no,no,3,8,0.03,0.0298071,136.779,km1,27209,13615,no
kKaHyPar,192bit.mtx.hgr,no,no,4,8,0.03,0.0298071,150.016,km1,26917,13604,no
kKaHyPar,192bit.mtx.hgr,no,no,5,8,0.03,0.0298071,121.994,km1,27131,13599,no
kKaHyPar,192bit.mtx.hgr,no,no,6,8,0.03,0.0298071,71.2354,km1,26976,13604,no
kKaHyPar,192bit.mtx.hgr,no,no,7,8,0.03,0.0298071,109.541,km1,27011,13608,no
kKaHyPar,192bit.mtx.hgr,no,no,8,8,0.03,0.0298071,115.625,km1,26485,13612,no
kKaHyPar,192bit.mtx.hgr,no,no,9,8,0.03,0.0298071,105.146,km1,27100,13620,no
kKaHyPar,2cubes_sphere.mtx.hgr,no,no,0,128,0.03,0.0290038,136.687,km1,67847,51679,no
