algorithm,graph,timeout,seed,k,epsilon,imbalance,totalPartitionTime,objective,km1,cut,failed
KaHyPar-K,144.hgr,no,1,2,0.03,0.00971152,64.6652,km1,1522,1522,no
KaHyPar-K,144.hgr,no,2,2,0.03,0.0293617,65.4124,km1,1521,1521,no
KaHyPar-K,144.hgr,no,3,2,0.03,0.0293617,63.7473,km1,1521,1521,no
KaHyPar-K,144.hgr,no,4,2,0.03,0.00971152,65.3365,km1,1522,1522,no
KaHyPar-K,144.hgr,no,5,2,0.03,0.0293617,76.6328,km1,1521,1521,no
KaHyPar-K,144.hgr,no,1,4,0.03,0.02863,126.693,km1,3690,3676,no
KaHyPar-K,144.hgr,no,2,4,0.03,0.0297544,154.678,km1,3688,3679,no
KaHyPar-K,144.hgr,no,3,4,0.03,0.0276844,132.464,km1,3669,3655,no
KaHyPar-K,144.hgr,no,4,4,0.03,0.0292927,174.46,km1,3715,3699,no
KaHyPar-K,144.hgr,no,5,4,0.03,0.0296092,127.977,km1,3677,3662,no
KaHyPar-K,144.hgr,no,1,8,0.03,0.0294341,156.019,km1,6052,5993,no
KaHyPar-K,144.hgr,no,2,8,0.03,0.029866,145.51,km1,6009,5960,no
KaHyPar-K,144.hgr,no,3,8,0.03,0.0252271,132.18,km1,6096,6047,no
KaHyPar-K,144.hgr,no,4,8,0.03,0.0280566,200.42,km1,6288,6231,no
KaHyPar-K,144.hgr,no,5,8,0.03,0.026962,197.119,km1,6100,6047,no
KaHyPar-K,144.hgr,no,1,16,0.03,0.0279226,186.236,km1,9218,9096,no
KaHyPar-K,144.hgr,no,2,16,0.03,0.0299479,175.368,km1,9241,9099,no
KaHyPar-K,144.hgr,no,3,16,0.03,0.0297245,180.497,km1,9228,9122,no
KaHyPar-K,144.hgr,no,4,16,0.03,0.0296649,198.1,km1,9085,8987,no
KaHyPar-K,144.hgr,no,5,16,0.03,0.025927,164.53,km1,9104,9002,no
KaHyPar-K,144.hgr,no,1,32,0.03,0.0261206,203.055,km1,13585,13319,no
KaHyPar-K,144.hgr,no,2,32,0.03,0.0269844,197.696,km1,13645,13412,no
KaHyPar-K,144.hgr,no,3,32,0.03,0.0241549,211.171,km1,13658,13415,no
KaHyPar-K,144.hgr,no,4,32,0.03,0.0258526,200.766,km1,13642,13399,no
KaHyPar-K,144.hgr,no,5,32,0.03,0.0255547,220.693,km1,13719,13436,no
KaHyPar-K,144.hgr,no,1,64,0.03,0.0248987,330.464,km1,19413,18907,no
KaHyPar-K,144.hgr,no,2,64,0.03,0.0268644,301.223,km1,19146,18666,no
KaHyPar-K,144.hgr,no,3,64,0.03,0.0284727,297.674,km1,19166,18708,no
KaHyPar-K,144.hgr,no,4,64,0.03,0.0244222,297.981,km1,19192,18735,no
KaHyPar-K,144.hgr,no,5,64,0.03,0.0244818,309.102,km1,19286,18783,no
KaHyPar-K,144.hgr,no,1,128,0.03,0.0299023,434.285,km1,26577,25615,no
KaHyPar-K,144.hgr,no,2,128,0.03,0.0299023,452.445,km1,26734,25806,no
KaHyPar-K,144.hgr,no,3,128,0.03,0.0299023,403.813,km1,26745,25786,no
KaHyPar-K,144.hgr,no,4,128,0.03,0.0291875,445.594,km1,26775,25861,no
KaHyPar-K,144.hgr,no,5,128,0.03,0.0299023,486.691,km1,26625,25650,no
KaHyPar-K,3elt.hgr,no,1,2,0.03,0.0137006,0.159206,km1,43,43,no
KaHyPar-K,3elt.hgr,no,2,2,0.03,0.0137006,0.133018,km1,43,43,no
KaHyPar-K,3elt.hgr,no,3,2,0.03,0.0137006,0.155324,km1,43,43,no
KaHyPar-K,3elt.hgr,no,4,2,0.03,0.0137006,0.160107,km1,43,43,no
KaHyPar-K,3elt.hgr,no,5,2,0.03,0.0137006,0.155437,km1,43,43,no
KaHyPar-K,3elt.hgr,no,1,4,0.03,0.0043719,0.342833,km1,99,98,no
KaHyPar-K,3elt.hgr,no,2,4,0.03,0.0154474,0.313584,km1,101,101,no
KaHyPar-K,3elt.hgr,no,3,4,0.03,0.0169047,0.297279,km1,101,101,no
KaHyPar-K,3elt.hgr,no,4,4,0.03,0.00495482,0.331354,km1,99,99,no
KaHyPar-K,3elt.hgr,no,5,4,0.03,0.0215681,0.319244,km1,100,100,no
KaHyPar-K,3elt.hgr,no,1,8,0.03,0.0180653,0.589496,km1,174,174,no
KaHyPar-K,3elt.hgr,no,2,8,0.03,0.027972,0.58611,km1,175,175,no
KaHyPar-K,3elt.hgr,no,3,8,0.03,0.0262238,0.560275,km1,177,177,no
KaHyPar-K,3elt.hgr,no,4,8,0.03,0.0262238,0.567467,km1,176,176,no
KaHyPar-K,3elt.hgr,no,5,8,0.03,0.025641,0.601472,km1,179,178,no
KaHyPar-K,3elt.hgr,no,1,16,0.03,0.020979,0.917086,km1,305,304,no
KaHyPar-K,3elt.hgr,no,2,16,0.03,0.0268065,0.921483,km1,308,306,no
KaHyPar-K,3elt.hgr,no,3,16,0.03,0.027972,0.911224,km1,297,296,no
KaHyPar-K,3elt.hgr,no,4,16,0.03,0.0244755,0.947444,km1,296,295,no
KaHyPar-K,3elt.hgr,no,5,16,0.03,0.0198135,0.926256,km1,305,303,no
KaHyPar-K,3elt.hgr,no,1,32,0.03,0.027972,1.48503,km1,519,518,no
KaHyPar-K,3elt.hgr,no,2,32,0.03,0.02331,1.4628,km1,529,528,no
KaHyPar-K,3elt.hgr,no,3,32,0.03,0.02331,1.51925,km1,530,527,no
KaHyPar-K,3elt.hgr,no,4,32,0.03,0.027972,1.46609,km1,518,518,no
