algorithm,graph,timeout,seed,k,epsilon,imbalance,totalPartitionTime,objective,km1,cut,failed
PaToH-Q,144.hgr,no,1,2,0.03,0,6.593,km1,1625,1625,no
PaToH-Q,144.hgr,no,2,2,0.03,0,6.655,km1,1668,1668,no
PaToH-Q,144.hgr,no,3,2,0.03,0,6.234,km1,1621,1621,no
PaToH-Q,144.hgr,no,4,2,0.03,0,6.875,km1,1635,1635,no
PaToH-Q,144.hgr,no,5,2,0.03,0.00268058086698,6.467,km1,1679,1679,no
PaToH-Q,144.hgr,no,1,4,0.03,0,12.798,km1,4117,4117,no
PaToH-Q,144.hgr,no,2,4,0.03,0,12.886,km1,4170,4170,no
PaToH-Q,144.hgr,no,3,4,0.03,0,13.37,km1,4223,4223,no
PaToH-Q,144.hgr,no,4,4,0.03,0,13.431,km1,4222,4222,no
PaToH-Q,144.hgr,no,5,4,0.03,0,13.416,km1,4159,4159,no
PaToH-Q,144.hgr,no,1,8,0.03,0,20.634,km1,6878,6878,no
PaToH-Q,144.hgr,no,2,8,0.03,0,19.753,km1,6854,6854,no
PaToH-Q,144.hgr,no,3,8,0.03,0,20.477,km1,6941,6941,no
PaToH-Q,144.hgr,no,4,8,0.03,0,20.107,km1,7102,7102,no
PaToH-Q,144.hgr,no,5,8,0.03,0,20.611,km1,6930,6930,no
PaToH-Q,144.hgr,no,1,16,0.03,0,27.572,km1,10711,10711,no
PaToH-Q,144.hgr,no,2,16,0.03,0,26.772,km1,10429,10429,no
PaToH-Q,144.hgr,no,3,16,0.03,0,26.728,km1,10502,10502,no
PaToH-Q,144.hgr,no,4,16,0.03,1.48920327625e-05,28.116,km1,10525,10525,no
PaToH-Q,144.hgr,no,5,16,0.03,0,27.479,km1,10438,10438,no
PaToH-Q,144.hgr,no,1,32,0.03,2.9784065525e-05,37.317,km1,15427,15427,no
PaToH-Q,144.hgr,no,2,32,0.03,0,36.575,km1,15584,15584,no
PaToH-Q,144.hgr,no,3,32,0.03,0,37.168,km1,15395,15395,no
PaToH-Q,144.hgr,no,4,32,0.03,0,37.097,km1,15618,15618,no
PaToH-Q,144.hgr,no,5,32,0.03,2.9784065525e-05,36.589,km1,15529,15529,no
PaToH-Q,144.hgr,no,1,64,0.03,0,46.599,km1,22065,22065,no
PaToH-Q,144.hgr,no,2,64,0.03,0,45.646,km1,21757,21757,no
PaToH-Q,144.hgr,no,3,64,0.03,0,46.54,km1,21967,21967,no
PaToH-Q,144.hgr,no,4,64,0.03,0,47.288,km1,21945,21945,no
PaToH-Q,144.hgr,no,5,64,0.03,0,46.044,km1,21884,21884,no
PaToH-Q,144.hgr,no,1,128,0.03,0.000833928996903,58.979,km1,30222,30222,no
PaToH-Q,144.hgr,no,2,128,0.03,0.000119132713843,57.362,km1,30426,30426,no
PaToH-Q,144.hgr,no,3,128,0.03,0.000119132713843,58.202,km1,30260,30260,no
PaToH-Q,144.hgr,no,4,128,0.03,0,58.837,km1,30313,30313,no
PaToH-Q,144.hgr,no,5,128,0.03,0,58.528,km1,30574,30574,no
PaToH-Q,3elt.hgr,no,1,2,0.03,0,0.092,km1,52,52,no
PaToH-Q,3elt.hgr,no,2,2,0.03,0,0.088,km1,45,45,no
PaToH-Q,3elt.hgr,no,3,2,0.03,0,0.087,km1,47,47,no
PaToH-Q,3elt.hgr,no,4,2,0.03,0,0.123,km1,45,45,no
PaToH-Q,3elt.hgr,no,5,2,0.03,0,0.073,km1,45,45,no
PaToH-Q,3elt.hgr,no,1,4,0.03,0,0.16,km1,108,108,no
PaToH-Q,3elt.hgr,no,2,4,0.03,0,0.159,km1,107,107,no
PaToH-Q,3elt.hgr,no,3,4,0.03,0,0.168,km1,106,106,no
PaToH-Q,3elt.hgr,no,4,4,0.03,0,0.166,km1,105,105,no
PaToH-Q,3elt.hgr,no,5,4,0.03,0,0.183,km1,110,110,no
PaToH-Q,3elt.hgr,no,1,8,0.03,0,0.292,km1,186,186,no
PaToH-Q,3elt.hgr,no,2,8,0.03,0,0.263,km1,190,190,no
PaToH-Q,3elt.hgr,no,3,8,0.03,0,0.278,km1,186,186,no
PaToH-Q,3elt.hgr,no,4,8,0.03,0,0.287,km1,191,191,no
PaToH-Q,3elt.hgr,no,5,8,0.03,0,0.287,km1,190,190,no
PaToH-Q,3elt.hgr,no,1,16,0.03,0,0.333,km1,322,322,no
PaToH-Q,3elt.hgr,no,2,16,0.03,0,0.322,km1,315,315,no
PaToH-Q,3elt.hgr,no,3,16,0.03,0,0.407,km1,310,310,no
PaToH-Q,3elt.hgr,no,4,16,0.03,0,0.381,km1,333,333,no
PaToH-Q,3elt.hgr,no,5,16,0.03,0,0.39,km1,312,312,no
PaToH-Q,3elt.hgr,no,1,32,0.03,0,0.487,km1,559,559,no
PaToH-Q,3elt.hgr,no,2,32,0.03,0,0.508,km1,550,550,no
PaToH-Q,3elt.hgr,no,3,32,0.03,0,0.482,km1,548,548,no
PaToH-Q,3elt.hgr,no,4,32,0.03,0,0.466,km1,544,544,no
PaToH-Q,3elt.hgr,no,5,32,0.03,0,0.484,km1,531,531,no
PaToH-Q,3elt.hgr,no,1,64,0.03,0,0.641,km1,886,886,no
PaToH-Q,3elt.hgr,no,2,64,0.03,0,0.63,km1,891,891,no
PaToH-Q,3elt.hgr,no,3,64,0.03,0,0.621,km1,896,896,no
PaToH-Q,3elt.hgr,no,4,64,0.03,0,0.63,km1,898,898,no
PaToH-Q,3elt.hgr,no,5,64,0.03,0,0.69,km1,885,885,no
PaToH-Q,3elt.hgr,no,1,128,0.03,0,0.788,km1,1385,1385,no
PaToH-Q,3elt.hgr,no,2,128,0.03,0,0.839,km1,1390,1390,no
PaToH-Q,3elt.hgr,no,3,128,0.03,0,0.836,km1,1376,1376,no
PaToH-Q,3elt.hgr,no,4,128,0.03,0,0.794,km1,1353,1353,no
PaToH-Q,3elt.hgr,no,5,128,0.03,0,0.812,km1,1363,1363,no
PaToH-Q,4elt.hgr,no,1,2,0.03,0,0.228,km1,70,70,no
PaToH-Q,4elt.hgr,no,2,2,0.03,0,0.137,km1,69,69,no
PaToH-Q,4elt.hgr,no,3,2,0.03,0.00374907363006,0.242,km1,69,69,no
PaToH-Q,4elt.hgr,no,4,2,0.03,0,0.253,km1,69,69,no
PaToH-Q,4elt.hgr,no,5,2,0.03,0,0.166,km1,69,69,no
PaToH-Q,4elt.hgr,no,1,4,0.03,0,0.447,km1,166,166,no
PaToH-Q,4elt.hgr,no,2,4,0.03,0,0.503,km1,172,172,no
PaToH-Q,4elt.hgr,no,3,4,0.03,0.00374891020052,0.402,km1,166,166,no
PaToH-Q,4elt.hgr,no,4,4,0.03,0,0.486,km1,169,169,no
PaToH-Q,4elt.hgr,no,5,4,0.03,0.00592850915432,0.391,km1,165,165,no
PaToH-Q,4elt.hgr,no,1,8,0.03,0,0.61,km1,300,300,no
PaToH-Q,4elt.hgr,no,2,8,0.03,0,0.546,km1,286,286,no
PaToH-Q,4elt.hgr,no,3,8,0.03,0.00313862249346,0.58,km1,291,291,no
