algorithm,graph,timeout,seed,k,epsilon,imbalance,totalPartitionTime,objective,km1,cut,failed
hMetis-R,144.hgr,no,1,2,0.03,0.0116754188873,247.946,km1,1608,1608,no
hMetis-R,144.hgr,no,2,2,0.03,0.000202905079514,288.986,km1,1579,1579,no
hMetis-R,144.hgr,no,3,2,0.03,0.00717055381918,223.329,km1,1595,1595,no
hMetis-R,144.hgr,no,4,2,0.03,4.4676347783e-05,285.048,km1,1586,1586,no
hMetis-R,144.hgr,no,5,2,0.03,0.000156367217241,238.415,km1,1605,1605,no
hMetis-R,144.hgr,no,1,4,0.03,0.00118019799031,514.829,km1,4024,3962,no
hMetis-R,144.hgr,no,2,4,0.03,0.00108712243903,522.415,km1,4038,3986,no
hMetis-R,144.hgr,no,3,4,0.03,0.000368579183095,513.686,km1,4019,3952,no
hMetis-R,144.hgr,no,4,4,0.03,0.0003834712713,465.372,km1,4069,4013,no
hMetis-R,144.hgr,no,5,4,0.03,0.00253537801704,494.565,km1,4154,4096,no
hMetis-R,144.hgr,no,1,8,0.03,0.00114668652271,688.237,km1,6780,6581,no
hMetis-R,144.hgr,no,2,8,0.03,0.00195085629188,699.15,km1,6806,6586,no
hMetis-R,144.hgr,no,3,8,0.03,0.00195085629188,703.071,km1,6768,6576,no
hMetis-R,144.hgr,no,4,8,0.03,0.000528667163068,651.122,km1,6856,6647,no
hMetis-R,144.hgr,no,5,8,0.03,0.000759493670886,695.034,km1,6742,6560,no
hMetis-R,144.hgr,no,1,16,0.03,0.00111690245719,850.99,km1,10318,9930,no
hMetis-R,144.hgr,no,2,16,0.03,0.00175725986597,806.629,km1,10433,10030,no
hMetis-R,144.hgr,no,3,16,0.03,0.00218912881608,814.534,km1,10447,10032,no
hMetis-R,144.hgr,no,4,16,0.03,0.00265078183172,792.797,km1,10368,9934,no
hMetis-R,144.hgr,no,5,16,0.03,0.00536113179449,856.096,km1,10475,10069,no
hMetis-R,144.hgr,no,1,32,0.03,0.00336559940432,915.38,km1,15141,14382,no
hMetis-R,144.hgr,no,2,32,0.03,0.00271034996277,994.385,km1,15441,14642,no
hMetis-R,144.hgr,no,3,32,0.03,0.00354430379747,935.288,km1,15364,14576,no
hMetis-R,144.hgr,no,4,32,0.03,0.00324646314222,984.22,km1,15242,14470,no
hMetis-R,144.hgr,no,5,32,0.03,0.00303797468354,931.868,km1,15295,14511,no
hMetis-R,144.hgr,no,1,64,0.03,0.00464617583989,1056.606,km1,21576,20155,no
hMetis-R,144.hgr,no,2,64,0.03,0.00726709554444,1062.606,km1,21545,20111,no
hMetis-R,144.hgr,no,3,64,0.03,0.00667143197522,1066.783,km1,21502,20047,no
hMetis-R,144.hgr,no,4,64,0.03,0.00685013104599,1106.427,km1,21567,20157,no
hMetis-R,144.hgr,no,5,64,0.03,0.00422921134143,1062.307,km1,21772,20290,no
hMetis-R,144.hgr,no,1,128,0.03,0.00750536097212,1157.023,km1,30158,27559,no
hMetis-R,144.hgr,no,2,128,0.03,0.0100071479628,1162.789,km1,29978,27417,no
hMetis-R,144.hgr,no,3,128,0.03,0.00941148439361,1165.662,km1,29826,27293,no
hMetis-R,144.hgr,no,4,128,0.03,0.00726709554444,1165.968,km1,29908,27339,no
hMetis-R,144.hgr,no,5,128,0.03,0.00929235167977,1178.885,km1,29936,27409,no
hMetis-R,3elt.hgr,no,1,2,0.03,0.0004372540446,0.399,km1,45,45,no
hMetis-R,3elt.hgr,no,2,2,0.03,0.0297332750328,0.435,km1,44,44,no
