"graph","k","epsilon","seed","km1","imbalance","totalPartitionTime","objective","algorithm","failed","timeout","cut"
"192bit.mtx.hgr",2,0.03,1,13084,0,25.646,"km1","hMetis-K","no","no",0
"192bit.mtx.hgr",2,0.03,2,13106,0,24.495,"km1","hMetis-K","no","no",0
"192bit.mtx.hgr",2,0.03,3,13061,0,24.789,"km1","hMetis-K","no","no",0
"192bit.mtx.hgr",2,0.03,4,13078,0,24.139,"km1","hMetis-K","no","no",0
"192bit.mtx.hgr",2,0.03,5,13026,0,22.527,"km1","hMetis-K","no","no",0
"192bit.mtx.hgr",2,0.03,6,13074,0,24.181,"km1","hMetis-K","no","no",0
"192bit.mtx.hgr",2,0.03,7,13097,0,23.465,"km1","hMetis-K","no","no",0
"192bit.mtx.hgr",2,0.03,8,13085,0,22.237,"km1","hMetis-K","no","no",0
"192bit.mtx.hgr",2,0.03,9,13081,0,23.461,"km1","hMetis-K","no","no",0
"192bit.mtx.hgr",2,0.03,10,13102,0,24.731,"km1","hMetis-K","no","no",0
"192bit.mtx.hgr",4,0.03,1,29820,0,73.477,"km1","hMetis-K","no","no",0
"192bit.mtx.hgr",4,0.03,2,29722,0,71.987,"km1","hMetis-K","no","no",0
"192bit.mtx.hgr",4,0.03,3,29908,0,72.359,"km1","hMetis-K","no","no",0
"192bit.mtx.hgr",4,0.03,4,29932,0,69.681,"km1","hMetis-K","no","no",0
"192bit.mtx.hgr",4,0.03,5,29921,0,72.448,"km1","hMetis-K","no","no",0
"192bit.mtx.hgr",4,0.03,6,29879,0,71.796,"km1","hMetis-K","no","no",0
"192bit.mtx.hgr",4,0.03,7,29726,0,73.602,"km1","hMetis-K","no","no",0
"192bit.mtx.hgr",4,0.03,8,29953,0,72.581,"km1","hMetis-K","no","no",0
"192bit.mtx.hgr",4,0.03,9,29757,0,72.332,"km1","hMetis-K","no","no",0
"192bit.mtx.hgr",4,0.03,10,29522,0,72.799,"km1","hMetis-K","no","no",0
"192bit.mtx.hgr",8,0.03,1,45395,0.00584453535944,161.796,"km1","hMetis-K","no","no",0
"192bit.mtx.hgr",8,0.03,2,45347,0.00642898889538,160.921,"km1","hMetis-K","no","no",0
"192bit.mtx.hgr",8,0.03,3,45128,0.0116890707189,164.991,"km1","hMetis-K","no","no",0
"192bit.mtx.hgr",8,0.03,4,45353,0.00467562828755,163.158,"km1","hMetis-K","no","no",0
"192bit.mtx.hgr",8,0.03,5,45193,0.00292226767972,162.629,"km1","hMetis-K","no","no",0
"192bit.mtx.hgr",8,0.03,6,44991,0.00818234950321,158.886,"km1","hMetis-K","no","no",0
"192bit.mtx.hgr",8,0.03,7,45507,0.00467562828755,158.945,"km1","hMetis-K","no","no",0
"192bit.mtx.hgr",8,0.03,8,45289,0.00993571011105,160.201,"km1","hMetis-K","no","no",0
"192bit.mtx.hgr",8,0.03,9,44667,0.00409117475161,170.115,"km1","hMetis-K","no","no",0
"192bit.mtx.hgr",8,0.03,10,45268,0.00116890707189,163.235,"km1","hMetis-K","no","no",0
"192bit.mtx.hgr",16,0.03,1,54763,0.0233644859813,351.085,"km1","hMetis-K","no","no",0
"192bit.mtx.hgr",16,0.03,2,54634,0.0268691588785,336.797,"km1","hMetis-K","no","no",0
"192bit.mtx.hgr",16,0.03,3,54323,0.0233644859813,356.663,"km1","hMetis-K","no","no",0
"192bit.mtx.hgr",16,0.03,4,54517,0.0198598130841,341.763,"km1","hMetis-K","no","no",0
"192bit.mtx.hgr",16,0.03,5,54572,0.0198598130841,350.339,"km1","hMetis-K","no","no",0
"192bit.mtx.hgr",16,0.03,6,54200,0.0198598130841,345.99,"km1","hMetis-K","no","no",0
"192bit.mtx.hgr",16,0.03,7,54580,0.0210280373832,328.61,"km1","hMetis-K","no","no",0
"192bit.mtx.hgr",16,0.03,8,54554,0.0198598130841,341.662,"km1","hMetis-K","no","no",0
"192bit.mtx.hgr",16,0.03,9,54343,0.0245327102804,347.994,"km1","hMetis-K","no","no",0
"192bit.mtx.hgr",16,0.03,10,54573,0.0257009345794,345.895,"km1","hMetis-K","no","no",0
"192bit.mtx.hgr",32,0.03,1,60091,0.0443925233645,884.311,"km1","hMetis-K","no","no",0
"192bit.mtx.hgr",32,0.03,2,60126,0.0280373831776,857.38,"km1","hMetis-K","no","no",0
"192bit.mtx.hgr",32,0.03,3,60251,0.0373831775701,824.88,"km1","hMetis-K","no","no",0
"192bit.mtx.hgr",32,0.03,4,60302,0.0373831775701,874.268,"km1","hMetis-K","no","no",0
"192bit.mtx.hgr",32,0.03,5,60136,0.0443925233645,877.248,"km1","hMetis-K","no","no",0
"192bit.mtx.hgr",32,0.03,6,60127,0.0327102803738,881.873,"km1","hMetis-K","no","no",0
"192bit.mtx.hgr",32,0.03,7,60194,0.0373831775701,854.097,"km1","hMetis-K","no","no",0
"192bit.mtx.hgr",32,0.03,8,60137,0.0397196261682,880.377,"km1","hMetis-K","no","no",0
"192bit.mtx.hgr",32,0.03,9,60080,0.0373831775701,918.315,"km1","hMetis-K","no","no",0
"192bit.mtx.hgr",32,0.03,10,60201,0.035046728972,880.07,"km1","hMetis-K","no","no",0
"192bit.mtx.hgr",64,0.03,1,64233,0.0607476635514,1426.767,"km1","hMetis-K","no","no",0
"192bit.mtx.hgr",64,0.03,2,64190,0.0607476635514,1433.075,"km1","hMetis-K","no","no",0
"192bit.mtx.hgr",64,0.03,3,64188,0.0747663551402,1383.691,"km1","hMetis-K","no","no",0
"192bit.mtx.hgr",64,0.03,4,64268,0.0700934579439,1389.045,"km1","hMetis-K","no","no",0
"192bit.mtx.hgr",64,0.03,5,64238,0.0747663551402,1382.556,"km1","hMetis-K","no","no",0
"192bit.mtx.hgr",64,0.03,6,64226,0.0607476635514,1420.109,"km1","hMetis-K","no","no",0
"192bit.mtx.hgr",64,0.03,7,64146,0.0654205607477,1369.498,"km1","hMetis-K","no","no",0
"192bit.mtx.hgr",64,0.03,8,64144,0.0654205607477,1389.779,"km1","hMetis-K","no","no",0
"192bit.mtx.hgr",64,0.03,9,64276,0.0654205607477,1398.302,"km1","hMetis-K","no","no",0
"192bit.mtx.hgr",64,0.03,10,64168,0.0514018691589,1423.308,"km1","hMetis-K","no","no",0
"192bit.mtx.hgr",128,0.03,1,74314,0.0747663551402,2759.611,"km1","hMetis-K","no","no",0
"192bit.mtx.hgr",128,0.03,2,74328,0.0747663551402,2807.372,"km1","hMetis-K","no","no",0
"192bit.mtx.hgr",128,0.03,3,74261,0.0654205607477,2713.5,"km1","hMetis-K","no","no",0
"192bit.mtx.hgr",128,0.03,4,74303,0.0654205607477,2685.662,"km1","hMetis-K","no","no",0
"192bit.mtx.hgr",128,0.03,5,74322,0.0747663551402,2743.222,"km1","hMetis-K","no","no",0
"192bit.mtx.hgr",128,0.03,6,74250,0.0841121495327,2764.536,"km1","hMetis-K","no","no",0
"192bit.mtx.hgr",128,0.03,7,74355,0.0747663551402,2653.863,"km1","hMetis-K","no","no",0
"192bit.mtx.hgr",128,0.03,8,74316,0.0654205607477,2916.156,"km1","hMetis-K","no","no",0
"192bit.mtx.hgr",128,0.03,9,74291,0.0841121495327,2716.368,"km1","hMetis-K","no","no",0
"192bit.mtx.hgr",128,0.03,10,74277,0.0747663551402,2818.922,"km1","hMetis-K","no","no",0
"2cubes_sphere.mtx.hgr",2,0.03,1,3969,0.0299925117251,41.243,"km1","hMetis-K","no","no",0
"2cubes_sphere.mtx.hgr",2,0.03,2,3990,0.0297757458716,41.126,"km1","hMetis-K","no","no",0
"2cubes_sphere.mtx.hgr",2,0.03,3,3999,0.0299925117251,40.522,"km1","hMetis-K","no","no",0
"2cubes_sphere.mtx.hgr",2,0.03,4,4038,0.0299925117251,40.807,"km1","hMetis-K","no","no",0
"2cubes_sphere.mtx.hgr",2,0.03,5,4004,0.0299925117251,40.518,"km1","hMetis-K","no","no",0
"2cubes_sphere.mtx.hgr",2,0.03,6,3999,0.0265242580696,31.197,"km1","hMetis-K","no","no",0
"2cubes_sphere.mtx.hgr",2,0.03,7,4019,0.0299530997517,40.644,"km1","hMetis-K","no","no",0
"2cubes_sphere.mtx.hgr",2,0.03,8,4008,0.0299728057384,40.536,"km1","hMetis-K","no","no",0
"2cubes_sphere.mtx.hgr",2,0.03,9,3969,0.0295589800181,40.942,"km1","hMetis-K","no","no",0
"2cubes_sphere.mtx.hgr",2,0.03,10,4001,0.029933393765,40.235,"km1","hMetis-K","no","no",0
"2cubes_sphere.mtx.hgr",4,0.03,1,10923,0.0166712647302,43.202,"km1","hMetis-K","no","no",0
"2cubes_sphere.mtx.hgr",4,0.03,2,10885,0.0297166279116,43.709,"km1","hMetis-K","no","no",0
"2cubes_sphere.mtx.hgr",4,0.03,3,10917,0.029874275805,43.641,"km1","hMetis-K","no","no",0
"2cubes_sphere.mtx.hgr",4,0.03,4,10942,0.0298348638316,43.819,"km1","hMetis-K","no","no",0
"2cubes_sphere.mtx.hgr",4,0.03,5,11003,0.0299136877783,43.461,"km1","hMetis-K","no","no",0
"2cubes_sphere.mtx.hgr",4,0.03,6,11021,0.0299925117251,43.675,"km1","hMetis-K","no","no",0
"2cubes_sphere.mtx.hgr",4,0.03,7,10966,0.011468884247,43.654,"km1","hMetis-K","no","no",0
"2cubes_sphere.mtx.hgr",4,0.03,8,10889,0.020178930359,43.527,"km1","hMetis-K","no","no",0
"2cubes_sphere.mtx.hgr",4,0.03,9,10844,0.0281007370039,43.649,"km1","hMetis-K","no","no",0
"2cubes_sphere.mtx.hgr",4,0.03,10,10931,0.0299530997517,42.894,"km1","hMetis-K","no","no",0
"2cubes_sphere.mtx.hgr",8,0.03,1,19097,0.0288484275242,49.522,"km1","hMetis-K","no","no",0
"2cubes_sphere.mtx.hgr",8,0.03,2,18986,0.0226215811461,49.327,"km1","hMetis-K","no","no",0
"2cubes_sphere.mtx.hgr",8,0.03,3,19214,0.0299519192875,49.496,"km1","hMetis-K","no","no",0
"2cubes_sphere.mtx.hgr",8,0.03,4,19059,0.0298730984472,49.8,"km1","hMetis-K","no","no",0
"2cubes_sphere.mtx.hgr",8,0.03,5,19172,0.0299519192875,50.09,"km1","hMetis-K","no","no",0
"2cubes_sphere.mtx.hgr",8,0.03,6,18879,0.0298730984472,49.591,"km1","hMetis-K","no","no",0
"2cubes_sphere.mtx.hgr",8,0.03,7,19086,0.0296366359265,48.946,"km1","hMetis-K","no","no",0
"2cubes_sphere.mtx.hgr",8,0.03,8,18844,0.0261685189564,49.535,"km1","hMetis-K","no","no",0
"2cubes_sphere.mtx.hgr",8,0.03,9,19153,0.0299519192875,49.155,"km1","hMetis-K","no","no",0
"2cubes_sphere.mtx.hgr",8,0.03,10,19041,0.0232521478679,48.914,"km1","hMetis-K","no","no",0
"2cubes_sphere.mtx.hgr",16,0.03,1,27716,0.0297919293821,61.864,"km1","hMetis-K","no","no",0
