"graph","k","epsilon","seed","km1","imbalance","totalPartitionTime","objective","algorithm","failed","timeout","cut"
"192bit.mtx.hgr",2,0.03,1,7879,0,36.178,"km1","hMetis-R","no","no",0
"192bit.mtx.hgr",2,0.03,2,7878,0,31.654,"km1","hMetis-R","no","no",0
"192bit.mtx.hgr",2,0.03,3,7875,0,35.805,"km1","hMetis-R","no","no",0
"192bit.mtx.hgr",2,0.03,4,7865,0,37.027,"km1","hMetis-R","no","no",0
"192bit.mtx.hgr",2,0.03,5,7883,0,38.393,"km1","hMetis-R","no","no",0
"192bit.mtx.hgr",2,0.03,6,7860,0,32.496,"km1","hMetis-R","no","no",0
"192bit.mtx.hgr",2,0.03,7,7873,0,31.762,"km1","hMetis-R","no","no",0
"192bit.mtx.hgr",2,0.03,8,7884,0,38.842,"km1","hMetis-R","no","no",0
"192bit.mtx.hgr",2,0.03,9,7871,0,36.54,"km1","hMetis-R","no","no",0
"192bit.mtx.hgr",2,0.03,10,7874,0,37.402,"km1","hMetis-R","no","no",0
"192bit.mtx.hgr",4,0.03,1,16809,0,54.155,"km1","hMetis-R","no","no",0
"192bit.mtx.hgr",4,0.03,2,16793,0,59.273,"km1","hMetis-R","no","no",0
"192bit.mtx.hgr",4,0.03,3,16745,0,55.213,"km1","hMetis-R","no","no",0
"192bit.mtx.hgr",4,0.03,4,16783,0,60.007,"km1","hMetis-R","no","no",0
"192bit.mtx.hgr",4,0.03,5,16822,0,54.114,"km1","hMetis-R","no","no",0
"192bit.mtx.hgr",4,0.03,6,16801,0,56.694,"km1","hMetis-R","no","no",0
"192bit.mtx.hgr",4,0.03,7,16776,0,57.372,"km1","hMetis-R","no","no",0
"192bit.mtx.hgr",4,0.03,8,16774,0,55.465,"km1","hMetis-R","no","no",0
"192bit.mtx.hgr",4,0.03,9,16826,0,57.496,"km1","hMetis-R","no","no",0
"192bit.mtx.hgr",4,0.03,10,16764,0,56.463,"km1","hMetis-R","no","no",0
"192bit.mtx.hgr",8,0.03,1,26701,0,73.75,"km1","hMetis-R","no","no",0
"192bit.mtx.hgr",8,0.03,2,26691,0,66.394,"km1","hMetis-R","no","no",0
"192bit.mtx.hgr",8,0.03,3,26762,0,64.176,"km1","hMetis-R","no","no",0
"192bit.mtx.hgr",8,0.03,4,26742,0,64.935,"km1","hMetis-R","no","no",0
"192bit.mtx.hgr",8,0.03,5,26677,0,70.536,"km1","hMetis-R","no","no",0
"192bit.mtx.hgr",8,0.03,6,26721,0,71.871,"km1","hMetis-R","no","no",0
"192bit.mtx.hgr",8,0.03,7,26740,0,63.698,"km1","hMetis-R","no","no",0
"192bit.mtx.hgr",8,0.03,8,26775,0,71.225,"km1","hMetis-R","no","no",0
"192bit.mtx.hgr",8,0.03,9,26731,0,74.833,"km1","hMetis-R","no","no",0
"192bit.mtx.hgr",8,0.03,10,26671,0,74.625,"km1","hMetis-R","no","no",0
"192bit.mtx.hgr",16,0.03,1,37195,0,81.157,"km1","hMetis-R","no","no",0
"192bit.mtx.hgr",16,0.03,2,37204,0,81.462,"km1","hMetis-R","no","no",0
"192bit.mtx.hgr",16,0.03,3,37246,0,74.956,"km1","hMetis-R","no","no",0
"192bit.mtx.hgr",16,0.03,4,37235,0,84.466,"km1","hMetis-R","no","no",0
"192bit.mtx.hgr",16,0.03,5,37260,0,80.461,"km1","hMetis-R","no","no",0
"192bit.mtx.hgr",16,0.03,6,37233,0,86.882,"km1","hMetis-R","no","no",0
"192bit.mtx.hgr",16,0.03,7,37226,0,83.165,"km1","hMetis-R","no","no",0
"192bit.mtx.hgr",16,0.03,8,37202,0,89.185,"km1","hMetis-R","no","no",0
"192bit.mtx.hgr",16,0.03,9,37224,0,79.549,"km1","hMetis-R","no","no",0
"192bit.mtx.hgr",16,0.03,10,37255,0,74.012,"km1","hMetis-R","no","no",0
"192bit.mtx.hgr",32,0.03,1,47999,0,87.957,"km1","hMetis-R","no","no",0
"192bit.mtx.hgr",32,0.03,2,47965,0,89.922,"km1","hMetis-R","no","no",0
"192bit.mtx.hgr",32,0.03,3,48020,0,84.382,"km1","hMetis-R","no","no",0
"192bit.mtx.hgr",32,0.03,4,47910,0,93.125,"km1","hMetis-R","no","no",0
"192bit.mtx.hgr",32,0.03,5,47976,0,91.49,"km1","hMetis-R","no","no",0
"192bit.mtx.hgr",32,0.03,6,47953,0,89.401,"km1","hMetis-R","no","no",0
"192bit.mtx.hgr",32,0.03,7,47978,0,85.828,"km1","hMetis-R","no","no",0
"192bit.mtx.hgr",32,0.03,8,47958,0,87.969,"km1","hMetis-R","no","no",0
"192bit.mtx.hgr",32,0.03,9,48014,0,85.841,"km1","hMetis-R","no","no",0
"192bit.mtx.hgr",32,0.03,10,48003,0,83.067,"km1","hMetis-R","no","no",0
"192bit.mtx.hgr",64,0.03,1,58575,0,91.923,"km1","hMetis-R","no","no",0
"192bit.mtx.hgr",64,0.03,2,58653,0,96.654,"km1","hMetis-R","no","no",0
"192bit.mtx.hgr",64,0.03,3,58580,0,94.583,"km1","hMetis-R","no","no",0
"192bit.mtx.hgr",64,0.03,4,58622,0,91.963,"km1","hMetis-R","no","no",0
"192bit.mtx.hgr",64,0.03,5,58598,0,99.54,"km1","hMetis-R","no","no",0
"192bit.mtx.hgr",64,0.03,6,58561,0,96.198,"km1","hMetis-R","no","no",0
"192bit.mtx.hgr",64,0.03,7,58557,0,99.32,"km1","hMetis-R","no","no",0
"192bit.mtx.hgr",64,0.03,8,58583,0,93.092,"km1","hMetis-R","no","no",0
