,graph,k,epsilon,km1,imbalance,objective,totalPartitionTime,algorithm,failed,timeout,cut
0,192bit.mtx.hgr,2,0.03,12959,0.000152742,km1,0.08,HYPE,no,no,0
1,192bit.mtx.hgr,4,0.03,33508,0.0,km1,0.085,HYPE,no,no,0
2,192bit.mtx.hgr,8,0.03,57489,0.0,km1,0.087,HYPE,no,no,0
3,192bit.mtx.hgr,16,0.03,80444,0.001221,km1,0.085,HYPE,no,no,0
4,192bit.mtx.hgr,32,0.03,94048,0.0,km1,0.08900000000000001,HYPE,no,no,0
5,192bit.mtx.hgr,64,0.03,106220,0.0,km1,0.08800000000000001,HYPE,no,no,0
6,192bit.mtx.hgr,128,0.03,117347,0.0,km1,0.087,HYPE,no,no,0
7,2cubes_sphere.mtx.hgr,2,0.03,35594,0.0,km1,0.893,HYPE,no,no,0
8,2cubes_sphere.mtx.hgr,4,0.03,71440,0.0,km1,0.912,HYPE,no,no,0
9,2cubes_sphere.mtx.hgr,8,0.03,100335,0.0,km1,0.885,HYPE,no,no,0
10,2cubes_sphere.mtx.hgr,16,0.03,124001,0.0,km1,0.871,HYPE,no,no,0
11,2cubes_sphere.mtx.hgr,32,0.03,136542,0.0,km1,0.866,HYPE,no,no,0
12,2cubes_sphere.mtx.hgr,64,0.03,161698,0.0,km1,0.877,HYPE,no,no,0
13,2cubes_sphere.mtx.hgr,128,0.03,187821,0.0,km1,0.885,HYPE,no,no,0
14,2D_54019_highK.mtx.hgr,2,0.03,11203,0.0,km1,0.433,HYPE,no,no,0
15,2D_54019_highK.mtx.hgr,4,0.03,18827,0.0,km1,0.424,HYPE,no,no,0
16,2D_54019_highK.mtx.hgr,8,0.03,25379,0.0,km1,0.426,HYPE,no,no,0
17,2D_54019_highK.mtx.hgr,16,0.03,29014,0.0,km1,0.42200000000000004,HYPE,no,no,0
18,2D_54019_highK.mtx.hgr,32,0.03,37931,0.0,km1,0.419,HYPE,no,no,0
19,2D_54019_highK.mtx.hgr,64,0.03,43034,0.0,km1,0.42200000000000004,HYPE,no,no,0
20,2D_54019_highK.mtx.hgr,128,0.03,53113,0.0,km1,0.418,HYPE,no,no,0
21,3Dspectralwave2.mtx.hgr,2,0.03,46310,0.0,km1,3.8089999999999997,HYPE,no,no,0
22,3Dspectralwave2.mtx.hgr,4,0.03,99700,0.0,km1,3.845,HYPE,no,no,0
23,3Dspectralwave2.mtx.hgr,8,0.03,173485,0.0,km1,3.853,HYPE,no,no,0
