algorithm,graph,timeout,seed,k,epsilon,imbalance,totalPartitionTime,objective,km1,cut,failed
KaHyPar-HFC*,sat14_UTI-20-10p1.cnf.dual.hgr,no,7,16,0.03,0.028670299999999996,37.725,km1,2268,2268,no
KaHyPar-HFC*,sat14_10pipe_q0_k.cnf.hgr,no,9,8,0.03,0.0269449,2158.7,km1,242299,232358,no
KaHyPar-HFC*,sat14_SAT_dat.k95-24_1_rule_3.cnf.primal.hgr,no,9,64,0.03,0.0299618,405.144,km1,75215,75185,no
KaHyPar-HFC*,sat14_velev-vliw-uns-4.0-9.cnf.dual.hgr,no,2,8,0.03,0.015222200000000002,6729.75,km1,9641,5623,no
KaHyPar-HFC*,HEP-th.mtx.hgr,no,8,4,0.03,0.0296623,69.3831,km1,9892,8881,no
KaHyPar-HFC*,thermal1.mtx.hgr,no,6,16,0.03,0.023228799999999997,13.708,km1,2827,2785,no
KaHyPar-HFC*,sat14_9vliw_m_9stages_iq3_C1_bug7.cnf.primal.hgr,yes,6,32,0.03,1.0,28800.0,km1,2147483647,2147483647,no
KaHyPar-HFC*,sat14_AProVE07-01.cnf.primal.hgr,no,2,8,0.03,0.0287846,2.09987,km1,3602,3558,no
KaHyPar-HFC*,rim.mtx.hgr,no,0,32,0.03,0.00425532,5.90696,km1,6144,6144,no
KaHyPar-HFC*,sat14_atco_enc1_opt1_10_21.cnf.dual.hgr,no,6,2,0.03,0.0,17.5038,km1,436,436,no
KaHyPar-HFC*,sat14_atco_enc3_opt2_10_12.cnf.hgr,no,8,128,0.03,0.0293524,1087.05,km1,106986,106919,no
KaHyPar-HFC*,sat14_transport-transport-city-sequential-25nodes-1000size-3degree-100mindistance-3trucks-10packages-2008seed.030-NOTKNOWN.cnf.primal.hgr,no,2,2,0.03,0.000917761,140.624,km1,13016,13016,no
KaHyPar-HFC*,ABACUS_shell_hd.mtx.hgr,no,0,128,0.03,0.0273224,13.2634,km1,7006,6169,no
KaHyPar-HFC*,shock-9.mtx.hgr,no,3,128,0.03,0.0280702,11.6871,km1,4925,4696,no
KaHyPar-HFC*,sat14_9vliw_m_9stages_iq3_C1_bug7.cnf.dual.hgr,yes,8,8,0.03,1.0,28800.0,km1,2147483647,2147483647,no
KaHyPar-HFC*,sat14_6s11-opt.cnf.hgr,no,0,8,0.03,0.027888,15.2532,km1,7306,7185,no
KaHyPar-HFC*,sat14_atco_enc1_opt1_10_21.cnf.dual.hgr,no,7,32,0.03,0.029773200000000003,70.3767,km1,1792,1516,no
KaHyPar-HFC*,sat14_q_query_3_L200_coli.sat.cnf.hgr,yes,0,4,0.03,1.0,28800.0,km1,2147483647,2147483647,no
KaHyPar-HFC*,as-22july06.mtx.hgr,no,5,128,0.03,0.027777800000000002,44.5863,km1,10135,5782,no
KaHyPar-HFC*,ISPD98_ibm06.hgr,no,7,8,0.03,0.0270736,7.50815,km1,3331,2628,no
KaHyPar-HFC*,venkat01.mtx.hgr,no,6,16,0.03,0.023065099999999998,2.96008,km1,4124,3932,no
KaHyPar-HFC*,sat14_minandmaxor128.cnf.hgr,no,7,4,0.03,0.0295434,344.17699999999996,km1,21614,21490,no
KaHyPar-HFC*,sat14_6s10.cnf.hgr,no,0,64,0.03,0.0292453,21.9293,km1,17977,17738,no
KaHyPar-HFC*,sat14_q_query_3_L200_coli.sat.cnf.dual.hgr,yes,7,64,0.03,1.0,28800.0,km1,2147483647,2147483647,no
KaHyPar-HFC*,sat14_11pipe_k.cnf.dual.hgr,yes,8,8,0.03,1.0,28800.0,km1,2147483647,2147483647,no
KaHyPar-HFC*,shermanACb.mtx.hgr,no,7,128,0.03,0.0275862,26.9257,km1,20738,14659,no
KaHyPar-HFC*,ISPD98_ibm17.hgr,no,2,4,0.03,0.024539599999999998,40.0968,km1,6470,6322,no
KaHyPar-HFC*,sat14_openstacks-sequencedstrips-nonadl-nonnegated-os-sequencedstrips-p30_3.025-NOTKNOWN.cnf.hgr,no,3,8,0.03,0.029860200000000003,76.8116,km1,23108,22904,no
KaHyPar-HFC*,IMDB.mtx.hgr,yes,0,128,0.03,1.0,28800.0,km1,2147483647,2147483647,no
KaHyPar-HFC*,sat14_q_query_3_L150_coli.sat.cnf.primal.hgr,no,2,128,0.03,0.0299606,7353.91,km1,1587693,1538427,no
KaHyPar-HFC*,sat14_post-cbmc-aes-d-r2-noholes.cnf.dual.hgr,no,3,16,0.03,0.0165816,210.662,km1,1465,1328,no
KaHyPar-HFC*,sat14_atco_enc1_opt1_10_21.cnf.hgr,no,3,128,0.03,0.0286885,24.589000000000002,km1,8793,8602,no
KaHyPar-HFC*,sat14_ctl_3791_556_unsat_pre.cnf.primal.hgr,no,1,64,0.03,0.0289855,25.016,km1,69494,57517,no
KaHyPar-HFC*,sat14_11pipe_q0_k.cnf.primal.hgr,no,9,4,0.03,0.0299682,2746.06,km1,313177,306035,no
KaHyPar-HFC*,sat14_SAT_dat.k100-24_1_rule_1.cnf.hgr,no,1,4,0.03,0.0282767,805.4069999999999,km1,3492,3492,no
KaHyPar-HFC*,dac2012_superblue9.hgr,no,3,2,0.03,0.0295642,97.2695,km1,1812,1812,no
KaHyPar-HFC*,sat14_SAT_dat.k90.debugged.cnf.primal.hgr,no,7,4,0.03,0.016835,275.244,km1,3492,3492,no
KaHyPar-HFC*,cfd1.mtx.hgr,no,5,128,0.03,0.0289855,92.421,km1,51596,36159,no
KaHyPar-HFC*,sat14_11pipe_k.cnf.hgr,no,0,128,0.03,0.029369599999999996,16646.8,km1,4064297,4003172,no
KaHyPar-HFC*,skirt.mtx.hgr,no,3,2,0.03,0.012859200000000001,0.318475,km1,12,12,no
KaHyPar-HFC*,sat14_k2fix_gr_rcs_w9.shuffled.cnf.hgr,no,8,16,0.03,0.00282885,3.68853,km1,0,0,no
KaHyPar-HFC*,crystk02.mtx.hgr,no,1,64,0.03,0.027397300000000003,7.5401,km1,20808,10929,no
KaHyPar-HFC*,sat14_UR-20-5p0.cnf.hgr,no,2,4,0.03,0.0286681,53.2988,km1,19454,19082,no
KaHyPar-HFC*,sat14_E02F22.cnf.hgr,no,4,32,0.03,0.0294464,1657.16,km1,36642,33114,no
KaHyPar-HFC*,sat14_atco_enc1_opt1_10_21.cnf.dual.hgr,no,4,16,0.03,0.0274709,52.236999999999995,km1,1326,1197,no
KaHyPar-HFC*,scfxm1-2r.mtx.hgr,no,8,2,0.03,0.0240507,1.69135,km1,1009,1009,no
KaHyPar-HFC*,mixtank_new.mtx.hgr,no,0,8,0.03,0.0186916,13.5932,km1,10637,9029,no
KaHyPar-HFC*,sat14_manol-pipe-g10bid_i.cnf.hgr,no,4,16,0.03,0.029999099999999997,417.048,km1,43790,43354,no
KaHyPar-HFC*,sat14_k2fix_gr_rcs_w9.shuffled.cnf.primal.hgr,no,7,128,0.03,0.022471900000000003,47.7414,km1,184992,176649,no
KaHyPar-HFC*,dac2012_superblue7.hgr,no,1,4,0.03,0.029974599999999997,345.32800000000003,km1,5882,5863,no
KaHyPar-HFC*,sat14_UR-20-5p0.cnf.hgr,no,9,8,0.03,0.026895599999999995,66.3305,km1,26511,23715,no
KaHyPar-HFC*,trans4.mtx.hgr,no,4,128,0.03,0.0295728,1298.76,km1,117652,114416,no
KaHyPar-HFC*,Stanford.mtx.hgr,no,6,2,0.03,0.0291731,72.6111,km1,93,93,no
KaHyPar-HFC*,sat14_gss-18-s100.cnf.hgr,no,5,8,0.03,0.0244867,5.28558,km1,2943,2754,no
KaHyPar-HFC*,sat14_9dlx_vliw_at_b_iq3.cnf.dual.hgr,no,3,32,0.03,0.029874400000000002,7709.09,km1,12590,6002,no
KaHyPar-HFC*,sat14_6s131-opt.cnf.primal.hgr,no,1,128,0.03,0.0284974,25.5869,km1,31206,30431,no
KaHyPar-HFC*,rim.mtx.hgr,no,9,8,0.03,0.0212766,2.37027,km1,1536,1536,no
KaHyPar-HFC*,thermal1.mtx.hgr,no,4,4,0.03,0.0223577,8.2304,km1,720,720,no
KaHyPar-HFC*,viscorocks.mtx.hgr,no,8,8,0.03,0.023935599999999998,4.20827,km1,2282,2282,no
KaHyPar-HFC*,sat14_9vliw_m_9stages_iq3_C1_bug8.cnf.primal.hgr,yes,1,64,0.03,1.0,28800.0,km1,2147483647,2147483647,no
KaHyPar-HFC*,sat14_aaai10-planning-ipc5-pathways-17-step21.cnf.dual.hgr,no,0,16,0.03,0.0298469,35.2643,km1,3866,3762,no
KaHyPar-HFC*,sat14_UR-20-5p0.cnf.primal.hgr,no,7,8,0.03,0.021338,44.7716,km1,26965,22464,no
KaHyPar-HFC*,bbmat.mtx.hgr,no,2,16,0.03,0.0284889,27.739,km1,10057,9591,no
KaHyPar-HFC*,opt1.mtx.hgr,no,6,64,0.03,0.028925599999999996,6.672810000000001,km1,23488,12951,no
KaHyPar-HFC*,sat14_atco_enc2_opt1_15_100.cnf.dual.hgr,no,0,64,0.03,0.0299625,526.1519999999999,km1,6865,5520,no
KaHyPar-HFC*,thermomech_TC.mtx.hgr,no,6,2,0.03,0.0279763,9.37888,km1,265,265,no
