algorithm,graph,timeout,seed,k,epsilon,imbalance,totalPartitionTime,objective,km1,cut,failed
KaHyPar-HFC,192bit.mtx.hgr,no,0,128,0.03,0.028037400000000004,44.3857,km1,69973,13691,no
KaHyPar-HFC,192bit.mtx.hgr,no,0,16,0.03,0.029205599999999998,45.9606,km1,36247,13680,no
KaHyPar-HFC,192bit.mtx.hgr,no,0,2,0.03,0.029966399999999997,21.7662,km1,7774,7774,no
KaHyPar-HFC,192bit.mtx.hgr,no,0,32,0.03,0.028037400000000004,52.5103,km1,46735,13691,no
KaHyPar-HFC,192bit.mtx.hgr,no,0,4,0.03,0.0298158,36.0248,km1,16896,12701,no
KaHyPar-HFC,192bit.mtx.hgr,no,0,64,0.03,0.028037400000000004,61.5896,km1,57330,13691,no
KaHyPar-HFC,192bit.mtx.hgr,no,0,8,0.03,0.029807099999999996,48.7981,km1,26687,13603,no
KaHyPar-HFC,2cubes_sphere.mtx.hgr,no,0,128,0.03,0.0226986,155.717,km1,67648,51351,no
KaHyPar-HFC,2cubes_sphere.mtx.hgr,no,0,16,0.03,0.0219105,50.1681,km1,26468,23613,no
KaHyPar-HFC,2cubes_sphere.mtx.hgr,no,0,2,0.03,0.0299531,23.7897,km1,3889,3889,no
KaHyPar-HFC,2cubes_sphere.mtx.hgr,no,0,32,0.03,0.029949599999999996,73.8132,km1,37418,31985,no
KaHyPar-HFC,2cubes_sphere.mtx.hgr,no,0,4,0.03,0.0258543,18.7834,km1,10560,10344,no
KaHyPar-HFC,2cubes_sphere.mtx.hgr,no,0,64,0.03,0.0264817,103.637,km1,50290,40797,no
KaHyPar-HFC,2cubes_sphere.mtx.hgr,no,0,8,0.03,0.0270355,33.9591,km1,18504,17137,no
KaHyPar-HFC,2D_54019_highK.mtx.hgr,no,0,128,0.03,0.0283688,12.9441,km1,15477,13877,no
KaHyPar-HFC,2D_54019_highK.mtx.hgr,no,0,16,0.03,0.0251703,3.91695,km1,4427,4292,no
KaHyPar-HFC,2D_54019_highK.mtx.hgr,no,0,2,0.03,0.0228064,1.32806,km1,460,460,no
KaHyPar-HFC,2D_54019_highK.mtx.hgr,no,0,32,0.03,0.0213144,6.12835,km1,6846,6516,no
KaHyPar-HFC,2D_54019_highK.mtx.hgr,no,0,4,0.03,0.0225102,1.9634,km1,1237,1219,no
KaHyPar-HFC,2D_54019_highK.mtx.hgr,no,0,64,0.03,0.0295858,8.88085,km1,10404,9650,no
KaHyPar-HFC,2D_54019_highK.mtx.hgr,no,0,8,0.03,0.009181100000000001,2.7206,km1,2581,2529,no
KaHyPar-HFC,3Dspectralwave2.mtx.hgr,no,0,128,0.03,0.029798400000000003,414.274,km1,193113,150887,no
KaHyPar-HFC,3Dspectralwave2.mtx.hgr,no,0,16,0.03,0.029970999999999998,180.007,km1,65855,60821,no
KaHyPar-HFC,3Dspectralwave2.mtx.hgr,no,0,2,0.03,0.0299992,79.1262,km1,7041,7041,no
KaHyPar-HFC,3Dspectralwave2.mtx.hgr,no,0,32,0.03,0.029914499999999997,240.701,km1,96157,85119,no
KaHyPar-HFC,3Dspectralwave2.mtx.hgr,no,0,4,0.03,0.0299992,85.5123,km1,21756,21756,no
KaHyPar-HFC,3Dspectralwave2.mtx.hgr,no,0,64,0.03,0.029147500000000003,331.164,km1,140723,117771,no
KaHyPar-HFC,3Dspectralwave2.mtx.hgr,no,0,8,0.03,0.028848500000000003,132.388,km1,40131,38613,no
KaHyPar-HFC,ABACUS_shell_hd.mtx.hgr,no,0,128,0.03,0.0273224,12.357999999999999,km1,7000,6164,no
KaHyPar-HFC,ABACUS_shell_hd.mtx.hgr,no,0,16,0.03,0.0191257,2.95608,km1,1876,1812,no
KaHyPar-HFC,ABACUS_shell_hd.mtx.hgr,no,0,2,0.03,0.00350248,0.565816,km1,210,210,no
KaHyPar-HFC,ABACUS_shell_hd.mtx.hgr,no,0,32,0.03,0.023224,5.1411,km1,2978,2818,no
KaHyPar-HFC,ABACUS_shell_hd.mtx.hgr,no,0,4,0.03,0.0257987,1.28939,km1,642,638,no
KaHyPar-HFC,ABACUS_shell_hd.mtx.hgr,no,0,64,0.03,0.0273224,7.99568,km1,4647,4262,no
KaHyPar-HFC,ABACUS_shell_hd.mtx.hgr,no,0,8,0.03,0.0235736,1.8104099999999999,km1,1080,1056,no
KaHyPar-HFC,af23560.mtx.hgr,no,0,128,0.03,0.027027,20.0955,km1,22169,15608,no
KaHyPar-HFC,af23560.mtx.hgr,no,0,16,0.03,0.029870999999999998,3.9339999999999997,km1,5809,5310,no
KaHyPar-HFC,af23560.mtx.hgr,no,0,2,0.03,0.0,0.8227389999999999,km1,608,608,no
KaHyPar-HFC,af23560.mtx.hgr,no,0,32,0.03,0.0298507,5.48693,km1,9155,7826,no
KaHyPar-HFC,af23560.mtx.hgr,no,0,4,0.03,0.000169779,1.86992,km1,1824,1824,no
KaHyPar-HFC,af23560.mtx.hgr,no,0,64,0.03,0.0298103,11.5189,km1,14473,11404,no
KaHyPar-HFC,af23560.mtx.hgr,no,0,8,0.03,0.0288625,2.7828,km1,3826,3730,no
KaHyPar-HFC,af_4_k101.mtx.hgr,no,0,128,0.03,0.0203304,24.0494,km1,63650,60650,no
KaHyPar-HFC,af_4_k101.mtx.hgr,no,0,16,0.03,0.0223338,8.9718,km1,17500,17290,no
KaHyPar-HFC,af_4_k101.mtx.hgr,no,0,2,0.03,7.9424e-06,3.6690099999999997,km1,1700,1700,no
KaHyPar-HFC,af_4_k101.mtx.hgr,no,0,32,0.03,0.0175361,11.5305,km1,28375,27820,no
KaHyPar-HFC,af_4_k101.mtx.hgr,no,0,4,0.03,0.00046065699999999995,4.835780000000001,km1,5100,5100,no
KaHyPar-HFC,af_4_k101.mtx.hgr,no,0,64,0.03,0.025412999999999998,15.0771,km1,41980,40630,no
KaHyPar-HFC,af_4_k101.mtx.hgr,no,0,8,0.03,0.00692569,11.9965,km1,10915,10825,no
KaHyPar-HFC,af_shell1.mtx.hgr,no,0,128,0.03,0.024081099999999998,24.1518,km1,62550,59715,no
KaHyPar-HFC,af_shell1.mtx.hgr,no,0,16,0.03,0.0100146,8.0628,km1,15825,15630,no
KaHyPar-HFC,af_shell1.mtx.hgr,no,0,2,0.03,0.00408829,4.83695,km1,1770,1770,no
