algorithm,graph,timeout,seed,k,epsilon,imbalance,totalPartitionTime,objective,km1,cut,failed
KaHyPar-MF,192bit.mtx.hgr,no,0,2,0.03,0.029966399999999997,22.0663,km1,7791,7791,no
KaHyPar-MF,192bit.mtx.hgr,no,1,2,0.03,0.029966399999999997,23.1753,km1,7791,7791,no
KaHyPar-MF,192bit.mtx.hgr,no,2,2,0.03,0.029966399999999997,23.2169,km1,7764,7764,no
KaHyPar-MF,192bit.mtx.hgr,no,3,2,0.03,0.029966399999999997,23.5849,km1,7800,7800,no
KaHyPar-MF,192bit.mtx.hgr,no,4,2,0.03,0.029966399999999997,23.4827,km1,7763,7763,no
KaHyPar-MF,192bit.mtx.hgr,no,5,2,0.03,0.029966399999999997,22.6893,km1,7804,7804,no
KaHyPar-MF,192bit.mtx.hgr,no,6,2,0.03,0.029966399999999997,21.3275,km1,7782,7782,no
KaHyPar-MF,192bit.mtx.hgr,no,7,2,0.03,0.029966399999999997,23.5137,km1,7812,7812,no
KaHyPar-MF,192bit.mtx.hgr,no,8,2,0.03,0.029966399999999997,23.4954,km1,7828,7828,no
KaHyPar-MF,192bit.mtx.hgr,no,9,2,0.03,0.029966399999999997,23.2313,km1,7793,7793,no
KaHyPar-MF,2cubes_sphere.mtx.hgr,no,0,2,0.03,0.0207898,20.6973,km1,3917,3917,no
KaHyPar-MF,2cubes_sphere.mtx.hgr,no,1,2,0.03,0.0206125,18.4327,km1,3932,3932,no
KaHyPar-MF,2cubes_sphere.mtx.hgr,no,2,2,0.03,0.0210854,18.8419,km1,3905,3905,no
KaHyPar-MF,2cubes_sphere.mtx.hgr,no,3,2,0.03,0.0273322,18.1997,km1,3924,3924,no
KaHyPar-MF,2cubes_sphere.mtx.hgr,no,4,2,0.03,0.0214204,22.9764,km1,3922,3922,no
KaHyPar-MF,2cubes_sphere.mtx.hgr,no,5,2,0.03,0.0228195,17.8573,km1,3921,3921,no
KaHyPar-MF,2cubes_sphere.mtx.hgr,no,6,2,0.03,0.023568400000000003,20.8498,km1,3920,3920,no
KaHyPar-MF,2cubes_sphere.mtx.hgr,no,7,2,0.03,0.0217948,23.0894,km1,3905,3905,no
KaHyPar-MF,2cubes_sphere.mtx.hgr,no,8,2,0.03,0.0257754,16.4558,km1,3940,3940,no
KaHyPar-MF,2cubes_sphere.mtx.hgr,no,9,2,0.03,0.0164742,24.9102,km1,3920,3920,no
KaHyPar-MF,2D_54019_highK.mtx.hgr,no,0,2,0.03,0.0228064,2.65908,km1,460,460,no
KaHyPar-MF,2D_54019_highK.mtx.hgr,no,1,2,0.03,0.0228064,3.3862400000000004,km1,460,460,no
KaHyPar-MF,2D_54019_highK.mtx.hgr,no,2,2,0.03,0.0228064,2.47445,km1,460,460,no
KaHyPar-MF,2D_54019_highK.mtx.hgr,no,3,2,0.03,0.0228064,2.33205,km1,460,460,no
KaHyPar-MF,2D_54019_highK.mtx.hgr,no,4,2,0.03,0.0228064,2.21723,km1,460,460,no
KaHyPar-MF,2D_54019_highK.mtx.hgr,no,5,2,0.03,0.0228064,2.38299,km1,460,460,no
KaHyPar-MF,2D_54019_highK.mtx.hgr,no,6,2,0.03,0.0228064,2.5054,km1,460,460,no
KaHyPar-MF,2D_54019_highK.mtx.hgr,no,7,2,0.03,0.0228064,2.24543,km1,460,460,no
KaHyPar-MF,2D_54019_highK.mtx.hgr,no,8,2,0.03,0.0228064,3.48271,km1,460,460,no
KaHyPar-MF,2D_54019_highK.mtx.hgr,no,9,2,0.03,0.0261755,2.34099,km1,466,466,no
KaHyPar-MF,3Dspectralwave2.mtx.hgr,no,0,2,0.03,0.029800599999999997,92.5946,km1,7064,7064,no
KaHyPar-MF,3Dspectralwave2.mtx.hgr,no,1,2,0.03,0.018896700000000002,78.6297,km1,7268,7268,no
KaHyPar-MF,3Dspectralwave2.mtx.hgr,no,2,2,0.03,0.027403399999999998,80.6755,km1,7268,7268,no
KaHyPar-MF,3Dspectralwave2.mtx.hgr,no,3,2,0.03,0.0287252,75.5936,km1,7080,7080,no
KaHyPar-MF,3Dspectralwave2.mtx.hgr,no,4,2,0.03,0.029232099999999997,90.3461,km1,7209,7209,no
KaHyPar-MF,3Dspectralwave2.mtx.hgr,no,5,2,0.03,0.010390100000000001,86.26100000000001,km1,7268,7268,no
KaHyPar-MF,3Dspectralwave2.mtx.hgr,no,6,2,0.03,0.0233213,115.20299999999999,km1,7410,7410,no
KaHyPar-MF,3Dspectralwave2.mtx.hgr,no,7,2,0.03,0.0135476,82.9247,km1,7268,7268,no
KaHyPar-MF,3Dspectralwave2.mtx.hgr,no,8,2,0.03,0.00094518,89.8637,km1,7590,7590,no
KaHyPar-MF,3Dspectralwave2.mtx.hgr,no,9,2,0.03,0.00188351,83.8466,km1,7268,7268,no
KaHyPar-MF,ABACUS_shell_hd.mtx.hgr,no,0,2,0.03,0.013155600000000002,1.70882,km1,216,216,no
KaHyPar-MF,ABACUS_shell_hd.mtx.hgr,no,1,2,0.03,0.00350248,1.8263599999999998,km1,210,210,no
KaHyPar-MF,ABACUS_shell_hd.mtx.hgr,no,2,2,0.03,0.00350248,1.7852299999999999,km1,210,210,no
