"graph","k","epsilon","seed","km1","imbalance","totalPartitionTime","objective","algorithm","failed","timeout","cut"
"192bit.mtx.hgr",2,0.03,1,7965,0,0.451463,"km1","Mondriaan","no","no",0
"192bit.mtx.hgr",2,0.03,2,7976,0,0.444045,"km1","Mondriaan","no","no",0
"192bit.mtx.hgr",2,0.03,3,7980,0,0.481499,"km1","Mondriaan","no","no",0
"192bit.mtx.hgr",2,0.03,4,7976,0,0.44792,"km1","Mondriaan","no","no",0
"192bit.mtx.hgr",2,0.03,5,7961,0,0.489582,"km1","Mondriaan","no","no",0
"192bit.mtx.hgr",2,0.03,6,7964,0,0.469885,"km1","Mondriaan","no","no",0
"192bit.mtx.hgr",2,0.03,7,7977,0,0.472752,"km1","Mondriaan","no","no",0
"192bit.mtx.hgr",2,0.03,8,7978,0,0.491874,"km1","Mondriaan","no","no",0
"192bit.mtx.hgr",2,0.03,9,7997,0,0.47771,"km1","Mondriaan","no","no",0
"192bit.mtx.hgr",2,0.03,10,7984,0,0.489469,"km1","Mondriaan","no","no",0
"192bit.mtx.hgr",4,0.03,1,16972,0,0.604279,"km1","Mondriaan","no","no",0
"192bit.mtx.hgr",4,0.03,2,16891,0,0.676835,"km1","Mondriaan","no","no",0
"192bit.mtx.hgr",4,0.03,3,16882,0,0.664277,"km1","Mondriaan","no","no",0
"192bit.mtx.hgr",4,0.03,4,16873,0,0.523687,"km1","Mondriaan","no","no",0
"192bit.mtx.hgr",4,0.03,5,16836,0,0.625929,"km1","Mondriaan","no","no",0
"192bit.mtx.hgr",4,0.03,6,16891,0,0.55926,"km1","Mondriaan","no","no",0
"192bit.mtx.hgr",4,0.03,7,16853,0,0.570744,"km1","Mondriaan","no","no",0
"192bit.mtx.hgr",4,0.03,8,16860,0,0.5955,"km1","Mondriaan","no","no",0
"192bit.mtx.hgr",4,0.03,9,16877,0,0.657298,"km1","Mondriaan","no","no",0
"192bit.mtx.hgr",4,0.03,10,16904,0,0.546867,"km1","Mondriaan","no","no",0
"192bit.mtx.hgr",8,0.03,1,26875,0,0.744809,"km1","Mondriaan","no","no",0
"192bit.mtx.hgr",8,0.03,2,26824,0,0.718478,"km1","Mondriaan","no","no",0
"192bit.mtx.hgr",8,0.03,3,26822,0,0.846458,"km1","Mondriaan","no","no",0
"192bit.mtx.hgr",8,0.03,4,26797,0,0.746315,"km1","Mondriaan","no","no",0
"192bit.mtx.hgr",8,0.03,5,26899,0,0.832736,"km1","Mondriaan","no","no",0
"192bit.mtx.hgr",8,0.03,6,26822,0,0.715123,"km1","Mondriaan","no","no",0
"192bit.mtx.hgr",8,0.03,7,26837,0,0.809569,"km1","Mondriaan","no","no",0
"192bit.mtx.hgr",8,0.03,8,26917,0,0.760018,"km1","Mondriaan","no","no",0
"192bit.mtx.hgr",8,0.03,9,26875,0,0.719232,"km1","Mondriaan","no","no",0
"192bit.mtx.hgr",8,0.03,10,26841,0,0.750242,"km1","Mondriaan","no","no",0
"192bit.mtx.hgr",16,0.03,1,37456,0,0.861584,"km1","Mondriaan","no","no",0
"192bit.mtx.hgr",16,0.03,2,37444,0,0.864345,"km1","Mondriaan","no","no",0
"192bit.mtx.hgr",16,0.03,3,37483,0,0.889708,"km1","Mondriaan","no","no",0
"192bit.mtx.hgr",16,0.03,4,37471,0,0.86889,"km1","Mondriaan","no","no",0
"192bit.mtx.hgr",16,0.03,5,37484,0,0.918468,"km1","Mondriaan","no","no",0
"192bit.mtx.hgr",16,0.03,6,37454,0,0.938895,"km1","Mondriaan","no","no",0
"192bit.mtx.hgr",16,0.03,7,37497,0,0.904072,"km1","Mondriaan","no","no",0
"192bit.mtx.hgr",16,0.03,8,37494,0,0.870672,"km1","Mondriaan","no","no",0
"192bit.mtx.hgr",16,0.03,9,37478,0,0.891671,"km1","Mondriaan","no","no",0
"192bit.mtx.hgr",16,0.03,10,37412,0,0.908016,"km1","Mondriaan","no","no",0
"192bit.mtx.hgr",32,0.03,1,48215,0,0.986731,"km1","Mondriaan","no","no",0
