"graph","k","epsilon","seed","objective","km1","imbalance","totalPartitionTime","algorithm","failed","timeout","cut"
"192bit.mtx.hgr",2,0.03,1,"kMinusOne",9083,0.0299663791843,0.103,"PaToH-D","no","no",0
"192bit.mtx.hgr",2,0.03,2,"kMinusOne",9002,0.0299663791843,0.152,"PaToH-D","no","no",0
"192bit.mtx.hgr",2,0.03,3,"kMinusOne",9051,0.0299663791843,0.111,"PaToH-D","no","no",0
"192bit.mtx.hgr",2,0.03,4,"kMinusOne",9017,0.0299663791843,0.129,"PaToH-D","no","no",0
"192bit.mtx.hgr",2,0.03,5,"kMinusOne",9072,0.0299663791843,0.13,"PaToH-D","no","no",0
"192bit.mtx.hgr",2,0.03,6,"kMinusOne",9070,0.0299663791843,0.111,"PaToH-D","no","no",0
"192bit.mtx.hgr",2,0.03,7,"kMinusOne",9048,0.0299663791843,0.14,"PaToH-D","no","no",0
"192bit.mtx.hgr",2,0.03,8,"kMinusOne",9070,0.0299663791843,0.115,"PaToH-D","no","no",0
"192bit.mtx.hgr",2,0.03,9,"kMinusOne",9106,0.0299663791843,0.104,"PaToH-D","no","no",0
"192bit.mtx.hgr",2,0.03,10,"kMinusOne",9050,0.0299663791843,0.102,"PaToH-D","no","no",0
"192bit.mtx.hgr",4,0.03,1,"kMinusOne",17433,0.0295235311312,0.209,"PaToH-D","no","no",0
"192bit.mtx.hgr",4,0.03,2,"kMinusOne",17468,0.0295235311312,0.171,"PaToH-D","no","no",0
"192bit.mtx.hgr",4,0.03,3,"kMinusOne",17398,0.0292312189418,0.168,"PaToH-D","no","no",0
"192bit.mtx.hgr",4,0.03,4,"kMinusOne",17417,0.0295235311312,0.186,"PaToH-D","no","no",0
"192bit.mtx.hgr",4,0.03,5,"kMinusOne",17437,0.0295235311312,0.173,"PaToH-D","no","no",0
"192bit.mtx.hgr",4,0.03,6,"kMinusOne",17405,0.0295235311312,0.172,"PaToH-D","no","no",0
"192bit.mtx.hgr",4,0.03,7,"kMinusOne",17398,0.0295235311312,0.212,"PaToH-D","no","no",0
"192bit.mtx.hgr",4,0.03,8,"kMinusOne",17420,0.0295235311312,0.216,"PaToH-D","no","no",0
"192bit.mtx.hgr",4,0.03,9,"kMinusOne",17463,0.0295235311312,0.171,"PaToH-D","no","no",0
"192bit.mtx.hgr",4,0.03,10,"kMinusOne",17445,0.0295235311312,0.17,"PaToH-D","no","no",0
"192bit.mtx.hgr",8,0.03,1,"kMinusOne",26863,0.0292226767972,0.231,"PaToH-D","no","no",0
"192bit.mtx.hgr",8,0.03,2,"kMinusOne",26813,0.0292226767972,0.244,"PaToH-D","no","no",0
"192bit.mtx.hgr",8,0.03,3,"kMinusOne",26743,0.0292226767972,0.239,"PaToH-D","no","no",0
"192bit.mtx.hgr",8,0.03,4,"kMinusOne",26890,0.0292226767972,0.245,"PaToH-D","no","no",0
"192bit.mtx.hgr",8,0.03,5,"kMinusOne",26957,0.0292226767972,0.241,"PaToH-D","no","no",0
"192bit.mtx.hgr",8,0.03,6,"kMinusOne",26817,0.0292226767972,0.235,"PaToH-D","no","no",0
"192bit.mtx.hgr",8,0.03,7,"kMinusOne",26845,0.0292226767972,0.228,"PaToH-D","no","no",0
"192bit.mtx.hgr",8,0.03,8,"kMinusOne",26839,0.0292226767972,0.238,"PaToH-D","no","no",0
"192bit.mtx.hgr",8,0.03,9,"kMinusOne",26864,0.0292226767972,0.234,"PaToH-D","no","no",0
"192bit.mtx.hgr",8,0.03,10,"kMinusOne",26884,0.0292226767972,0.242,"PaToH-D","no","no",0
"192bit.mtx.hgr",16,0.03,1,"kMinusOne",37148,0.0280373831776,0.28,"PaToH-D","no","no",0
"192bit.mtx.hgr",16,0.03,2,"kMinusOne",37065,0.0280373831776,0.294,"PaToH-D","no","no",0
"192bit.mtx.hgr",16,0.03,3,"kMinusOne",37212,0.0280373831776,0.292,"PaToH-D","no","no",0
"192bit.mtx.hgr",16,0.03,4,"kMinusOne",37141,0.0268691588785,0.312,"PaToH-D","no","no",0
"192bit.mtx.hgr",16,0.03,5,"kMinusOne",37184,0.0280373831776,0.318,"PaToH-D","no","no",0
"192bit.mtx.hgr",16,0.03,6,"kMinusOne",37129,0.0280373831776,0.3,"PaToH-D","no","no",0
"192bit.mtx.hgr",16,0.03,7,"kMinusOne",37126,0.0268691588785,0.302,"PaToH-D","no","no",0
"192bit.mtx.hgr",16,0.03,8,"kMinusOne",37179,0.0280373831776,0.309,"PaToH-D","no","no",0
"192bit.mtx.hgr",16,0.03,9,"kMinusOne",37162,0.0280373831776,0.296,"PaToH-D","no","no",0
"192bit.mtx.hgr",16,0.03,10,"kMinusOne",37077,0.0280373831776,0.311,"PaToH-D","no","no",0
"192bit.mtx.hgr",32,0.03,1,"kMinusOne",47764,0.0280373831776,0.314,"PaToH-D","no","no",0
"192bit.mtx.hgr",32,0.03,2,"kMinusOne",47834,0.0280373831776,0.335,"PaToH-D","no","no",0
"192bit.mtx.hgr",32,0.03,3,"kMinusOne",47755,0.0280373831776,0.329,"PaToH-D","no","no",0
"192bit.mtx.hgr",32,0.03,4,"kMinusOne",47874,0.0257009345794,0.345,"PaToH-D","no","no",0
"192bit.mtx.hgr",32,0.03,5,"kMinusOne",47799,0.0257009345794,0.337,"PaToH-D","no","no",0
"192bit.mtx.hgr",32,0.03,6,"kMinusOne",47864,0.0257009345794,0.331,"PaToH-D","no","no",0
"192bit.mtx.hgr",32,0.03,7,"kMinusOne",47783,0.0280373831776,0.319,"PaToH-D","no","no",0
"192bit.mtx.hgr",32,0.03,8,"kMinusOne",47803,0.0257009345794,0.376,"PaToH-D","no","no",0
"192bit.mtx.hgr",32,0.03,9,"kMinusOne",47808,0.0280373831776,0.324,"PaToH-D","no","no",0
"192bit.mtx.hgr",32,0.03,10,"kMinusOne",47770,0.0257009345794,0.339,"PaToH-D","no","no",0
"192bit.mtx.hgr",64,0.03,1,"kMinusOne",58338,0.0280373831776,0.362,"PaToH-D","no","no",0
"192bit.mtx.hgr",64,0.03,2,"kMinusOne",58305,0.0280373831776,0.375,"PaToH-D","no","no",0
"192bit.mtx.hgr",64,0.03,3,"kMinusOne",58303,0.0280373831776,0.374,"PaToH-D","no","no",0
"192bit.mtx.hgr",64,0.03,4,"kMinusOne",58393,0.0280373831776,0.388,"PaToH-D","no","no",0
"192bit.mtx.hgr",64,0.03,5,"kMinusOne",58414,0.0280373831776,0.391,"PaToH-D","no","no",0
"192bit.mtx.hgr",64,0.03,6,"kMinusOne",58334,0.0280373831776,0.372,"PaToH-D","no","no",0
"192bit.mtx.hgr",64,0.03,7,"kMinusOne",58250,0.0280373831776,0.374,"PaToH-D","no","no",0
