"graph","k","epsilon","seed","objective","km1","imbalance","totalPartitionTime","algorithm","failed","timeout","cut"
"192bit.mtx.hgr",2,0.03,1,"kMinusOne",8214,0.0198801344833,0.731,"PaToH-Q","no","no",0
"192bit.mtx.hgr",2,0.03,2,"kMinusOne",8218,0.0195877795644,1.037,"PaToH-Q","no","no",0
"192bit.mtx.hgr",2,0.03,3,"kMinusOne",8239,0.0197339570238,0.758,"PaToH-Q","no","no",0
"192bit.mtx.hgr",2,0.03,4,"kMinusOne",8215,0.0198801344833,0.919,"PaToH-Q","no","no",0
"192bit.mtx.hgr",2,0.03,5,"kMinusOne",8221,0.0198801344833,0.975,"PaToH-Q","no","no",0
"192bit.mtx.hgr",2,0.03,6,"kMinusOne",8207,0.0198801344833,0.925,"PaToH-Q","no","no",0
"192bit.mtx.hgr",2,0.03,7,"kMinusOne",8185,0.0198801344833,1.045,"PaToH-Q","no","no",0
"192bit.mtx.hgr",2,0.03,8,"kMinusOne",8208,0.0198801344833,0.863,"PaToH-Q","no","no",0
"192bit.mtx.hgr",2,0.03,9,"kMinusOne",8274,0.0197339570238,0.931,"PaToH-Q","no","no",0
"192bit.mtx.hgr",2,0.03,10,"kMinusOne",8260,0.0198801344833,0.826,"PaToH-Q","no","no",0
"192bit.mtx.hgr",4,0.03,1,"kMinusOne",16724,0.0198772288804,1.485,"PaToH-Q","no","no",0
"192bit.mtx.hgr",4,0.03,2,"kMinusOne",16702,0.019584916691,1.504,"PaToH-Q","no","no",0
"192bit.mtx.hgr",4,0.03,3,"kMinusOne",16735,0.019584916691,1.414,"PaToH-Q","no","no",0
"192bit.mtx.hgr",4,0.03,4,"kMinusOne",16763,0.019584916691,1.797,"PaToH-Q","no","no",0
"192bit.mtx.hgr",4,0.03,5,"kMinusOne",16716,0.0198772288804,1.558,"PaToH-Q","no","no",0
"192bit.mtx.hgr",4,0.03,6,"kMinusOne",16683,0.0198772288804,1.605,"PaToH-Q","no","no",0
"192bit.mtx.hgr",4,0.03,7,"kMinusOne",16743,0.019584916691,1.712,"PaToH-Q","no","no",0
"192bit.mtx.hgr",4,0.03,8,"kMinusOne",16771,0.019584916691,1.665,"PaToH-Q","no","no",0
"192bit.mtx.hgr",4,0.03,9,"kMinusOne",16808,0.019584916691,1.557,"PaToH-Q","no","no",0
"192bit.mtx.hgr",4,0.03,10,"kMinusOne",16735,0.019584916691,1.458,"PaToH-Q","no","no",0
"192bit.mtx.hgr",8,0.03,1,"kMinusOne",26410,0.0187025131502,1.795,"PaToH-Q","no","no",0
"192bit.mtx.hgr",8,0.03,2,"kMinusOne",26338,0.0192869666861,2.137,"PaToH-Q","no","no",0
"192bit.mtx.hgr",8,0.03,3,"kMinusOne",26343,0.0192869666861,2.118,"PaToH-Q","no","no",0
"192bit.mtx.hgr",8,0.03,4,"kMinusOne",26396,0.0192869666861,2.102,"PaToH-Q","no","no",0
"192bit.mtx.hgr",8,0.03,5,"kMinusOne",26281,0.0192869666861,2.01,"PaToH-Q","no","no",0
"192bit.mtx.hgr",8,0.03,6,"kMinusOne",26257,0.0192869666861,1.976,"PaToH-Q","no","no",0
"192bit.mtx.hgr",8,0.03,7,"kMinusOne",26377,0.0187025131502,2.212,"PaToH-Q","no","no",0
"192bit.mtx.hgr",8,0.03,8,"kMinusOne",26355,0.0192869666861,1.921,"PaToH-Q","no","no",0
"192bit.mtx.hgr",8,0.03,9,"kMinusOne",26466,0.0192869666861,2.12,"PaToH-Q","no","no",0
"192bit.mtx.hgr",8,0.03,10,"kMinusOne",26389,0.0187025131502,2.151,"PaToH-Q","no","no",0
"192bit.mtx.hgr",16,0.03,1,"kMinusOne",36772,0.017523364486,2.42,"PaToH-Q","no","no",0
"192bit.mtx.hgr",16,0.03,2,"kMinusOne",36759,0.018691588785,2.433,"PaToH-Q","no","no",0
"192bit.mtx.hgr",16,0.03,3,"kMinusOne",36836,0.017523364486,2.376,"PaToH-Q","no","no",0
"192bit.mtx.hgr",16,0.03,4,"kMinusOne",36844,0.018691588785,2.649,"PaToH-Q","no","no",0
"192bit.mtx.hgr",16,0.03,5,"kMinusOne",36750,0.017523364486,2.555,"PaToH-Q","no","no",0
"192bit.mtx.hgr",16,0.03,6,"kMinusOne",36778,0.018691588785,2.298,"PaToH-Q","no","no",0
"192bit.mtx.hgr",16,0.03,7,"kMinusOne",36716,0.018691588785,2.523,"PaToH-Q","no","no",0
"192bit.mtx.hgr",16,0.03,8,"kMinusOne",36767,0.017523364486,2.411,"PaToH-Q","no","no",0
"192bit.mtx.hgr",16,0.03,9,"kMinusOne",36779,0.018691588785,2.442,"PaToH-Q","no","no",0
"192bit.mtx.hgr",16,0.03,10,"kMinusOne",36781,0.017523364486,2.357,"PaToH-Q","no","no",0
"192bit.mtx.hgr",32,0.03,1,"kMinusOne",47494,0.0163551401869,2.725,"PaToH-Q","no","no",0
"192bit.mtx.hgr",32,0.03,2,"kMinusOne",47459,0.0163551401869,2.895,"PaToH-Q","no","no",0
"192bit.mtx.hgr",32,0.03,3,"kMinusOne",47439,0.0163551401869,2.931,"PaToH-Q","no","no",0
"192bit.mtx.hgr",32,0.03,4,"kMinusOne",47493,0.0163551401869,2.619,"PaToH-Q","no","no",0
"192bit.mtx.hgr",32,0.03,5,"kMinusOne",47526,0.0163551401869,2.674,"PaToH-Q","no","no",0
"192bit.mtx.hgr",32,0.03,6,"kMinusOne",47461,0.0163551401869,2.639,"PaToH-Q","no","no",0
"192bit.mtx.hgr",32,0.03,7,"kMinusOne",47461,0.0163551401869,2.878,"PaToH-Q","no","no",0
"192bit.mtx.hgr",32,0.03,8,"kMinusOne",47486,0.0163551401869,2.784,"PaToH-Q","no","no",0
"192bit.mtx.hgr",32,0.03,9,"kMinusOne",47470,0.0163551401869,2.612,"PaToH-Q","no","no",0
"192bit.mtx.hgr",32,0.03,10,"kMinusOne",47448,0.0163551401869,2.894,"PaToH-Q","no","no",0
"192bit.mtx.hgr",64,0.03,1,"kMinusOne",58061,0.0140186915888,3.086,"PaToH-Q","no","no",0
