"graph","k","seed","epsilon","km1","imbalance","totalPartitionTime","failed","timeout","algorithm","objective","cut"
"192bit.mtx.hgr",2,1,0.03,7638,0.03,4.38,"no","no","Zoltan-AlgD","km1",0
"192bit.mtx.hgr",2,2,0.03,7656,0.03,4.52,"no","no","Zoltan-AlgD","km1",0
"192bit.mtx.hgr",2,3,0.03,7600,0.03,4.62,"no","no","Zoltan-AlgD","km1",0
"192bit.mtx.hgr",2,4,0.03,7633,0.03,4.25,"no","no","Zoltan-AlgD","km1",0
"192bit.mtx.hgr",2,5,0.03,7615,0.03,4.16,"no","no","Zoltan-AlgD","km1",0
"192bit.mtx.hgr",2,6,0.03,7649,0.03,4.53,"no","no","Zoltan-AlgD","km1",0
"192bit.mtx.hgr",2,7,0.03,7619,0.03,4.47,"no","no","Zoltan-AlgD","km1",0
"192bit.mtx.hgr",2,8,0.03,7624,0.03,4.56,"no","no","Zoltan-AlgD","km1",0
"192bit.mtx.hgr",2,9,0.03,7623,0.03,4.08,"no","no","Zoltan-AlgD","km1",0
"192bit.mtx.hgr",2,10,0.03,7626,0.03,4.32,"no","no","Zoltan-AlgD","km1",0
"192bit.mtx.hgr",4,1,0.03,16429,0.03,7.43,"no","no","Zoltan-AlgD","km1",0
"192bit.mtx.hgr",4,2,0.03,16499,0.03,7.5,"no","no","Zoltan-AlgD","km1",0
"192bit.mtx.hgr",4,3,0.03,16465,0.03,7.93,"no","no","Zoltan-AlgD","km1",0
"192bit.mtx.hgr",4,4,0.03,16470,0.03,7.62,"no","no","Zoltan-AlgD","km1",0
"192bit.mtx.hgr",4,5,0.03,16478,0.03,7.71,"no","no","Zoltan-AlgD","km1",0
"192bit.mtx.hgr",4,6,0.03,16457,0.03,7.25,"no","no","Zoltan-AlgD","km1",0
"192bit.mtx.hgr",4,7,0.03,16437,0.03,7.64,"no","no","Zoltan-AlgD","km1",0
"192bit.mtx.hgr",4,8,0.03,16437,0.03,7.06,"no","no","Zoltan-AlgD","km1",0
"192bit.mtx.hgr",4,9,0.03,16490,0.03,6.79,"no","no","Zoltan-AlgD","km1",0
"192bit.mtx.hgr",4,10,0.03,16474,0.03,7.93,"no","no","Zoltan-AlgD","km1",0
"192bit.mtx.hgr",8,1,0.03,32285,0.03,10.22,"no","no","Zoltan-AlgD","km1",0
"192bit.mtx.hgr",8,2,0.03,26251,0.03,12.97,"no","no","Zoltan-AlgD","km1",0
"192bit.mtx.hgr",8,3,0.03,26310,0.03,10.25,"no","no","Zoltan-AlgD","km1",0
"192bit.mtx.hgr",8,4,0.03,26334,0.03,9.97,"no","no","Zoltan-AlgD","km1",0
"192bit.mtx.hgr",8,5,0.03,26240,0.03,10.73,"no","no","Zoltan-AlgD","km1",0
"192bit.mtx.hgr",8,6,0.03,26251,0.03,9.6,"no","no","Zoltan-AlgD","km1",0
"192bit.mtx.hgr",8,7,0.03,26277,0.03,10.38,"no","no","Zoltan-AlgD","km1",0
"192bit.mtx.hgr",8,8,0.03,26300,0.03,10.03,"no","no","Zoltan-AlgD","km1",0
"192bit.mtx.hgr",8,9,0.03,26286,0.03,9.3,"no","no","Zoltan-AlgD","km1",0
"192bit.mtx.hgr",8,10,0.03,26219,0.03,10.58,"no","no","Zoltan-AlgD","km1",0
"192bit.mtx.hgr",16,1,0.03,36892,0.029,13.43,"no","no","Zoltan-AlgD","km1",0
"192bit.mtx.hgr",16,2,0.03,36852,0.029,13.23,"no","no","Zoltan-AlgD","km1",0
"192bit.mtx.hgr",16,3,0.03,36868,0.029,13.76,"no","no","Zoltan-AlgD","km1",0
"192bit.mtx.hgr",16,4,0.03,36888,0.029,13.67,"no","no","Zoltan-AlgD","km1",0
"192bit.mtx.hgr",16,5,0.03,36875,0.029,12.93,"no","no","Zoltan-AlgD","km1",0
"192bit.mtx.hgr",16,6,0.03,36835,0.029,13.29,"no","no","Zoltan-AlgD","km1",0
"192bit.mtx.hgr",16,7,0.03,36762,0.029,13.46,"no","no","Zoltan-AlgD","km1",0
"192bit.mtx.hgr",16,8,0.03,36823,0.029,13.26,"no","no","Zoltan-AlgD","km1",0
"192bit.mtx.hgr",16,9,0.03,36758,0.029,13.93,"no","no","Zoltan-AlgD","km1",0
"192bit.mtx.hgr",16,10,0.03,36908,0.029,12.72,"no","no","Zoltan-AlgD","km1",0
"192bit.mtx.hgr",32,1,0.03,47490,0.029,16.94,"no","no","Zoltan-AlgD","km1",0
"192bit.mtx.hgr",32,2,0.03,47555,0.029,17.03,"no","no","Zoltan-AlgD","km1",0
"192bit.mtx.hgr",32,3,0.03,47524,0.029,17.09,"no","no","Zoltan-AlgD","km1",0
"192bit.mtx.hgr",32,4,0.03,47650,0.029,16.84,"no","no","Zoltan-AlgD","km1",0
"192bit.mtx.hgr",32,5,0.03,47630,0.029,17.08,"no","no","Zoltan-AlgD","km1",0
"192bit.mtx.hgr",32,6,0.03,47552,0.029,17.25,"no","no","Zoltan-AlgD","km1",0
"192bit.mtx.hgr",32,7,0.03,47593,0.029,17.21,"no","no","Zoltan-AlgD","km1",0
"192bit.mtx.hgr",32,8,0.03,47546,0.029,17.54,"no","no","Zoltan-AlgD","km1",0
"192bit.mtx.hgr",32,9,0.03,47565,0.029,17.39,"no","no","Zoltan-AlgD","km1",0
"192bit.mtx.hgr",32,10,0.03,47554,0.029,16.98,"no","no","Zoltan-AlgD","km1",0
"192bit.mtx.hgr",64,1,0.03,58169,0.029,19.95,"no","no","Zoltan-AlgD","km1",0
