"graph","k","epsilon","seed","objective","km1","imbalance","totalPartitionTime","algorithm","failed","timeout","cut"
"192bit.mtx.hgr",2,0.03,1,"km1",7638,0.03,4.38,"Zoltan-AlgD","no","no",0
"192bit.mtx.hgr",2,0.03,2,"km1",7656,0.03,4.53,"Zoltan-AlgD","no","no",0
"192bit.mtx.hgr",2,0.03,3,"km1",7600,0.03,4.62,"Zoltan-AlgD","no","no",0
"192bit.mtx.hgr",2,0.03,4,"km1",7633,0.03,4.25,"Zoltan-AlgD","no","no",0
"192bit.mtx.hgr",2,0.03,5,"km1",7615,0.03,4.14,"Zoltan-AlgD","no","no",0
"192bit.mtx.hgr",2,0.03,6,"km1",7649,0.03,4.52,"Zoltan-AlgD","no","no",0
"192bit.mtx.hgr",2,0.03,7,"km1",7619,0.03,4.46,"Zoltan-AlgD","no","no",0
"192bit.mtx.hgr",2,0.03,8,"km1",7624,0.03,4.57,"Zoltan-AlgD","no","no",0
"192bit.mtx.hgr",2,0.03,9,"km1",7623,0.03,4.08,"Zoltan-AlgD","no","no",0
"192bit.mtx.hgr",2,0.03,10,"km1",7626,0.03,4.32,"Zoltan-AlgD","no","no",0
"192bit.mtx.hgr",4,0.03,1,"km1",16429,0.03,18.03,"Zoltan-AlgD","no","no",0
"192bit.mtx.hgr",4,0.03,2,"km1",16499,0.03,18.63,"Zoltan-AlgD","no","no",0
"192bit.mtx.hgr",4,0.03,3,"km1",16465,0.03,19.58,"Zoltan-AlgD","no","no",0
"192bit.mtx.hgr",4,0.03,4,"km1",16470,0.03,18.58,"Zoltan-AlgD","no","no",0
"192bit.mtx.hgr",4,0.03,5,"km1",16478,0.03,19.1,"Zoltan-AlgD","no","no",0
"192bit.mtx.hgr",4,0.03,6,"km1",16457,0.03,17.71,"Zoltan-AlgD","no","no",0
"192bit.mtx.hgr",4,0.03,7,"km1",16437,0.03,18.6,"Zoltan-AlgD","no","no",0
"192bit.mtx.hgr",4,0.03,8,"km1",16437,0.03,17.1,"Zoltan-AlgD","no","no",0
"192bit.mtx.hgr",4,0.03,9,"km1",16490,0.03,16.47,"Zoltan-AlgD","no","no",0
"192bit.mtx.hgr",4,0.03,10,"km1",16474,0.03,19.67,"Zoltan-AlgD","no","no",0
"192bit.mtx.hgr",8,0.03,1,"km1",32285,0.03,23.69,"Zoltan-AlgD","no","no",0
"192bit.mtx.hgr",8,0.03,2,"km1",26251,0.03,28.48,"Zoltan-AlgD","no","no",0
"192bit.mtx.hgr",8,0.03,3,"km1",26310,0.03,24.69,"Zoltan-AlgD","no","no",0
"192bit.mtx.hgr",8,0.03,4,"km1",26334,0.03,23.9,"Zoltan-AlgD","no","no",0
"192bit.mtx.hgr",8,0.03,5,"km1",26240,0.03,25.89,"Zoltan-AlgD","no","no",0
"192bit.mtx.hgr",8,0.03,6,"km1",26251,0.03,23.2,"Zoltan-AlgD","no","no",0
"192bit.mtx.hgr",8,0.03,7,"km1",26277,0.03,25.16,"Zoltan-AlgD","no","no",0
"192bit.mtx.hgr",8,0.03,8,"km1",26300,0.03,24.18,"Zoltan-AlgD","no","no",0
"192bit.mtx.hgr",8,0.03,9,"km1",26286,0.03,22.28,"Zoltan-AlgD","no","no",0
"192bit.mtx.hgr",8,0.03,10,"km1",26219,0.03,25.56,"Zoltan-AlgD","no","no",0
"192bit.mtx.hgr",16,0.03,1,"km1",36892,0.0289999999999999,13.44,"Zoltan-AlgD","no","no",0
"192bit.mtx.hgr",16,0.03,2,"km1",36852,0.0289999999999999,13.25,"Zoltan-AlgD","no","no",0
"192bit.mtx.hgr",16,0.03,3,"km1",36868,0.0289999999999999,13.77,"Zoltan-AlgD","no","no",0
"192bit.mtx.hgr",16,0.03,4,"km1",36888,0.0289999999999999,13.65,"Zoltan-AlgD","no","no",0
"192bit.mtx.hgr",16,0.03,5,"km1",36875,0.0289999999999999,12.92,"Zoltan-AlgD","no","no",0
"192bit.mtx.hgr",16,0.03,6,"km1",36835,0.0289999999999999,13.28,"Zoltan-AlgD","no","no",0
"192bit.mtx.hgr",16,0.03,7,"km1",36762,0.0289999999999999,13.45,"Zoltan-AlgD","no","no",0
"192bit.mtx.hgr",16,0.03,8,"km1",36823,0.0289999999999999,13.26,"Zoltan-AlgD","no","no",0
"192bit.mtx.hgr",16,0.03,9,"km1",36758,0.0289999999999999,13.93,"Zoltan-AlgD","no","no",0
"192bit.mtx.hgr",16,0.03,10,"km1",36908,0.0289999999999999,12.72,"Zoltan-AlgD","no","no",0
"192bit.mtx.hgr",32,0.03,1,"km1",47490,0.0289999999999999,39.3,"Zoltan-AlgD","no","no",0
"192bit.mtx.hgr",32,0.03,2,"km1",47555,0.0289999999999999,39.85,"Zoltan-AlgD","no","no",0
"192bit.mtx.hgr",32,0.03,3,"km1",47524,0.0289999999999999,39.57,"Zoltan-AlgD","no","no",0
"192bit.mtx.hgr",32,0.03,4,"km1",47650,0.0289999999999999,39.49,"Zoltan-AlgD","no","no",0
"192bit.mtx.hgr",32,0.03,5,"km1",47630,0.0289999999999999,39.41,"Zoltan-AlgD","no","no",0
"192bit.mtx.hgr",32,0.03,6,"km1",47552,0.0289999999999999,40.36,"Zoltan-AlgD","no","no",0
"192bit.mtx.hgr",32,0.03,7,"km1",47593,0.0289999999999999,39.98,"Zoltan-AlgD","no","no",0
"192bit.mtx.hgr",32,0.03,8,"km1",47546,0.0289999999999999,40.77,"Zoltan-AlgD","no","no",0
